Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Respuesta correcta,Explicación
"Según el artículo 137 de la Constitución, ¿en qué entidades se organiza territorialmente el Estado?","Municipios, provincias y Comunidades Autónomas",El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,La soberanía nacional y la forma política de monarquía parlamentaria,La reserva de ley orgánica y el control parlamentario ordinario,1,"El art. 137 CE dispone: 'El Estado se organiza territorialmente en municipios, en provincias y en las Comunidades Autónomas que se constituyan. Todas estas entidades gozan de autonomía para la gestión de sus respectivos intereses'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a137"
"¿Qué principio garantiza el Estado según el artículo 138.1 de la Constitución, atendiendo en particular a las circunstancias del hecho insular?","El principio de solidaridad, velando por el equilibrio económico entre las diversas partes del territorio español",El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,La soberanía nacional y la forma política de monarquía parlamentaria,La reserva de ley orgánica y el control parlamentario ordinario,1,"El art. 138.1 CE dispone: 'El Estado garantiza la realización efectiva del principio de solidaridad consagrado en el artículo 2 de la Constitución, velando por el establecimiento de un equilibrio económico, adecuado y justo entre las diversas partes del territorio español, y atendiendo en particular a las circunstancias del hecho insular'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a138"
"¿Pueden las diferencias entre los Estatutos de las distintas Comunidades Autónomas implicar privilegios económicos o sociales, según el artículo 138.2 de la Constitución?","Sí, si lo aprueban las Cortes Generales","No, en ningún caso podrán implicar privilegios económicos o sociales","No, en ningún caso deberán implicar privilegios económicos o sociales",La Constitución no regula esta cuestión,2,"El art. 138.2 CE dispone taxativamente: 'Las diferencias entre los Estatutos de las distintas Comunidades Autónomas no podrán implicar, en ningún caso, privilegios económicos o sociales'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a138"
¿Qué garantiza el artículo 139.2 de la Constitución en relación con la libre circulación?,Que ninguna autoridad podrá adoptar medidas que obstaculicen la libertad de circulación y establecimiento de personas y la libre circulación de bienes en todo el territorio español,Que ninguna autoridad deberá adoptar medidas que obstaculicen la libertad de circulación y establecimiento de personas y la libre circulación de bienes en todo el territorio español,El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,La soberanía nacional y la forma política de monarquía parlamentaria,1,El art. 139.2 CE dispone: 'Ninguna autoridad podrá adoptar medidas que directa o indirectamente obstaculicen la libertad de circulación y establecimiento de las personas y la libre circulación de bienes en todo el territorio español'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a139
¿Qué garantiza el artículo 140 de la Constitución respecto de los municipios?,Su autonomía y personalidad jurídica plena,Su dependencia jerárquica de la provincia,Su carácter meramente administrativo sin autonomía,Su sometimiento directo al Gobierno central,1,"El art. 140 CE dispone: 'La Constitución garantiza la autonomía de los municipios. Estos gozarán de personalidad jurídica plena. Su gobierno y administración corresponde a sus respectivos Ayuntamientos, integrados por los Alcaldes y los Concejales'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a140"
¿Cómo son elegidos los Concejales según el artículo 140 de la Constitución?,"Por designación del Alcalde, conforme al régimen constitucional aplicable","Por sufragio universal, igual, libre, directo y secreto de los vecinos del municipio",El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,La soberanía nacional y la forma política de monarquía parlamentaria,2,"El art. 140 CE establece que 'los Concejales serán elegidos por los vecinos del municipio mediante sufragio universal, igual, libre, directo y secreto, en la forma establecida por la ley'. Los Alcaldes, por su parte, serán elegidos por los Concejales o por los propios vecinos. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a140"
¿Qué régimen especial de gobierno municipal contempla el artículo 140 de la Constitución para determinados municipios?,El régimen de concejo abierto,El régimen de gestión directa estatal,El régimen de intervención autonómica,El régimen de comisión gestora permanente,1,"El art. 140 CE, in fine, dispone: 'La ley regulará las condiciones en las que proceda el régimen del concejo abierto', régimen tradicional de gobierno municipal directo aplicable a municipios de escasa población. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a140"
¿Cómo puede alterarse los límites provinciales según el artículo 141.1 de la Constitución?,Mediante decreto del Gobierno,Mediante ley orgánica aprobada por las Cortes Generales,Mediante acuerdo autonómico sin intervención estatal,El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,2,"El art. 141.1 CE dispone: 'La provincia es una entidad local con personalidad jurídica propia, determinada por la agrupación de municipios y división territorial para el cumplimiento de las actividades del Estado. Cualquier alteración de los límites provinciales habrá de ser aprobada por las Cortes Generales mediante ley orgánica'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a141"
¿A qué órganos encomienda el artículo 141.2 de la Constitución el gobierno y la administración autónoma de las provincias?,A las Diputaciones u otras Corporaciones de carácter representativo,Al Delegado del Gobierno,Directamente al Ministerio del Interior,A los Ayuntamientos de la capital de provincia,1,El art. 141.2 CE dispone: 'El gobierno y la administración autónoma de las provincias estarán encomendados a Diputaciones u otras Corporaciones de carácter representativo'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a141
¿Qué forma de administración propia tienen las islas en los archipiélagos según el artículo 141.4 de la Constitución?,Cabildos o Consejos,El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,La soberanía nacional y la forma política de monarquía parlamentaria,La reserva de ley orgánica y el control parlamentario ordinario,1,"El art. 141.4 CE dispone: 'En los archipiélagos, las islas tendrán además su administración propia en forma de Cabildos o Consejos'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a141"
¿De qué deben disponer las Haciendas locales según el artículo 142 de la Constitución?,"De los medios suficientes para el desempeño de sus funciones, nutriéndose fundamentalmente de tributos propios y de participación en los del Estado y de las Comunidades Autónomas",El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,La soberanía nacional y la forma política de monarquía parlamentaria,La reserva de ley orgánica y el control parlamentario ordinario,1,El art. 142 CE dispone: 'Las Haciendas locales deberán disponer de los medios suficientes para el desempeño de las funciones que la ley atribuye a las Corporaciones respectivas y se nutrirán fundamentalmente de tributos propios y de participación en los del Estado y de las Comunidades Autónomas'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a142
"¿Qué provincias, territorios o entidades pueden constituirse en Comunidades Autónomas según el artículo 143.1 de la Constitución?",El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,"Las provincias limítrofes con características históricas, culturales y económicas comunes, los territorios insulares y las provincias con entidad regional histórica",La soberanía nacional y la forma política de monarquía parlamentaria,La reserva de ley orgánica y el control parlamentario ordinario,2,"El art. 143.1 CE dispone que 'las provincias limítrofes con características históricas, culturales y económicas comunes, los territorios insulares y las provincias con entidad regional histórica podrán acceder a su autogobierno y constituirse en Comunidades Autónomas'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a143"
¿A quién corresponde la iniciativa del proceso autonómico según el artículo 143.2 de la Constitución?,El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,"A todas las Diputaciones interesadas o al órgano interinsular correspondiente, y a las dos terceras partes de los municipios que representen la mayoría del censo electoral",La soberanía nacional y la forma política de monarquía parlamentaria,La reserva de ley orgánica y el control parlamentario ordinario,2,"El art. 143.2 CE dispone que la iniciativa corresponde 'a todas las Diputaciones interesadas o al órgano interinsular correspondiente y a las dos terceras partes de los municipios cuya población represente, al menos, la mayoría del censo electoral de cada provincia o isla', debiendo cumplirse estos requisitos en el plazo de seis meses. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a143"
"Si la iniciativa autonómica del artículo 143 no prospera, ¿cuándo puede reiterarse según el artículo 143.3?",El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,La soberanía nacional y la forma política de monarquía parlamentaria,La reserva de ley orgánica y el control parlamentario ordinario,Pasados cinco años,4,"El art. 143.3 CE dispone: 'La iniciativa, en caso de no prosperar, solamente podrá reiterarse pasados cinco años'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a143"
"Conforme al artículo 144 de la Constitución Española, ¿qué pueden hacer las Cortes Generales mediante ley orgánica por motivos de interés nacional?","Autorizar la constitución de una Comunidad Autónoma en determinados supuestos excepcionales, autorizar o acordar un Estatuto de Autonomía para territorios no integrados en la organización provincial y sustituir la iniciativa de las Corporaciones Locales prevista en el artículo 143.2.","Modificar directamente los límites provinciales para crear nuevas Comunidades Autónomas por ley ordinaria.","Aprobar unilateralmente los Estatutos de Autonomía de cualquier Comunidad Autónoma sin intervención de las instituciones territoriales.","Autorizar la fusión de Comunidades Autónomas mediante acuerdo del Congreso adoptado por mayoría absoluta.","1","El artículo 144 CE permite, por motivos de interés nacional y mediante ley orgánica, las tres actuaciones previstas en sus apartados a), b) y c)."
"¿Cuál de las siguientes actuaciones NO está comprendida entre las facultades atribuidas a las Cortes Generales por el artículo 144 de la Constitución Española?","Autorizar la constitución de una Comunidad Autónoma cuyo ámbito no supere el de una provincia cuando no concurran las condiciones del artículo 143.1.","Autorizar o acordar un Estatuto de Autonomía para territorios no integrados en la organización provincial.","Sustituir la iniciativa de las Corporaciones Locales prevista en el artículo 143.2.","Modificar mediante ley orgánica el procedimiento general de acceso a la autonomía previsto en el artículo 143 para todas las Comunidades Autónomas.","4","El artículo 144 enumera taxativamente tres facultades excepcionales. No atribuye a las Cortes la posibilidad de modificar el procedimiento general del artículo 143 para todas las Comunidades Autónomas."
"¿Qué diferencia existe entre el procedimiento general de iniciativa autonómica del artículo 143 y la intervención prevista en el artículo 144 de la Constitución Española?","El artículo 143 atribuye la iniciativa a las entidades territoriales legitimadas, mientras que el artículo 144 permite que las Cortes Generales, mediante ley orgánica y por motivos de interés nacional, autoricen determinados supuestos excepcionales o sustituyan dicha iniciativa.","Los artículos 143 y 144 regulan exactamente el mismo procedimiento, diferenciándose únicamente en la mayoría parlamentaria exigida.","El artículo 144 sustituye íntegramente al procedimiento previsto en el artículo 143 para todas las Comunidades Autónomas.","El artículo 143 solo resulta aplicable a Comunidades Autónomas uniprovinciales, mientras que el artículo 144 se reserva para las pluriprovinciales.","1","El artículo 143 regula la iniciativa autonómica ordinaria. El artículo 144 establece tres supuestos excepcionales en los que las Cortes Generales pueden intervenir mediante ley orgánica por motivos de interés nacional, incluso sustituyendo la iniciativa prevista en el artículo 143.2."
"¿Admite la Constitución la federación de Comunidades Autónomas, según el artículo 145.1?","Sí, si lo aprueban las Cortes Generales","No, en ningún caso se admitirá la federación de Comunidades Autónomas","Sí, mediante referéndum en las Comunidades implicadas","Sí, si las Comunidades Autónomas afectadas son limítrofes",2,El art. 145.1 CE dispone categóricamente: 'En ningún caso se admitirá la federación de Comunidades Autónomas'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a145
"¿Qué requieren, según el artículo 145.2 de la Constitución, los acuerdos de cooperación entre Comunidades Autónomas no previstos en sus Estatutos?",La autorización de las Cortes Generales,El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,La soberanía nacional y la forma política de monarquía parlamentaria,El referéndum de los ciudadanos afectados,1,"El art. 145.2 CE dispone que, salvo lo que puedan prever los propios Estatutos, 'los acuerdos de cooperación entre las Comunidades Autónomas necesitarán la autorización de las Cortes Generales'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a145"
"¿Quién elabora el proyecto de Estatuto de Autonomía por la vía del artículo 143 (vía ordinaria o lenta), según el artículo 146 de la Constitución?","Una asamblea compuesta por los miembros de la Diputación u órgano interinsular y los Diputados y Congresores elegidos en la circunscripción, elevándolo después a las Cortes Generales para su tramitación como ley","Una asamblea compuesta por los miembros de la Diputación u órgano interinsular y los Diputados y Senadores elegidos en la circunscripción, elevándolo después a las Cortes Generales para su tramitación como ley",El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,La soberanía nacional y la forma política de monarquía parlamentaria,2,El art. 146 CE dispone que 'el proyecto de Estatuto será elaborado por una asamblea compuesta por los miembros de la Diputación u órgano interinsular de las provincias afectadas y por los Diputados y Senadores elegidos en ellas y será elevado a las Cortes Generales para su tramitación como ley'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a146
¿Qué naturaleza jurídica tienen los Estatutos de Autonomía según el artículo 147.1 de la Constitución?,"Son la norma institucional básica de cada Comunidad Autónoma, reconocida y amparada por el Estado como parte integrante de su ordenamiento jurídico",El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,La soberanía nacional y la forma política de monarquía parlamentaria,La reserva de ley orgánica y el control parlamentario ordinario,1,"El art. 147.1 CE dispone: 'Dentro de los términos de la presente Constitución, los Estatutos serán la norma institucional básica de cada Comunidad Autónoma y el Estado los reconocerá y amparará como parte integrante de su ordenamiento jurídico'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a147"
