"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Numero respuesta correcta","Explicación"
"¿Cómo se califican los contratos de obras, concesión de obras, concesión de servicios, suministro y servicios celebrados por entidades del sector público?","De acuerdo con las normas contenidas en la Sección 1.ª del Capítulo II del Título Preliminar de la Ley","De acuerdo exclusivamente con las normas de derecho administrativo, con independencia de la naturaleza del contrato","De acuerdo con las normas del Código Civil aplicables a cada prestación","De acuerdo con las normas que determine libremente el órgano de contratación en los pliegos","1","El artículo 12.1 establece que los contratos de obras, concesión de obras, concesión de servicios, suministro y servicios se calificarán conforme a las normas de la Sección 1.ª del Capítulo II del Título Preliminar."
"¿Cómo se califican los restantes contratos del sector público que no sean de obras, concesión de obras, concesión de servicios, suministro o servicios?","Según las normas de derecho administrativo o de derecho privado que les sean de aplicación","Necesariamente como contratos administrativos especiales","Necesariamente como contratos privados","Según las normas específicas de los contratos de suministro","1","El artículo 12.2 establece que los restantes contratos del sector público se calificarán según las normas de derecho administrativo o de derecho privado que les sean aplicables."
"¿Cuál de las siguientes prestaciones caracteriza al contrato de obras conforme al artículo 13 de la LCSP?","La ejecución de una obra, aislada o conjuntamente con la redacción del proyecto, o la realización de trabajos del Anexo I","La gestión de un servicio de titularidad o competencia de un poder adjudicador mediante transferencia del riesgo operacional","La adquisición o arrendamiento de productos o bienes muebles","La realización de una actividad dirigida a obtener un resultado distinto de una obra o suministro","1","El artículo 13.1 considera contratos de obras aquellos cuyo objeto sea la ejecución de una obra, aislada o conjuntamente con la redacción del proyecto, o la realización de determinados trabajos enumerados en el Anexo I."
"¿Qué se entiende por «obra» a efectos del artículo 13 de la LCSP?","El resultado de un conjunto de trabajos de construcción o ingeniería civil destinado a cumplir por sí mismo una función económica o técnica y que tenga por objeto un bien inmueble","Cualquier prestación de servicios relacionada con el mantenimiento de un inmueble","Cualquier adquisición de bienes muebles destinada a una obra pública","Toda actividad de ingeniería, aunque no produzca un resultado sobre un bien inmueble","1","El artículo 13.2 define la obra como el resultado de un conjunto de trabajos de construcción o ingeniería civil destinado a cumplir por sí mismo una función económica o técnica y que tenga por objeto un bien inmueble."
"¿Qué trabajos pueden tener también la consideración de obra conforme al artículo 13.2?","Los que modifiquen la forma o sustancia del terreno o de su vuelo, o mejoren el medio físico o natural","Los que consistan exclusivamente en adquirir maquinaria para una obra","Los que consistan exclusivamente en prestar servicios de dirección facultativa","Los que tengan por objeto únicamente la explotación económica de un inmueble","1","El artículo 13.2 también considera obra la realización de trabajos que modifiquen la forma o sustancia del terreno o de su vuelo, o de mejora del medio físico o natural."
"Como regla general, ¿a qué debe referirse un contrato de obras?","A una obra completa susceptible de ser entregada al uso general o al servicio correspondiente y que comprenda todos los elementos necesarios para su utilización","A cualquier fase de una obra, aunque no pueda utilizarse de forma independiente","Exclusivamente a la redacción del proyecto técnico de la obra","A una obra completa únicamente cuando su valor estimado supere el umbral de regulación armonizada","1","El artículo 13.3 establece que los contratos de obras se referirán a una obra completa, entendiendo por tal la susceptible de ser entregada al uso general o al servicio correspondiente y que comprenda todos los elementos necesarios para su utilización."
"⭐⭐⭐ ¿En qué supuesto permite el artículo 13.3 de la LCSP contratar una obra mediante proyectos independientes relativos a cada una de sus partes?","Cuando las partes sean susceptibles de utilización independiente o puedan ser sustancialmente definidas y preceda la autorización administrativa del órgano de contratación","Cuando las partes sean económicamente independientes y cada proyecto haya sido aprobado previamente por el órgano de contratación","Cuando las partes puedan ejecutarse separadamente y cada una constituya un contrato menor conforme a su valor estimado","Cuando las partes sean susceptibles de utilización independiente y el contratista justifique previamente la necesidad de su contratación separada","1","El artículo 13.3 permite contratar mediante proyectos independientes las partes de una obra completa cuando sean susceptibles de utilización independiente o puedan ser sustancialmente definidas, siempre que preceda la autorización administrativa del órgano de contratación."
"¿Cuál es la característica esencial que diferencia una concesión de obras de un contrato de obras ordinario?","En la concesión de obras la contraprestación incluye el derecho a explotar la obra, con o sin percepción de un precio, y existe transferencia de riesgo operacional","En la concesión de obras el contratista siempre recibe íntegramente el precio de la obra de la Administración","En la concesión de obras nunca puede existir percepción de un precio por el concesionario","En el contrato de obras ordinario el contratista siempre asume el riesgo operacional de explotación","1","El artículo 14 define la concesión de obras por la existencia del derecho a explotar la obra, acompañado o no del derecho a percibir un precio, y exige la transferencia de un riesgo operacional al concesionario."
"¿Qué debe implicar el derecho de explotación de una concesión de obras?","La transferencia al concesionario de un riesgo operacional en la explotación de las obras","La transferencia al órgano de contratación del riesgo de demanda y suministro","La garantía por la Administración de la recuperación de todas las inversiones del concesionario","La eliminación de cualquier exposición del concesionario a las incertidumbres del mercado","1","El artículo 14.4 establece que el derecho de explotación debe implicar la transferencia al concesionario de un riesgo operacional, que puede abarcar el riesgo de demanda, el de suministro o ambos."
"⭐⭐⭐ ¿Cuándo considera el artículo 14.4 de la Ley 9/2017 que el concesionario asume un riesgo operacional?","Cuando no esté garantizado que, en condiciones normales de funcionamiento, recuperará las inversiones realizadas ni cubrirá los costes de explotación, de modo que quede expuesto realmente a las incertidumbres del mercado","Cuando la Administración garantice la recuperación de las inversiones y costes de explotación, aunque el concesionario soporte las variaciones derivadas de la demanda o del suministro","Cuando el concesionario pueda recuperar necesariamente sus inversiones mediante una contraprestación fija, siempre que asuma las pérdidas que superen los costes inicialmente previstos","Cuando la Administración limite las pérdidas potenciales del concesionario a una cantidad previamente determinada, siempre que exista alguna variación en los ingresos obtenidos durante la explotación","1","El artículo 14.4 de la Ley 9/2017 considera que existe riesgo operacional cuando no está garantizado que, en condiciones normales de funcionamiento, el concesionario vaya a recuperar las inversiones realizadas ni a cubrir los costes derivados de la explotación. Además, la parte de los riesgos transferidos debe suponer una exposición real a las incertidumbres del mercado y la pérdida potencial no puede ser meramente nominal o desdeñable."
