"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿Cuáles son las situaciones administrativas comunes en que pueden hallarse los funcionarios de carrera según el artículo 85.1 del TREBEP?","Servicio activo, servicios especiales, servicio en otras Administraciones Públicas, excedencia y suspensión de funciones","Únicamente servicio activo y excedencia","Servicio activo, jubilación y fallecimiento","Servicio activo y suspensión de funciones exclusivamente","1","El art. 85.1 del TREBEP dispone que los funcionarios de carrera se hallarán en alguna de las siguientes situaciones: a) servicio activo; b) servicios especiales; c) servicio en otras Administraciones Públicas; d) excedencia; y e) suspensión de funciones. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a85"
"¿Pueden las leyes de Función Pública que se dicten en desarrollo del TREBEP establecer otras situaciones administrativas distintas de las del artículo 85.1, según el artículo 85.2?","No, la lista del apartado 1 es cerrada y no admite ampliación","Sí, en los supuestos de reestructuración interna, exceso de personal, cuando los funcionarios accedan a otros cuerpos por promoción interna sin corresponderles otra situación, o cuando pasen a prestar servicios en entidades del sector público en régimen distinto al de funcionario de carrera","Solo el Consejo de Ministros puede crear nuevas situaciones administrativas","Solo pueden crearse nuevas situaciones mediante ley orgánica","2","El art. 85.2 del TREBEP habilita a las leyes de Función Pública para regular otras situaciones administrativas, entre otros supuestos, cuando por razones organizativas, de reestructuración interna o exceso de personal resulte una imposibilidad transitoria de asignar puesto de trabajo, o cuando los funcionarios accedan a otros cuerpos o escalas y no les corresponda quedar en otra situación, o cuando pasen a prestar servicios en entidades del sector público en régimen distinto al de funcionario de carrera. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a85"
"¿Quiénes se hallan en situación de servicio activo según el artículo 86.1 del TREBEP?","Únicamente quienes están destinados en su Administración de origen","Quienes presten servicios en su condición de funcionarios públicos, cualquiera que sea la Administración, Organismo o Entidad en la que se encuentren destinados y que no les corresponda quedar en otra situación","Únicamente los altos cargos de la Administración","Solo los funcionarios que hayan superado la evaluación del desempeño con calificación máxima","2","El art. 86.1 del TREBEP dispone: 'Los funcionarios de carrera se hallan en situación de servicio activo cuando presten servicios en su condición de funcionarios públicos, cualquiera que sea la Administración, Organismo o Entidad en la que se encuentren destinados y que no les corresponda quedar en otra situación'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a86"
"¿Cuál de los siguientes NO es, entre otros, un supuesto habitual de declaración de servicios especiales según la regulación del artículo 87 del TREBEP?","Ser autorizado para realizar una misión por periodo determinado superior a seis meses en organismos internacionales, gobiernos o entidades públicas extranjeras","Adquirir la condición de funcionario al servicio de organizaciones internacionales","Ser elegido para un cargo público que imposibilite el ejercicio de las funciones propias del puesto","Solicitar unas vacaciones anuales de treinta días naturales","4","El art. 87 del TREBEP regula la situación de servicios especiales para supuestos como la misión en organismos internacionales por más de seis meses, la condición de funcionario en organizaciones internacionales, la elección para cargos públicos incompatibles con el ejercicio de las funciones, entre otros. El disfrute de las vacaciones anuales no constituye, evidentemente, un supuesto de servicios especiales, sino una simple situación transitoria dentro del servicio activo. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a87"
"¿Qué ocurre con la reserva de la plaza y destino de los funcionarios declarados en situación de servicios especiales?","Pierden automáticamente su plaza sin ningún derecho de reserva","Conforme al art. 87 TREBEP, se les reserva la plaza y destino que ocupaban, computándoseles el tiempo en tal situación a efectos de ascensos, trienios y derechos pasivos, entre otros","Solo conservan el destino durante seis meses","Deben concursar de nuevo para recuperar cualquier destino","2","El art. 87 del TREBEP dispone, entre otros efectos, que a quienes se hallen en situación de servicios especiales se les reservará la plaza y destino que ocupaban, y el tiempo en dicha situación se les computará a efectos de ascensos, trienios y derechos en el régimen de Seguridad Social o clases pasivas que les sea aplicable. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a87"
"¿Cómo se computa a efectos de servicio activo el tiempo prestado en otra Administración Pública distinta de la de origen, según el artículo 88 del TREBEP?","No se computa en absoluto","Se les computará como de servicio activo en su cuerpo o escala de origen el tiempo que permanezcan en dicha situación","Solo se computa la mitad del tiempo prestado","Se computa únicamente a efectos de vacaciones, no de trienios ni ascensos","2","El art. 88 del TREBEP regula la situación de servicio en otras Administraciones Públicas, disponiendo que a los funcionarios de carrera que pasen a prestar servicios en otra Administración distinta 'se les computará el tiempo de servicios en la Administración pública en la que estén destinados... como de servicio activo en su cuerpo o escala de origen'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a88"
"¿Cuáles son las modalidades de excedencia de los funcionarios de carrera reguladas en el artículo 89 del TREBEP?","Únicamente la excedencia voluntaria por interés particular","Excedencia voluntaria por interés particular, por agrupación familiar, por cuidado de familiares, por razón de violencia de género o violencia sexual, y por razón de violencia terrorista","Excedencia forzosa y excedencia disciplinaria exclusivamente","Excedencia total y excedencia parcial, sin más subdivisión","2","El art. 89 del TREBEP regula, entre otras, las siguientes modalidades de excedencia: a) voluntaria por interés particular; b) voluntaria por agrupación familiar; c) por cuidado de familiares; d) por razón de violencia de género o de violencia sexual; y e) por razón de violencia terrorista. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a89"
"¿Cuántos años de servicios efectivos como mínimo se exigen, con carácter general, para poder obtener la excedencia voluntaria por interés particular, según el artículo 89.2 del TREBEP?","Dos años","Tres años","Cinco años","Diez años","3","El art. 89.2 del TREBEP dispone que la excedencia voluntaria por interés particular podrá obtenerse por los funcionarios de carrera que hayan prestado servicios efectivos en cualquiera de las Administraciones Públicas durante un periodo mínimo de cinco años inmediatamente anteriores. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a89"
"¿Exige la excedencia voluntaria por agrupación familiar un periodo mínimo de servicios previos, a diferencia de la excedencia por interés particular, según el artículo 89 del TREBEP?","Sí, exige exactamente el mismo periodo de cinco años","No, la excedencia voluntaria por agrupación familiar no exige ese requisito de antigüedad mínima","Exige un periodo de diez años, superior al de interés particular","Solo exige un mes de servicios previos","2","A diferencia de la excedencia voluntaria por interés particular (que exige cinco años de servicios efectivos previos), la excedencia voluntaria por agrupación familiar del art. 89 del TREBEP se concede al funcionario cuyo cónyuge resida en otra localidad por desempeñar un puesto de carácter definitivo, sin exigirse el requisito de antigüedad mínima en el servicio. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a89"
"¿Cuándo puede la Administración acordar la suspensión provisional de funciones de un funcionario, según el artículo 90 del TREBEP?","Nunca, la suspensión solo puede ser firme, nunca provisional","Como medida cautelar durante la tramitación de un procedimiento judicial o expediente disciplinario","Solo si el funcionario lo solicita voluntariamente","Únicamente al finalizar el expediente disciplinario, nunca durante su tramitación","2","El art. 90 del TREBEP regula la suspensión de funciones, que puede ser firme (por sentencia dictada en causa criminal o sanción disciplinaria) o provisional, pudiendo esta última acordarse durante la tramitación de un procedimiento judicial o expediente disciplinario, con carácter de medida cautelar. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a90"
