"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"En Gmail, ¿qué diferencia existe entre ""CC"" y ""CCO"" al enviar un mensaje?","Los destinatarios de CC pueden ver a los destinatarios de CCO, pero no al remitente principal.","Los destinatarios de CCO pueden recibir el mensaje sin que sus direcciones sean visibles para los demás destinatarios.","Los destinatarios de CC reciben el mensaje como copia privada y los de CCO como copia pública.","Los destinatarios de CCO solo pueden recibir mensajes cuando no existe ningún destinatario en el campo Para.","2","Los destinatarios incluidos en CCO reciben una copia del mensaje sin que sus direcciones sean visibles para los demás destinatarios."
"En Gmail, ¿qué ocurre normalmente cuando se selecciona ""Responder a todos"" en un mensaje recibido?","Se responde únicamente al remitente, sin incluir a ningún otro destinatario.","Se crea una respuesta dirigida al remitente y a los demás destinatarios incluidos en el mensaje, según corresponda.","Se reenvía el mensaje original a todos los contactos almacenados en la cuenta.","Se responde únicamente a los destinatarios incluidos en CCO del mensaje original.","2","Responder a todos permite enviar la respuesta al remitente y a los demás destinatarios pertinentes del mensaje original."
"En Gmail, ¿qué finalidad tiene principalmente la función ""Reenviar""?","Crear una nueva conversación eliminando el contenido del mensaje original.","Enviar el mensaje recibido a nuevos destinatarios, conservando normalmente su contenido.","Responder al remitente modificando únicamente el asunto del mensaje recibido.","Mover automáticamente el mensaje recibido a la carpeta de enviados.","2","La función Reenviar permite enviar el mensaje recibido a otros destinatarios, manteniendo normalmente el contenido del mensaje original."
"En Google Drive, ¿qué diferencia principal existe entre ""Mi unidad"" y ""Compartido conmigo""?","Mi unidad contiene archivos y carpetas gestionados desde la propia unidad del usuario, mientras que Compartido conmigo muestra elementos que otros usuarios han compartido con él.","Mi unidad contiene exclusivamente archivos creados por Google, mientras que Compartido conmigo contiene exclusivamente archivos descargados.","Mi unidad solo permite almacenar documentos de Google, mientras que Compartido conmigo solo permite almacenar archivos de Microsoft Office.","Mi unidad contiene archivos públicos y Compartido conmigo contiene únicamente archivos protegidos mediante contraseña.","1","Mi unidad es el espacio principal del usuario para organizar sus archivos y carpetas, mientras que Compartido conmigo permite acceder a elementos que otras personas han compartido con él."
"En Google Drive, ¿qué ocurre cuando un archivo se comparte con otro usuario otorgándole permiso de ""Lector""?","Puede consultar el archivo, pero no modificar normalmente su contenido.","Puede modificar el contenido y cambiar los permisos de todos los usuarios.","Puede modificar el contenido, pero no puede visualizarlo en línea.","Puede eliminar definitivamente el archivo aunque no sea su propietario.","1","El permiso de lector permite consultar el archivo, pero no modificar normalmente su contenido."
"En Google Drive, ¿qué permiso permite normalmente modificar el contenido de un archivo compartido?","Lector.","Comentador.","Editor.","Propietario externo.","3","El permiso de editor permite modificar el contenido del archivo compartido, dentro de las posibilidades establecidas por el propietario y la configuración de uso compartido."
"En Google Docs, ¿para qué sirve principalmente el modo ""Sugerencias""?","Para realizar cambios que se incorporan directamente al documento sin posibilidad de revisión.","Para proponer modificaciones que pueden ser revisadas y aceptadas o rechazadas posteriormente.","Para impedir que otros usuarios puedan visualizar el documento mientras se realizan cambios.","Para convertir automáticamente el documento en una hoja de cálculo.","2","El modo Sugerencias permite proponer cambios en un documento para que posteriormente puedan ser revisados y aceptados o rechazados."
"En Google Docs, ¿qué característica permite que varias personas trabajen simultáneamente sobre un mismo documento?","La edición colaborativa del documento compartido.","La conversión automática del documento a PDF.","La protección mediante contraseña del documento.","La descarga simultánea del documento en distintos formatos.","1","Google Docs permite la edición colaborativa de un mismo documento por varios usuarios cuando disponen de los permisos correspondientes."
"En Google Calendar, ¿qué diferencia básica existe entre un evento y una tarea?","Un evento representa una actividad programada en el calendario, mientras que una tarea representa una actividad pendiente que puede gestionarse como tal.","Un evento solo puede tener una fecha, mientras que una tarea siempre requiere una hora de inicio y otra de finalización.","Un evento solo puede compartirse con otros usuarios, mientras que una tarea nunca puede asociarse a una fecha.","Un evento se utiliza exclusivamente para reuniones presenciales, mientras que una tarea se utiliza exclusivamente para reuniones virtuales.","1","En Google Calendar, los eventos representan actividades programadas en el calendario, mientras que las tareas permiten gestionar actividades pendientes."
"En Google Calendar, ¿qué utilidad tiene añadir invitados a un evento?","Permite convocar a otras personas al evento y gestionar su participación desde el calendario.","Permite convertir automáticamente el evento en una tarea privada del organizador.","Impide que los invitados puedan consultar cualquier información del evento.","Permite modificar automáticamente todos los calendarios de los invitados sin necesidad de invitación.","1","Añadir invitados permite convocar a otras personas al evento y gestionar su asistencia o participación."
