Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Respuesta correcta,Explicación
⭐⭐⭐ ¿Qué modalidad de información permite el artículo 11.1 de la Ley Orgánica 3/2018 cuando los datos personales son obtenidos del propio afectado?,"Facilitar únicamente la información básica, indicando una dirección electrónica u otro medio que permita acceder de forma sencilla e inmediata a la restante información",La base jurídica del tratamiento y el deber de información al afectado en los términos del RGPD,La intervención del delegado de protección de datos antes de resolver reclamaciones,La corresponsabilidad del tratamiento mediante acuerdo que delimite funciones respectivas,1,El art. 11.1 de la Ley Orgánica 3/2018 dispone que el responsable podrá dar cumplimiento al deber de información del art. 13 del Reglamento (UE) 2016/679 'facilitando al afectado la información básica... e indicándole una dirección electrónica u otro medio que permita acceder de forma sencilla e inmediata a la restante información'. Esta es la denominada 'información por capas'. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a11
"¿Qué supuesto contempla específicamente el artículo 11.1 de la Ley Orgánica 3/2018 para permitir el cumplimiento del deber de información mediante información por capas?","Que los datos personales sean obtenidos del propio afectado, facilitándole la información básica e indicándole un medio que permita acceder de forma sencilla e inmediata a la restante información.","Que los datos personales sean obtenidos de cualquier fuente distinta del afectado y el responsable no pueda identificar el origen de los datos.","Que el tratamiento se base necesariamente en el consentimiento del afectado, con independencia de cómo hayan sido obtenidos los datos.","Que los datos pertenezcan a categorías especiales y el responsable haya designado un delegado de protección de datos.","1","El artículo 11.1 establece específicamente que, cuando los datos personales sean obtenidos del propio afectado, el responsable podrá cumplir el deber de información del artículo 13 del RGPD mediante la información por capas: información básica más una dirección electrónica u otro medio que permita acceder de forma sencilla e inmediata a la restante información."
"Conforme al artículo 11.1 de la Ley Orgánica 3/2018, cuando los datos personales se obtienen del propio afectado, ¿cómo puede el responsable del tratamiento cumplir el deber de información previsto en el artículo 13 del RGPD?","Facilitando al afectado la información básica e indicándole una dirección electrónica u otro medio que permita acceder de forma sencilla e inmediata a la restante información.","Facilitando únicamente la información básica, sin necesidad de proporcionar ningún medio que permita acceder a la restante información.","Facilitando toda la información exigida por el artículo 13 del RGPD en el mismo momento de la recogida, sin posibilidad de utilizar un sistema de información por capas.","Facilitando la información básica y remitiendo al afectado a una dirección electrónica, aunque el acceso a la restante información requiera realizar una solicitud posterior.","1","El artículo 11.1 permite cumplir el deber de información del artículo 13 del RGPD mediante la denominada información por capas: se facilita al afectado la información básica y se le indica una dirección electrónica u otro medio que permita acceder de forma sencilla e inmediata a la restante información."
¿Cuál de los siguientes elementos NO forma parte de la 'información básica' exigida por el artículo 11.2 de la Ley Orgánica 3/2018?,"La identidad del responsable del tratamiento y de su representante, en su caso",La base jurídica del tratamiento y el deber de información al afectado en los términos del RGPD,La posibilidad de ejercer los derechos establecidos en los artículos 15 a 22 del Reglamento (UE) 2016/679,El nombre completo de todos los empleados que tendrán acceso a los datos,4,"El art. 11.2 de la Ley Orgánica 3/2018 exige que la información básica contenga, al menos: a) la identidad del responsable y de su representante; b) la finalidad del tratamiento; y c) la posibilidad de ejercer los derechos de los arts. 15 a 22 del Reglamento europeo. No exige identificar nominalmente a cada empleado con acceso a los datos. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a11"
"Según el artículo 11.2 de la Ley Orgánica 3/2018, cuando los datos personales vayan a utilizarse para la elaboración de perfiles, ¿qué información adicional deberá facilitarse al afectado?","Que los datos serán objeto de elaboración de perfiles y, cuando proceda conforme al artículo 22 del Reglamento (UE) 2016/679, información sobre su derecho a oponerse a la adopción de decisiones individuales automatizadas que produzcan efectos jurídicos o le afecten significativamente de modo similar.","Únicamente que los datos podrán utilizarse para fines estadísticos o de investigación.","La identidad del delegado de protección de datos y el plazo de conservación de los perfiles generados.","La obligación de aceptar expresamente la elaboración de perfiles antes del inicio del tratamiento.","1","El segundo párrafo del artículo 11.2 de la LO 3/2018 exige informar de la elaboración de perfiles y, cuando exista ese derecho conforme al artículo 22 del RGPD, del derecho a oponerse a decisiones individuales automatizadas con efectos jurídicos o similares."
"¿Cuál de las siguientes afirmaciones reproduce correctamente el contenido del segundo párrafo del artículo 11.2 de la Ley Orgánica 3/2018 respecto de la elaboración de perfiles?","La información básica deberá indicar que los datos serán objeto de elaboración de perfiles y, cuando concurra el derecho previsto en el artículo 22 del Reglamento (UE) 2016/679, informar al afectado de su derecho a oponerse a la adopción de decisiones individuales automatizadas que produzcan efectos jurídicos sobre él o le afecten significativamente de modo similar.","La información básica deberá limitarse a indicar que los datos podrán utilizarse para la elaboración de perfiles, sin necesidad de informar sobre derechos específicos del afectado.","La elaboración de perfiles solo podrá realizarse previa autorización expresa del delegado de protección de datos.","La elaboración de perfiles exigirá siempre el consentimiento expreso del afectado, con independencia de la base jurídica del tratamiento.","1","El artículo 11.2 de la LO 3/2018 exige incluir esta información adicional en la información básica y remite al artículo 22 del RGPD respecto al derecho de oposición cuando proceda."
"Cuando los datos personales NO hayan sido obtenidos del propio afectado, ¿qué información adicional debe incluirse, según el artículo 11.3 de la Ley Orgánica 3/2018?",Ninguna información adicional distinta de la básica general,Las categorías de datos objeto de tratamiento y las fuentes de las que procedieran los datos,La base jurídica del tratamiento y el deber de información al afectado en los términos del RGPD,La intervención del delegado de protección de datos antes de resolver reclamaciones,2,"El art. 11.3 de la Ley Orgánica 3/2018 dispone que, cuando los datos no se hubieran obtenido del propio afectado, la información básica incluirá también: a) las categorías de datos objeto de tratamiento; y b) las fuentes de las que procedieran los datos. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a11"
"¿Pueden los derechos reconocidos en los artículos 15 a 22 del Reglamento (UE) 2016/679 ejercerse por medio de representante, según el artículo 12.1 de la Ley Orgánica 3/2018?","Sí, deberán ejercerse directamente o por medio de representante legal o voluntario","Sí, podrán ejercerse directamente o por medio de representante legal o voluntario",La base jurídica del tratamiento y el deber de información al afectado en los términos del RGPD,La intervención del delegado de protección de datos antes de resolver reclamaciones,2,"El art. 12.1 de la Ley Orgánica 3/2018 dispone: 'Los derechos reconocidos en los artículos 15 a 22 del Reglamento (UE) 2016/679, podrán ejercerse directamente o por medio de representante legal o voluntario'. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a12"
"¿Puede el responsable denegar el ejercicio de un derecho por el solo hecho de que el afectado haya optado por un medio distinto al ofrecido, según el artículo 12.2 de la Ley Orgánica 3/2018?","No, el ejercicio del derecho no deberá ser denegado por el solo motivo de optar el afectado por otro medio","No, el ejercicio del derecho no podrá ser denegado por el solo motivo de optar el afectado por otro medio",La base jurídica del tratamiento y el deber de información al afectado en los términos del RGPD,La intervención del delegado de protección de datos antes de resolver reclamaciones,2,El art. 12.2 de la Ley Orgánica 3/2018 dispone: 'Los medios deberán ser fácilmente accesibles para el afectado. El ejercicio del derecho no podrá ser denegado por el solo motivo de optar el afectado por otro medio'. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a12
"¿Puede el encargado del tratamiento tramitar, por cuenta del responsable, las solicitudes de ejercicio de derechos formuladas por los afectados, según el artículo 12.3 de la Ley Orgánica 3/2018?","Sí, si así se estableciere en el contrato o informe jurídico que vincule a responsable y encargado","Sí, si así se estableciere en el contrato o acto jurídico que vincule a responsable y encargado",La base jurídica del tratamiento y el deber de información al afectado en los términos del RGPD,La intervención del delegado de protección de datos antes de resolver reclamaciones,2,"El art. 12.3 de la Ley Orgánica 3/2018 dispone: 'El encargado podrá tramitar, por cuenta del responsable, las solicitudes de ejercicio formuladas por los afectados de sus derechos si así se estableciere en el contrato o acto jurídico que les vincule'. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a12"
"¿Sobre quién recae la prueba del cumplimiento del deber de responder a una solicitud de ejercicio de derechos, según el artículo 12.4 de la Ley Orgánica 3/2018?",Sobre el propio afectado que ejerce el derecho,Sobre el responsable del tratamiento,Sobre la Agencia Española de Protección de Datos,Sobre un perito judicial independiente,2,El art. 12.4 de la Ley Orgánica 3/2018 dispone: 'La prueba del cumplimiento del deber de responder a la solicitud de ejercicio de sus derechos formulado por el afectado recaerá sobre el responsable'. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a12
"¿Pueden los titulares de la patria potestad ejercer en nombre de los menores de catorce años los derechos de acceso, rectificación, cancelación u oposición, según el artículo 12.6 de la Ley Orgánica 3/2018?","Sí, en cualquier caso, los titulares de la patria potestad deberán ejercitarlos en nombre y representación de los menores de catorce años","Sí, en cualquier caso, los titulares de la patria potestad podrán ejercitarlos en nombre y representación de los menores de catorce años",La base jurídica del tratamiento y el deber de información al afectado en los términos del RGPD,La intervención del delegado de protección de datos antes de resolver reclamaciones,2,"El art. 12.6 de la Ley Orgánica 3/2018 dispone: 'En cualquier caso, los titulares de la patria potestad podrán ejercitar en nombre y representación de los menores de catorce años los derechos de acceso, rectificación, cancelación, oposición o cualesquiera otros que pudieran corresponderles'. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a12"
"¿Son de pago las actuaciones del responsable para atender las solicitudes de ejercicio de derechos, según el artículo 12.7 de la Ley Orgánica 3/2018?","Serán gratuitas, sin perjuicio de lo dispuesto en los artículos 14.5 y 15.3 del Reglamento (UE) 2016/679 y en los apartados 3 y 4 del artículo 13 de la Ley Orgánica 3/2018","Serán gratuitas, sin perjuicio de lo dispuesto en los artículos 12.5 y 15.3 del Reglamento (UE) 2016/679 y en los apartados 3 y 4 del artículo 13 de la Ley Orgánica 3/2018","Serán gratuitas, sin perjuicio de lo dispuesto en los artículos 13.5 y 15.3 del Reglamento (UE) 2016/679 y en los apartados 3 y 4 del artículo 13 de la Ley Orgánica 3/2018","Serán gratuitas, sin perjuicio de lo dispuesto en los artículos 11.5 y 15.3 del Reglamento (UE) 2016/679 y en los apartados 3 y 4 del artículo 13 de la Ley Orgánica 3/2018",2,"El art. 12.7 de la Ley Orgánica 3/2018 dispone: 'Serán gratuitas las actuaciones llevadas a cabo por el responsable del tratamiento para atender las solicitudes de ejercicio de estos derechos', sin perjuicio de las excepciones relativas a solicitudes manifiestamente infundadas o excesivas del reglamento europeo, y a los supuestos de ejercicio repetitivo o de elección de un medio de coste desproporcionado del art. 13. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a12"
