"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Numero respuesta correcta","Explicación"
"⭐⭐⭐ ¿Quién tiene la condición de órgano de contratación de la Universidad Carlos III de Madrid conforme a sus Estatutos?","El Rector","El Gerente","El Consejo de Gobierno","El Consejo Social","1","El artículo 175 de los Estatutos atribuye al Rector la condición de órgano de contratación de la Universidad y le faculta para suscribir, en nombre y representación de esta, los contratos en que intervenga. Los demás órganos no tienen atribuida con carácter general esa condición."

"¿Qué facultad atribuyen expresamente los Estatutos al Rector además de su condición de órgano de contratación?","Suscribir, en nombre y representación de la Universidad, los contratos en que esta intervenga","Aprobar definitivamente todos los presupuestos de la Universidad","Nombrar a todos los miembros del Consejo Social","Aprobar las modificaciones de cualquier contrato sin limitación","1","El artículo 175 atribuye al Rector la facultad de suscribir, en nombre y representación de la Universidad, los contratos en que esta intervenga. Las restantes funciones no se desprenden de ese precepto. :contentReference[oaicite:4]{index=4}"
"¿Qué regla establece el Presupuesto 2026 de la UC3M respecto del procedimiento abierto?","Puede utilizarse en cualquier supuesto de contratación, con independencia de su importe o condiciones","Solo puede utilizarse cuando el contrato supere los umbrales de regulación armonizada","Solo puede utilizarse cuando previamente haya fracasado un procedimiento restringido","Solo puede utilizarse para contratos de obras","1","El apartado 21.3.1 de las Normas de ejecución establece que se puede acudir al procedimiento abierto en cualquier supuesto de contratación con independencia de su importe o condiciones. :contentReference[oaicite:5]{index=5}"
"¿Cuándo es obligatorio el procedimiento abierto según las Normas de ejecución del Presupuesto 2026 de la UC3M?","Cuando no pueda acudirse a la contratación menor, al procedimiento negociado o a la Central de Contratación del Estado","Cuando el contrato supere siempre 15.000 euros","Cuando exista financiación europea","Cuando lo solicite el Servicio Jurídico","1","El apartado 21.3.1 establece que el procedimiento abierto será obligatorio cuando no pueda acudirse a la contratación menor, al procedimiento negociado o a la Central de Contratación del Estado. :contentReference[oaicite:6]{index=6}"
"¿Qué debe enviarse a la DEF-Contratación para iniciar un procedimiento abierto en la UC3M?","Una propuesta de contratación por procedimiento abierto, acompañada de un borrador del Pliego Técnico y de los informes justificativos necesarios","Únicamente una propuesta económica","El contrato ya formalizado y la factura","Una propuesta de contratación negociada y un certificado de exclusividad","1","El apartado 21.3.2 exige enviar a la DEF-Contratación una «Propuesta de contratación por procedimiento abierto», acompañada de un borrador del Pliego Técnico y de los informes justificativos necesarios, incluido el informe justificativo de la contratación. :contentReference[oaicite:7]{index=7}"
"Una vez recibida la propuesta de contratación por procedimiento abierto, ¿qué actuación realiza la DEF-Contratación según las Normas de ejecución 2026?","Consulta con el peticionario las circunstancias particulares de cada contratación","Selecciona directamente al adjudicatario","Solicita obligatoriamente tres ofertas","Remite directamente el expediente al Consejo Social","1","El apartado 21.3.2 dispone que la DEF-Contratación consultará con el peticionario las circunstancias particulares de cada contratación. :contentReference[oaicite:8]{index=8}"
"En la UC3M, ¿dónde se publican la licitación, adjudicación y formalización de los contratos tramitados mediante procedimiento abierto?","En el Perfil de contratante de la Universidad, con independencia de su importe","Únicamente en el BOE","Solo en el Diario Oficial de la Unión Europea","Exclusivamente en la Sede Electrónica","1","El apartado 21.3.2 establece que, en todos los casos y con independencia del importe, la licitación, adjudicación y formalización de estos contratos se publicarán en el Perfil de contratante de la Universidad. :contentReference[oaicite:9]{index=9}"
"En un contrato de la UC3M sujeto a regulación armonizada tramitado mediante procedimiento abierto, ¿qué publicidad adicional se establece?","La licitación y la formalización se publicarán también en el Diario Oficial de la Unión Europea","Solo la adjudicación se publicará en el Diario Oficial de la Unión Europea","Únicamente la licitación se publicará en el BOE","La adjudicación y todas las ofertas se publicarán en el Diario Oficial de la Unión Europea","1","Las Normas de ejecución 2026 establecen que, en contratos sujetos a regulación armonizada, se publicará la licitación en el DOUE, así como su formalización. :contentReference[oaicite:10]{index=10}"
"¿Cuál es el supuesto habitual de utilización del procedimiento negociado sin publicidad en la UC3M según las Normas de ejecución 2026?","La exclusividad, cuando por razones de derechos de exclusiva solo pueda encomendarse la ejecución del contrato a una empresa determinada","La existencia de una oferta económicamente más baja","La contratación de cualquier suministro inferior a 15.000 euros","La existencia de financiación procedente de la Comunidad de Madrid","1","El apartado 21.2.1 señala expresamente que el supuesto habitual para acudir al procedimiento negociado sin publicidad es la exclusividad, cuando por razones de derechos de exclusiva solo pueda encomendarse la ejecución del contrato a una empresa determinada. :contentReference[oaicite:11]{index=11}"
