"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Numero respuesta correcta","Explicación"
"¿A quién corresponde la representación de las entidades del sector público en materia contractual conforme al artículo 61 de la LCSP?","A los órganos de contratación, unipersonales o colegiados, que tengan atribuida la facultad de celebrar contratos en nombre de la entidad","Al responsable del contrato designado para cada expediente","A la mesa de contratación, con independencia de la atribución legal de competencias","Al órgano que ejerza las funciones de control económico-presupuestario","1","El artículo 61.1 atribuye la representación de las entidades del sector público en materia contractual a los órganos de contratación, unipersonales o colegiados, que tengan atribuida por norma legal, reglamentaria o disposición estatutaria la facultad de celebrar contratos en su nombre. :contentReference[oaicite:3]{index=3}"
"¿De qué forma pueden atribuirse las competencias para celebrar contratos a un órgano de contratación?","Mediante norma legal o reglamentaria o disposición estatutaria","Exclusivamente mediante una resolución del órgano de contratación anterior","Únicamente mediante los pliegos de cláusulas administrativas particulares","Mediante acuerdo de la mesa de contratación","1","El artículo 61.1 señala que la facultad de celebrar contratos debe estar atribuida por norma legal o reglamentaria o por disposición estatutaria. :contentReference[oaicite:4]{index=4}"
"¿Pueden los órganos de contratación delegar o desconcentrar sus competencias y facultades en materia contractual?","Sí, con cumplimiento de las normas y formalidades aplicables en cada caso","No, porque las competencias contractuales son siempre indelegables","Sí, pero únicamente respecto de contratos menores","Solo cuando la delegación sea aprobada por la mesa de contratación","1","El artículo 61.2 permite delegar o desconcentrar las competencias y facultades en materia contractual, respetando las normas y formalidades aplicables. :contentReference[oaicite:5]{index=5}"
"Cuando el órgano de contratación es un órgano administrativo, ¿qué debe respetarse para delegar o desconcentrar sus competencias?","Las normas y formalidades aplicables a la delegación o desconcentración de competencias","Las normas internas establecidas exclusivamente por el contratista","Únicamente las reglas de publicidad del perfil de contratante","Las reglas aplicables a los poderes de las fundaciones privadas","1","El artículo 61.2 diferencia entre órganos administrativos y órganos societarios o de fundaciones: para los primeros se aplican las normas y formalidades de la delegación o desconcentración de competencias. :contentReference[oaicite:6]{index=6}"
"⭐⭐⭐ Cuando el órgano de contratación pertenece a una sociedad o a una fundación, ¿qué instrumento se contempla para atribuir estas facultades?","El otorgamiento de poderes","La desconcentración administrativa","La delegación de competencias administrativa en todo caso","La autorización de la mesa de contratación","1","El artículo 61.2 establece que, cuando se trate de órganos societarios o de una fundación, la atribución se realiza mediante el otorgamiento de poderes."
"👑 Conforme al artículo 61.2 de la Ley 9/2017, de Contratos del Sector Público, ¿cuál de las siguientes afirmaciones es correcta respecto de la delegación o desconcentración de las competencias y facultades de los órganos de contratación?","Cuando el órgano de contratación sea administrativo, podrá delegar o desconcentrar sus competencias y facultades conforme a las normas y formalidades aplicables a dichas figuras; cuando se trate de un órgano societario o de una fundación, la atribución se realizará mediante el otorgamiento de poderes.","Cuando el órgano de contratación sea administrativo, la atribución de facultades solo podrá realizarse mediante desconcentración; cuando sea societario o de una fundación, deberá realizarse mediante delegación de competencias.","Tanto los órganos administrativos como los societarios y los de una fundación deberán utilizar la delegación de competencias, aunque estos últimos podrán sustituirla por el otorgamiento de poderes cuando así lo autorice la mesa de contratación.","Los órganos administrativos deberán utilizar el otorgamiento de poderes, mientras que los órganos societarios y de una fundación podrán optar indistintamente entre delegación, desconcentración y otorgamiento de poderes.","1","El artículo 61.2 de la Ley 9/2017 distingue según la naturaleza del órgano de contratación. Cuando se trate de órganos administrativos, podrán delegar o desconcentrar sus competencias y facultades con cumplimiento de las normas y formalidades aplicables a la delegación o desconcentración. Cuando se trate de órganos societarios o de una fundación, la atribución se realizará mediante el otorgamiento de poderes."
"¿Qué diferencia establece la LCSP entre el órgano de contratación y el responsable del contrato?","El órgano de contratación tiene atribuida la competencia para contratar, mientras que el responsable supervisa la ejecución del contrato","El órgano de contratación supervisa exclusivamente la ejecución y el responsable adjudica el contrato","Ambos ejercen exactamente las mismas funciones","El responsable del contrato sustituye siempre al órgano de contratación durante la ejecución","1","El artículo 61 regula la competencia para contratar, mientras que el artículo 62 atribuye al responsable del contrato funciones de supervisión de la ejecución y adopción de decisiones e instrucciones dentro de las facultades que le hayan sido atribuidas. :contentReference[oaicite:8]{index=8}"
"¿Quién debe designar al responsable del contrato?","El órgano de contratación","La mesa de contratación","El contratista adjudicatario","El órgano de control económico-presupuestario","1","El artículo 62.1 establece que los órganos de contratación deberán designar un responsable del contrato. :contentReference[oaicite:9]{index=9}"
"¿Puede el responsable del contrato ser una persona ajena a la entidad contratante?","Sí, puede ser una persona física o jurídica vinculada a la entidad contratante o ajena a ella","No, necesariamente debe ser personal funcionario de la entidad contratante","Sí, pero únicamente cuando se trate de una concesión de servicios","No, salvo que el contrato sea privado","1","El artículo 62.1 permite expresamente que el responsable sea una persona física o jurídica, vinculada a la entidad contratante o ajena a ella. :contentReference[oaicite:10]{index=10}"
"¿Cuál es la función esencial del responsable del contrato?","Supervisar la ejecución del contrato y adoptar las decisiones e instrucciones necesarias para asegurar la correcta realización de la prestación","Adjudicar el contrato al licitador que presente la mejor oferta","Aprobar el expediente de contratación y disponer la apertura de la licitación","Resolver los recursos especiales en materia de contratación","1","El artículo 62.1 atribuye al responsable la supervisión de la ejecución y la adopción de las decisiones e instrucciones necesarias para asegurar la correcta realización de la prestación, dentro de las facultades atribuidas. :contentReference[oaicite:11]{index=11}"
