"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"En Excel 2019, ¿qué elemento constituye la intersección entre una fila y una columna de una hoja de cálculo?","Una celda","Un rango","Un libro","Una fórmula","1","Una celda es la intersección de una fila y una columna. Cada celda se identifica mediante una referencia formada normalmente por la letra de la columna y el número de la fila, como A1."
"En Excel 2019, ¿qué se entiende por rango de celdas?","Un conjunto de una o varias celdas que puede utilizarse conjuntamente en operaciones y fórmulas","El conjunto formado exclusivamente por todas las celdas de una fila","Una hoja de cálculo completa que contiene varias filas y columnas","Un conjunto de fórmulas que utilizan necesariamente las mismas referencias","1","Un rango es un conjunto de celdas que puede seleccionarse y utilizarse conjuntamente en operaciones, funciones, formato y otras acciones. Puede representarse, por ejemplo, como A1:C5."
"En Excel 2019, ¿qué diferencia existe entre un libro y una hoja de cálculo?","El libro es el archivo que puede contener varias hojas de cálculo, mientras que cada hoja constituye una cuadrícula independiente de filas y columnas","La hoja de cálculo contiene varios libros y el libro solo puede contener una hoja","El libro contiene únicamente fórmulas y la hoja de cálculo únicamente datos","Ambos conceptos designan exactamente el mismo elemento y solo cambia su denominación según la vista utilizada","1","Un libro de Excel es el archivo que puede contener una o varias hojas de cálculo. Cada hoja presenta su propia cuadrícula de filas y columnas para introducir y trabajar con datos."
"En Excel 2019, ¿cómo se identifica normalmente una celda situada en la columna C y la fila 7?","C7","7C","C-7","F7C","1","En el estilo de referencia A1 utilizado habitualmente por Excel, las columnas se identifican mediante letras y las filas mediante números. Por ello, la celda situada en la columna C y fila 7 se referencia como C7."
"En Excel 2019, ¿qué característica distingue a una fórmula de un valor introducido directamente en una celda?","Una fórmula realiza un cálculo o determina un resultado a partir de valores, referencias, operadores o funciones y comienza normalmente por el signo igual","Una fórmula solo puede contener números y nunca puede utilizar referencias a otras celdas","Una fórmula es siempre un texto que Excel muestra literalmente sin efectuar ningún cálculo","Una fórmula solo puede utilizar funciones incorporadas y no admite operadores matemáticos","1","Las fórmulas de Excel comienzan normalmente por el signo igual y pueden utilizar constantes, referencias a celdas, operadores y funciones para obtener un resultado calculado."
"En Excel 2019, si en una celda se introduce la fórmula =A1+B1, ¿qué ocurre si cambia el valor de A1 o de B1?","El resultado de la fórmula se recalcula utilizando los nuevos valores","El resultado permanece invariable hasta que se vuelva a escribir manualmente la fórmula","La fórmula se convierte automáticamente en un valor fijo","Excel elimina la fórmula y conserva únicamente el último resultado obtenido","1","Las fórmulas de Excel se recalculan cuando cambian los valores de las celdas de las que dependen, por lo que el resultado de =A1+B1 se actualiza al modificarse A1 o B1."
"En Excel 2019, ¿qué tipo de referencia es A1 cuando se utiliza en una fórmula y se copia a otra celda?","Referencia relativa","Referencia absoluta","Referencia mixta con fila absoluta","Referencia mixta con columna absoluta","1","A1 es una referencia relativa. Al copiar o rellenar la fórmula en otra posición, la referencia se ajusta en función del desplazamiento de la fórmula."
"En Excel 2019, ¿qué característica tiene la referencia absoluta $A$1 cuando una fórmula que la contiene se copia a otra celda?","Mantiene la referencia a la celda A1 sin ajustarse a la nueva posición de la fórmula","Mantiene fija únicamente la columna A, pero modifica la fila según la posición de destino","Mantiene fija únicamente la fila 1, pero modifica la columna según la posición de destino","Se transforma automáticamente en una referencia relativa al copiar la fórmula","1","Una referencia absoluta como $A$1 mantiene fija tanto la columna como la fila. Por ello, al copiar una fórmula que la contiene, la referencia sigue apuntando a A1."
"En Excel 2019, ¿qué expresa una referencia mixta como $A1?","La columna A permanece fija y la fila puede cambiar al copiar la fórmula","La fila 1 permanece fija y la columna puede cambiar al copiar la fórmula","Tanto la columna A como la fila 1 permanecen fijas al copiar la fórmula","Ni la columna ni la fila pueden cambiar al copiar la fórmula","1","En la referencia mixta $A1, el signo $ fija la columna A, mientras que la fila 1 permanece relativa y puede ajustarse al copiar o rellenar la fórmula."
"En Excel 2019, ¿qué función cumple el operador de multiplicación (*) dentro de una fórmula?","Realizar una multiplicación entre los valores o expresiones situados a ambos lados del operador","Indicar que la celda situada a continuación debe utilizar una referencia absoluta","Separar los argumentos de una función","Indicar el inicio de una fórmula que contiene una referencia a otra hoja","1","El asterisco (*) es el operador aritmético de multiplicación en Excel. Por ejemplo, =A1*B1 multiplica los valores contenidos en A1 y B1."
"En Excel 2019, ¿qué resultado devuelve la función SUMA cuando se aplica al rango A1:A5?","La suma de los valores contenidos en las celdas A1 a A5","El número de celdas no vacías comprendidas entre A1 y A5","El promedio de los valores contenidos en las celdas A1 a A5","El valor máximo de los contenidos en las celdas A1 a A5","1","La función SUMA agrega los valores de las celdas o rangos especificados. Por tanto, SUMA(A1:A5) devuelve la suma de los valores contenidos en ese rango."
"En Excel 2019, ¿qué calcula la función PROMEDIO cuando se aplica a un conjunto de valores numéricos?","La media aritmética de los valores especificados","La suma de los valores especificados dividida por el número total de celdas del libro","El valor central de los valores ordenados de menor a mayor","La diferencia entre el valor máximo y el valor mínimo del conjunto","1","La función PROMEDIO calcula la media aritmética de los argumentos numéricos que se le proporcionan."
"En Excel 2019, una hoja contiene en A1:A4 los valores 12, 8, 25 y 17. ¿Qué resultado devuelve la fórmula =MAX(A1:A4)?","25","17","15,5","4","1","La función MAX devuelve el mayor valor de los argumentos indicados. En el rango A1:A4, el valor máximo es 25."
"En Excel 2019, una hoja contiene en A1:A4 los valores 12, 8, 25 y 17. ¿Qué resultado devuelve la fórmula =MIN(A1:A4)?","8","12","15,5","4","1","La función MIN devuelve el menor valor de los argumentos indicados. En el rango A1:A4, el valor mínimo es 8."
"En Excel 2019, ¿qué diferencia fundamental existe entre las funciones CONTAR y CONTARA?","CONTAR cuenta las celdas que contienen números, mientras que CONTARA cuenta las celdas que no están vacías","CONTAR cuenta todas las celdas no vacías, mientras que CONTARA cuenta exclusivamente las que contienen números","CONTAR cuenta únicamente valores de texto, mientras que CONTARA cuenta exclusivamente valores numéricos","CONTAR cuenta las celdas con fórmulas, mientras que CONTARA cuenta únicamente las celdas introducidas manualmente","1","CONTAR cuenta las celdas de un rango que contienen números, mientras que CONTARA cuenta las celdas que no están vacías, con independencia de que contengan números, texto u otros valores."
"En Excel 2019, una hoja contiene los valores 15, «Madrid», una celda vacía y la fórmula =10+5 en cuatro celdas distintas. ¿Qué resultado produce =CONTAR(A1:A4) si esos cuatro contenidos ocupan A1:A4?","2","3","4","1","1","CONTAR contabiliza las celdas que contienen números. En este caso cuentan 15 y el resultado numérico de la fórmula =10+5, mientras que el texto y la celda vacía no se contabilizan."
"En Excel 2019, ¿qué operación se realiza primero en una fórmula que contiene =A1+B1*C1?","La multiplicación de B1 por C1","La suma de A1 y B1","La suma de B1 y C1","Las operaciones se realizan siempre de izquierda a derecha, sin prioridad entre operadores","1","Excel aplica la prioridad de los operadores matemáticos: la multiplicación se realiza antes que la suma. Por ello, en =A1+B1*C1 se calcula primero B1*C1 y después se suma el resultado a A1."
"En Excel 2019, ¿qué efecto tiene utilizar paréntesis en una fórmula como =(A1+B1)*C1?","Hace que primero se calcule A1+B1 y que el resultado se multiplique después por C1","Hace que primero se calcule B1*C1 y que el resultado se sume después a A1","Impide que Excel aplique la prioridad normal de los operadores y devuelve siempre el valor de C1","Convierte las referencias A1, B1 y C1 en referencias absolutas antes de efectuar el cálculo","1","Los paréntesis permiten modificar el orden de evaluación de una fórmula. En =(A1+B1)*C1 se calcula primero A1+B1 y posteriormente se multiplica el resultado por C1."
"En Excel 2019, si una fórmula contiene =A1+B1 y se copia una fila hacia abajo, ¿cómo se ajustan normalmente sus referencias?","Pasan a referirse a A2 y B2","Pasan a referirse a A1 y B1 porque las referencias se mantienen fijas al copiar","Pasan a referirse a A1 y B2 porque solo se modifica la última referencia","Se convierten automáticamente en referencias absolutas para conservar el resultado original","1","A1 y B1 son referencias relativas. Al copiar la fórmula una fila hacia abajo, Excel ajusta las referencias al nuevo emplazamiento, convirtiéndolas en A2 y B2."
"En Excel 2019, si la celda A1 contiene el valor 10 y B1 contiene la fórmula =A1*2, ¿qué ocurre con B1 si posteriormente se modifica A1 a 15?","B1 pasa a mostrar 30 como resultado del recálculo de la fórmula","B1 mantiene el valor 20 hasta que se vuelva a introducir la fórmula","B1 pasa a mostrar 15 porque adopta directamente el nuevo valor de A1","B1 queda vacío porque la modificación de A1 elimina las fórmulas dependientes","1","La fórmula de B1 depende del valor de A1. Al modificarse A1 de 10 a 15, Excel recalcula =A1*2 y B1 pasa a mostrar 30."
"En Excel 2019, ¿qué finalidad tiene la función SI?","Comprobar una condición y devolver un valor si es verdadera y otro si es falsa","Comprobar simultáneamente todos los criterios de un rango y sumar los valores que los cumplen","Contar automáticamente las celdas que contienen un determinado texto","Buscar un valor en la primera columna de un rango y devolver un dato asociado","1","La función SI permite realizar una comparación lógica y devolver un resultado cuando la condición es verdadera y otro cuando es falsa. Su sintaxis básica es SI(prueba_lógica; valor_si_verdadero; [valor_si_falso])."
"En Excel 2019, si A1 contiene 75, ¿qué resultado devuelve la fórmula =SI(A1>=50;""Aprobado"";""No aprobado"")?","Aprobado","No aprobado","VERDADERO","75","1","La condición A1>=50 es verdadera porque A1 contiene 75. Por tanto, la función SI devuelve el segundo argumento, «Aprobado»."
"En Excel 2019, ¿qué función debe utilizarse dentro de SI cuando se requiere que se cumplan simultáneamente dos condiciones?","Y","O","NO","CONTAR.SI","1","La función Y devuelve VERDADERO cuando todas las condiciones especificadas son verdaderas. Puede combinarse con SI para exigir que se cumplan simultáneamente varios requisitos."
"En Excel 2019, ¿qué función debe utilizarse dentro de SI cuando basta con que se cumpla al menos una de varias condiciones?","O","Y","NO","CONTAR.SI.CONJUNTO","1","La función O devuelve VERDADERO cuando al menos uno de los argumentos lógicos es verdadero. Puede combinarse con SI para establecer alternativas."
"En Excel 2019, ¿qué resultado devuelve la función Y si una de las condiciones que recibe como argumentos es FALSA?","FALSO","VERDADERO","El valor de la primera condición","El valor de la última condición","1","La función Y devuelve VERDADERO únicamente cuando todas sus condiciones son verdaderas. Si al menos una es FALSA, el resultado es FALSO."
"En Excel 2019, ¿qué finalidad tiene la función CONTAR.SI?","Contar las celdas de un rango que cumplen un criterio determinado","Contar todas las celdas no vacías de un rango, con independencia de su contenido","Sumar los valores de un rango que cumplen un criterio determinado","Comprobar simultáneamente varios criterios y devolver el número de filas que los cumplen","1","CONTAR.SI cuenta el número de celdas de un rango que cumplen un criterio. Su sintaxis es CONTAR.SI(rango; criterios)."
"En Excel 2019, un rango B2:B6 contiene los valores 12, 25, 31, 18 y 40. ¿Qué resultado devuelve =CONTAR.SI(B2:B6;"">20"")?","3","2","4","5","1","Los valores superiores a 20 son 25, 31 y 40. Por tanto, CONTAR.SI devuelve 3."
"En Excel 2019, ¿qué diferencia fundamental existe entre CONTAR.SI y CONTAR.SI.CONJUNTO?","CONTAR.SI utiliza un criterio, mientras que CONTAR.SI.CONJUNTO permite aplicar varios criterios","CONTAR.SI utiliza varios criterios, mientras que CONTAR.SI.CONJUNTO solo puede utilizar uno","CONTAR.SI suma valores según un criterio, mientras que CONTAR.SI.CONJUNTO calcula su promedio","CONTAR.SI solo admite criterios numéricos, mientras que CONTAR.SI.CONJUNTO solo admite criterios de texto","1","CONTAR.SI permite contar celdas que cumplen un criterio, mientras que CONTAR.SI.CONJUNTO permite aplicar criterios a varios rangos y contar las filas o celdas que cumplen todos ellos."
"En Excel 2019, ¿para qué sirve SUMAR.SI?","Para sumar los valores de un rango que cumplen un criterio determinado","Para contar las celdas de un rango que cumplen un criterio determinado","Para sumar únicamente las celdas que contienen fórmulas","Para calcular el promedio de los valores que cumplen simultáneamente varios criterios","1","SUMAR.SI suma los valores de un rango que cumplen el criterio especificado. Puede evaluar un rango y sumar los valores correspondientes de otro rango."
"En Excel 2019, ¿qué función resulta adecuada para sumar valores que deben cumplir simultáneamente varios criterios?","SUMAR.SI.CONJUNTO","SUMAR.SI","CONTAR.SI.CONJUNTO","SI.CONJUNTO","1","SUMAR.SI.CONJUNTO permite sumar los valores de un rango cuando se cumplen varios criterios aplicados a uno o varios rangos de criterios."
"En Excel 2019, ¿cómo debe escribirse una referencia a la celda A1 de la Hoja2 desde otra hoja del mismo libro cuando el nombre de la hoja no contiene espacios?","Hoja2!A1","Hoja2.A1","A1!Hoja2","Hoja2:A1","1","Una referencia a una celda de otra hoja del mismo libro se expresa mediante el nombre de la hoja seguido de un signo de exclamación y la referencia de la celda, por ejemplo Hoja2!A1."
"En Excel 2019, si el nombre de una hoja contiene espacios, ¿cómo debe escribirse una referencia a la celda A1 de esa hoja?","'Datos enero'!A1","Datos enero!A1","'Datos enero'.A1","Datos enero:A1","1","Cuando el nombre de la hoja contiene espacios, Excel lo escribe entre comillas simples, seguido del signo de exclamación y de la referencia de la celda: 'Datos enero'!A1."
"En Excel 2019, ¿qué función permite obtener el número correspondiente al día de una fecha contenida en una celda?","DIA","FECHA","MES","AÑO","1","La función DIA devuelve el día de una fecha representada como número de serie. Por ejemplo, si A1 contiene una fecha, DIA(A1) devuelve el número correspondiente al día."
"En Excel 2019, ¿qué función permite obtener el mes correspondiente a una fecha contenida en una celda?","MES","DIA","FECHA","AÑO","1","La función MES devuelve el mes de una fecha representada como número de serie, expresándolo como un número entre 1 y 12."
