Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Respuesta correcta,Explicación
"¿Cuál es el objeto de la Ley 10/2019, de 10 de abril, de Transparencia y de Participación de la Comunidad de Madrid, según su artículo 1?","Regular, en el ámbito de la Comunidad de Madrid, la transparencia en su doble vertiente de confidencialidad activa y de derecho de acceso a la información pública, y la participación y colaboración ciudadana en los asuntos públicos","Regular, en el ámbito de la Comunidad de Madrid, la transparencia en su doble vertiente de publicidad activa y de derecho de acceso a la información pública, y la participación y colaboración ciudadana en los asuntos públicos",La inadmisión motivada por concurrir una causa legal aplicable al derecho de acceso,La ponderación entre transparencia y protección de datos personales de terceros,2,"El art. 1 de la Ley 10/2019 dispone: 'La presente Ley tiene por objeto la regulación, en el ámbito de la Comunidad de Madrid, de la transparencia en su doble vertiente de publicidad activa y de derecho de acceso a la información pública y la participación y colaboración ciudadana en los asuntos públicos'. https://www.boe.es/buscar/act.php?id=BOE-A-2019-10102#a1"
¿Cuál de las siguientes entidades NO está incluida en el ámbito de aplicación del artículo 2.1 de la Ley 10/2019?,La Administración pública de la Comunidad de Madrid,Los organismos autónomos y empresas públicas de la Comunidad de Madrid,Las fundaciones públicas y consorcios que se integren en el sector público de la Comunidad de Madrid,Cualquier empresa privada sin vinculación ni subvención pública alguna,4,"El art. 2.1 de la Ley 10/2019 incluye a la Administración pública de la Comunidad de Madrid, sus organismos autónomos y empresas públicas, fundaciones públicas y consorcios de su sector público, asociaciones constituidas por estas entidades, y determinadas empresas públicas con posición dominante. Una empresa privada sin vinculación ni subvención pública queda, en principio, fuera de este ámbito (sin perjuicio de lo previsto en los arts. 3 y 4). https://www.boe.es/buscar/act.php?id=BOE-A-2019-10102#a2"
"¿Se aplican las disposiciones de la Ley 10/2019 a las universidades públicas de la Comunidad de Madrid, según su artículo 2.2?","No, quedan completamente excluidas","Sí, en los términos establecidos en la disposición adicional octava",La inadmisión motivada por concurrir una causa legal aplicable al derecho de acceso,La ponderación entre transparencia y protección de datos personales de terceros,2,"El art. 2.2 de la Ley 10/2019 dispone: 'Serán también de aplicación las disposiciones de la presente Ley a las universidades públicas y a los organismos o entidades vinculadas o dependientes de ellas, en los términos establecidos en la disposición adicional octava'. https://www.boe.es/buscar/act.php?id=BOE-A-2019-10102#a2"
"¿A qué entidades sindicales y empresariales se aplican en todo caso las exigencias específicas de publicidad del Título II, según el artículo 3.1.a) de la Ley 10/2019?",La inadmisión motivada por concurrir una causa legal aplicable al derecho de acceso,"A los partidos políticos, organizaciones sindicales y organizaciones empresariales, en todo caso",La ponderación entre transparencia y protección de datos personales de terceros,"A ninguna entidad privada, estén o no subvencionadas",2,"El art. 3.1.a) de la Ley 10/2019 dispone que 'los partidos políticos, organizaciones sindicales y organizaciones empresariales' están sujetos a estas exigencias 'en todo caso', a diferencia de otras entidades privadas que solo lo están si superan determinados umbrales de subvención (art. 3.1.b). https://www.boe.es/buscar/act.php?id=BOE-A-2019-10102#a3"
¿A partir de qué cuantía de subvención anual quedan sujetas las entidades privadas a las exigencias específicas de publicidad del artículo 3.1.b) de la Ley 10/2019?,"Cuando superen los 60.000 euros, o representen al menos el 30% de sus ingresos anuales siempre que alcancen como mínimo 5.000 euros","Cuando superen los 61.000 euros, o representen al menos el 30% de sus ingresos anuales siempre que alcancen como mínimo 5.000 euros","Cuando superen los 62.000 euros, o representen al menos el 30% de sus ingresos anuales siempre que alcancen como mínimo 5.000 euros","Cuando superen los 59.000 euros, o representen al menos el 30% de sus ingresos anuales siempre que alcancen como mínimo 5.000 euros",1,"El art. 3.1.b) de la Ley 10/2019 fija el umbral en 'una cuantía superior [a] 60.000 euros o cuando las ayudas o subvenciones percibidas representen al menos el 30% del total de sus ingresos anuales, siempre que alcancen como mínimo la cantidad de 5.000 euros'. https://www.boe.es/buscar/act.php?id=BOE-A-2019-10102#a3"
"⭐⭐⭐ ¿En qué plazo deben las personas físicas y jurídicas que presten servicios públicos o ejerzan potestades administrativas suministrar la información requerida, conforme al artículo 4.1 de la Ley 10/2019?","En el plazo de cinco días desde el requerimiento","En el plazo de diez días desde el acuse de recibo de la petición","En el plazo de veinte días desde la recepción de la solicitud","En el plazo de un mes desde el acuse de recibo de la petición","2","El artículo 4.1 de la Ley 10/2019 establece que las personas físicas y jurídicas que presten servicios públicos o ejerzan potestades administrativas están obligadas a suministrar la información que les sea requerida, previo requerimiento y en un plazo de diez días desde el acuse de recibo de la petición."
"¿Cuál de las siguientes definiciones se corresponde con el concepto de 'información pública' del artículo 5.b) de la Ley 10/2019?","Los contenidos o documentos que obren en poder de alguno de los sujetos incluidos en el ámbito de aplicación de la Ley y que hayan sido elaborados, adquiridos o conservados en el ejercicio de sus funciones.","Toda la información publicada por los sujetos obligados en cumplimiento de las obligaciones de publicidad activa.","Los documentos incorporados a un procedimiento administrativo que haya finalizado mediante resolución firme.","La información cuya divulgación no afecte a ninguno de los límites previstos para el derecho de acceso.","1","El artículo 5.b) define la información pública como los contenidos o documentos que obren en poder de alguno de los sujetos incluidos en el ámbito de aplicación de la Ley y que hayan sido elaborados, adquiridos o conservados en el ejercicio de sus funciones."
"Conforme al artículo 5.b) de la Ley 10/2019, ¿qué requisito debe reunir un contenido o documento para tener la consideración de información pública?","Obrar en poder de alguno de los sujetos incluidos en el ámbito de aplicación de la Ley y haber sido elaborado, adquirido o conservado en el ejercicio de sus funciones.","Haber sido elaborado exclusivamente por la propia Administración Pública y encontrarse incorporado a un procedimiento administrativo finalizado.","Estar publicado en el Portal de Transparencia o sujeto a una obligación de publicidad activa.","No contener datos personales ni información protegida por alguno de los límites del derecho de acceso.","1","El artículo 5.b) exige conjuntamente que el contenido o documento obre en poder de un sujeto obligado y que haya sido elaborado, adquirido o conservado en el ejercicio de sus funciones."
"⭐⭐⭐ ¿Cuál de las siguientes relaciones entre los conceptos definidos en el artículo 5 de la Ley 10/2019 es correcta?","La información pública identifica los contenidos o documentos que reúnen los requisitos del artículo 5.b); el acceso a la información pública es el derecho subjetivo para solicitar y obtenerla, y la publicidad activa es la obligación de difundirla de oficio","La información pública identifica únicamente los contenidos sujetos a publicidad activa; el acceso es el derecho a solicitar esa información y la publicidad activa es la facultad de las personas para obtenerla de oficio","La información pública es el derecho subjetivo para solicitar información; el acceso constituye el contenido documental solicitado y la publicidad activa es la publicación de cualquier documento administrativo","La información pública y la publicidad activa identifican el mismo concepto material, mientras que el acceso a la información pública constituye exclusivamente el procedimiento administrativo para obtenerla","1","El artículo 5 distingue los tres conceptos. El apartado b) define la información pública como los contenidos o documentos que obren en poder de los sujetos incluidos en el ámbito de aplicación y hayan sido elaborados, adquiridos o conservados en el ejercicio de sus funciones. El apartado c) define el acceso como un derecho subjetivo de carácter universal para solicitar y obtener esa información, mientras que el apartado e) define la publicidad activa como la obligación de difundir de oficio la información pública y garantizar la transparencia de la actividad pública."
"⭐⭐⭐ ¿Cuál de las siguientes definiciones se corresponde con el concepto de 'acceso a la información pública' del artículo 5.c) de la Ley 10/2019?","El derecho subjetivo de carácter universal reconocido a las personas para solicitar y obtener información veraz que obre en poder de los sujetos obligados, sin más requisitos que los establecidos en la legislación vigente.","El derecho de cualquier ciudadano a acceder exclusivamente a la información objeto de publicidad activa publicada por los sujetos obligados.","La facultad de consultar cualquier documento administrativo sin limitaciones, siempre que no contenga datos personales.","El derecho de acceso reconocido únicamente a quienes acrediten un interés legítimo en la información solicitada.","1","El artículo 5.c) de la Ley 10/2019 define el acceso a la información pública como un derecho subjetivo de carácter universal reconocido a las personas para solicitar y obtener la información veraz que obre en poder de los sujetos incluidos en el ámbito de aplicación del Título, sin más requisitos y condiciones que los establecidos en la legislación vigente."
