Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Respuesta correcta,Explicación
"¿Qué exige el artículo 4.1 de la Ley Orgánica 3/2018 respecto de los datos personales, en conexión con el artículo 5.1.d) del Reglamento (UE) 2016/679?","Que los datos sean exinformes y, si fuere necesario, actualizados","Que los datos sean exactos y, si fuere necesario, actualizados",Que los datos se conserven indefinidamente sin actualización,Que los datos se cifren obligatoriamente en todo caso,2,"El art. 4.1 de la Ley Orgánica 3/2018 dispone: 'Conforme al artículo 5.1.d) del Reglamento (UE) 2016/679 los datos serán exactos y, si fuere necesario, actualizados'. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a4"
"¿Es imputable al responsable del tratamiento la inexactitud de datos personales obtenidos directamente del propio afectado, si ha adoptado las medidas razonables para su corrección, según el artículo 4.2.a) de la Ley Orgánica 3/2018?",La base jurídica del tratamiento y el deber de información al afectado en los términos del RGPD,"No será imputable al responsable, siempre que este haya adoptado todas las medidas razonables para que se supriman o rectifiquen sin dilación",La intervención del delegado de protección de datos antes de resolver reclamaciones,La corresponsabilidad del tratamiento mediante acuerdo que delimite funciones respectivas,2,"El art. 4.2.a) de la Ley Orgánica 3/2018 dispone que no será imputable al responsable, si ha adoptado todas las medidas razonables para que se supriman o rectifiquen sin dilación, la inexactitud de los datos que 'hubiesen sido obtenidos por el responsable directamente del afectado'. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a4"
"¿Es imputable al responsable la inexactitud de datos recibidos de otro responsable en virtud del ejercicio del derecho a la portabilidad, según el artículo 4.2.c) de la Ley Orgánica 3/2018?",La base jurídica del tratamiento y el deber de información al afectado en los términos del RGPD,"No será imputable, si el responsable adoptó las medidas razonables para su corrección sin dilación",La intervención del delegado de protección de datos antes de resolver reclamaciones,La corresponsabilidad del tratamiento mediante acuerdo que delimite funciones respectivas,2,"El art. 4.2.c) de la Ley Orgánica 3/2018 exime de responsabilidad al responsable, cumplidas las condiciones generales del apartado, cuando los datos inexactos 'fuesen sometidos a tratamiento por el responsable por haberlos recibido de otro responsable en virtud del ejercicio por el afectado del derecho a la portabilidad conforme al artículo 20 del Reglamento (UE) 2016/679'. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a4"
¿A quiénes se aplica el deber de confidencialidad regulado en el artículo 5.1 de la Ley Orgánica 3/2018?,La base jurídica del tratamiento y el deber de información al afectado en los términos del RGPD,"A los responsables y encargados del tratamiento, así como a todas las personas que intervengan en cualquier fase de este",La intervención del delegado de protección de datos antes de resolver reclamaciones,La corresponsabilidad del tratamiento mediante acuerdo que delimite funciones respectivas,2,El art. 5.1 de la Ley Orgánica 3/2018 dispone: 'Los responsables y encargados del tratamiento de datos así como todas las personas que intervengan en cualquier fase de este estarán sujetas al deber de confidencialidad al que se refiere el artículo 5.1.f) del Reglamento (UE) 2016/679'. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a5
"¿Se mantienen las obligaciones de confidencialidad aunque haya finalizado la relación del obligado con el responsable o encargado del tratamiento, según el artículo 5.3 de la Ley Orgánica 3/2018?","No, se extinguen automáticamente al finalizar la relación laboral o contractual","Sí, las obligaciones se mantendrán aun cuando hubiese finalizado la relación del obligado con el responsable o encargado del tratamiento","Sí, las obligaciones se mantendrán aun cuando hubiese finalizado la relación del obligado con el responsable o delegado de protección de datos",La base jurídica del tratamiento y el deber de información al afectado en los términos del RGPD,2,El art. 5.3 de la Ley Orgánica 3/2018 dispone: 'Las obligaciones establecidas en los apartados anteriores se mantendrán aun cuando hubiese finalizado la relación del obligado con el responsable o encargado del tratamiento'. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a5
"¿Qué relación existe entre el deber de confidencialidad del artículo 5 y los deberes de secreto profesional, según el artículo 5.2 de la Ley Orgánica 3/2018?",El deber de confidencialidad sustituye y deroga cualquier deber de secreto profesional,La obligación de confidencialidad será complementaria de los deberes de secreto profesional de conformidad con su normativa aplicable,Son incompatibles entre sí y debe elegirse uno de los dos regímenes,La base jurídica del tratamiento y el deber de información al afectado en los términos del RGPD,2,El art. 5.2 de la Ley Orgánica 3/2018 dispone: 'La obligación general señalada en el apartado anterior será complementaria de los deberes de secreto profesional de conformidad con su normativa aplicable'. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a5
¿Qué se entiende por 'consentimiento del afectado' según el artículo 6.1 de la Ley Orgánica 3/2018?,La base jurídica del tratamiento y el deber de información al afectado en los términos del RGPD,"Toda manifestación de voluntad libre, específica, informada e inequívoca por la que el afectado acepta, mediante una declaración o una clara acción afirmativa, el tratamiento de sus datos",La intervención del delegado de protección de datos antes de resolver reclamaciones,La corresponsabilidad del tratamiento mediante acuerdo que delimite funciones respectivas,2,"El art. 6.1 de la Ley Orgánica 3/2018 dispone: 'Se entiende por consentimiento del afectado toda manifestación de voluntad libre, específica, informada e inequívoca por la que este acepta, ya sea mediante una declaración o una clara acción afirmativa, el tratamiento de datos personales que le conciernen'. Queda así excluido el llamado 'consentimiento tácito'. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a6"
"Cuando el tratamiento se funde en el consentimiento para una pluralidad de finalidades, ¿qué exige el artículo 6.2 de la Ley Orgánica 3/2018?",Que el consentimiento se otorgue de forma genérica para todas las finalidades sin especificación,Que conste de manera específica e inequívoca que dicho consentimiento se otorga para todas ellas,"Que se recabe un consentimiento distinto por cada dato individual, con independencia de su finalidad",La base jurídica del tratamiento y el deber de información al afectado en los términos del RGPD,2,El art. 6.2 de la Ley Orgánica 3/2018 dispone: 'Cuando se pretenda fundar el tratamiento de los datos en el consentimiento del afectado para una pluralidad de finalidades será preciso que conste de manera específica e inequívoca que dicho consentimiento se otorga para todas ellas'. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a6
"¿Puede supeditarse la ejecución de un contrato a que el afectado consienta el tratamiento de sus datos para finalidades ajenas a la relación contractual, según el artículo 6.3 de la Ley Orgánica 3/2018?","No deberá supeditarse la ejecución del contrato a que el afectado consienta el tratamiento de datos para finalidades que no guarden relación con el mantenimiento, desarrollo o control de la relación contractual","No podrá supeditarse la ejecución del contrato a que el afectado consienta el tratamiento de datos para finalidades que no guarden relación con el mantenimiento, desarrollo o control de la relación contractual",La base jurídica del tratamiento y el deber de información al afectado en los términos del RGPD,La intervención del delegado de protección de datos antes de resolver reclamaciones,2,"El art. 6.3 de la Ley Orgánica 3/2018 dispone: 'No podrá supeditarse la ejecución del contrato a que el afectado consienta el tratamiento de los datos personales para finalidades que no guarden relación con el mantenimiento, desarrollo o control de la relación contractual'. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a6"
"¿A partir de qué edad puede un menor prestar por sí mismo su consentimiento para el tratamiento de sus datos personales, según el artículo 7.1 de la Ley Orgánica 3/2018?",La base jurídica del tratamiento y el deber de información al afectado en los términos del RGPD,Catorce años,La intervención del delegado de protección de datos antes de resolver reclamaciones,La corresponsabilidad del tratamiento mediante acuerdo que delimite funciones respectivas,2,"El art. 7.1 de la Ley Orgánica 3/2018 dispone: 'El tratamiento de los datos personales de un menor de edad únicamente podrá fundarse en su consentimiento cuando sea mayor de catorce años', salvo los supuestos en que la ley exija la asistencia de los titulares de la patria potestad o tutela para el acto o negocio jurídico correspondiente. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a7"
