"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿Qué principio básico establece el artículo 10 del Presupuesto de la UC3M respecto de los compromisos de gasto?","No podrán adquirirse compromisos de gasto por cuantía superior a los créditos autorizados en el estado de gastos del presupuesto","Podrán adquirirse compromisos superiores si existe disponibilidad de tesorería suficiente","Podrán adquirirse compromisos superiores cuando lo autorice el responsable del centro de gestión","Los compromisos podrán superar los créditos autorizados siempre que se compensen antes del cierre del ejercicio","1","El artículo 10 establece que no podrán adquirirse compromisos de gastos por cuantía superior al importe de los créditos autorizados en el estado de gastos, según la vinculación establecida en el artículo 5. Las restantes opciones introducen excepciones que el artículo 10 no contempla."
"¿Qué consecuencia atribuyen las Normas Básicas de Gestión a los actos administrativos y disposiciones que infrinjan el límite de los créditos autorizados?","Son anulables","Son nulos de pleno derecho","Son simplemente irregulares y pueden convalidarse","Son válidos mientras exista financiación suficiente en tesorería","2","El artículo 10 establece expresamente que los actos administrativos y disposiciones que infrinjan la prohibición de adquirir compromisos por encima de los créditos autorizados son nulos de pleno derecho."
"¿Conforme a qué elemento debe determinarse el límite de los créditos que no pueden superarse al adquirir compromisos de gasto?","Según la distribución territorial del presupuesto","Según la vinculación establecida en el artículo 5","Según las disponibilidades de tesorería del centro","Según la clasificación orgánica exclusivamente","2","El artículo 10 remite expresamente a la vinculación establecida en el artículo 5 para determinar el límite de los créditos. No basta con atender a la clasificación orgánica o a la tesorería disponible."
"Un Centro de Gestión dispone de crédito presupuestario, pero el compromiso que pretende adquirir supera el límite de vinculación aplicable. ¿Puede formalizarlo simplemente porque todavía existe crédito en otra aplicación presupuestaria?","Sí, porque el límite siempre se calcula sobre el total del presupuesto de la Universidad","Sí, si el responsable del Centro lo considera necesario","No, porque el compromiso no puede superar los créditos autorizados conforme al nivel de vinculación aplicable","Sí, siempre que el gasto sea necesario para la Universidad","3","El artículo 10 remite al nivel de vinculación establecido en el artículo 5. La existencia de crédito en otra aplicación no permite ignorar el nivel de vinculación presupuestaria aplicable."
"¿Qué requisitos generales deben reunir los gastos de la Universidad según el artículo 10?","Ser necesarios, idóneos y efectuarse en beneficio de la Universidad","Ser urgentes, extraordinarios y estar autorizados por el Rector","Ser presupuestados, contractuales y financiados con ingresos propios","Ser necesarios, aunque no resulten directamente beneficiosos para la Universidad","1","El artículo 10 establece que los gastos deben ser siempre necesarios e idóneos y efectuarse en beneficio de la Universidad."
"En el caso de los gastos imputados a Proyectos de Investigación, Másteres y demás Centros, ¿qué requisito adicional establece el artículo 10?","Deben estar siempre financiados mediante subvenciones","Deben guardar relación directa con la actividad relacionada","Deben ser autorizados individualmente por el Consejo de Gobierno","Deben corresponder exclusivamente a gastos de inversión","2","El artículo 10 exige que estos gastos guarden relación directa con la actividad relacionada. No exige que todos procedan de subvenciones ni que sean necesariamente gastos de inversión."
"¿Cuál de los siguientes gastos queda expresamente excluido por el artículo 10 en el ámbito de los Proyectos de Investigación, Másteres y demás Centros?","Los gastos de desplazamiento","Los gastos relacionados con cualquier tipo de celebración","Los gastos de material fungible","Los gastos derivados de servicios externos","2","El artículo 10 establece expresamente que no se admitirán gastos relacionados con ningún tipo de celebración cuando se trate de estos centros o actividades."
"¿Qué finalidad deben perseguir los gastos protocolarios de la Universidad?","Una finalidad institucional y un beneficio o utilidad claros para la Universidad","Una finalidad exclusivamente académica","Una finalidad social aunque no exista utilidad institucional","Una finalidad representativa, aunque no produzca utilidad para la Universidad","1","El artículo 10 exige que los gastos protocolarios persigan una finalidad institucional y redunden claramente en beneficio o utilidad de la Universidad."
"Además de perseguir una finalidad institucional, ¿cómo deben ser los gastos protocolarios?","Proporcionados e idóneos para el fin perseguido","Exclusivamente urgentes y extraordinarios","Limitados a actividades organizadas por el Rector","Necesariamente inferiores a una cuantía determinada","1","El artículo 10 exige expresamente que los gastos protocolarios sean proporcionados e idóneos para el fin que se persigue."
"En la justificación económica de un gasto protocolario correspondiente a una conferencia o evento, ¿qué debe indicarse?","Únicamente la cuantía y la aplicación presupuestaria","El motivo del gasto y la ubicación de la celebración","Solo el nombre del responsable del gasto","El programa académico completo de la actividad","2","El artículo 10 exige indicar en la justificación económica el motivo del gasto, concretamente la conferencia o evento, y su ubicación."
