Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Respuesta correcta,Explicación
¿Quiénes son empleados públicos según el artículo 8.1 del TREBEP?,Quienes desempeñan funciones retribuidas en las Administración General del Estado al servicio de los intereses generales,Quienes desempeñan funciones retribuidas en las Administraciones Públicas al servicio de los intereses generales,"La aplicación de los principios de igualdad, mérito, capacidad y publicidad","Cualquier persona que preste un servicio ocasional a la Administración, aunque no sea retribuido",2,El art. 8.1 del TREBEP dispone: 'Son empleados públicos quienes desempeñan funciones retribuidas en las Administraciones Públicas al servicio de los intereses generales'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a8
¿En cuántas clases se clasifican los empleados públicos según el artículo 8.2 del TREBEP?,Dos: funcionarios y laborales,"Tres: funcionarios de carrera, funcionarios interinos y personal laboral","Cuatro: funcionarios de carrera, funcionarios interinos, personal laboral y personal eventual","Cinco, incluyendo al personal directivo como clase separada",3,"El art. 8.2 del TREBEP clasifica a los empleados públicos en: a) funcionarios de carrera; b) funcionarios interinos; c) personal laboral, ya sea fijo, por tiempo indefinido o temporal; y d) personal eventual. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a8"
"¿Cuál de las siguientes afirmaciones define correctamente al funcionario de carrera conforme al artículo 9.1 del TREBEP?","Quien, en virtud de nombramiento legal, está vinculado a una Administración Pública por una relación estatutaria regulada por el Derecho Administrativo para el desempeño de servicios profesionales retribuidos de carácter permanente.","Quien presta servicios retribuidos para una Administración Pública mediante contrato laboral indefinido regulado por el Estatuto de los Trabajadores.","Quien desempeña temporalmente funciones propias de funcionarios de carrera mediante contrato administrativo de duración determinada.","Quien ejerce funciones de confianza o asesoramiento especial mediante nombramiento discrecional con carácter permanente.","1","El artículo 9.1 define al funcionario de carrera como quien, en virtud de nombramiento legal, está vinculado a una Administración Pública por una relación estatutaria regulada por el Derecho Administrativo para el desempeño de servicios profesionales retribuidos de carácter permanente."
"¿Qué elemento diferencia al funcionario de carrera de las restantes clases de personal al servicio de las Administraciones Públicas según el artículo 9.1 del TREBEP?","Su vinculación mediante nombramiento legal y una relación estatutaria regulada por el Derecho Administrativo para desempeñar servicios profesionales retribuidos de carácter permanente.","La prestación de servicios retribuidos mediante contrato laboral por tiempo indefinido.","El desempeño temporal de funciones propias de funcionarios de carrera por razones expresamente justificadas de necesidad y urgencia.","El ejercicio exclusivo de funciones de confianza o asesoramiento especial.","1","El artículo 9.1 caracteriza al funcionario de carrera por el nombramiento legal y la relación estatutaria permanente sometida al Derecho Administrativo."
"¿Cuál de las siguientes características es exclusiva del funcionario de carrera conforme al artículo 9.1 del TREBEP y no del funcionario interino regulado en el artículo 10?","La prestación de servicios profesionales retribuidos con carácter permanente en virtud de nombramiento legal y relación estatutaria.","El sometimiento al Derecho Administrativo en el ejercicio de sus funciones.","El desempeño de funciones propias de funcionarios.","El acceso mediante nombramiento para ocupar puestos reservados a funcionarios.","1","El artículo 9.1 exige el desempeño de servicios profesionales retribuidos de carácter permanente. El funcionario interino, regulado en el artículo 10, presta servicios con carácter temporal por las causas tasadas previstas en dicho precepto."
"¿Qué elemento del artículo 9.1 del TREBEP impide considerar funcionario de carrera a quien desempeña temporalmente funciones propias de funcionarios?","El carácter permanente de los servicios profesionales que desempeña.","El sometimiento de su relación al Derecho Administrativo.","La existencia de un nombramiento legal.","La percepción de retribuciones por los servicios prestados.","1","El artículo 9.1 exige que los servicios profesionales retribuidos tengan carácter permanente. La temporalidad es precisamente la nota característica del funcionario interino regulado en el artículo 10 del TREBEP."
"¿A quién corresponde exclusivamente, según el artículo 9.2 del TREBEP, el ejercicio de funciones que impliquen la participación en el ejercicio de potestades públicas o en la salvaguardia de los intereses generales del Estado?",Al personal laboral indefinido,Exclusivamente a los funcionarios públicos,Al personal eventual de confianza,"La aplicación de los principios de igualdad, mérito, capacidad y publicidad",2,"El art. 9.2 del TREBEP dispone: 'En todo caso, el ejercicio de las funciones que impliquen la participación directa o indirecta en el ejercicio de las potestades públicas o en la salvaguardia de los intereses generales del Estado y de las Administraciones Públicas corresponden exclusivamente a los funcionarios públicos'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a9"
"¿Cuál de las siguientes NO es una circunstancia que justifica, según el artículo 10.1 del TREBEP, el nombramiento de un funcionario interino?",La existencia de plazas vacantes cuando no sea posible su cobertura por funcionarios de carrera,"La aplicación de los principios de igualdad, mérito, capacidad y publicidad",La ejecución de programas de carácter temporal,La preferencia personal del funcionario por trabajar de forma temporal sin causa alguna,4,"El art. 10.1 del TREBEP tasa las circunstancias que permiten el nombramiento de funcionarios interinos: existencia de plazas vacantes (máximo tres años), sustitución transitoria de titulares, ejecución de programas temporales (máximo tres años, ampliable doce meses más), y exceso o acumulación de tareas (máximo nueve meses en dieciocho). No cabe un nombramiento interino por la mera preferencia personal del empleado, sin concurrir alguna de esas causas tasadas. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a10"
"¿Cuál es el plazo máximo, con carácter general, para el nombramiento de un funcionario interino por existencia de plazas vacantes, según el artículo 10.1.a) del TREBEP?","La aplicación de los principios de igualdad, mérito, capacidad y publicidad",La clasificación del personal empleado público según la naturaleza de su vínculo,Tres años,La provisión de puestos mediante procedimientos basados en mérito y capacidad,3,"El art. 10.1.a) del TREBEP dispone que el funcionario interino puede nombrarse para cubrir plazas vacantes, cuando no sea posible su cobertura por funcionarios de carrera, 'por un máximo de tres años, en los términos previstos en el apartado 4'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a10"
"¿Da lugar el nombramiento de un funcionario interino, conforme a los procedimientos de selección del artículo 10.2 del TREBEP, al reconocimiento de la condición de funcionario de carrera?","La aplicación de los principios de igualdad, mérito, capacidad y publicidad","No, el nombramiento derivado de estos procedimientos de selección en ningún caso dará lugar al reconocimiento de la condición de funcionario de carrera",La clasificación del personal empleado público según la naturaleza de su vínculo,La provisión de puestos mediante procedimientos basados en mérito y capacidad,2,El art. 10.2 del TREBEP dispone: 'El nombramiento derivado de estos procedimientos de selección en ningún caso dará lugar al reconocimiento de la condición de funcionario de carrera'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a10
