"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿Qué se entiende por 'expediente administrativo' según el artículo 70.1 de la Ley 39/2015?","Únicamente la resolución final del procedimiento","El conjunto ordenado de documentos y actuaciones que sirven de antecedente y fundamento a la resolución administrativa, así como las diligencias encaminadas a ejecutarla","Solo los informes preceptivos emitidos durante la tramitación","El escrito de iniciación del procedimiento exclusivamente","2","El art. 70.1 LPAC define el expediente administrativo como 'el conjunto ordenado de documentos y actuaciones que sirven de antecedente y fundamento a la resolución administrativa, así como las diligencias encaminadas a ejecutarla'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a70"
"Conforme al artículo 70.2 de la Ley 39/2015, ¿cómo se forma un expediente administrativo?","En formato electrónico, mediante la agregación ordenada de los documentos, pruebas, dictámenes, informes, acuerdos, notificaciones y demás diligencias que deban integrarlo, acompañado de un índice numerado de todos los documentos.","En formato electrónico, mediante la incorporación cronológica de los documentos administrativos, acompañados de un índice alfabético y una diligencia de cierre.","En formato electrónico, mediante la agregación de los actos administrativos y de los documentos aportados por los interesados, sin necesidad de índice cuando el expediente sea íntegramente electrónico.","En formato electrónico o en soporte papel, según determine el órgano instructor, incorporando los documentos esenciales para resolver el procedimiento.","1","El artículo 70.2 de la Ley 39/2015 establece que los expedientes tendrán formato electrónico y se formarán mediante la agregación ordenada de documentos, pruebas, dictámenes, informes, acuerdos, notificaciones y demás diligencias, acompañados de un índice numerado de todos los documentos."
"¿Cuál de las siguientes afirmaciones sobre el expediente administrativo regulado en el artículo 70.2 de la Ley 39/2015 es correcta?","El expediente tendrá formato electrónico y deberá ir acompañado de un índice numerado de todos los documentos que lo integren.","El expediente tendrá formato electrónico y deberá ir acompañado de un índice cronológico de todos los documentos que lo integren.","El expediente podrá conservarse indistintamente en formato electrónico o en soporte papel, siempre que se garantice su autenticidad.","El expediente únicamente incluirá los actos administrativos y los documentos aportados por los interesados.","1","El artículo 70.2 exige un índice numerado, no cronológico, y establece con carácter general el formato electrónico del expediente administrativo."
"⭐⭐⭐ Conforme al artículo 70 de la Ley 39/2015, ¿cuál de las siguientes afirmaciones diferencia correctamente el contenido del expediente administrativo de la información auxiliar o de apoyo?","El expediente administrativo comprende los documentos, pruebas, dictámenes, informes, acuerdos, notificaciones y demás diligencias del procedimiento, mientras que la información auxiliar o de apoyo, como notas, borradores, opiniones, resúmenes, comunicaciones e informes internos o entre órganos o entidades administrativas, no forma parte de él.","Toda la documentación generada durante la tramitación del procedimiento, incluida la información auxiliar o de apoyo, forma necesariamente parte del expediente administrativo.","Los borradores e informes internos únicamente se excluyen del expediente cuando hayan sido elaborados por órganos consultivos.","Las comunicaciones internas entre órganos administrativos forman parte del expediente siempre que sean electrónicas.","1","El artículo 70.2 define el contenido del expediente administrativo, mientras que el artículo 70.4 excluye expresamente la información auxiliar o de apoyo, como notas, borradores, opiniones, resúmenes, comunicaciones e informes internos o entre órganos o entidades administrativas, salvo determinadas excepciones previstas en la propia ley."
"👑 Conforme al artículo 70.4 de la Ley 39/2015, ¿cuál de las siguientes informaciones, pese a tener carácter auxiliar o de apoyo, puede formar parte del expediente administrativo?","Los informes, preceptivos y facultativos, solicitados antes de la resolución administrativa que ponga fin al procedimiento.","Los borradores elaborados durante la preparación de la propuesta de resolución, aunque hayan sido remitidos a otros órganos administrativos.","Las notas internas de los empleados públicos incorporadas a las aplicaciones utilizadas para tramitar el procedimiento.","Los resúmenes y opiniones internas elaborados entre órganos administrativos durante la instrucción del procedimiento.","1","El artículo 70.4 excluye del expediente administrativo la información de carácter auxiliar o de apoyo, como la contenida en aplicaciones, ficheros y bases de datos informáticas, notas, borradores, opiniones, resúmenes, comunicaciones e informes internos o entre órganos o entidades administrativas. Sin embargo, establece expresamente una excepción para los informes, preceptivos y facultativos, solicitados antes de la resolución administrativa que ponga fin al procedimiento."
"¿Qué información NO forma parte del expediente administrativo según el artículo 70.4 de la Ley 39/2015?","Los informes preceptivos solicitados antes de la resolución","La información de carácter auxiliar o de apoyo, como notas, borradores, opiniones, resúmenes o comunicaciones internas entre órganos, así como los juicios de valor de las Administraciones","Los documentos aportados por el interesado","Las pruebas practicadas durante la instrucción","2","El art. 70.4 LPAC excluye del expediente la información de carácter auxiliar o de apoyo (aplicaciones, ficheros, notas, borradores, opiniones, resúmenes, comunicaciones e informes internos o entre órganos, juicios de valor), salvo que se trate de informes preceptivos o facultativos solicitados antes de la resolución que ponga fin al procedimiento, los cuales sí forman parte del expediente. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a70"
"¿A qué principio está sometido el procedimiento según el artículo 71.1 de la Ley 39/2015, impulsándose de oficio en todos sus trámites?","Principio de jerarquía","Principio de celeridad","Principio de subsidiariedad","Principio de reserva de ley","2","El art. 71.1 LPAC dispone: 'El procedimiento, sometido al principio de celeridad, se impulsará de oficio en todos sus trámites y a través de medios electrónicos, respetando los principios de transparencia y publicidad'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a71"
"¿Qué orden debe respetarse, con carácter general, en el despacho de expedientes de naturaleza homogénea según el artículo 71.2 de la Ley 39/2015?","El orden alfabético de los interesados","El orden riguroso de incoación, salvo orden motivada en contrario del titular de la unidad administrativa","El orden que decida discrecionalmente cada funcionario","El orden inverso de incoación","2","El art. 71.2 LPAC dispone: 'En el despacho de los expedientes se guardará el orden riguroso de incoación en asuntos de homogénea naturaleza, salvo que por el titular de la unidad administrativa se dé orden motivada en contrario, de la que quede constancia', añadiendo que el incumplimiento de esta regla dará lugar a responsabilidad disciplinaria y, en su caso, remoción del puesto de trabajo. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a71"
"¿Qué principio recoge el artículo 72.1 de la Ley 39/2015 al establecer que se acordarán en un solo acto todos los trámites que admitan un impulso simultáneo?","El principio de jerarquía normativa","El principio de simplificación administrativa (concentración de trámites)","El principio de legalidad","El principio de proporcionalidad","2","El art. 72.1 LPAC dispone: 'De acuerdo con el principio de simplificación administrativa, se acordarán en un solo acto todos los trámites que, por su naturaleza, admitan un impulso simultáneo y no sea obligado su cumplimiento sucesivo'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a72"
"¿Qué plazo establece, con carácter general, el artículo 73.1 de la Ley 39/2015 para que los interesados cumplimenten los trámites que deban realizar, cuando la norma correspondiente no señale otro distinto?","Diez días a partir del siguiente al de la notificación del correspondiente acto","Diez días contados desde la fecha de la notificación del acto","Diez días hábiles desde que el interesado tenga conocimiento efectivo del trámite","Quince días a partir del día siguiente al de la recepción de la notificación","1","El artículo 73.1 establece que los trámites que deban cumplimentar los interesados deberán realizarse en el plazo de diez días a partir del siguiente al de la notificación del correspondiente acto, salvo que la norma correspondiente fije un plazo distinto."
