Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Respuesta correcta,Explicación
¿Quiénes son titulares del derecho de acceso a la información pública según el artículo 30.1 de la Ley 10/2019?,La inadmisión motivada por concurrir una causa legal aplicable al derecho de acceso,"Todas las personas físicas o jurídicas, españolas o extranjeras, mayores de edad, que se encuentren en pleno uso de sus derechos civiles, sin necesidad de motivar su solicitud",La ponderación entre transparencia y protección de datos personales de terceros,La remisión a la unidad de información competente para tramitar la solicitud,2,"El art. 30.1 de la Ley 10/2019 dispone: 'Todas las personas físicas o jurídicas, españolas o extranjeras, mayores de edad, que se encuentren en el pleno uso de sus derechos civiles, tienen derecho a acceder a la información pública, sin más limitaciones que las contempladas en la presente Ley', sin necesidad de motivar la solicitud. https://www.boe.es/buscar/act.php?id=BOE-A-2019-10102#a30"
"¿Puede el solicitante de información pública tener negado el ejercicio de este derecho por causa de discapacidad, según el artículo 30 de la Ley 10/2019?",La inadmisión motivada por concurrir una causa legal aplicable al derecho de acceso,"No, cualquier persona en pleno uso de sus derechos civiles puede ejercerlo, garantizándose además la accesibilidad universal",La ponderación entre transparencia y protección de datos personales de terceros,La remisión a la unidad de información competente para tramitar la solicitud,2,"El art. 30 de la Ley 10/2019, en conexión con el principio de accesibilidad universal del art. 6.d), reconoce el derecho de acceso a toda persona física o jurídica en pleno uso de sus derechos civiles, sin exigir capacidad especial más allá de la mayoría de edad y el pleno uso de derechos civiles, garantizando en todo caso la accesibilidad de la información. https://www.boe.es/buscar/act.php?id=BOE-A-2019-10102#a30"
"¿Debe motivarse la solicitud de acceso a la información pública, según el artículo 30 de la Ley 10/2019?","No, el ejercicio del derecho de acceso no está sujeto a comunicación","No, el ejercicio del derecho de acceso no está sujeto a motivación",La inadmisión motivada por concurrir una causa legal aplicable al derecho de acceso,La ponderación entre transparencia y protección de datos personales de terceros,2,"El art. 30.1 de la Ley 10/2019 dispone que las personas tienen derecho a acceder a la información pública 'sin necesidad de motivar su solicitud', en coherencia con el carácter universal del derecho consagrado en el art. 5.c). https://www.boe.es/buscar/act.php?id=BOE-A-2019-10102#a30"
¿Cómo puede ejercerse el derecho de acceso a la información pública según el artículo 31.1 de la Ley 10/2019?,La inadmisión motivada por concurrir una causa legal aplicable al derecho de acceso,"Se ejercitará a través de medios electrónicos, salvo cuando no sea posible por no disponer de los medios electrónicos necesarios",La ponderación entre transparencia y protección de datos personales de terceros,La remisión a la unidad de información competente para tramitar la solicitud,2,"El art. 31.1 de la Ley 10/2019 dispone: 'El derecho de acceso a la información pública se ejercitará a través de medios electrónicos, salvo cuando no sea posible por no disponer de los medios electrónicos necesarios'. https://www.boe.es/buscar/act.php?id=BOE-A-2019-10102#a31"
"¿Debe la solicitud de acceso identificar necesariamente al órgano exacto que posee la información, según el artículo 31.2 de la Ley 10/2019?",La inadmisión motivada por concurrir una causa legal aplicable al derecho de acceso,"No, no será requisito necesario para la tramitación de la solicitud el conocimiento del órgano o unidad administrativa que posea la información",La ponderación entre transparencia y protección de datos personales de terceros,La remisión a la unidad de información competente para tramitar la solicitud,2,"El art. 31.2 de la Ley 10/2019 dispone: 'No será requisito necesario para la tramitación de la solicitud el conocimiento del órgano o unidad administrativa que posea la información, si bien deberá indicarse, en su caso, si se conoce'. https://www.boe.es/buscar/act.php?id=BOE-A-2019-10102#a31"
¿Puede solicitarse el acceso a la información pública de forma verbal según el artículo 31.4 de la Ley 10/2019?,La inadmisión motivada por concurrir una causa legal aplicable al derecho de acceso,"Sí, cuando la información objeto de la solicitud sea de fácil localización, sin necesidad de plasmarla en un documento",La ponderación entre transparencia y protección de datos personales de terceros,La remisión a la unidad de información competente para tramitar la solicitud,2,"El art. 31.4 de la Ley 10/2019 dispone: 'Cuando la información objeto de la solicitud sea de fácil localización, podrá facilitarse de forma inmediata la información, no siendo preciso plasmar por escrito la solicitud', sin perjuicio de dejar constancia de la petición y su tramitación. https://www.boe.es/buscar/act.php?id=BOE-A-2019-10102#a31"
"⭐⭐⭐ ¿Qué pueden hacer los sujetos relacionados en el artículo 2 y en los apartados 1 y 2 del artículo 3 de la Ley 10/2019 respecto de sus registros de solicitudes de acceso y reclamaciones?","Contar con sus propios registros o adherirse expresamente al Registro de la Comunidad","Crear obligatoriamente un registro independiente y remitir todas las solicitudes al Registro de la Comunidad","Utilizar exclusivamente el Registro de la Comunidad, sin posibilidad de disponer de uno propio","Crear un registro propio únicamente cuando gestionen solicitudes de acceso relativas a datos personales","1","El artículo 31.3 de la Ley 10/2019 establece que el resto de los sujetos relacionados en el artículo 2 y en los apartados 1 y 2 del artículo 3 podrán contar con sus propios registros de solicitudes de acceso y reclamaciones o adherirse expresamente al Registro de la Comunidad. Dichos registros estarán disponibles en sus respectivas sedes electrónicas, portales o páginas web."
"👑 ¿Qué información debe inscribirse y puede consultarse en el Registro de solicitudes de acceso y reclamaciones de la Administración de la Comunidad de Madrid conforme al artículo 31.1 de la Ley 10/2019?","Las solicitudes y reclamaciones presentadas, haciendo constar, entre otros datos, la fecha, la identidad del solicitante o reclamante, la descripción de la información solicitada y, en su caso, la forma o formato de acceso","Únicamente las solicitudes estimadas, con indicación de la identidad del solicitante y del órgano que resolvió","Las solicitudes y reclamaciones, pero exclusivamente cuando hayan dado lugar a una resolución expresa de concesión o denegación","Únicamente las reclamaciones presentadas ante el Consejo de Transparencia y Participación, junto con la resolución que recaiga sobre ellas","1","El artículo 31.1 establece que en el Registro se inscribirán y podrán consultarse todas las solicitudes y reclamaciones que se presenten, haciendo constar, entre otros extremos, la fecha, la identidad del solicitante o reclamante, la descripción concisa de la información solicitada o reclamada, la forma o formato de acceso cuando proceda y los datos de contacto."
"👑 Conforme al artículo 38.1 de la Ley 10/2019, ¿qué extremos debe permitir constatar el medio utilizado para presentar una solicitud de acceso a la información pública?","La identidad del solicitante, la información solicitada, la dirección de contacto y, en su caso, la modalidad preferida de acceso","La identidad electrónica del solicitante, la motivación de la solicitud, la dirección postal y obligatoriamente la modalidad electrónica de acceso","La identidad del solicitante, la motivación de la solicitud, el órgano competente y la modalidad de acceso elegida","La identificación electrónica del solicitante, la información solicitada y exclusivamente una dirección electrónica para las comunicaciones","1","El artículo 38.1 de la Ley 10/2019 establece que la solicitud podrá presentarse por cualquier medio que permita tener constancia de la identidad del solicitante, sin necesidad de acreditación electrónica, de la información que se solicita, de la dirección de contacto, preferentemente electrónica, y, en su caso, de la modalidad preferida de acceso."
¿Con qué límites se ejerce el derecho de acceso a la información pública según el artículo 32 de la Ley 10/2019?,"Con los límites relativos a la protección de otros derechos e intereses legítimos que se establecen en la Ley 18/2013 y demás normativa aplicable, en especial el derecho a la protección de datos de carácter personal","Con los límites relativos a la protección de otros derechos e intereses legítimos que se establecen en la Ley 19/2013 y demás normativa aplicable, en especial el derecho a la protección de datos de carácter personal","Con los límites relativos a la protección de otros derechos e intereses legítimos que se establecen en la Ley 21/2013 y demás normativa aplicable, en especial el derecho a la protección de datos de carácter personal","Con los límites relativos a la protección de otros derechos e intereses legítimos que se establecen en la Ley 20/2013 y demás normativa aplicable, en especial el derecho a la protección de datos de carácter personal",2,"El art. 32 de la Ley 10/2019 remite a los límites relativos a la protección de otros derechos e intereses legítimos previstos en la Ley 19/2013, de 9 de diciembre, y demás normativa aplicable, con especial referencia a la protección de datos de carácter personal, conforme a lo establecido en la disposición adicional primera. https://www.boe.es/buscar/act.php?id=BOE-A-2019-10102#a32"
"👑 ¿Cuál de los siguientes derechos reconoce expresamente el artículo 33.1 de la Ley 10/2019, de Transparencia y de Participación de la Comunidad de Madrid, en materia de acceso a la información pública?","Recibir la información solicitada dentro de los plazos y en la forma o formato elegido de acuerdo con lo establecido en la Ley.","Obtener cualquier información pública sin que puedan aplicarse límites derivados de la legislación de la Unión Europea o estatal.","Recibir gratuitamente cualquier copia o transposición de la información solicitada, sin posibilidad de establecer tasas.","Acceder a la información pública sin necesidad de concretar la petición y con independencia de las condiciones de uso de la información.","1","El artículo 33.1.e) reconoce el derecho a recibir la información solicitada dentro de los plazos y en la forma o formato elegido de acuerdo con lo establecido en la Ley. El propio artículo 33 también reconoce otros derechos y establece, en su apartado 2, las obligaciones de quienes ejercen el derecho de acceso."
"👑 ¿Cuál de las siguientes afirmaciones diferencia correctamente un derecho y una obligación de las personas en el ejercicio del derecho de acceso a la información pública conforme al artículo 33 de la Ley 10/2019?","La persona tiene derecho a recibir la información solicitada dentro de los plazos y en la forma o formato elegido, y está obligada a concretar lo más precisamente posible su petición.","La persona tiene derecho a acceder sin necesidad de concretar la petición y está obligada a recibir la información en el formato que determine el órgano competente.","La persona tiene derecho a obtener gratuitamente cualquier copia y está obligada a motivar necesariamente su solicitud de acceso.","La persona tiene derecho a reutilizar la información sin ninguna limitación y está obligada a solicitar autorización previa para compartirla.","1","El artículo 33.1.e) reconoce el derecho a recibir la información solicitada dentro de los plazos y en la forma o formato elegido. El artículo 33.2.a) establece como obligación realizar el acceso concretando lo más precisamente posible la petición. Además, el apartado 2.b) exige actuar conforme a los principios de buena fe e interdicción del abuso de derecho."
"¿Cuál es el plazo máximo para resolver y notificar la resolución sobre una solicitud de acceso a la información pública, según el artículo 34.1 de la Ley 10/2019?",Un mes desde la recepción de la solicitud por el órgano superior jerárquico para resolver,Un mes desde la recepción de la solicitud por el órgano competente para resolver,La inadmisión motivada por concurrir una causa legal aplicable al derecho de acceso,La ponderación entre transparencia y protección de datos personales de terceros,2,El art. 34.1 de la Ley 10/2019 dispone: 'La resolución en la que se conceda o deniegue el acceso deberá notificarse al solicitante y a los terceros afectados que así lo hayan solicitado en el plazo máximo de un mes desde la recepción de la solicitud por el órgano competente para resolver'. https://www.boe.es/buscar/act.php?id=BOE-A-2019-10102#a34
"¿Puede ampliarse el plazo de resolución de una solicitud de acceso a la información pública, según el artículo 34.2 de la Ley 10/2019?","Sí, este plazo deberá ampliarse por otro mes en el caso de que el volumen o la complejidad de la información que se solicita así lo hagan necesario y previa notificación al solicitante","Sí, este plazo podrá ampliarse por otro mes en el caso de que el volumen o la complejidad de la información que se solicita así lo hagan necesario y previa notificación al solicitante",La inadmisión motivada por concurrir una causa legal aplicable al derecho de acceso,La ponderación entre transparencia y protección de datos personales de terceros,2,El art. 34.2 de la Ley 10/2019 dispone: 'Este plazo podrá ampliarse por otro mes en el caso de que el volumen o la complejidad de la información que se solicita así lo hagan necesario y previa notificación al solicitante'. https://www.boe.es/buscar/act.php?id=BOE-A-2019-10102#a34
"¿Qué efecto tiene el silencio administrativo transcurrido el plazo máximo sin resolución expresa, según el artículo 34.3 de la Ley 10/2019?",Silencio positivo o estimatorio en todo caso,La solicitud se entenderá desestimada,El procedimiento se declara caducado automáticamente,La inadmisión motivada por concurrir una causa legal aplicable al derecho de acceso,2,"El art. 34.3 de la Ley 10/2019 dispone: 'Transcurrido el plazo máximo para resolver sin que se haya dictado y notificado resolución expresa, se entenderá que la solicitud ha sido desestimada'. https://www.boe.es/buscar/act.php?id=BOE-A-2019-10102#a34"
¿Cuál de las siguientes formas de acceso a la información NO se menciona expresamente en el artículo 35.1 de la Ley 10/2019?,Visita de las instalaciones donde se encuentre,Consulta de expedientes en el propio lugar en que se encuentren depositados,Copia auténtica en soporte papel o electrónico,Emisión de un informe pericial elaborado a medida por el sujeto obligado,4,"El art. 35.1 de la Ley 10/2019 contempla como formas de acceso, entre otras, la consulta de la información en el lugar donde se encuentre, la visita de las instalaciones, la expedición de copias en soporte papel o electrónico, y el envío por correo electrónico. No contempla la elaboración de informes periciales a medida, ya que ello excedería del mero acceso a información ya existente. https://www.boe.es/buscar/act.php?id=BOE-A-2019-10102#a35"
"¿Puede el solicitante elegir libremente el formato o modalidad de acceso a la información, según el artículo 35.2 de la Ley 10/2019?",La inadmisión motivada por concurrir una causa legal aplicable al derecho de acceso,"Sí, el acceso se realizará preferentemente por vía electrónica, salvo cuando no sea posible o el solicitante señale expresamente otro medio",La ponderación entre transparencia y protección de datos personales de terceros,La remisión a la unidad de información competente para tramitar la solicitud,2,"El art. 35.2 de la Ley 10/2019 dispone que cuando no pueda darse el acceso en el momento de la notificación de la resolución, 'este se realizará en todo caso en un plazo no superior a diez días... El acceso a la información se realizará preferentemente por vía electrónica, salvo cuando no sea posible o el solicitante haya señalado expresamente otro medio'. https://www.boe.es/buscar/act.php?id=BOE-A-2019-10102#a35"
