"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"⭐⭐⭐ ¿Qué deberán establecer las universidades públicas respecto de la adjudicación de plazas conforme al artículo 37 del Real Decreto 534/2024?","El orden de prelación que vayan a aplicar en la adjudicación de plazas","Los requisitos generales de acceso a las enseñanzas oficiales de Grado","Las características básicas de la prueba de acceso","Los límites máximos de admisión previstos para todas las universidades","1","Así lo establece el artículo 37. :contentReference[oaicite:1]{index=1}"
"👑 Conforme al artículo 37 del Real Decreto 534/2024, ¿qué pueden establecer las universidades públicas respecto de la adjudicación de plazas?","El orden de prelación que vayan a aplicar, así como, en su caso, cupos de reserva y diferentes reglas de prelación en función de las distintas formas de acceso y admisión, respetando los porcentajes de reserva previstos en el capítulo.","Los límites máximos de admisión para el conjunto de universidades públicas y privadas, así como los requisitos generales de acceso a las enseñanzas oficiales de Grado.","Las características básicas de la prueba de acceso y los criterios generales de calificación aplicables a todas las universidades públicas.","Los porcentajes mínimos de reserva de plazas y los criterios generales de valoración que deben aplicar obligatoriamente todas las universidades públicas.","1","El artículo 37 establece que las universidades públicas fijarán el orden de prelación en la adjudicación de plazas que vayan a aplicar, respetando los porcentajes de reserva del capítulo. Asimismo, podrán establecer cupos de reserva y diferentes reglas de prelación en función de las distintas formas de acceso y admisión."
"👑 ¿Cuál de las siguientes asociaciones entre materia y precepto del Real Decreto 534/2024 es correcta?","Artículo 24: límites máximos de plazas; artículo 25: procedimientos de admisión, plazos y reglas para establecer el orden de prelación; artículo 37: establecimiento por las universidades públicas del orden de prelación en la adjudicación de plazas.","Artículo 24: orden de prelación; artículo 25: límites máximos de plazas; artículo 37: características básicas de la prueba de acceso.","Artículo 24: procedimientos de admisión; artículo 25: porcentajes de reserva; artículo 37: límites máximos de plazas.","Artículo 24: porcentajes de reserva; artículo 25: características de la prueba de acceso; artículo 37: requisitos generales de acceso.","1","El artículo 24 regula los límites máximos de plazas; el artículo 25 establece el régimen de los procedimientos de admisión, plazos y reglas para establecer el orden de prelación; y el artículo 37 regula específicamente el establecimiento por las universidades públicas del orden de prelación en la adjudicación de plazas."
"El orden de prelación que establezcan las universidades públicas deberá respetar, en todo caso:","Los porcentajes de reserva de plazas recogidos en el capítulo VI","Los criterios fijados por el Ministerio de Ciencia, Innovación y Universidades","Las notas de corte del curso académico anterior","Los procedimientos de admisión de las universidades privadas","1","Así lo establece el artículo 37. :contentReference[oaicite:2]{index=2}"
"Además del orden de prelación, ¿qué podrán establecer las universidades públicas conforme al artículo 37?","Cupos de reserva de plazas y diferentes reglas de prelación en función de las distintas formas de acceso y admisión","Nuevos requisitos generales de acceso","Pruebas de acceso adicionales para todo el alumnado","Porcentajes de reserva inferiores a los establecidos en el real decreto","1","Así lo establece el artículo 37. :contentReference[oaicite:3]{index=3}"
"¿En función de qué podrán establecer las universidades públicas diferentes reglas de prelación?","De las diferentes formas de acceso y admisión a las enseñanzas universitarias oficiales de Grado","Del lugar de residencia del estudiante","Del carácter público o privado del centro de procedencia","De la universidad en la que el estudiante curse el Bachillerato","1","Así lo establece el artículo 37. :contentReference[oaicite:4]{index=4}"
"¿Qué regula el artículo 38 del Real Decreto 534/2024?","Los porcentajes de reserva de plazas","El orden de prelación","La admisión de estudiantes con estudios universitarios","Los cambios de universidad","1","El artículo 38 lleva por rúbrica 'Porcentajes de reserva de plazas'. :contentReference[oaicite:5]{index=5}"
"¿Sobre qué volumen de plazas se calculan los porcentajes mínimos de reserva previstos en el artículo 38?","Sobre el total de plazas ofertadas para cada título y centro por las universidades públicas","Sobre el total de plazas ofertadas por todas las universidades españolas","Sobre las plazas finalmente adjudicadas","Sobre las plazas correspondientes únicamente al cupo general","1","Así lo establece el artículo 38.1. :contentReference[oaicite:6]{index=6}"
"Los porcentajes de reserva previstos en el artículo 38 tienen carácter:","Mínimo","Máximo","Orientativo","Exclusivamente potestativo","1","El artículo 38 dispone que deberá reservarse, como mínimo, el porcentaje previsto para cada colectivo. :contentReference[oaicite:7]{index=7}"
"¿Qué ocurre, con carácter general, con las plazas reservadas que queden sin cubrir?","Se incorporan al cupo general en cada convocatoria de admisión","Se pierden definitivamente","Se acumulan a la convocatoria del curso siguiente","Se redistribuyen exclusivamente entre los restantes cupos de reserva","1","Así lo establece el artículo 38.2. :contentReference[oaicite:8]{index=8}"
"¿Qué artículos contienen las excepciones a la incorporación de las plazas reservadas no cubiertas al cupo general?","Los artículos 41 y 42","Los artículos 39 y 40","Los artículos 43 y 44","Los artículos 37 y 38","1","Así lo establece expresamente el artículo 38.2. :contentReference[oaicite:9]{index=9}"
"Una persona que reúna los requisitos para concurrir por más de un cupo de reserva:","Podrá solicitar la admisión por más de uno de esos cupos","Deberá optar necesariamente por uno solo de ellos","Accederá automáticamente por el cupo general","Solo podrá utilizar el cupo correspondiente a su vía de acceso","1","Así lo establece el artículo 38.3. :contentReference[oaicite:10]{index=10}"
"¿Cómo se realizará la ordenación y adjudicación de las plazas dentro de cada cupo de reserva?","Atendiendo a los criterios de valoración establecidos para ese cupo","Por estricto orden de presentación de solicitudes","Mediante sorteo entre quienes integren el cupo","Con arreglo exclusivamente a la nota media del expediente","1","Así lo establece el artículo 38.4. :contentReference[oaicite:11]{index=11}"
"⭐⭐⭐ ¿Cuál de las siguientes afirmaciones sobre los cupos de reserva es correcta?","Constituyen un porcentaje mínimo del total de plazas ofertadas para cada título y centro","Se calculan únicamente sobre las plazas finalmente adjudicadas","Solo existen para universidades privadas","Son idénticos para todas las formas de acceso","1","El artículo 38.1 del Real Decreto 534/2024 establece que, del total de plazas que las universidades públicas oferten para cada título y centro, deberán reservarse, como mínimo, los porcentajes previstos en los artículos 39 a 43."
