"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿Quiénes son empleados públicos según el artículo 8.1 del TREBEP?","Únicamente quienes tienen la condición de funcionario de carrera","Quienes desempeñan funciones retribuidas en las Administraciones Públicas al servicio de los intereses generales","Únicamente el personal laboral fijo","Cualquier persona que preste un servicio ocasional a la Administración, aunque no sea retribuido","2","El art. 8.1 del TREBEP dispone: 'Son empleados públicos quienes desempeñan funciones retribuidas en las Administraciones Públicas al servicio de los intereses generales'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a8"
"¿En cuántas clases se clasifican los empleados públicos según el artículo 8.2 del TREBEP?","Dos: funcionarios y laborales","Tres: funcionarios de carrera, funcionarios interinos y personal laboral","Cuatro: funcionarios de carrera, funcionarios interinos, personal laboral y personal eventual","Cinco, incluyendo al personal directivo como clase separada","3","El art. 8.2 del TREBEP clasifica a los empleados públicos en: a) funcionarios de carrera; b) funcionarios interinos; c) personal laboral, ya sea fijo, por tiempo indefinido o temporal; y d) personal eventual. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a8"
"¿Qué son los funcionarios de carrera según el artículo 9.1 del TREBEP?","Quienes prestan servicios ocasionales sin nombramiento formal","Quienes, en virtud de nombramiento legal, están vinculados a una Administración Pública por una relación estatutaria regulada por el Derecho Administrativo para el desempeño de servicios profesionales retribuidos de carácter permanente","Quienes desempeñan funciones de confianza o asesoramiento especial","Quienes tienen un contrato de trabajo formalizado por escrito","2","El art. 9.1 del TREBEP dispone: 'Son funcionarios de carrera quienes, en virtud de nombramiento legal, están vinculados a una Administración Pública por una relación estatutaria regulada por el Derecho Administrativo para el desempeño de servicios profesionales retribuidos de carácter permanente'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a9"
"¿A quién corresponde exclusivamente, según el artículo 9.2 del TREBEP, el ejercicio de funciones que impliquen la participación en el ejercicio de potestades públicas o en la salvaguardia de los intereses generales del Estado?","Al personal laboral indefinido","Exclusivamente a los funcionarios públicos","Al personal eventual de confianza","A cualquier empleado público, sin distinción","2","El art. 9.2 del TREBEP dispone: 'En todo caso, el ejercicio de las funciones que impliquen la participación directa o indirecta en el ejercicio de las potestades públicas o en la salvaguardia de los intereses generales del Estado y de las Administraciones Públicas corresponden exclusivamente a los funcionarios públicos'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a9"
"¿Cuál de las siguientes NO es una circunstancia que justifica, según el artículo 10.1 del TREBEP, el nombramiento de un funcionario interino?","La existencia de plazas vacantes cuando no sea posible su cobertura por funcionarios de carrera","La sustitución transitoria de los titulares","La ejecución de programas de carácter temporal","La preferencia personal del funcionario por trabajar de forma temporal sin causa alguna","4","El art. 10.1 del TREBEP tasa las circunstancias que permiten el nombramiento de funcionarios interinos: existencia de plazas vacantes (máximo tres años), sustitución transitoria de titulares, ejecución de programas temporales (máximo tres años, ampliable doce meses más), y exceso o acumulación de tareas (máximo nueve meses en dieciocho). No cabe un nombramiento interino por la mera preferencia personal del empleado, sin concurrir alguna de esas causas tasadas. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a10"
"¿Cuál es el plazo máximo, con carácter general, para el nombramiento de un funcionario interino por existencia de plazas vacantes, según el artículo 10.1.a) del TREBEP?","Un año","Dos años","Tres años","Cinco años","3","El art. 10.1.a) del TREBEP dispone que el funcionario interino puede nombrarse para cubrir plazas vacantes, cuando no sea posible su cobertura por funcionarios de carrera, 'por un máximo de tres años, en los términos previstos en el apartado 4'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a10"
"¿Da lugar el nombramiento de un funcionario interino, conforme a los procedimientos de selección del artículo 10.2 del TREBEP, al reconocimiento de la condición de funcionario de carrera?","Sí, automáticamente tras dos años de servicio","No, el nombramiento derivado de estos procedimientos de selección en ningún caso dará lugar al reconocimiento de la condición de funcionario de carrera","Sí, si supera un examen adicional simplificado","Sí, siempre que la plaza quede vacante definitivamente","2","El art. 10.2 del TREBEP dispone: 'El nombramiento derivado de estos procedimientos de selección en ningún caso dará lugar al reconocimiento de la condición de funcionario de carrera'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a10"
"¿Qué es el personal laboral según el artículo 11.1 del TREBEP?","Quien, en virtud de contrato de trabajo formalizado por escrito, presta servicios retribuidos por las Administraciones Públicas","Quien únicamente presta servicios de confianza política","Quien ejerce potestades públicas por nombramiento legal","Quien realiza labores voluntarias no retribuidas","1","El art. 11.1 del TREBEP dispone: 'Es personal laboral el que en virtud de contrato de trabajo formalizado por escrito, en cualquiera de las modalidades de contratación de personal previstas en la legislación laboral, presta servicios retribuidos por las Administraciones Públicas'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a11"
"¿Qué es el personal eventual según el artículo 12.1 del TREBEP?","Quien, en virtud de nombramiento y con carácter no permanente, solo realiza funciones expresamente calificadas como de confianza o asesoramiento especial","Quien ocupa una plaza vacante mientras se resuelve el proceso selectivo definitivo","Quien tiene la condición de funcionario de carrera en prácticas","Quien sustituye temporalmente a un funcionario de carrera de baja médica","1","El art. 12.1 del TREBEP dispone: 'Es personal eventual el que, en virtud de nombramiento y con carácter no permanente, sólo realiza funciones expresamente calificadas como de confianza o asesoramiento especial, siendo retribuido con cargo a los créditos presupuestarios consignados para este fin'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a12"
"¿Puede constituir mérito la condición de personal eventual para el acceso a la función pública, según el artículo 12.4 del TREBEP?","Sí, siempre se valora positivamente","No, la condición de personal eventual no podrá constituir mérito para el acceso a la Función Pública o para la promoción interna","Solo si se ha ejercido durante más de cinco años","Solo si lo autoriza expresamente el órgano convocante","2","El art. 12.4 del TREBEP dispone: 'La condición de personal eventual no podrá constituir mérito para el acceso a la Función Pública o para la promoción interna'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a12"
