"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿Quién propone el candidato a Defensor Universitario para su elección por el Claustro?","El Rector, oídos los representantes de los estudiantes, del personal de administración y servicios y del profesorado","El Consejo de Gobierno, previo informe del Claustro","El Secretario General, previo acuerdo del Consejo Social","El Claustro Universitario por iniciativa de una quinta parte de sus miembros","1","El artículo 127.1 establece que corresponde al Rector proponer el candidato, tras oír a los representantes de estudiantes, PAS y profesorado."
"¿Qué mayoría se exige para la elección del Defensor Universitario por el Claustro?","Mayoría simple de los miembros presentes","Mayoría absoluta del número legal de miembros del Claustro","La mitad más uno de los miembros del Claustro","Dos tercios de los miembros presentes","3","El artículo 127.1 exige que el candidato obtenga los votos de la mitad más uno de los miembros del Claustro."
"¿Cuál de las siguientes causas permite el cese del Defensor Universitario por acuerdo del Claustro?","La finalización de cada curso académico","El incumplimiento de sus obligaciones o actuaciones que den lugar a lesión de derechos","La pérdida de la confianza del Rector","La aprobación de una moción de censura presentada por el Consejo de Gobierno","2","El artículo 127.2 contempla únicamente el incumplimiento de sus obligaciones o actuaciones que den lugar a lesión de derechos, además de la petición propia."
"¿Con qué mayoría puede el Claustro acordar el cese del Defensor Universitario?","Mayoría simple","La misma mayoría exigida para su elección","Tres quintos de los miembros del Claustro","Mayoría absoluta de los miembros presentes","2","El artículo 127.2 dispone que el acuerdo de cese requiere la misma mayoría que la elección."
"¿Cuál es la duración del mandato del Defensor Universitario?","Dos años, renovables una vez","Tres años, con posibilidad de una sola reelección","Cuatro años, sin posibilidad de reelección","Cinco años, renovables indefinidamente","2","Así lo establece el artículo 128.1."
"¿Quién puede promover la reelección del Defensor Universitario?","Únicamente el Rector","El Rector o un grupo de miembros del Claustro que represente al menos una quinta parte de sus miembros","El Consejo de Gobierno o el Consejo Social","La Junta Consultiva","2","El artículo 128.1 atribuye la iniciativa al Rector o a un grupo de miembros del Claustro que represente al menos una quinta parte."
"¿Quién propone al Defensor Universitario Adjunto?","El Rector","El Claustro Universitario","El propio candidato a Defensor Universitario","El Secretario General","3","El artículo 128.2 dispone que el candidato propondrá un Adjunto de su confianza."
"¿Con qué mayoría es designado el Defensor Universitario Adjunto?","Mayoría absoluta","Mayoría simple","Tres quintos","La mitad más uno de los miembros del Claustro","2","El artículo 128.2 establece que será designado por mayoría simple."
"¿A qué cargo se equipara retributivamente el Defensor Universitario?","Gerente","Secretario General","Vicerrector","Decano","3","El artículo 128.3 equipara al Defensor Universitario con el cargo de Vicerrector a efectos de complementos retributivos."
"¿A qué cargo se equipara retributivamente el Defensor Universitario Adjunto?","Director de Departamento","Vicedecano","Gerente","Secretario General","2","El artículo 128.3 equipara al Defensor Universitario Adjunto al cargo de Vicedecano."
"¿Cuándo debe presentar el Defensor Universitario la memoria anual de actividades?","Al finalizar el año natural","Al comienzo de cada curso académico","Durante el último Claustro del curso","Antes de la aprobación del presupuesto","2","El artículo 128.4 establece que la memoria se presenta al principio de cada curso académico."
"Además de la memoria anual, ¿cuándo informará el Defensor Universitario ante el Claustro?","Cuando lo solicite el Consejo de Gobierno","Por iniciativa propia o a petición de una quinta parte del Claustro","Cuando lo requiera el Rector exclusivamente","Únicamente cuando exista una reclamación colectiva","2","Así lo dispone el artículo 128.4."
"¿Quién proveerá el apoyo administrativo y los medios económicos necesarios para el funcionamiento del Defensor Universitario?","El Consejo Social","El Rector, de acuerdo con el Defensor Universitario","El Consejo de Gobierno","El Gerente","2","El artículo 129 atribuye esta función al Rector, de acuerdo con el Defensor Universitario."
"¿Entre quiénes puede ser designado el Defensor Universitario?","Entre cualquier miembro de la comunidad universitaria","Entre profesores y personal de administración y servicios de la propia Universidad","Entre profesores doctores exclusivamente","Entre profesores, estudiantes y personal de administración y servicios","2","El artículo 130 limita la designación a profesores y personal de administración y servicios de la Universidad."
"¿Hasta qué porcentaje máximo podrán reducir sus tareas propias quienes desempeñen el cargo de Defensor Universitario?","Hasta un 25 %","Hasta un 40 %","Hasta un 50 %","Hasta un 75 %","3","El artículo 130 establece una reducción máxima del cincuenta por ciento."
"¿Qué obligación tienen las autoridades académicas y los servicios de la Universidad respecto del Defensor Universitario?","Facilitar únicamente la información que solicite el Rector","Prestar el apoyo necesario para el cumplimiento de sus funciones","Remitirle trimestralmente informes de actividad","Someter sus actuaciones a autorización previa","2","Así lo establece el artículo 131."
"¿Quién propone el Reglamento de organización y funcionamiento del Defensor Universitario?","El Claustro Universitario","El Rector, oído el Defensor Universitario","El Consejo Social","El propio Defensor Universitario","2","El artículo 132.1 atribuye esta iniciativa al Rector, oído el Defensor Universitario."
"¿Qué órgano aprueba el Reglamento de organización y funcionamiento del Defensor Universitario?","El Claustro Universitario","El Consejo de Gobierno","El Rector","El Consejo Social","2","El artículo 132.1 establece que corresponde al Consejo de Gobierno aprobarlo."
"Para el desarrollo de sus actuaciones, el Defensor Universitario deberá oír...","Al Consejo de Gobierno","Al Rector","A los representantes del sector de la comunidad universitaria concernido","Al Secretario General","3","Así lo establece el artículo 132.2."
"¿Cómo se compone el órgano de participación y asesoramiento del Defensor Universitario?","Tres representantes de cada sector de la comunidad universitaria","Dos estudiantes, dos miembros del PAS y dos miembros del PDI","Un representante de cada Facultad y Escuela","Seis miembros designados libremente por el Rector","2","El artículo 132.3 fija esta composición."
"Respecto a la iniciativa para la reelección del Defensor Universitario, ¿qué porcentaje mínimo de miembros del Claustro debe respaldarla cuando no parte del Rector?","Una décima parte","Una quinta parte","Un tercio","La mitad de los miembros","2","El artículo 128.1 exige que la iniciativa proceda de un grupo que represente, al menos, una quinta parte de los miembros del Claustro."
"¿Cuál de las siguientes actuaciones corresponde al Claustro por mayoría simple?","Elegir al Defensor Universitario","Acordar el cese del Defensor Universitario","Designar al Defensor Universitario Adjunto","Aprobar el Reglamento del Defensor Universitario","3","El artículo 128.2 establece que el Adjunto será designado por el Claustro por mayoría simple."
"¿Qué órgano aprueba el Reglamento de organización y funcionamiento del Defensor Universitario?","El Claustro Universitario","El Rector","El Consejo de Gobierno","El Consejo Social","3","Conforme al artículo 132.1, el Reglamento es aprobado por el Consejo de Gobierno, a propuesta del Rector."
"Antes de proponer el Reglamento de organización y funcionamiento del Defensor Universitario, ¿a quién debe oír el Rector?","Al Claustro Universitario","Al Consejo de Gobierno","Al propio Defensor Universitario","Al Secretario General","3","El artículo 132.1 exige que el Rector oiga previamente al Defensor Universitario."
"¿Cuál de las siguientes afirmaciones sobre el Defensor Universitario es correcta?","Puede ser designado entre cualquier miembro de la comunidad universitaria","Debe ser necesariamente profesor doctor","Puede ser designado entre profesores y personal de administración y servicios de la propia Universidad","Debe pertenecer al Claustro Universitario","3","El artículo 130 limita los candidatos a profesores y personal de administración y servicios."
"Según el artículo 130 de los Estatutos, ¿hasta qué porcentaje máximo pueden reducirse las tareas propias de quienes desempeñen la función de Defensor Universitario?","Hasta un tercio","Hasta el 40 %","Hasta el 50 %","Hasta el 60 %","3","El artículo 130 establece una reducción máxima del cincuenta por ciento."
