"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿Cuáles son los dos recursos administrativos ordinarios (no extraordinarios) que pueden interponerse contra resoluciones y actos de trámite cualificados, según el artículo 112.1 de la Ley 39/2015?","El recurso de alzada y el recurso potestativo de reposición","El recurso de casación y el recurso de amparo","El recurso de súplica y el recurso de queja","El recurso contencioso-administrativo y el recurso de amparo","1","El art. 112.1 LPAC dispone que contra las resoluciones y los actos de trámite cualificados (que decidan directa o indirectamente el fondo, hagan imposible continuar el procedimiento, o produzcan indefensión o perjuicio irreparable) 'podrán interponerse por los interesados los recursos de alzada y potestativo de reposición, que cabrá fundar en cualquiera de los motivos de nulidad o anulabilidad previstos en los artículos 47 y 48 de esta Ley'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a112"
"¿Cabe recurso en vía administrativa contra las disposiciones administrativas de carácter general según el artículo 112.3 de la Ley 39/2015?","Sí, cabe recurso de alzada directo","No, contra las disposiciones administrativas de carácter general no cabrá recurso en vía administrativa, si bien los recursos contra un acto que se funden únicamente en la nulidad de una disposición general podrán interponerse directamente ante el órgano que la dictó","Solo cabe recurso potestativo de reposición","Solo cabe recurso extraordinario de revisión","2","El art. 112.3 LPAC dispone: 'Contra las disposiciones administrativas de carácter general no cabrá recurso en vía administrativa. Los recursos contra un acto administrativo que se funden únicamente en la nulidad de alguna disposición administrativa de carácter general podrán interponerse directamente ante el órgano que dictó dicha disposición'. Este es el llamado 'recurso indirecto' contra reglamentos. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a112"
"¿Cuándo procede el recurso extraordinario de revisión según el artículo 113 de la Ley 39/2015?","Contra cualquier acto administrativo, en cualquier momento","Únicamente contra actos firmes en vía administrativa, cuando concurra alguna de las circunstancias tasadas del artículo 125.1","Solo contra actos de trámite","Solo en procedimientos sancionadores","2","El art. 113 LPAC dispone: 'Contra los actos firmes en vía administrativa, sólo procederá el recurso extraordinario de revisión cuando concurra alguna de las circunstancias previstas en el artículo 125.1'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a113"
"¿Cuál de las siguientes resoluciones NO pone fin a la vía administrativa según el artículo 114.1 de la Ley 39/2015?","Las resoluciones de los recursos de alzada","Las resoluciones de los órganos administrativos que carezcan de superior jerárquico, salvo que una Ley establezca lo contrario","Los acuerdos, pactos, convenios o contratos que tengan la consideración de finalizadores del procedimiento","Un simple acto de trámite que no decide sobre el fondo del asunto","4","El art. 114.1 LPAC enumera como actos que ponen fin a la vía administrativa: las resoluciones de recursos de alzada, las de los procedimientos sustitutivos del art. 112.2, las de órganos sin superior jerárquico, los acuerdos o convenios finalizadores del procedimiento, la resolución de responsabilidad patrimonial, la de procedimientos complementarios sancionadores del art. 90.4, y otras que una norma establezca. Un simple acto de trámite ordinario, sin ese carácter cualificado, no pone fin a la vía administrativa. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a114"
"¿Puede el error o ausencia de calificación del recurso por parte del recurrente ser obstáculo para su tramitación, según el artículo 115.2 de la Ley 39/2015?","Sí, siempre se inadmite si el recurrente se equivoca de recurso","No, el error o la ausencia de calificación del recurso no será obstáculo para su tramitación, siempre que se deduzca su verdadero carácter","Solo se admite el error si lo comete un abogado","Solo se admite en recursos de alzada, no en los de reposición","2","El art. 115.2 LPAC dispone: 'El error o la ausencia de la calificación del recurso por parte del recurrente no será obstáculo para su tramitación, siempre que se deduzca su verdadero carácter'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a115"
"¿Pueden alegar los vicios y defectos que hacen anulable un acto quienes los hubieren causado, según el artículo 115.3 de la Ley 39/2015?","Sí, sin ninguna restricción","No, los vicios y defectos que hagan anulable un acto no podrán ser alegados por quienes los hubieren causado","Solo si lo autoriza el órgano competente","Solo en recursos de reposición","2","El art. 115.3 LPAC dispone: 'Los vicios y defectos que hagan anulable un acto no podrán ser alegados por quienes los hubieren causado'. Esta regla impide que quien provocó el vicio se beneficie invocándolo a su favor (principio de que 'nadie puede alegar su propia torpeza'). https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a115"
"¿Cuál de las siguientes NO es una causa de inadmisión de un recurso administrativo según el artículo 116 de la Ley 39/2015?","Ser incompetente el órgano administrativo, cuando el competente perteneciera a otra Administración Pública","Carecer de legitimación el recurrente","Que el recurso se hubiera presentado un día antes de que finalizara el plazo","Carecer el recurso manifiestamente de fundamento","3","El art. 116 LPAC enumera como causas de inadmisión: incompetencia del órgano (perteneciendo el competente a otra Administración), falta de legitimación, tratarse de acto no recurrible, haber transcurrido el plazo para recurrir, y carecer manifiestamente de fundamento. Presentar el recurso un día antes de vencer el plazo es, precisamente, presentarlo en plazo, por lo que no constituye causa de inadmisión. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a116"
"¿Suspende, con carácter general, la interposición de un recurso administrativo la ejecución del acto impugnado, según el artículo 117.1 de la Ley 39/2015?","Sí, siempre suspende automáticamente","No, salvo que una disposición establezca lo contrario","Solo si el recurrente lo solicita expresamente y sin más requisitos","Solo en recursos de alzada, no en los de reposición","2","El art. 117.1 LPAC dispone: 'La interposición de cualquier recurso, excepto en los casos en que una disposición establezca lo contrario, no suspenderá la ejecución del acto impugnado'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a117"
"¿En qué plazo se entiende suspendida la ejecución de un acto impugnado si el órgano competente no resuelve expresamente sobre la solicitud de suspensión, según el artículo 117.3 de la Ley 39/2015?","Quince días","Un mes desde que la solicitud de suspensión tuvo entrada en el registro electrónico competente","Tres meses","Seis meses","2","El art. 117.3 LPAC dispone: 'La ejecución del acto impugnado se entenderá suspendida si transcurrido un mes desde que la solicitud de suspensión haya tenido entrada en el registro electrónico de la Administración u Organismo competente para decidir sobre la misma, el órgano a quien competa resolver el recurso no ha dictado y notificado resolución expresa al respecto'. Es un supuesto de silencio positivo específico para la suspensión cautelar. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a117"
"¿Cuál de las siguientes circunstancias justifica que el órgano competente para resolver el recurso pueda acordar la suspensión de la ejecución del acto impugnado, según el artículo 117.2 de la Ley 39/2015?","Que la ejecución pudiera causar perjuicios de imposible o difícil reparación, o que la impugnación se fundamente en alguna causa de nulidad de pleno derecho del artículo 47.1","Que el recurrente sea una persona jurídica","Que el acto haya sido dictado hace más de un año","Que lo solicite un tercero ajeno al procedimiento","1","El art. 117.2 LPAC permite al órgano competente, previa ponderación razonada de los intereses en juego, suspender la ejecución de oficio o a solicitud del recurrente cuando: a) la ejecución pudiera causar perjuicios de imposible o difícil reparación; o b) la impugnación se fundamente en alguna de las causas de nulidad de pleno derecho del artículo 47.1. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a117"
