Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Respuesta correcta,Explicación
"¿En cuántos artículos y títulos se estructura la Ley Orgánica 3/2018, de 5 de diciembre?",Ochenta artículos en ocho títulos,Noventa y siete artículos estructurados en diez títulos,Ciento veinte artículos en doce títulos,Setenta artículos en seis títulos,2,"Según su propia exposición de motivos, la Ley Orgánica 3/2018 consta de noventa y siete artículos estructurados en diez títulos, veintidós disposiciones adicionales, seis disposiciones transitorias, una disposición derogatoria y dieciséis disposiciones finales. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673"
⭐⭐⭐ ¿Cuál es el doble objeto de la Ley Orgánica 3/2018 según su artículo 1?,"Adaptar el ordenamiento español al Reglamento (UE) 2016/679 y completar sus disposiciones, y garantizar los derechos digitales de la ciudadanía conforme al artículo 18.4 de la Constitución","Adaptar el ordenamiento español al Reglamento (UE) 2017/679 y completar sus disposiciones, y garantizar los derechos digitales de la ciudadanía conforme al artículo 18.4 de la Constitución","Adaptar el ordenamiento español al Reglamento (UE) 2018/679 y completar sus disposiciones, y garantizar los derechos digitales de la ciudadanía conforme al artículo 18.4 de la Constitución","Adaptar el ordenamiento español al Reglamento (UE) 2015/679 y completar sus disposiciones, y garantizar los derechos digitales de la ciudadanía conforme al artículo 18.4 de la Constitución",1,El art. 1 de la Ley Orgánica 3/2018 dispone que la ley tiene por objeto: a) adaptar el ordenamiento jurídico español al Reglamento (UE) 2016/679 y completar sus disposiciones; y b) garantizar los derechos digitales de la ciudadanía conforme al mandato establecido en el artículo 18.4 de la Constitución. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a1
"👑 Conforme al artículo 1 de la Ley Orgánica 3/2018, de 5 de diciembre, ¿cuál de las siguientes afirmaciones es correcta?","La Ley tiene por objeto adaptar el ordenamiento jurídico español al Reglamento (UE) 2016/679 y completar sus disposiciones, así como garantizar los derechos digitales de la ciudadanía conforme al artículo 18.4 de la Constitución.","La Ley tiene por objeto transponer al ordenamiento español la Directiva (UE) 2016/680 y garantizar los derechos digitales de la ciudadanía conforme al artículo 18.4 de la Constitución.","La Ley tiene por objeto desarrollar exclusivamente el derecho fundamental a la protección de datos reconocido en el artículo 18.4 de la Constitución, sin incorporar previsiones relativas a los derechos digitales.","La Ley tiene por objeto adaptar el ordenamiento jurídico español al Reglamento (UE) 2016/679 y establecer un régimen completo y autónomo de protección de datos al margen de las disposiciones del Derecho de la Unión Europea.","1","El artículo 1 de la Ley Orgánica 3/2018 establece dos objetos: en primer lugar, adaptar el ordenamiento jurídico español al Reglamento (UE) 2016/679 y completar sus disposiciones; y, en segundo lugar, garantizar los derechos digitales de la ciudadanía conforme al mandato establecido en el artículo 18.4 de la Constitución. La Ley no tiene por objeto transponer la Directiva (UE) 2016/680, ni establece un régimen autónomo separado del Reglamento europeo."
"¿Con arreglo a qué normas se ejercerá el derecho fundamental a la protección de datos personales, según el artículo 1 de la Ley Orgánica 3/2018?",Con arreglo a lo establecido en el Reglamento (UE) 2017/679 y en esta ley orgánica,Con arreglo a lo establecido en el Reglamento (UE) 2016/679 y en esta ley orgánica,Con arreglo a lo establecido en el Reglamento (UE) 2015/679 y en esta ley orgánica,Con arreglo a lo establecido en el Reglamento (UE) 2018/679 y en esta ley orgánica,2,"El art. 1 de la Ley Orgánica 3/2018 dispone que el derecho fundamental de las personas físicas a la protección de datos personales, amparado por el art. 18.4 de la Constitución, 'se ejercerá con arreglo a lo establecido en el Reglamento (UE) 2016/679 y en esta ley orgánica'. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a1"
"¿A qué se aplica lo dispuesto en los Títulos I a IX y en los artículos 89 a 94 de la Ley Orgánica 3/2018, según su artículo 2.1?",La base jurídica del tratamiento y el deber de información al afectado en los términos del RGPD,"A cualquier tratamiento total o parcialmente automatizado de datos personales, así como al tratamiento no automatizado de datos personales contenidos o destinados a ser incluidos en un fichero",La intervención del delegado de protección de datos antes de resolver reclamaciones,La corresponsabilidad del tratamiento mediante acuerdo que delimite funciones respectivas,2,"El art. 2.1 de la Ley Orgánica 3/2018 dispone: 'Lo dispuesto en los Títulos I a IX y en los artículos 89 a 94 de la presente ley orgánica se aplica a cualquier tratamiento total o parcialmente automatizado de datos personales, así como al tratamiento no automatizado de datos personales contenidos o destinados a ser incluidos en un fichero'. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a2"
¿Cuál de los siguientes tratamientos NO queda excluido del ámbito de aplicación de la Ley Orgánica 3/2018 según su artículo 2.2?,Los tratamientos excluidos del ámbito del Reglamento general de protección de datos por su artículo 2.2,"Los tratamientos de datos de personas fallecidas, sin perjuicio de lo establecido en el artículo 3",Los tratamientos sometidos a la normativa sobre protección de materias clasificadas,Los tratamientos realizados por empresas privadas con fines comerciales,4,El art. 2.2 de la Ley Orgánica 3/2018 excluye del ámbito de aplicación de la ley: a) los tratamientos excluidos del Reglamento europeo por su art. 2.2; b) los tratamientos de datos de personas fallecidas (sin perjuicio del art. 3); y c) los tratamientos sometidos a la normativa sobre materias clasificadas. Los tratamientos de empresas privadas con fines comerciales sí quedan sujetos a la Ley. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a2
"¿Cómo se rigen los tratamientos a los que no sea directamente aplicable el Reglamento (UE) 2016/679 por afectar a actividades no comprendidas en el Derecho de la Unión Europea, según el artículo 2.3 de la Ley Orgánica 3/2018?","Por su legislación específica si la hubiere y, supletoriamente, por el Reglamento (UE) 2017/679 y la Ley Orgánica 3/2018","Por su legislación específica si la hubiere y, supletoriamente, por el Reglamento (UE) 2016/679 y la Ley Orgánica 3/2018","Por su legislación específica si la hubiere y, supletoriamente, por el Reglamento (UE) 2015/679 y la Ley Orgánica 3/2018",Por la legislación de la Unión Europea de forma directa y exclusiva,2,"El art. 2.3 de la Ley Orgánica 3/2018 dispone que estos tratamientos 'se regirán por lo dispuesto en su legislación específica si la hubiere y supletoriamente por lo establecido en el citado reglamento y en la presente ley orgánica', citando como ejemplos los tratamientos del régimen electoral general, instituciones penitenciarias y los Registros Civil, de la Propiedad y Mercantiles. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a2"
"¿Quiénes pueden dirigirse al responsable o encargado del tratamiento para solicitar el acceso a los datos personales de una persona fallecida, según el artículo 3.1 de la Ley Orgánica 3/2018?",La base jurídica del tratamiento y el deber de información al afectado en los términos del RGPD,"Las personas vinculadas al fallecido por razones familiares o de hecho, así como sus herederos",La intervención del delegado de protección de datos antes de resolver reclamaciones,La corresponsabilidad del tratamiento mediante acuerdo que delimite funciones respectivas,2,"El art. 3.1 de la Ley Orgánica 3/2018 dispone: 'Las personas vinculadas al fallecido por razones familiares o de hecho así como sus herederos podrán dirigirse al responsable o encargado del tratamiento al objeto de solicitar el acceso a los datos personales de aquella y, en su caso, su rectificación o supresión'. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a3"
"¿Qué ocurre si la persona fallecida hubiese prohibido expresamente el acceso a sus datos por sus allegados, según el artículo 3.1 de la Ley Orgánica 3/2018?","Las personas vinculadas al fallecido no deberán acceder a esos datos ni solicitar su rectificación o supresión, si bien esta prohibición no afectará al derecho de los herederos a acceder a los datos de carácter patrimonial del causante","Las personas vinculadas al fallecido no podrán acceder a esos datos ni solicitar su rectificación o supresión, si bien esta prohibición no afectará al derecho de los herederos a acceder a los datos de carácter patrimonial del causante",La base jurídica del tratamiento y el deber de información al afectado en los términos del RGPD,La intervención del delegado de protección de datos antes de resolver reclamaciones,2,"El art. 3.1, párrafo segundo, de la Ley Orgánica 3/2018 dispone: 'Las personas... no podrán acceder a los datos del causante, ni solicitar su rectificación o supresión, cuando la persona fallecida lo hubiese prohibido expresamente o así lo establezca una ley. Dicha prohibición no afectará al derecho de los herederos a acceder a los datos de carácter patrimonial del causante'. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a3"
"¿Quién puede establecer los requisitos y condiciones para acreditar la validez y vigencia de los mandatos e instrucciones dejados por el fallecido sobre sus datos, según el artículo 3.2 de la Ley Orgánica 3/2018?",La base jurídica del tratamiento y el deber de información al afectado en los términos del RGPD,Mediante real decreto,La intervención del delegado de protección de datos antes de resolver reclamaciones,Cada Comunidad Autónoma libremente sin coordinación estatal,2,"El art. 3.2 de la Ley Orgánica 3/2018 dispone: 'Mediante real decreto se establecerán los requisitos y condiciones para acreditar la validez y vigencia de estos mandatos e instrucciones y, en su caso, el registro de los mismos'. https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673#a3"
