"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"En Word 2019, ¿qué función permite aplicar de forma conjunta y coherente características como fuente, tamaño, espaciado y formato a los títulos y párrafos de un documento?","Los estilos","Las tabulaciones","Los temas de página","Las propiedades del documento","1","Los estilos permiten aplicar de manera coherente un conjunto de características de formato a títulos, párrafos y otros elementos del documento."
"En Word 2019, ¿qué diferencia existe entre un salto de página y un salto de sección?","El salto de página inicia una nueva página, mientras que el salto de sección permite además establecer formatos diferentes para distintas partes del documento","El salto de página permite cambiar la orientación y los márgenes, mientras que el salto de sección solo inicia una nueva página","El salto de sección únicamente sirve para insertar una página en blanco, mientras que el salto de página permite modificar los encabezados","El salto de página divide el documento en secciones independientes, mientras que el salto de sección únicamente controla la paginación automática","1","Un salto de página inicia el contenido en una nueva página. Los saltos de sección permiten dividir el documento en secciones a las que se pueden aplicar configuraciones diferentes, como orientación, columnas, encabezados, pies o numeración."
"En Word 2019, ¿qué tipo de salto de sección permite comenzar una nueva sección en la misma página en la que termina la anterior?","Página siguiente","Continuo","Página impar","Página par","2","El salto de sección Continuo inicia la nueva sección en la misma página. Los saltos de Página siguiente, Página par y Página impar comienzan la nueva sección en otra página."
"Un usuario necesita sustituir todas las apariciones de una determinada palabra por otra en un documento de Word 2019. ¿Qué herramienta resulta específicamente adecuada para realizar esta operación?","Buscar y reemplazar","Control de cambios","Panel de navegación","Autocorrección","1","La herramienta Buscar y reemplazar permite localizar un texto y sustituirlo por otro, pudiendo utilizar la opción Reemplazar todo para modificar todas sus apariciones."
"⭐⭐⭐ En Word 2019, ¿qué ocurre al aplicar un estilo de título apropiado a los distintos encabezados de un documento?","Se aplica un formato predefinido y coherente y, además, los títulos pueden utilizarse para estructurar elementos como una tabla de contenido","Se convierte automáticamente el documento en una presentación y se eliminan los formatos de párrafo existentes","Se inserta automáticamente un salto de sección antes y después de cada título sin posibilidad de modificarlo","Se bloquea el contenido del título para impedir que pueda editarse posteriormente","1","Los estilos permiten aplicar un formato coherente a los títulos y, al utilizar estilos de título, Word puede emplearlos para funciones estructurales como la generación de una tabla de contenido."
"⭐⭐⭐ ¿Qué elemento de Word 2019 debe utilizarse cuando se quiere que un texto, como el título de un informe, aparezca de forma repetida en la parte superior de las páginas correspondientes?","Encabezado","Nota al pie","Tabulación","Comentario","1","El encabezado es el área situada en la parte superior de las páginas en la que puede incluirse contenido que se repita en las páginas correspondientes."
"En Word 2019, ¿para qué sirve principalmente la opción «Primera página diferente» disponible en la configuración de encabezados y pies de página?","Permite utilizar un encabezado o pie de página distinto, o no mostrarlo, en la primera página de una sección","Permite utilizar una orientación de página distinta únicamente en la primera página del documento","Permite cambiar automáticamente el tamaño de fuente de la primera página respecto de las restantes","Permite crear una primera página independiente sin que forme parte del documento","1","La opción «Primera página diferente» permite que el encabezado o pie de página de la primera página sea diferente del utilizado en las restantes páginas de la sección."
"⭐⭐⭐ En Word 2019, ¿qué finalidad tienen las listas con viñetas y las listas numeradas?","Organizar elementos de forma estructurada, utilizando símbolos o una secuencia de numeración según el tipo de lista","Aplicar automáticamente estilos de título a cada uno de los elementos de una lista","Dividir el documento en secciones independientes para cada elemento enumerado","Convertir automáticamente los elementos de la lista en celdas de una tabla","1","Las listas con viñetas organizan elementos mediante símbolos, mientras que las listas numeradas utilizan una secuencia de numeración para estructurarlos."
"En Word 2019, si se desea presentar información organizada en filas y columnas dentro del documento, ¿qué elemento resulta más adecuado?","Una tabla","Un encabezado","Una tabulación","Un salto de sección","1","Las tablas permiten organizar información en filas y columnas dentro de un documento y ofrecen herramientas específicas para su edición y formato."
"⭐⭐⭐ En Word 2019, ¿qué finalidad tiene la función de combinar correspondencia?","Crear documentos personalizados para distintos destinatarios a partir de un documento principal y una fuente de datos","Combinar dos documentos de Word en uno solo conservando únicamente el formato del segundo","Unificar automáticamente los estilos utilizados en varios documentos abiertos","Convertir una tabla de Word en una hoja de cálculo manteniendo sus datos","1","La combinación de correspondencia permite generar documentos personalizados, como cartas o etiquetas, utilizando un documento principal y una fuente de datos con información variable de los destinatarios."
