"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Numero respuesta correcta","Explicación"
"¿Cuál es la regla general para la adjudicación de los contratos de las Administraciones Públicas?","Se realizará ordinariamente mediante una pluralidad de criterios basados en la mejor relación calidad-precio y mediante procedimiento abierto o restringido","Se realizará siempre mediante procedimiento abierto y con un único criterio basado en el precio","Se realizará ordinariamente mediante procedimiento negociado y con un único criterio de adjudicación","Se realizará mediante procedimiento restringido siempre que exista más de un criterio de adjudicación","1","El artículo 131.2 establece como regla general la utilización de una pluralidad de criterios basados en la mejor relación calidad-precio y de los procedimientos abierto o restringido. El negociado, diálogo competitivo y asociación para la innovación solo proceden en los supuestos legalmente establecidos."
"¿Qué procedimiento puede utilizarse en los supuestos previstos en el artículo 168?","El procedimiento negociado sin publicidad","El procedimiento restringido","El procedimiento abierto simplificado","El procedimiento de asociación para la innovación","1","El artículo 131.2 permite acudir al procedimiento negociado sin publicidad en los supuestos específicos del artículo 168."
"¿Qué procedimientos pueden utilizarse en los casos previstos en el artículo 167?","El diálogo competitivo o la licitación con negociación","El procedimiento negociado sin publicidad o el abierto simplificado","El procedimiento restringido o el contrato menor","Únicamente el procedimiento abierto","1","El artículo 131.2 remite al artículo 167 para los supuestos en que puede recurrirse al diálogo competitivo o a la licitación con negociación."
"¿Cómo pueden adjudicarse los contratos menores?","Directamente a cualquier empresario con capacidad de obrar y habilitación profesional necesaria, cumpliendo las normas del artículo 118","Mediante procedimiento abierto simplificado en todo caso","Mediante procedimiento restringido entre tres empresarios","Mediante procedimiento negociado con publicidad","1","El artículo 131.3 permite adjudicar directamente los contratos menores a cualquier empresario que tenga capacidad de obrar y la habilitación profesional necesaria, con cumplimiento del artículo 118."
"¿Qué especialidad existe para los contratos de asistencia sanitaria urgente con valor estimado inferior a 30.000 euros?","No se aplican las disposiciones de la LCSP relativas a la preparación y adjudicación del contrato, bastando justificar la urgencia, determinar el objeto, fijar el precio y designar la empresa","Deben adjudicarse siempre mediante procedimiento abierto simplificado","Deben adjudicarse mediante procedimiento negociado sin publicidad","Solo pueden celebrarse mediante contrato menor","1","El artículo 131.4 establece esta excepción específica para la asistencia sanitaria urgente con valor estimado inferior a 30.000 euros."
"¿Qué principios deben respetar los órganos de contratación al tratar a los licitadores y candidatos?","Igualdad, no discriminación, transparencia y proporcionalidad","Publicidad, secreto, jerarquía y descentralización","Mérito, capacidad, igualdad y antigüedad","Especialidad, subsidiariedad, eficacia y jerarquía","1","El artículo 132.1 exige tratamiento igualitario y no discriminatorio y actuación conforme a los principios de transparencia y proporcionalidad."
"¿Puede limitarse la participación en una contratación pública por razón de la forma jurídica o del ánimo de lucro?","No, salvo en los contratos reservados a las entidades previstas en la disposición adicional cuarta","Sí, siempre que el órgano de contratación lo justifique","Sí, cuando se trate de contratos de servicios","Sí, cuando la Administración considere preferible contratar con entidades sin ánimo de lucro","1","El artículo 132.1 prohíbe limitar la participación por la forma jurídica o el ánimo de lucro, salvo en los contratos reservados a entidades de la disposición adicional cuarta."
"¿Qué conducta está expresamente prohibida al diseñar una contratación pública?","Concebirla para eludir los requisitos de publicidad o restringir artificialmente la competencia","Utilizar varios criterios de adjudicación","Dividir un contrato en lotes cuando proceda legalmente","Establecer condiciones especiales de ejecución","1","El artículo 132.2 prohíbe diseñar la contratación con la intención de eludir requisitos de publicidad o procedimiento, o de restringir artificialmente la competencia."
"¿Puede el órgano de contratación favorecer o perjudicar indebidamente a determinados empresarios?","No, la contratación debe garantizar una competencia efectiva y evitar cualquier favorecimiento o perjuicio indebido","Sí, cuando exista una relación previa con la Administración","Sí, cuando la empresa haya contratado anteriormente con la Administración","Sí, si la medida permite acelerar la adjudicación","1","El artículo 132.2 prohíbe favorecer o perjudicar indebidamente a determinados empresarios."
"¿Qué principio debe respetarse respecto de la confidencialidad de determinada información de los licitadores?","El órgano de contratación no puede divulgar la información facilitada por los empresarios que estos hayan designado como confidencial, en los términos establecidos legalmente","Toda la documentación de los licitadores debe permanecer secreta hasta cinco años después del contrato","La confidencialidad depende exclusivamente de la decisión de la mesa","Solo puede protegerse la información económica","1","El artículo 133 regula la confidencialidad y protege la información que los empresarios hayan designado como confidencial, dentro de los límites legales."
"¿Puede un licitador declarar confidencial toda la documentación presentada?","No, la declaración de confidencialidad no puede extenderse a toda la oferta ni a toda la documentación sin justificación","Sí, siempre que lo indique expresamente en el sobre electrónico","Sí, cuando el contrato sea de servicios","Sí, pero únicamente en procedimientos restringidos","1","El artículo 133 impide convertir la confidencialidad en una declaración general que abarque indiscriminadamente toda la oferta; debe referirse a información que merezca esa protección."
"¿Qué ocurre con la información relativa a los secretos técnicos o comerciales de los licitadores?","Puede quedar protegida cuando tenga carácter confidencial conforme a la Ley","Debe publicarse siempre junto con la oferta económica","Solo puede protegerse en contratos sujetos a regulación armonizada","Debe destruirse al finalizar la licitación","1","El régimen del artículo 133 permite proteger la información que pueda perjudicar intereses comerciales legítimos, incluidos secretos técnicos o comerciales, siempre dentro de los límites legales."
"¿Qué finalidad tiene la regulación sobre comunicaciones en los procedimientos de contratación?","Favorecer la utilización de medios de comunicación y herramientas electrónicas en la contratación pública conforme a la Ley","Permitir exclusivamente las comunicaciones en papel","Garantizar que las ofertas se presenten siempre presencialmente","Evitar que los licitadores puedan comunicarse con la Administración","1","La LCSP establece como regla la utilización de medios electrónicos en las comunicaciones y presentación de ofertas, con las excepciones legalmente previstas."
"¿Qué deben garantizar los medios electrónicos utilizados en la contratación pública?","La integridad de los datos, la seguridad y las condiciones de igualdad entre los participantes","La identificación previa de todos los licitadores mediante certificado bancario","La imposibilidad de modificar cualquier documento administrativo","El acceso de todos los licitadores a las ofertas de los demás antes de su apertura","1","La utilización de medios electrónicos debe preservar la integridad y seguridad de las comunicaciones y garantizar condiciones adecuadas de concurrencia."
"¿Qué es el procedimiento abierto?","Aquel en el que cualquier empresario interesado puede presentar una proposición, sin que pueda negociarse con los licitadores los términos del contrato","Aquel en el que solo pueden presentar oferta los empresarios previamente seleccionados","Aquel en el que el órgano de contratación negocia individualmente las ofertas","Aquel en el que solo participan los empresarios invitados por la mesa de contratación","1","El artículo 156 configura el procedimiento abierto permitiendo que cualquier empresario interesado presente proposición y prohíbe negociar los términos del contrato con los licitadores."
"¿Puede negociarse con los licitadores en un procedimiento abierto?","No","Sí, cuando exista una diferencia inferior al 10 por ciento entre las ofertas","Sí, cuando lo autorice la mesa de contratación","Sí, únicamente en contratos de servicios","1","El artículo 156 establece expresamente que en el procedimiento abierto está prohibida toda negociación de los términos del contrato con los licitadores."
"En el procedimiento abierto, ¿quién puede presentar una proposición?","Cualquier empresario interesado que cumpla los requisitos exigidos","Únicamente los empresarios previamente invitados","Solo los empresarios seleccionados por la mesa","Solo los empresarios que hayan participado en una consulta preliminar","1","La característica esencial del procedimiento abierto es que cualquier empresario interesado puede presentar proposición, sin fase previa de selección de candidatos."
"¿Qué ocurre con la documentación acreditativa de los requisitos de capacidad y solvencia en el procedimiento abierto?","Debe presentarse conforme al artículo 140 junto con la documentación exigida por el procedimiento","Solo debe aportarla el adjudicatario después de la formalización","Debe presentarse únicamente cuando la mesa lo solicite después de valorar las ofertas","No es necesario acreditar solvencia en el procedimiento abierto","1","El procedimiento abierto exige que los licitadores acrediten los requisitos de capacidad y solvencia en los términos previstos en el artículo 140."
"En un procedimiento abierto sujeto a regulación armonizada, ¿cuál es el plazo general mínimo de presentación de proposiciones en contratos de obras, suministros y servicios?","Treinta y cinco días desde el envío del anuncio de licitación a la Oficina de Publicaciones de la Unión Europea","Quince días desde la publicación del anuncio en el perfil de contratante","Treinta días desde la publicación en el BOE","Cuarenta días desde la aprobación del expediente","1","El artículo 156 establece un plazo mínimo general de 35 días desde el envío del anuncio de licitación a la Oficina de Publicaciones de la Unión Europea para estos contratos."
"¿Puede reducirse el plazo general de 35 días del procedimiento abierto cuando las ofertas se presenten por medios electrónicos?","Sí, en cinco días","Sí, en diez días","Sí, en quince días","No, nunca puede reducirse","1","El artículo 156 permite reducir en cinco días el plazo general cuando el órgano de contratación acepte la presentación de ofertas por medios electrónicos."
"¿Qué plazo mínimo puede establecerse en un procedimiento abierto sujeto a regulación armonizada cuando se haya publicado previamente un anuncio de información previa cumpliendo los requisitos legales?","Quince días, en los términos establecidos por la Ley","Diez días en todos los casos","Veinte días sin necesidad de requisitos adicionales","Cinco días cuando se trate de suministros","1","El artículo 156 permite reducir el plazo cuando se haya publicado previamente un anuncio de información previa que cumpla las condiciones establecidas legalmente."
"¿Qué ocurre con el plazo de presentación de proposiciones en un procedimiento abierto cuando se declara la urgencia del expediente?","Puede reducirse en los términos previstos en el artículo 119, respetando las especialidades aplicables a los contratos sujetos a regulación armonizada","Siempre queda reducido a cinco días","Se mantiene necesariamente en 35 días","Se elimina la necesidad de plazo mínimo","1","La tramitación urgente permite reducir los plazos conforme al artículo 119, pero existen especialidades y límites para los contratos sujetos a regulación armonizada."
"¿Qué debe hacer el órgano de contratación si la documentación o información adicional solicitada a su debido tiempo no se facilita a los licitadores?","Debe ampliar el plazo para presentar ofertas en los términos previstos legalmente cuando resulte necesario para que todos puedan disponer de la información","Debe excluir automáticamente a quienes solicitaron la información","Debe adjudicar el contrato sin más trámites","Debe cancelar siempre la licitación","1","La LCSP contempla la ampliación del plazo cuando la información adicional solicitada a tiempo no se facilite en las condiciones legalmente previstas."
"¿Puede el órgano de contratación reducir los plazos del procedimiento abierto por mera conveniencia administrativa?","No, las reducciones solo pueden aplicarse cuando concurran las circunstancias previstas legalmente","Sí, siempre que el contrato sea inferior a 100.000 euros","Sí, mediante decisión de la mesa de contratación","Sí, cuando existan al menos tres ofertas potenciales","1","Los plazos de presentación de proposiciones están legalmente determinados y sus reducciones solo pueden aplicarse en los supuestos expresamente previstos."
"¿Qué característica tiene la apertura de las proposiciones en el procedimiento abierto?","Se realiza después de que finalice el plazo de presentación de ofertas y conforme a las reglas de la Ley","Puede realizarse antes de que termine el plazo si todas las ofertas ya han sido recibidas","La mesa puede abrirlas progresivamente durante el plazo de presentación","El contratista puede conocer las ofertas antes de la apertura oficial","1","La apertura de proposiciones debe garantizar que ninguna oferta sea conocida antes de que finalice el plazo correspondiente."
"¿Qué debe comprobar la mesa de contratación antes de valorar las proposiciones cuando interviene en el procedimiento abierto?","La documentación acreditativa del cumplimiento de los requisitos previos y la ausencia de causas de prohibición de contratar en los términos del artículo 140","Únicamente el precio ofertado","Solo la experiencia profesional del licitador","La solvencia únicamente después de adjudicar","1","La mesa debe examinar la documentación relativa a los requisitos previos y posteriormente valorar las proposiciones conforme a los criterios establecidos."
"¿Qué criterio general debe presidir la adjudicación de los contratos?","La mejor relación calidad-precio","El precio más bajo en todos los casos","La antigüedad de la empresa","La proximidad geográfica del contratista","1","El artículo 145 establece como regla general la utilización de una pluralidad de criterios basados en la mejor relación calidad-precio."
"¿Puede utilizarse únicamente el precio como criterio de adjudicación?","Sí, cuando proceda conforme a la naturaleza del contrato y se cumplan las condiciones legales","No, porque siempre son obligatorios varios criterios","Sí, pero únicamente en contratos SARA","Solo en contratos de concesión de servicios","1","La LCSP permite que el precio sea el único criterio en determinados contratos, aunque la regla general sea la pluralidad de criterios basada en la mejor relación calidad-precio."
