"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"Según el Preámbulo de la Ley 53/1984, ¿cuál constituye el principio fundamental sobre el que se articula el régimen de incompatibilidades?","La dedicación del personal al servicio de las Administraciones Públicas a un solo puesto de trabajo, salvo las excepciones que demande el propio servicio público.","La prohibición absoluta de ejercer cualquier actividad privada.","La obligación de desempeñar exclusivamente puestos obtenidos por concurso.","La incompatibilidad entre todos los empleos públicos sin excepción.","1","El Preámbulo establece como principio básico la dedicación a un solo puesto de trabajo, admitiendo únicamente las excepciones previstas por la propia Ley."
"¿Cuál es el principio fundamental del régimen de incompatibilidades que declara el preámbulo de la Ley 53/1984?","La dedicación del personal al servicio de las Administraciones Públicas a un solo puesto de trabajo, salvo las excepciones que demande el propio servicio público, respetando las actividades privadas compatibles con sus deberes e imparcialidad.","La dedicación del personal al servicio de las Administraciones Públicas a varios puestos de trabajo, siempre que las actividades sean compatibles y exista autorización administrativa previa.","La dedicación a un solo puesto de trabajo únicamente cuando se trate de personal funcionario, permitiéndose al personal laboral compatibilizar libremente actividades públicas y privadas.","La dedicación a un solo puesto de trabajo, salvo que exista una actividad privada retribuida, en cuyo caso la compatibilidad dependerá exclusivamente de que no exista conflicto económico.","1","El preámbulo de la Ley 53/1984 establece como principio fundamental la dedicación del personal al servicio de las Administraciones Públicas a un solo puesto de trabajo, salvo las excepciones que demande el propio servicio público, respetando las actividades privadas que no puedan impedir o menoscabar el estricto cumplimiento de sus deberes o comprometer su imparcialidad o independencia."
"¿Cuál de las siguientes afirmaciones diferencia correctamente los apartados 1 y 2 del artículo 1 de la Ley 53/1984?","El apartado 1 establece la incompatibilidad de un segundo puesto, cargo o actividad en el sector público, mientras que el apartado 2 prohíbe, salvo las excepciones legales, percibir más de una remuneración con cargo a fondos públicos o ejercer opción por percepciones correspondientes a puestos incompatibles.","El apartado 1 prohíbe cualquier actividad privada y el apartado 2 establece la incompatibilidad de un segundo puesto en el sector público, salvo autorización.","El apartado 1 regula exclusivamente la incompatibilidad de remuneraciones y el apartado 2 la incompatibilidad de actividades privadas que puedan comprometer la imparcialidad.","El apartado 1 establece la incompatibilidad entre puestos públicos y privados, mientras que el apartado 2 regula únicamente las actividades privadas relacionadas con el puesto desempeñado.","1","El artículo 1.1 prohíbe compatibilizar las actividades con un segundo puesto, cargo o actividad en el sector público, salvo los supuestos previstos en la Ley. El artículo 1.2 establece además la prohibición de percibir más de una remuneración con cargo a los presupuestos públicos, salvo las excepciones legales, y de ejercer opción por percepciones correspondientes a puestos incompatibles."
"¿Cuál de las siguientes correspondencias entre los apartados 1, 2 y 3 del artículo 1 de la Ley 53/1984 es correcta?","1.1 → segundo puesto o actividad en el sector público; 1.2 → más de una remuneración pública; 1.3 → actividad pública o privada que pueda impedir o menoscabar el cumplimiento de los deberes o comprometer la imparcialidad o independencia.","1.1 → actividades privadas; 1.2 → segundo puesto en el sector público; 1.3 → únicamente incompatibilidad de remuneraciones públicas.","1.1 → más de una remuneración pública; 1.2 → actividades privadas; 1.3 → segundo puesto en el sector público.","1.1 → segundo puesto en el sector público; 1.2 → actividades privadas relacionadas con el puesto; 1.3 → incompatibilidad exclusivamente económica.","1","El artículo 1.1 regula la incompatibilidad de un segundo puesto, cargo o actividad en el sector público; el 1.2 establece la prohibición de percibir más de una remuneración pública en los términos previstos; y el 1.3 contiene una cláusula general de incompatibilidad respecto de cualquier actividad pública o privada que pueda impedir o menoscabar el cumplimiento de los deberes o comprometer la imparcialidad o independencia."
"Conforme al artículo 1.3 de la Ley 53/1984, ¿cuándo es incompatible el desempeño de un puesto de trabajo con otra actividad?","Cuando el cargo, profesión o actividad, pública o privada, pueda impedir o menoscabar el estricto cumplimiento de los deberes o comprometer la imparcialidad o independencia.","Cuando la actividad privada genere cualquier ingreso adicional, aunque no pueda afectar al cumplimiento de los deberes ni a la imparcialidad o independencia.","Cuando exista un segundo puesto en el sector público, pero únicamente si ambos puestos tienen asignadas funciones similares.","Cuando la actividad privada esté retribuida y se ejerza fuera del horario de trabajo, con independencia de su posible incidencia sobre los deberes o la imparcialidad.","1","El artículo 1.3 establece que, en cualquier caso, el desempeño de un puesto de trabajo será incompatible con cualquier cargo, profesión o actividad, pública o privada, que pueda impedir o menoscabar el estricto cumplimiento de los deberes o comprometer la imparcialidad o independencia."
"Un empleado público pretende desempeñar simultáneamente otro puesto en el sector público y, además, realizar una actividad privada que podría comprometer su imparcialidad. ¿Qué previsiones del artículo 1 de la Ley 53/1984 resultan directamente relevantes?","El artículo 1.1 respecto del segundo puesto público, el artículo 1.2 respecto de la eventual percepción de más de una remuneración pública y el artículo 1.3 respecto de la actividad pública o privada que pueda comprometer su imparcialidad o independencia.","Únicamente el artículo 1.1, porque la existencia de un segundo puesto público absorbe cualquier otra incompatibilidad prevista en el artículo.","El artículo 1.2 respecto del segundo puesto público y el artículo 1.3 exclusivamente respecto de actividades privadas retribuidas.","Únicamente el artículo 1.3, porque su cláusula general sustituye las prohibiciones específicas establecidas en los apartados anteriores.","1","Los tres apartados tienen ámbitos diferenciados y complementarios. El 1.1 regula el segundo puesto o actividad en el sector público; el 1.2 la percepción de más de una remuneración pública; y el 1.3 establece una incompatibilidad adicional para cualquier actividad pública o privada que pueda afectar al cumplimiento de los deberes o comprometer la imparcialidad o independencia."
"¿Qué tienen en común los tres apartados del artículo 1 de la Ley 53/1984?","Todos desarrollan el principio general de incompatibilidad establecido por la Ley desde perspectivas distintas.","Todos regulan el ámbito subjetivo de aplicación.","Todos establecen excepciones a favor del personal docente.","Todos regulan actividades privadas exclusivamente.","1","Los apartados 1, 2 y 3 regulan, respectivamente, incompatibilidad de puestos, de remuneraciones y de actividades incompatibles."
"¿Cuál de las siguientes personas queda fuera del ámbito de aplicación definido en el artículo 2?","Un trabajador de una empresa privada sin participación pública superior al porcentaje previsto en la Ley.","El personal al servicio del Banco de España.","El personal de una Comunidad Autónoma.","El personal civil al servicio de la Administración General del Estado.","1","El artículo 2 delimita un ámbito subjetivo muy amplio, del que quedan excluidos quienes carecen de vinculación con el sector público en los términos previstos por la Ley."
"¿Qué criterio utiliza el artículo 2.1.h) para incluir al personal de determinadas empresas dentro del ámbito de aplicación de la Ley?","Que la participación pública directa o indirecta en el capital sea superior al 50 por ciento.","Que cualquier Administración participe en el capital, cualquiera que sea el porcentaje.","Que la empresa preste un servicio público.","Que la empresa reciba subvenciones públicas, cualquiera que sea su cuantía.","1","La Ley utiliza expresamente el criterio de participación pública superior al 50 % del capital."
"¿Qué finalidad tiene el apartado 2 del artículo 2 al extender la aplicación de la Ley con independencia de la naturaleza jurídica de la relación de empleo?","Evitar que el régimen de incompatibilidades pueda eludirse por el tipo de vínculo jurídico existente con la Administración.","Limitar la aplicación de la Ley exclusivamente al personal funcionario.","Excluir al personal laboral del régimen de incompatibilidades.","Reservar la aplicación de la Ley al personal estatutario.","1","El artículo 2.2 amplía el ámbito subjetivo para incluir a todo el personal comprendido en el apartado anterior, cualquiera que sea la naturaleza jurídica de su relación de empleo."
"¿Cuál de las siguientes afirmaciones distingue correctamente el ámbito objetivo del artículo 1 del ámbito subjetivo del artículo 2?","El artículo 1 regula las incompatibilidades; el artículo 2 determina a quiénes se aplica la Ley.","El artículo 1 regula el personal incluido y el artículo 2 las incompatibilidades.","Ambos artículos regulan exclusivamente las excepciones legales.","No existe diferencia entre ambos preceptos.","1","Los artículos 1 y 2 cumplen funciones normativas claramente diferenciadas."
