Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Respuesta correcta,Explicación
¿Qué rasgo permite calificar una actuación como administrativa automatizada conforme al artículo 41.1 de la Ley 40/2015?,Cualquier acto o actuación realizada íntegramente a través de medios electrónicos por una Administración actuante en el marco de un procedimiento administrativo y en la que no haya intervenido de forma directa un empleado público,Cualquier acto o actuación realizada íntegramente a través de medios electrónicos por una Administración Pública en el marco de un procedimiento administrativo y en la que no haya intervenido de forma directa un empleado público,"Que el sistema genere borradores de actos, aunque la decisión final sea adoptada directamente por un empleado público","Que la notificación se practique por medios electrónicos, aunque el acto haya sido dictado manualmente por el órgano competente",2,"El art. 41.1 de la Ley 40/2015 dispone: 'Se entiende por actuación administrativa automatizada, cualquier acto o actuación realizada íntegramente a través de medios electrónicos por una Administración Pública en el marco de un procedimiento administrativo y en la que no haya intervenido de forma directa un empleado público'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a41"
"¿Qué debe establecerse previamente para que exista una actuación administrativa automatizada válida, según el artículo 41.2 de la Ley 40/2015?",La atribución expresa de competencia al órgano administrativo que tramite el procedimiento,"El órgano u órganos competentes para la definición de especificaciones, programación, mantenimiento, supervisión y control de calidad, y en su caso auditoría del sistema de información y su código fuente, así como el órgano responsable a efectos de impugnación",La avocación motivada por el órgano superior en los términos legalmente previstos,La delegación de firma sin alteración de la titularidad de la competencia,2,"El art. 41.2 de la Ley 40/2015 dispone que la actuación administrativa automatizada exige establecer previamente 'el órgano u órganos competentes, según los casos, para la definición de las especificaciones, programación, mantenimiento, supervisión y control de calidad y, en su caso, auditoría del sistema de información y de su código fuente'. Además, debe indicarse el órgano considerado responsable a efectos de impugnación del acto automatizado. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a41"
"¿Cuáles son los dos sistemas de firma que pueden utilizarse en el ejercicio de la competencia en la actuación administrativa automatizada, según el artículo 42.1 de la Ley 40/2015?",La firma manuscrita digitalizada y el DNI electrónico,"El sello electrónico de la Administración u órgano correspondiente, y el código seguro de verificación",La atribución expresa de competencia al órgano administrativo que tramite el procedimiento,El certificado del funcionario y su contraseña personal,2,"El art. 42.1 de la Ley 40/2015 dispone que cada Administración podrá determinar, en el ejercicio de su competencia, los supuestos de utilización de: a) sello electrónico de Administración Pública, órgano, organismo público o entidad de derecho público, basado en certificado electrónico reconocido o cualificado; y b) código seguro de verificación vinculado a la Administración Pública, órgano, organismo público o entidad de Derecho Público. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a42"
"⭐⭐⭐ ¿Qué permite comprobar, en todo caso, el código seguro de verificación (CSV) según el artículo 42.1.b) de la Ley 40/2015?",La identidad personal del ciudadano solicitante,La integridad del documento mediante el acceso a la sede electrónica correspondiente,El saldo de la cuenta bancaria del interesado,El historial completo de expedientes del interesado,2,"El art. 42.1.b) de la Ley 40/2015 dispone que el código seguro de verificación se vincula a la Administración, órgano, organismo público o entidad de Derecho Público 'permitiéndose en todo caso la comprobación de la integridad del documento mediante el acceso a la sede electrónica correspondiente'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a42"
"👑 Conforme al artículo 42.b) de la Ley 40/2015, ¿qué característica debe reunir necesariamente el código seguro de verificación utilizado en la actuación administrativa automatizada?","Debe estar vinculado a la Administración Pública, órgano, organismo público o entidad de Derecho Público correspondiente y permitir en todo caso comprobar la integridad del documento mediante acceso a la sede electrónica.","Debe estar vinculado exclusivamente a la persona titular del órgano que dicta el acto y permitir comprobar su identidad mediante acceso al portal de internet.","Debe incorporar necesariamente un certificado electrónico cualificado del empleado público responsable y permitir comprobar la autenticidad del documento mediante cualquier portal de internet.","Debe permitir identificar personalmente al interesado y consultar el expediente completo mediante acceso a la sede electrónica correspondiente.","1","El artículo 42.b) de la Ley 40/2015 permite utilizar un código seguro de verificación vinculado a la Administración Pública, órgano, organismo público o entidad de Derecho Público, en los términos y condiciones establecidos, permitiendo en todo caso comprobar la integridad del documento mediante el acceso a la sede electrónica correspondiente. El precepto no exige vincular el CSV a una persona física ni permite identificar o consultar el expediente completo del interesado."
¿Cuál de los siguientes NO es un requisito exigido por el sello electrónico basado en certificado según el artículo 42.1.a) de la Ley 40/2015?,La atribución expresa de competencia al órgano administrativo que tramite el procedimiento,La avocación motivada por el órgano superior en los términos legalmente previstos,Que reúna los requisitos exigidos por la legislación de firma electrónica,Que esté firmado personalmente a mano por el titular del órgano cada vez que se emite,4,"El art. 42.1.a) de la Ley 40/2015 exige que el sello electrónico esté 'basado en certificado electrónico reconocido o cualificado que reúna los requisitos exigidos por la legislación de firma electrónica'; no exige, evidentemente, firma manuscrita, ya que se trata precisamente de un mecanismo pensado para actuaciones sin intervención directa de un empleado público. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a42"
"Sin perjuicio de lo previsto para la sede electrónica y la actuación automatizada, ¿mediante qué se realiza la actuación de una Administración Pública cuando utilice medios electrónicos, según el artículo 43 de la Ley 40/2015?",Mediante firma electrónica del titular del órgano o empleado público,Mediante un formulario en papel escaneado,La atribución expresa de competencia al órgano administrativo que tramite el procedimiento,Mediante un correo electrónico ordinario sin firma,1,"El art. 43 de la Ley 40/2015 dispone: 'Sin perjuicio de lo previsto en los artículos 38, 41 y 42, la actuación de una Administración Pública, órgano, organismo público o entidad de derecho público, cuando utilice medios electrónicos, se realizará mediante firma electrónica del titular del órgano o empleado público'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a43"
"¿Quién determina los sistemas de firma electrónica que debe utilizar su personal, según el artículo 43 de la Ley 40/2015?","El propio empleado público, libremente y sin supervisión",Cada Administración Pública,El Consejo General del Poder Judicial en todo caso,Cada Administración actuante,2,"El art. 43 de la Ley 40/2015 dispone: 'Cada Administración Pública determinará los sistemas de firma electrónica que debe utilizar su personal, los cuales podrán identificar de forma conjunta al titular del puesto de trabajo o cargo y a la Administración u órgano en la que presta sus servicios'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a43"
¿Cuál es la diferencia esencial entre el sello electrónico usado para identificar a la Administración (art. 40) y la firma electrónica del personal al servicio de la Administración (art. 43) en la Ley 40/2015?,"El sello electrónico (art. 39 y 42) identifica al órgano, organismo o entidad como tal, típicamente en actuaciones automatizadas sin intervención humana directa, mientras que la firma electrónica del art. 43 identifica a la persona física titular del órgano o al empleado público concreto que interviene personalmente en la actuación","El sello electrónico (art. 40 y 42) identifica al órgano, organismo o entidad como tal, típicamente en actuaciones automatizadas sin intervención humana directa, mientras que la firma electrónica del art. 43 identifica a la persona física titular del órgano o al empleado público concreto que interviene personalmente en la actuación","El sello electrónico (art. 42 y 42) identifica al órgano, organismo o entidad como tal, típicamente en actuaciones automatizadas sin intervención humana directa, mientras que la firma electrónica del art. 43 identifica a la persona física titular del órgano o al empleado público concreto que interviene personalmente en la actuación","El sello electrónico (art. 41 y 42) identifica al órgano, organismo o entidad como tal, típicamente en actuaciones automatizadas sin intervención humana directa, mientras que la firma electrónica del art. 43 identifica a la persona física titular del órgano o al empleado público concreto que interviene personalmente en la actuación",2,"Conforme a los arts. 40, 42 y 43 de la Ley 40/2015, el sello electrónico identifica a la Administración, órgano, organismo público o entidad como tal (persona jurídica o ente), siendo el mecanismo típico de las actuaciones administrativas automatizadas en que no interviene directamente ningún empleado público; la firma electrónica del art. 43, en cambio, identifica a la persona física (titular del órgano o empleado público) que interviene personalmente en la actuación mediante medios electrónicos. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a40, #a42 y #a43"
"¿Puede un procedimiento contener a la vez actuaciones automatizadas (art. 41) y actuaciones firmadas personalmente por un empleado público (art. 43), conforme a la sistemática de la Ley 40/2015?",La atribución expresa de competencia al órgano administrativo que tramite el procedimiento,"Sí, la Ley regula ambos mecanismos como técnicas complementarias dentro del funcionamiento electrónico del sector público, pudiendo un procedimiento combinar trámites automatizados con otros en que interviene directamente un empleado público",La avocación motivada por el órgano superior en los términos legalmente previstos,La delegación de firma sin alteración de la titularidad de la competencia,2,"La Ley 40/2015 no impone que un procedimiento deba ser íntegramente automatizado o íntegramente manual: el art. 41 define la actuación automatizada como aquella en que 'no haya intervenido de forma directa un empleado público', lo que implica, a contrario, que otros actos o trámites del mismo procedimiento sí pueden ser realizados con intervención personal y firmarse conforme al art. 43, combinándose ambas técnicas según convenga a la organización de cada Administración. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a41 y #a43"
"Conforme al artículo 41.2 de la Ley 40/2015, además de determinar los órganos competentes para la definición de especificaciones, programación, mantenimiento, supervisión y control de calidad del sistema de información, ¿qué debe establecerse previamente en una actuación administrativa automatizada?","El órgano responsable a efectos de impugnación del acto resultante de la actuación automatizada","El funcionario responsable de firmar personalmente cada resultado producido por el sistema","El órgano superior que deberá autorizar individualmente cada actuación automatizada","El órgano encargado exclusivamente de custodiar los documentos generados por el sistema","1","El artículo 41.2 exige establecer previamente el órgano u órganos competentes para las distintas funciones relativas al sistema de información y, además, el órgano que debe considerarse responsable a efectos de impugnación del acto resultante de la actuación administrativa automatizada."
"Una Administración utiliza un sistema de actuación administrativa automatizada y decide que el mismo órgano que define las especificaciones del sistema sea también responsable de su mantenimiento, supervisión y control de calidad. ¿Es compatible esta posibilidad con el artículo 41.2 de la Ley 40/2015?","Sí, porque el artículo permite determinar uno o varios órganos competentes según los casos para esas funciones","No, porque cada función debe atribuirse necesariamente a un órgano administrativo diferente","No, porque el mantenimiento y la supervisión solo pueden corresponder a un empleado público individual","Sí, pero únicamente cuando la actuación automatizada utilice un código seguro de verificación","1","El artículo 41.2 permite establecer previamente el órgano u órganos competentes, según los casos, para la definición de especificaciones, programación, mantenimiento, supervisión y control de calidad y, en su caso, auditoría del sistema y de su código fuente. No exige que cada función corresponda a un órgano distinto."
"Una Administración utiliza un código seguro de verificación para la actuación administrativa automatizada. ¿Qué debe garantizar el sistema conforme al artículo 42.2 de la Ley 40/2015 además de permitir comprobar la integridad del documento?","El carácter único del código, su vinculación con el documento generado y la posibilidad de comprobarlo mediante el acceso a la sede electrónica correspondiente","La identificación personal del empleado público que habría firmado manualmente el documento","La posibilidad de modificar el contenido del documento desde la sede electrónica sin generar un nuevo documento","La obligación de que el interesado disponga previamente de certificado electrónico cualificado para consultar el documento","1","El artículo 42.2 establece que el código seguro de verificación deberá permitir comprobar la integridad del documento mediante el acceso a la sede electrónica correspondiente. Además, el sistema deberá garantizar el carácter único del código, su vinculación con el documento generado y la posibilidad de verificarlo."
"Una Administración emplea un sello electrónico para una actuación administrativa automatizada. ¿Cuál de las siguientes afirmaciones es correcta conforme a los artículos 41 y 42 de la Ley 40/2015?","La utilización del sello electrónico elimina la necesidad de haber establecido previamente los órganos responsables de la definición, programación, mantenimiento y control del sistema","El sello electrónico constituye uno de los sistemas que pueden utilizarse para firmar actuaciones administrativas automatizadas, pero la utilización de la actuación automatizada exige previamente establecer los órganos competentes y el órgano responsable a efectos de impugnación","El sello electrónico solo puede utilizarse cuando exista intervención directa de un empleado público que revise y firme personalmente cada actuación","El sello electrónico sustituye necesariamente al código seguro de verificación, de modo que ambos sistemas no pueden utilizarse alternativamente","2","El artículo 41.2 exige determinar previamente los órganos competentes y el órgano responsable a efectos de impugnación. El artículo 42.1 permite utilizar, para la actuación administrativa automatizada, el sello electrónico o el código seguro de verificación, según determine cada Administración en el ejercicio de su competencia."
"Un ciudadano recibe un documento generado mediante una actuación administrativa automatizada y firmado mediante código seguro de verificación. ¿Qué mecanismo debe permitirle comprobar la integridad del documento conforme al artículo 42 de la Ley 40/2015?","El acceso a la sede electrónica correspondiente utilizando el código seguro de verificación","La solicitud presencial de una copia compulsada ante cualquier Administración Pública","La consulta del registro de empleados públicos que hayan intervenido en la actuación","La comprobación exclusiva mediante el certificado electrónico personal del ciudadano","1","El artículo 42.1.b establece que el código seguro de verificación debe estar vinculado a la Administración, órgano, organismo público o entidad de Derecho Público y permitir en todo caso la comprobación de la integridad del documento mediante el acceso a la sede electrónica correspondiente."
"Conforme al artículo 42.2 de la Ley 40/2015, ¿qué requisitos debe reunir el código seguro de verificación utilizado para actuaciones administrativas automatizadas?","Debe permitir comprobar la integridad del documento mediante el acceso a la sede electrónica correspondiente y garantizar, en todo caso, el carácter único del código, su vinculación con el documento generado y la posibilidad de verificarlo","Debe identificar necesariamente al empleado público que supervisó el documento y permitir modificar su contenido desde la sede electrónica","Debe estar vinculado exclusivamente al órgano que dictó el acto y permitir consultar todos los expedientes del interesado","Debe utilizarse únicamente durante el plazo de recurso y desaparecer automáticamente una vez transcurrido dicho plazo","1","El artículo 42.2 establece que el código seguro de verificación debe permitir la comprobación de la integridad del documento mediante el acceso a la sede electrónica correspondiente y garantizar el carácter único del código, su vinculación con el documento generado y la posibilidad de verificarlo."
"Una Administración establece un sistema de código seguro de verificación para sus actuaciones administrativas automatizadas. ¿Qué elemento NO forma parte de las garantías exigidas específicamente por el artículo 42.2 de la Ley 40/2015?","La posibilidad de comprobar la integridad del documento mediante el acceso a la sede electrónica correspondiente","El carácter único del código","La vinculación del código con el documento generado","La identificación nominal del empleado público que habría firmado personalmente cada documento","4","El artículo 42.2 exige garantías relacionadas con el código seguro de verificación y su vinculación con el documento, pero no exige identificar nominalmente a un empleado público que hubiera firmado personalmente cada documento, precisamente porque se trata de una actuación administrativa automatizada."
"Una Administración determina que determinadas actuaciones administrativas automatizadas utilizarán un código seguro de verificación. ¿Cuál de las siguientes afirmaciones refleja correctamente la relación entre los artículos 41 y 42 de la Ley 40/2015?","El artículo 41 regula la definición y las garantías organizativas de la actuación administrativa automatizada, mientras que el artículo 42 regula los sistemas de firma que pueden utilizarse en dichas actuaciones","El artículo 41 regula exclusivamente los certificados electrónicos y el artículo 42 determina qué empleados públicos deben firmar los actos","El artículo 41 regula el portal de Internet y el artículo 42 establece la responsabilidad patrimonial derivada de las actuaciones automatizadas","El artículo 41 regula exclusivamente el código seguro de verificación y el artículo 42 define qué debe entenderse por actuación administrativa automatizada","1","El artículo 41 define la actuación administrativa automatizada y establece qué debe determinarse previamente respecto de los sistemas y responsabilidades. El artículo 42 regula los sistemas de firma que pueden utilizarse en el ejercicio de la competencia en actuaciones administrativas automatizadas: sello electrónico y código seguro de verificación."
"Una Administración Pública determina los sistemas de firma electrónica que debe utilizar su personal. Uno de ellos permite identificar conjuntamente al titular del puesto de trabajo o cargo y a la Administración u órgano en el que presta sus servicios. ¿Es compatible con el artículo 43 de la Ley 40/2015?","Sí, porque el artículo 43 permite que los sistemas de firma del personal identifiquen conjuntamente al titular del puesto de trabajo o cargo y a la Administración u órgano en el que presta sus servicios","No, porque la firma electrónica del personal solo puede identificar a la persona física y nunca a la Administración u órgano","No, porque los sistemas de firma del personal deben ser determinados individualmente por cada empleado público","Sí, pero únicamente cuando el empleado intervenga en una actuación administrativa automatizada","1","El artículo 43 establece que cada Administración Pública determinará los sistemas de firma electrónica que debe utilizar su personal y que estos podrán identificar de forma conjunta al titular del puesto de trabajo o cargo y a la Administración u órgano en el que presta sus servicios."
