"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿Qué documento contable corresponde a la retención de crédito en la gestión del gasto de la UC3M?","RC","A","D","O","1","El artículo 15.2.1 del Presupuesto 2026 establece expresamente que la retención de crédito se documenta mediante el documento contable RC. La A corresponde a la autorización, la D al compromiso y la O a la propuesta de pago. :contentReference[oaicite:1]{index=1}"
"¿Qué documento contable corresponde a la autorización del gasto?","A","RC","D","O","1","El documento contable A corresponde a la autorización del gasto. El RC se utiliza para la retención de crédito, el D para la disposición o compromiso y el O para la propuesta de pago. :contentReference[oaicite:2]{index=2}"
"¿Qué documento contable corresponde a la disposición o compromiso del gasto?","D","A","RC","O","1","El Presupuesto 2026 identifica el documento D con la disposición o compromiso del gasto. No debe confundirse con A, que corresponde a la autorización. :contentReference[oaicite:3]{index=3}"
"¿Qué documento contable corresponde a la propuesta de pago?","O","P","D","A","1","El Presupuesto 2026 establece que la propuesta de pago se documenta mediante el documento contable O. La resolución de delegación distingue además la ordenación del pago de esta fase previa. :contentReference[oaicite:4]{index=4}"
"¿Cuál de las siguientes correspondencias entre fase y documento contable es correcta?","Retención de crédito → RC; autorización → A; compromiso → D; propuesta de pago → O","Retención → A; autorización → RC; compromiso → O; propuesta de pago → D","Retención → D; autorización → O; compromiso → A; propuesta de pago → RC","Retención → O; autorización → D; compromiso → RC; propuesta de pago → A","1","El artículo 15.2.1 establece exactamente la primera correspondencia: RC para retención, A para autorización, D para disposición o compromiso y O para propuesta de pago. :contentReference[oaicite:5]{index=5}"
"⭐⭐⭐ ¿Qué documentos contables permiten unificar varias fases del gasto en la UC3M?","AD y ADO","RC y A","D y O","AO y DP","1","El Presupuesto 2026 establece que pueden unificarse varias fases del gasto mediante los documentos AD y ADO. :contentReference[oaicite:6]{index=6}"
"¿Qué fases unifica el documento contable AD?","Autorización y compromiso de gasto","Retención de crédito y autorización","Compromiso y propuesta de pago","Autorización, compromiso y propuesta de pago","1","AD significa autorización y compromiso de gasto. Por tanto, acumula las fases correspondientes a los documentos A y D. :contentReference[oaicite:7]{index=7}"
"¿Qué fases unifica el documento contable ADO?","Autorización, compromiso de gasto y propuesta de pago","Retención, autorización y compromiso","Compromiso, reconocimiento de la obligación y pago material","Autorización, retención y ordenación del pago","1","El Presupuesto 2026 establece expresamente que el documento ADO unifica autorización, compromiso de gasto y propuesta de pago. :contentReference[oaicite:8]{index=8}"
"¿Cuál de las siguientes afirmaciones sobre el documento AD es incorrecta?","Incluye la propuesta de pago junto con la autorización y el compromiso","Unifica la autorización y el compromiso del gasto","Permite acumular las fases correspondientes a A y D","No incorpora la propuesta de pago","1","AD únicamente unifica autorización y compromiso. La propuesta de pago se incorpora cuando se utiliza el documento ADO. :contentReference[oaicite:9]{index=9}"
"¿Cuál de las siguientes afirmaciones sobre el documento ADO es correcta?","Acumula autorización, compromiso de gasto y propuesta de pago","Acumula retención, autorización y compromiso","Acumula únicamente compromiso y propuesta de pago","Sustituye siempre al documento RC en cualquier operación presupuestaria","1","ADO reúne las fases de autorización, compromiso y propuesta de pago. No se define en el Presupuesto como documento equivalente a una retención de crédito. :contentReference[oaicite:10]{index=10}"
"Una operación presupuestaria requiere únicamente documentar la retención de crédito. ¿Qué documento corresponde?","RC","A","AD","ADO","1","La retención de crédito se documenta mediante RC. AD y ADO son documentos acumulativos que incorporan fases posteriores. :contentReference[oaicite:11]{index=11}"
"Una operación presupuestaria requiere documentar conjuntamente la autorización y el compromiso del gasto, sin incluir la propuesta de pago. ¿Qué documento corresponde?","AD","RC","A","ADO","1","El documento AD permite unificar autorización y compromiso del gasto. Al no incluir propuesta de pago, no corresponde utilizar ADO por esa sola razón. :contentReference[oaicite:12]{index=12}"
"Una operación presupuestaria reúne autorización, compromiso y propuesta de pago. ¿Qué documento contable permite acumular esas fases?","ADO","AD","RC","O","1","El documento ADO está específicamente previsto para unificar autorización, compromiso de gasto y propuesta de pago. :contentReference[oaicite:13]{index=13}"
"¿Cuál de las siguientes secuencias relaciona correctamente los documentos contables con las fases correspondientes?","RC → retención; A → autorización; D → compromiso; O → propuesta de pago","RC → autorización; A → retención; D → propuesta de pago; O → compromiso","RC → compromiso; A → propuesta de pago; D → retención; O → autorización","RC → propuesta de pago; A → compromiso; D → autorización; O → retención","1","La correspondencia oficial del artículo 15.2.1 es RC-retención, A-autorización, D-disposición o compromiso y O-propuesta de pago. :contentReference[oaicite:14]{index=14}"
"¿Qué documento se corresponde con la fase de disposición o compromiso y no con la autorización?","D","A","RC","O","1","El documento D corresponde a la disposición o compromiso. El documento A corresponde a la autorización previa del gasto. :contentReference[oaicite:15]{index=15}"
"¿Qué documento se corresponde con la autorización y no con la retención de crédito?","A","RC","D","O","1","La autorización del gasto se documenta mediante A, mientras que la retención de crédito se documenta mediante RC. :contentReference[oaicite:16]{index=16}"
"¿Qué documento se corresponde con la propuesta de pago y no con la ordenación material del pago?","O","P","D","AD","1","El documento O representa la propuesta de pago. La propuesta de pago es una fase de la gestión presupuestaria distinta de la ordenación del pago, que constituye una actuación posterior. :contentReference[oaicite:17]{index=17}"
"¿Cuál de las siguientes afirmaciones distingue correctamente el documento O de la ordenación del pago?","El documento O corresponde a la propuesta de pago; la ordenación del pago es una actuación posterior que no se identifica en el Presupuesto 2026 con un documento denominado P","El documento O corresponde al pago material y P a la propuesta de pago","O y P son dos documentos equivalentes para la misma fase","O corresponde a la autorización y P al compromiso","1","El artículo 15.2.1 identifica O con la propuesta de pago. El Presupuesto y la resolución de delegación distinguen esta fase de la ordenación de los pagos, que corresponde a una competencia específica. :contentReference[oaicite:18]{index=18} :contentReference[oaicite:19]{index=19}"
"¿Qué unidad tramita con carácter general la documentación de los gastos del Capítulo II?","Las Oficinas Económicas","Los Servicios Centrales-DEF exclusivamente","El Servicio de Investigación y RRHH","La Mesa de contratación","1","El artículo 15.2.1 establece que las Oficinas Económicas tramitan la documentación de los Capítulos II, IV, VI y VII, con las excepciones expresamente indicadas. :contentReference[oaicite:20]{index=20}"
"¿Qué unidad tramita con carácter general la documentación de los gastos del Capítulo IV?","Las Oficinas Económicas","El Servicio de Investigación y RRHH","Los Servicios Centrales-DEF exclusivamente","La Dirección de Contratación","1","El Presupuesto asigna con carácter general a las Oficinas Económicas la tramitación de los gastos de los Capítulos II, IV, VI y VII, salvo las excepciones indicadas. :contentReference[oaicite:21]{index=21}"
"¿Qué unidad tramita con carácter general la documentación de los gastos del Capítulo VI?","Las Oficinas Económicas","Los Servicios Centrales-DEF exclusivamente","El Servicio de Investigación y RRHH","El Servicio de Presupuestos exclusivamente","1","El artículo 15.2.1 incluye el Capítulo VI entre los gastos cuya documentación se tramita a través de las Oficinas Económicas, salvo las excepciones expresamente previstas. :contentReference[oaicite:22]{index=22}"
"¿Qué unidad tramita con carácter general la documentación de los gastos del Capítulo VII?","Las Oficinas Económicas, con las excepciones previstas","Exclusivamente el Servicio de Investigación y RRHH","Exclusivamente los Servicios Centrales-DEF","El Consejo Social","1","El artículo 15.2.1 incluye el Capítulo VII entre los gastos tramitados por las Oficinas Económicas, aunque determinados gastos concretos pueden corresponder a los Servicios Centrales-DEF. :contentReference[oaicite:23]{index=23}"
"¿Qué capítulos tramitan los Servicios Centrales-DEF según el régimen general establecido en el Presupuesto 2026?","Capítulos I, VII, VIII y IX, además de determinados gastos específicos","Exclusivamente capítulos II y VI","Capítulos IV, V y VI exclusivamente","Todos los capítulos sin excepción","1","El artículo 15.2.1 asigna a los Servicios Centrales-DEF los Capítulos I, VII, VIII y IX, además de anticipos de nómina, ayuda social, conceptos no presupuestarios y devoluciones de ingresos. :contentReference[oaicite:24]{index=24}"
"¿Qué tratamiento especial establece el Presupuesto respecto de determinados gastos del Capítulo VII?","Aunque el Capítulo VII figura entre los gastos de las Oficinas Económicas, determinados gastos pueden tramitarse por los Servicios Centrales-DEF conforme a las excepciones establecidas","Todos los gastos del Capítulo VII se tramitan siempre por las Oficinas Económicas","Todos los gastos del Capítulo VII se tramitan siempre por el Servicio de Investigación","El Capítulo VII no puede tramitarse mediante documentos contables","1","El artículo 15.2.1 incluye el Capítulo VII en las Oficinas Económicas, pero también contempla al Servicios Centrales-DEF para el Capítulo VII, por lo que la distribución debe entenderse con las excepciones concretas previstas en el propio apartado. :contentReference[oaicite:25]{index=25}"
"¿Qué unidad tramita las becas y contratos laborales de investigación en el marco de las aplicaciones informáticas de investigación?","El Servicio de Investigación y RRHH","Las Oficinas Económicas","Los Servicios Centrales-DEF","La Mesa de contratación","1","El artículo 15.2.1 asigna específicamente al Servicio de Investigación y RRHH la tramitación de becas y contratos laborales de investigación dentro de las aplicaciones informáticas de investigación. :contentReference[oaicite:26]{index=26}"
"¿Qué ocurre con los contratos laborales de investigación respecto de la regla general de tramitación por las Oficinas Económicas?","Están expresamente exceptuados y se tramitan por el Servicio de Investigación y RRHH en el marco de las aplicaciones de investigación","Se tramitan siempre por los Servicios Centrales-DEF","Se tramitan exclusivamente por la Oficina Económica correspondiente","Se tramitan directamente por el Rector","1","Aunque el Capítulo VII y otros capítulos aparecen asignados a las Oficinas Económicas, el artículo 15.2.1 exceptúa los contratos laborales de investigación y determinados pagos a personal contratado, atribuyéndolos al Servicio de Investigación y RRHH en el marco correspondiente. :contentReference[oaicite:27]{index=27}"
