"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿Qué papel se atribuye a la internacionalización dentro del sistema universitario, según el artículo 23 de la Ley Orgánica 2/2023?","Ningún papel específico, es una cuestión meramente accesoria","Se configura como un elemento estratégico y transversal que impregna las funciones esenciales de docencia, investigación y transferencia del conocimiento","Un papel reservado exclusivamente a universidades con más de 100 años de historia","Un papel limitado únicamente al ámbito europeo, sin proyección a otros continentes","2","El art. 23 de la Ley Orgánica 2/2023 configura la internacionalización como un elemento estratégico y transversal del sistema universitario, que impregna sus funciones esenciales de docencia, investigación y transferencia del conocimiento, fomentando la proyección internacional de las universidades españolas. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a23"
"¿Qué instrumento de planificación se prevé para la internacionalización del sistema universitario, según el artículo 24 de la Ley Orgánica 2/2023?","Ningún instrumento específico de planificación","La Estrategia de Internacionalización de las Universidades Españolas","Un tratado internacional vinculante para cada universidad individualmente","Un reglamento europeo de aplicación directa sin desarrollo nacional","2","El art. 24 de la Ley Orgánica 2/2023 prevé la elaboración de la Estrategia de Internacionalización de las Universidades Españolas, como marco de referencia para el fomento de la proyección internacional del sistema universitario español, su atractivo y competitividad. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a24"
"¿Qué debe fomentarse en materia de movilidad internacional de estudiantes, según los artículos del Título VII de la Ley Orgánica 2/2023?","Únicamente la movilidad de estudiantes de doctorado, excluyendo Grado y Máster","La movilidad internacional del estudiantado, del personal docente e investigador y del personal técnico, de gestión y de administración y servicios, en programas de intercambio y colaboración","Ninguna forma de movilidad internacional, que queda prohibida","Únicamente la movilidad hacia países de habla hispana","2","El Título VII de la Ley Orgánica 2/2023 fomenta la movilidad internacional tanto del estudiantado como del personal docente e investigador y del personal técnico, de gestión y de administración y servicios, mediante programas de intercambio, colaboración y alianzas universitarias europeas e internacionales. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500"
"¿Qué papel desempeñan las Universidades Europeas y otras alianzas estratégicas internacionales dentro del marco de internacionalización de la Ley Orgánica 2/2023?","Ningún papel, estas alianzas no se mencionan en la Ley","Constituyen un instrumento relevante para fomentar la cooperación interuniversitaria transnacional, la movilidad y el desarrollo de programas conjuntos de docencia e investigación","Un mecanismo exclusivamente destinado a la gestión económica sin componente académico","Una figura reservada únicamente a universidades privadas","2","El marco de internacionalización de la Ley Orgánica 2/2023 reconoce el papel de las Universidades Europeas y otras alianzas estratégicas internacionales como instrumento relevante para fomentar la cooperación interuniversitaria transnacional, la movilidad de estudiantes y personal, y el desarrollo de programas conjuntos de docencia e investigación, en línea con las iniciativas de la Unión Europea en materia de educación superior. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500"
"¿Qué relación guarda la internacionalización regulada en el Título VII con el resto de funciones del sistema universitario (docencia, investigación, transferencia)?","Ninguna relación, la internacionalización es una función completamente independiente y desconectada del resto","La internacionalización, conforme al artículo 23, tiene un carácter transversal, de manera que impregna y refuerza las demás funciones esenciales del sistema universitario (docencia, investigación y transferencia del conocimiento), en lugar de constituir un compartimento estanco y separado","La internacionalización sustituye completamente a la función investigadora","Solo afecta a la función docente, nunca a la investigación","2","Conforme al art. 23 de la Ley Orgánica 2/2023, la internacionalización se configura expresamente como un 'elemento estratégico y transversal' que impregna las funciones esenciales de docencia, investigación y transferencia del conocimiento, reforzándolas mediante la proyección internacional, en lugar de constituir una función aislada y desconectada del resto del sistema universitario. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a23"
"Según el artículo 23.1 de la Ley Orgánica 2/2023, además de la docencia, la investigación y la transferencia e intercambio del conocimiento, ¿sobre qué otro elemento deberán fomentar las universidades la internacionalización?","La formación y los planes de estudio, así como su acreditación internacional, especialmente en el Espacio Europeo de Educación Superior.","Únicamente los programas de doctorado.","Los servicios administrativos universitarios.","La financiación universitaria internacional.",1,"El artículo 23.1 amplía la internacionalización a la formación, los planes de estudio y su acreditación internacional, con especial referencia al EEES."
"Conforme al artículo 23.1 de la Ley Orgánica 2/2023, ¿qué previsión establece específicamente la ley respecto del personal y del conjunto de actividades de las universidades?","Las universidades promoverán la internacionalización de su personal y de todas sus actividades.","Las universidades fomentarán la movilidad internacional de su personal y de todas sus actividades, especialmente mediante programas vinculados al Espacio Europeo de Educación Superior.","Las universidades promoverán la internacionalización de su personal docente e investigador y de las actividades de docencia e investigación, correspondiendo a las Comunidades Autónomas extenderla al resto del personal y actividades.","Las universidades promoverán la internacionalización de su personal y de las actividades vinculadas a la docencia, investigación y transferencia e intercambio del conocimiento, quedando las demás actividades sujetas a las estrategias de internacionalización del Ministerio de Universidades.","1","El artículo 23.1 de la Ley Orgánica 2/2023 establece expresamente que las universidades promoverán la internacionalización de su personal y de todas sus actividades. Esta previsión debe distinguirse de las referencias específicas a la internacionalización de la docencia, la investigación, la transferencia e intercambio del conocimiento, la formación y los planes de estudio, así como de la acreditación internacional de estos últimos. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a23"
"Según el artículo 23.1 de la Ley Orgánica 2/2023, ¿qué obligación tienen las universidades en relación con las lenguas extranjeras?","Fomentar y facilitar su conocimiento y uso en el conjunto de la actividad universitaria.","Exigir obligatoriamente el dominio de dos lenguas extranjeras para acceder a cualquier titulación.","Impartir toda la docencia exclusivamente en inglés.","Limitar el uso de lenguas extranjeras a los programas Erasmus.",1,"El artículo 23.1 impone a las universidades el deber de fomentar y facilitar el conocimiento y uso de lenguas extranjeras."
"⭐⭐⭐ ¿Qué límite establece expresamente el artículo 23.1 de la Ley Orgánica 2/2023 respecto del proceso de internacionalización de las universidades?","Las universidades deberán velar por que el proceso de internacionalización no suponga una segregación del estudiantado por razones económicas.","Las universidades deberán garantizar que la internacionalización de la docencia y de los planes de estudio se limite al Espacio Europeo de Educación Superior para evitar desigualdades económicas.","Las universidades deberán reservar una parte de sus programas de internacionalización exclusivamente al estudiantado que no pueda acceder a programas de movilidad por razones económicas.","Las universidades deberán impedir que la internacionalización de su personal y de sus actividades genere diferencias económicas entre universidades públicas y privadas.","1","El artículo 23.1 de la Ley Orgánica 2/2023 establece que las universidades fomentarán la internacionalización de la docencia, la investigación, la transferencia e intercambio del conocimiento, la formación y los planes de estudio, así como la acreditación internacional. Asimismo, deberán fomentar y facilitar el conocimiento y uso de lenguas extranjeras y velar por que el proceso de internacionalización no suponga una segregación en el estudiantado por razones económicas."
"Conforme al artículo 23.1 de la Ley Orgánica 2/2023, ¿qué límite establece expresamente la ley respecto del proceso de internacionalización de las universidades?","Las universidades deberán velar por que el proceso de internacionalización no suponga una segregación del estudiantado por razones económicas.","Las universidades deberán garantizar que la internacionalización de sus planes de estudio se limite al Espacio Europeo de Educación Superior para evitar desigualdades económicas.","Las universidades deberán reservar los programas internacionales exclusivamente al estudiantado que no pueda acceder a ellos por razones económicas.","Las universidades deberán garantizar que la internacionalización de su personal y de todas sus actividades no genere diferencias económicas entre universidades públicas y privadas.","1","El artículo 23.1 establece que las universidades fomentarán la internacionalización de la docencia, la investigación, la transferencia e intercambio del conocimiento, la formación y sus planes de estudio, así como la acreditación internacional. Asimismo, deberán fomentar y facilitar el conocimiento y uso de lenguas extranjeras y velar por que el proceso de internacionalización no suponga una segregación en el estudiantado por razones económicas."
