"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿Cuál es el importe total del Presupuesto de gastos de la Universidad Carlos III de Madrid para 2026?","300.468.067,59 euros","275.021.875,63 euros","325.000.000 euros","300.468.067,59 euros únicamente para gastos corrientes","1","La opción 1 es correcta porque el Volumen I fija el total del presupuesto de gastos de 2026 en 300.468.067,59 euros. La opción 2 corresponde al presupuesto de 2025; la 3 es el techo de gasto, no el presupuesto aprobado; y la 4 confunde el total del presupuesto con los gastos corrientes. Fuente: Volumen I, p. 58."
"¿Qué capítulo constituye la principal partida del presupuesto de gastos de la UC3M para 2026?","El Capítulo I, Gastos de personal","El Capítulo II, Gastos en bienes corrientes y servicios","El Capítulo VI, Inversiones reales","El Capítulo IV, Transferencias corrientes","1","El Capítulo I asciende a 161.190.785,21 euros y representa el 76,52 % del presupuesto de gastos. El Capítulo II supone el 19,32 %, el VI el 7,53 % de las inversiones reales y el IV el 4,03 %. Fuente: Volumen I, p. 58."
"¿Qué porcentaje del presupuesto de gastos de 2026 representan los gastos de personal?","El 76,52 %","El 70,10 %","El 19,32 %","El 29,34 %","1","El Capítulo I representa el 76,52 %. El 70,10 % corresponde al conjunto de gastos corrientes; el 19,32 % al Capítulo II; y el 29,34 % al conjunto de gastos de capital. Fuente: Volumen I, p. 58."
"⭐⭐⭐ ¿Qué capítulos integran los gastos corrientes del Presupuesto 2026 de la UC3M?","Los Capítulos I, II, III y IV","Los Capítulos I, II, IV y VI","Los Capítulos II, III, IV y VII","Los Capítulos I, III, VI y IX","1","El Volumen I agrupa como gastos corrientes los Capítulos I Gastos de personal, II Bienes corrientes y servicios, III Gastos financieros y IV Transferencias corrientes. La opción 2 introduce el Capítulo VI, que forma parte de los gastos de capital. Las opciones 3 y 4 mezclan capítulos de capital o financieros. Fuente: Volumen I, p. 58."
"¿Cuál es el importe total de los gastos corrientes previstos en el Presupuesto 2026?","210.639.909,90 euros","88.162.977,69 euros","300.468.067,59 euros","205.969.445,65 euros","1","Los gastos corrientes ascienden a 210.639.909,90 euros. Los 88.162.977,69 euros corresponden a gastos de capital; 300.468.067,59 euros al total de gastos; y 205.969.445,65 euros son ingresos corrientes. Fuente: Volumen I, p. 58."
"¿Qué capítulos integran los gastos de capital del Presupuesto 2026?","Los Capítulos VI y VII","Los Capítulos IV y VI","Los Capítulos V, VI y VII","Los Capítulos VI, VII y VIII","1","El presupuesto agrupa como gastos de capital el Capítulo VI, Inversiones reales, y el Capítulo VII, Transferencias de capital. El IV es gasto corriente y el VIII pertenece a activos financieros. Fuente: Volumen I, p. 58."
"¿Cuál es el importe total de los gastos de capital previstos para 2026?","88.162.977,69 euros","88.162.977,69 euros más los activos financieros","210.639.909,90 euros","52.616.000 euros","1","El total de gastos de capital es 88.162.977,69 euros, formado por 6.638.345,04 euros de inversiones reales, 55.170.132,65 euros de investigación específica dentro del Capítulo VI y 26.354.500 euros de transferencias de capital. La opción 2 añade indebidamente los activos financieros; la 3 son gastos corrientes y la 4 corresponde a ingresos de capital. Fuente: Volumen I, p. 58."
"¿Qué capítulo de gastos corresponde a los gastos financieros en el Presupuesto 2026?","El Capítulo III","El Capítulo IV","El Capítulo V","El Capítulo IX","1","El Capítulo III corresponde a Gastos financieros y asciende a 270.000 euros. El IV son transferencias corrientes; el V no figura como capítulo de gastos en la distribución del presupuesto; y el IX son pasivos financieros. Fuente: Volumen I, p. 58."
"¿Qué capítulo de gastos recoge las transferencias corrientes?","El Capítulo IV","El Capítulo III","El Capítulo VII","El Capítulo VIII","1","El Capítulo IV corresponde a Transferencias corrientes y asciende a 8.481.942,98 euros. El III son gastos financieros, el VII transferencias de capital y el VIII activos financieros. Fuente: Volumen I, p. 58."
"¿Qué importe se presupuesta en el Capítulo III de gastos para 2026?","270.000 euros","270.000.000 euros","8.481.942,98 euros","1.450.000 euros","1","El Capítulo III de gastos, Gastos financieros, asciende a 270.000 euros. 8.481.942,98 euros corresponden al Capítulo IV y 1.450.000 euros al Capítulo IX. La opción de 270 millones multiplica indebidamente la cifra. Fuente: Volumen I, p. 58."
