"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿Qué sucede con los créditos para gastos que, en el último día del ejercicio presupuestario, no estén sujetos al cumplimiento de obligaciones ya reconocidas?","Quedan anulados","Se incorporan automáticamente al ejercicio siguiente","Se convierten automáticamente en remanente de tesorería afectado","Se transfieren automáticamente al Capítulo VI","1","El artículo 6 del Presupuesto 2026 establece como regla general que los créditos para gastos que al último día del ejercicio no estén sujetos al cumplimiento de obligaciones ya reconocidas quedan anulados. :contentReference[oaicite:2]{index=2}"
"¿Puede un remanente de crédito incorporarse al presupuesto del ejercicio siguiente?","Sí, excepcionalmente y dentro de los límites establecidos, cuando concurran los requisitos previstos en las normas de ejecución","Sí, automáticamente en todos los casos","No, nunca puede incorporarse ningún remanente de crédito","Sí, siempre que el responsable del Centro Gestor lo solicite","1","La regla general es la anulación de los créditos no sujetos a obligaciones reconocidas al cierre, pero el artículo 6 contempla determinadas incorporaciones al ejercicio inmediato siguiente cuando exista superávit en la liquidación y se cumplan los requisitos establecidos. :contentReference[oaicite:3]{index=3}"
"¿Qué condición presupuestaria general debe concurrir para poder incorporar los remanentes de crédito previstos en el artículo 6?","Que exista superávit en la liquidación del presupuesto","Que exista déficit en la liquidación","Que el crédito proceda necesariamente del Capítulo II","Que el Consejo Social declare expresamente el remanente incorporable","1","El artículo 6 condiciona estas incorporaciones a la existencia de superávit en la liquidación del presupuesto, además de los demás requisitos establecidos. :contentReference[oaicite:4]{index=4}"
"¿Cuál es el importe mínimo del remanente de crédito para que pueda acogerse a las incorporaciones previstas en el artículo 6?","Debe ser superior a 300 euros","Debe ser igual o superior a 300 euros","Debe superar los 500 euros","Debe superar los 1.000 euros","1","El artículo 6 establece que los remanentes susceptibles de incorporación deben tener un importe superior a 300 euros. Por tanto, 300 euros exactos no cumplen esa condición. :contentReference[oaicite:5]{index=5}"
"¿Qué créditos pueden incorporarse al ejercicio siguiente por garantizar compromisos de gasto?","Los que garanticen compromisos de gasto contraídos hasta el último día del ejercicio y que, por motivos justificados, no hayan podido realizarse durante el mismo","Todos los créditos no ejecutados del ejercicio","Únicamente los créditos de Capítulo VI","Solo los créditos correspondientes a gastos de personal","1","El artículo 6 contempla como primer supuesto de incorporación los créditos que garanticen compromisos de gasto contraídos hasta el último día del ejercicio y que, por motivos justificados, no se hayan podido realizar durante el mismo. :contentReference[oaicite:6]{index=6}"
"¿Qué segundo supuesto de remanentes de crédito puede incorporarse al presupuesto del ejercicio siguiente?","Los correspondientes a gastos incursos en expedientes de contratación que no hayan sido adjudicados antes del 31 de diciembre","Todos los contratos adjudicados antes del 31 de diciembre","Los créditos de contratos ya pagados","Los gastos que todavía no hayan sido propuestos por el Centro Gestor","1","El segundo supuesto expresamente previsto por el artículo 6 son los gastos incursos en expedientes de contratación que no hayan sido adjudicados antes del 31 de diciembre. :contentReference[oaicite:7]{index=7}"
"Un expediente de contratación se encuentra en tramitación el 31 de diciembre, pero todavía no ha sido adjudicado. ¿Puede el crédito correspondiente ser objeto de incorporación al ejercicio siguiente?","Sí, si supera los 300 euros, existe superávit en la liquidación y se cumplen los demás requisitos","No, porque únicamente pueden incorporarse contratos ya adjudicados","Sí, automáticamente y sin necesidad de superávit","No, porque todos los créditos de contratación se anulan al cierre","1","El artículo 6 contempla expresamente como supuesto de incorporación los gastos incursos en expedientes de contratación que no hayan sido adjudicados antes del 31 de diciembre, siempre que concurran los requisitos generales de incorporación. :contentReference[oaicite:8]{index=8}"
"¿Qué principio debe respetarse para que puedan realizarse las incorporaciones de crédito previstas en el artículo 6?","El principio de estabilidad presupuestaria en el ejercicio en curso","El principio de anualidad exclusivamente","El principio de publicidad y concurrencia","El principio de territorialidad del gasto","1","El artículo 6 establece que las incorporaciones podrán realizarse siempre que se respete el principio de estabilidad presupuestaria en el ejercicio en curso. :contentReference[oaicite:9]{index=9}"
"¿Quién autoriza las incorporaciones de créditos previstas en el artículo 6 del Presupuesto 2026?","El Rector","El Consejo de Gobierno","El Consejo Social","El Director Económico Financiero","1","El artículo 6 establece expresamente que las incorporaciones de créditos serán autorizadas por el Rector. :contentReference[oaicite:10]{index=10}"
"¿Cuál de las siguientes afirmaciones refleja correctamente la regla general y la excepción respecto de los créditos al cierre del ejercicio?","Como regla general se anulan los créditos no sujetos a obligaciones reconocidas; excepcionalmente determinados remanentes pueden incorporarse al ejercicio siguiente","Todos los créditos se incorporan automáticamente al ejercicio siguiente","Todos los créditos se anulan sin posibilidad de excepción","Solo los créditos de Capítulo VI se incorporan automáticamente","1","El artículo 6 establece la anulación como regla general y permite excepcionalmente determinadas incorporaciones cuando existe superávit y se cumplen los requisitos establecidos. :contentReference[oaicite:11]{index=11}"
"¿Qué diferencia existe entre un crédito no ejecutado al cierre y un remanente susceptible de incorporación?","No todo crédito no ejecutado puede incorporarse; solo determinados remanentes que cumplan los requisitos establecidos por el artículo 6","Todo crédito no ejecutado constituye automáticamente un remanente incorporable","Los dos conceptos son jurídicamente idénticos","El remanente incorporable solo puede proceder de ingresos","1","La norma distingue la regla general de anulación de los créditos no sujetos a obligaciones reconocidas y los supuestos excepcionales de incorporación de determinados remanentes. :contentReference[oaicite:12]{index=12}"
"¿Hasta qué fecha deben haberse contraído los compromisos de gasto para poder acogerse al primer supuesto de incorporación?","Hasta el último día del ejercicio presupuestario","Hasta el 30 de noviembre","Hasta el 1 de diciembre","Hasta el último día del ejercicio siguiente","1","El primer supuesto de incorporación exige que los compromisos de gasto se hayan contraído hasta el último día del ejercicio presupuestario. :contentReference[oaicite:13]{index=13}"
"¿Qué requisito adicional deben presentar los compromisos de gasto del primer supuesto de incorporación?","Que, por motivos justificados, no hayan podido realizarse durante el ejercicio","Que hayan sido pagados antes del cierre","Que correspondan exclusivamente a inversiones","Que hayan sido financiados mediante remanente de tesorería","1","No basta con que exista un compromiso: el artículo 6 exige además que, por motivos justificados, no haya podido realizarse durante el ejercicio. :contentReference[oaicite:14]{index=14}"
"Un crédito de 250 euros corresponde a un compromiso de gasto contraído antes del cierre que no pudo ejecutarse por motivos justificados. ¿Puede incorporarse conforme a la regla específica del artículo 6?","No, porque el importe debe ser superior a 300 euros","Sí, porque cualquier compromiso permite la incorporación","Sí, porque basta con que exista superávit","Sí, siempre que corresponda a un contrato","1","Aunque el crédito reúna el requisito material del compromiso no ejecutado, el artículo 6 exige que los remanentes susceptibles de incorporación tengan un importe superior a 300 euros. :contentReference[oaicite:15]{index=15}"
"Un remanente de 300 euros exactos cumple todos los demás requisitos de incorporación. ¿Puede incorporarse conforme al artículo 6?","No, porque el importe debe ser superior a 300 euros","Sí, porque 300 euros es igual al mínimo exigido","Sí, siempre que lo autorice el Rector","Sí, únicamente si procede de un contrato","1","La norma utiliza la expresión «superior a 300 €», por lo que 300 euros exactos quedan fuera del supuesto de incorporación previsto. :contentReference[oaicite:16]{index=16}"
"¿Qué relación existe entre el superávit de la liquidación y la incorporación de remanentes?","La existencia de superávit es una condición general para las incorporaciones previstas en el artículo 6","El déficit es el requisito general para incorporar créditos","El resultado de la liquidación es irrelevante","Solo puede haber incorporaciones cuando el resultado sea exactamente cero","1","El artículo 6 condiciona las incorporaciones de los remanentes previstos a que exista superávit en la liquidación del presupuesto. :contentReference[oaicite:17]{index=17}"
"¿Qué magnitudes aparecen enfrentadas en el cuadro de ejecución presupuestaria utilizado para calcular el resultado presupuestario?","Derechos reconocidos y obligaciones reconocidas","Créditos iniciales y modificaciones de crédito","Ingresos previstos y pagos realizados","Remanentes de crédito y tesorería disponible","1","El cuadro de previsión de liquidación del Presupuesto 2026 presenta los derechos reconocidos frente a las obligaciones reconocidas y calcula el saldo correspondiente. :contentReference[oaicite:18]{index=18}"
"En el cuadro de previsión de liquidación del Presupuesto 2026, ¿qué magnitud se obtiene al comparar derechos reconocidos y obligaciones reconocidas?","El saldo o resultado presupuestario correspondiente","El crédito inicial","La modificación presupuestaria","El límite de gasto no financiero","1","El cuadro de ejecución presenta derechos reconocidos, obligaciones reconocidas y el saldo o resultado presupuestario derivado de su comparación. :contentReference[oaicite:19]{index=19}"
"¿Cuál es el saldo previsto para el presupuesto corriente de la UC3M en el cuadro de liquidación del Presupuesto 2026?","-4.670,46 miles de euros","+4.670,46 miles de euros","-35.546,98 miles de euros","-41.688,82 miles de euros","1","El cuadro de previsión de liquidación muestra derechos reconocidos por 205.969,45 miles de euros y obligaciones reconocidas por 210.639,91 miles, resultando un saldo de -4.670,46 miles. :contentReference[oaicite:20]{index=20}"
"¿Cuál es el saldo previsto para el presupuesto de capital en la previsión de liquidación de 2026?","-35.546,98 miles de euros","-4.670,46 miles de euros","+35.546,98 miles de euros","-41.688,82 miles de euros","1","El presupuesto de capital presenta derechos reconocidos previstos por 52.616,00 miles de euros y obligaciones reconocidas por 88.162,98 miles, dando un saldo de -35.546,98 miles. :contentReference[oaicite:21]{index=21}"
"¿Cuál es el resultado previsto del presupuesto no financiero en la previsión de liquidación de 2026?","-40.217,44 miles de euros","-41.688,82 miles de euros","-35.546,98 miles de euros","+40.217,44 miles de euros","1","El subtotal del presupuesto no financiero presenta derechos reconocidos por 258.585,45 miles de euros y obligaciones reconocidas por 298.802,89 miles, con un saldo de -40.217,44 miles de euros. :contentReference[oaicite:22]{index=22}"
"¿Cuál es el saldo previsto de las operaciones de activos y pasivos financieros en el cuadro de liquidación de 2026?","-1.471,38 miles de euros","+1.471,38 miles de euros","-40.217,44 miles de euros","0 miles de euros","1","El cuadro recoge derechos reconocidos por 193,80 miles de euros y obligaciones reconocidas por 1.665,18 miles, resultando un saldo de -1.471,38 miles de euros. :contentReference[oaicite:23]{index=23}"
"¿Cuál es el saldo total previsto del presupuesto de la UC3M en el cuadro de liquidación de 2026?","-41.688,82 miles de euros","-40.217,44 miles de euros","-35.546,98 miles de euros","+41.688,82 miles de euros","1","El total del presupuesto presenta derechos reconocidos previstos por 258.779,25 miles de euros y obligaciones reconocidas por 300.468,07 miles, resultando un saldo de -41.688,82 miles de euros. :contentReference[oaicite:24]{index=24}"
"¿Qué diferencia debe tenerse en cuenta al interpretar el saldo total previsto de -41.688,82 miles de euros?","Incluye también el resultado negativo previsto de las operaciones de activos y pasivos financieros","Corresponde exclusivamente al presupuesto corriente","Es exclusivamente el resultado del presupuesto de capital","Es el importe de las incorporaciones de crédito","1","El saldo total de -41.688,82 miles de euros resulta del presupuesto no financiero (-40.217,44) y del saldo de las operaciones de activos y pasivos financieros (-1.471,38). :contentReference[oaicite:25]{index=25}"
