"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿Cuántos artículos integran el Capítulo I del Título IV, 'Garantías del procedimiento', de la Ley 39/2015?","Dos artículos","Un único artículo, el artículo 53","Cinco artículos","Diez artículos","2","El Capítulo I del Título IV, 'Garantías del procedimiento', consta de un único artículo, el 53, que recoge los derechos del interesado en el procedimiento administrativo, constituyendo una novedad de la Ley al introducirse con carácter previo a la regulación del procedimiento. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a53"
"¿Cuál de los siguientes derechos NO se recoge en el artículo 53.1 de la Ley 39/2015 para los interesados en un procedimiento administrativo?","A conocer el estado de la tramitación de los procedimientos en que tengan la condición de interesados","A identificar a las autoridades y al personal bajo cuya responsabilidad se tramiten los procedimientos","A no presentar documentos originales, salvo excepción, y a obtener copia autenticada si excepcionalmente deben presentarlos","A que la Administración resuelva siempre a su favor si aportan suficiente documentación","4","El art. 53.1 LPAC reconoce, entre otros, el derecho a conocer el estado de tramitación, a identificar a las autoridades responsables, y a no presentar documentos originales salvo excepción (con derecho a copia autenticada). No existe un derecho a obtener una resolución favorable: la Administración resuelve conforme a Derecho, con independencia del resultado. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a53"
"Además de los derechos generales, ¿qué derechos adicionales reconoce el artículo 53.2 de la Ley 39/2015 a los presuntos responsables en procedimientos sancionadores?","A ser notificados de los hechos imputados, las infracciones, las sanciones posibles, la identidad del instructor y el órgano competente, y a la presunción de no existencia de responsabilidad administrativa mientras no se demuestre lo contrario","A no ser nunca sancionados","A elegir libremente al instructor del procedimiento","A recurrir directamente ante el Tribunal Constitucional","1","El art. 53.2 LPAC añade, para los procedimientos sancionadores, el derecho de los presuntos responsables a ser notificados de los hechos imputados, las infracciones que puedan constituir, las sanciones posibles, la identidad del instructor y del órgano competente para sancionar y la norma que le atribuye competencia, así como el derecho a la presunción de no existencia de responsabilidad administrativa mientras no se demuestre lo contrario. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a53"
"Según el artículo 54 de la Ley 39/2015, ¿de qué formas pueden iniciarse los procedimientos administrativos?","Únicamente de oficio","Únicamente a solicitud del interesado","De oficio o a solicitud del interesado","Solo mediante denuncia de un tercero","3","El art. 54 LPAC dispone escuetamente: 'Los procedimientos podrán iniciarse de oficio o a solicitud del interesado'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a54"
"¿Qué finalidad atribuye el artículo 55.1 de la Ley 39/2015 al período de información o actuaciones previas?","Conocer las circunstancias del caso concreto y la conveniencia o no de iniciar el procedimiento.","Practicar las pruebas necesarias para resolver el procedimiento antes de la fase de instrucción.","Permitir al órgano competente dictar resolución definitiva sin necesidad de iniciar el procedimiento.","Garantizar el trámite de audiencia previo a toda resolución administrativa.","1","El artículo 55.1 establece que las actuaciones previas tienen por finalidad conocer las circunstancias del caso concreto y valorar la conveniencia o no de iniciar el procedimiento."
"¿Cuál de las siguientes actuaciones corresponde específicamente al período de información o actuaciones previas regulado en el artículo 55.1 de la Ley 39/2015?","Valorar las circunstancias del caso y decidir si procede iniciar el procedimiento administrativo.","Practicar las pruebas propuestas por los interesados durante la fase de instrucción.","Conceder el trámite de audiencia previo a la resolución del procedimiento.","Formular la propuesta de resolución una vez concluida la instrucción.","1","Las actuaciones previas tienen naturaleza preprocedimental y su finalidad es determinar si resulta conveniente iniciar el procedimiento."
"¿Qué característica distingue al período de información o actuaciones previas previsto en el artículo 55.1 de la Ley 39/2015 respecto del procedimiento administrativo propiamente dicho?","Se desarrolla antes del inicio del procedimiento y tiene por objeto valorar si resulta conveniente incoarlo.","Forma parte de la fase de instrucción y tiene como finalidad practicar la prueba necesaria para resolver.","Constituye un trámite obligatorio en todos los procedimientos administrativos.","Solo puede acordarse una vez iniciado formalmente el procedimiento.","1","El artículo 55.1 sitúa expresamente las actuaciones previas con anterioridad al inicio del procedimiento y les atribuye una finalidad exclusivamente valorativa."
"¿Cuál de las siguientes actuaciones puede llevar a cabo el órgano competente antes del inicio de un procedimiento administrativo al amparo del artículo 55.1 de la Ley 39/2015?","Abrir un período de información o actuaciones previas para conocer las circunstancias del caso y valorar la conveniencia de iniciar el procedimiento.","Practicar el trámite de audiencia a los posibles interesados antes de decidir si inicia el procedimiento.","Formular una propuesta de resolución anticipada para agilizar la tramitación posterior.","Resolver el procedimiento mediante terminación convencional sin necesidad de incoarlo formalmente.","1","El artículo 55.1 únicamente contempla la apertura de un período de información o actuaciones previas antes del inicio del procedimiento, con la finalidad de conocer las circunstancias del caso y valorar la conveniencia de iniciarlo."
"¿En qué plazo deben confirmarse, modificarse o levantarse las medidas provisionales adoptadas antes de la iniciación del procedimiento, según el artículo 56.2 de la Ley 39/2015?","Dentro de los cinco días siguientes a su adopción","Dentro de los quince días siguientes a su adopción, mediante el acuerdo de iniciación del procedimiento","Dentro del mes siguiente a su adopción","No existe plazo, pueden mantenerse indefinidamente","2","El art. 56.2 LPAC dispone que las medidas provisionales adoptadas antes de la iniciación 'deberán ser confirmadas, modificadas o levantadas en el acuerdo de iniciación del procedimiento, que deberá efectuarse dentro de los quince días siguientes a su adopción', quedando sin efecto si no se inicia el procedimiento en dicho plazo o si el acuerdo de iniciación no se pronuncia expresamente sobre ellas. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a56"
"¿Cuál de las siguientes NO es una medida provisional que, conforme al artículo 56.3 de la Ley 39/2015, puede adoptar la Administración?","Suspensión temporal de actividades","Prestación de fianzas","Embargo preventivo de bienes, rentas y cosas fungibles computables en metálico","Privación de libertad del presunto infractor","4","El art. 56.3 LPAC enumera medidas como la suspensión temporal de actividades, prestación de fianzas, retirada o intervención de bienes productivos, embargo preventivo, depósito o retención de cosa mueble, intervención de ingresos ilícitos, consignación de cantidades reclamadas, y retención de ingresos a cuenta de las Administraciones. La privación de libertad no es una medida provisional administrativa: excede la potestad administrativa y requeriría intervención judicial. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a56"
