Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Respuesta correcta,Explicación
¿En cuántos Ejes se estructura el III Plan de Igualdad de la UC3M?,La aplicación transversal del principio de igualdad en la actuación de los poderes públicos,La adopción de medidas de acción positiva en favor de las mujeres cuando proceda,Seis Ejes,La prevención de conductas discriminatorias mediante protocolos internos de actuación,3,"El III Plan de Igualdad de la UC3M se estructura en 6 grandes Ejes identificados como ámbitos de intervención clave para avanzar en la construcción de un entorno universitario que garantice la no discriminación por razón de sexo y promueva la igualdad efectiva entre mujeres y hombres. III Plan de Igualdad de la Universidad Carlos III de Madrid, apartado VIII (Objetivos y estructura general)"
¿Cuántas medidas en total integran el III Plan de Igualdad de la UC3M?,137 medidas,139 medidas,138 medidas,140 medidas,3,"El III Plan de Igualdad de la UC3M señala que los Ejes, Líneas y Objetivos Generales y Específicos 'se materializan en un conjunto de medidas (138 en total)'. III Plan de Igualdad de la Universidad Carlos III de Madrid, apartado VIII (Objetivos y estructura general)"
"¿Cuál es la secuencia jerárquica de la estructura del III Plan de Igualdad de la UC3M, de lo más general a lo más concreto?",Medidas > Objetivos Específicos > Líneas de acción > Ejes > Objetivos Generales,Ejes > Objetivos Generales (OG) > Líneas de acción > Objetivos Específicos (OE) > Medidas,Líneas de acción > Ejes > Medidas > Objetivos Generales,Objetivos Específicos > Ejes > Medidas > Líneas de acción,2,"Conforme a la estructura general del III Plan, cada Eje tiene asociado un Objetivo General (OG); estos Ejes se concretan en Líneas de acción, definidas de acuerdo con los Objetivos Específicos (OE) de cada Eje; y finalmente, los Ejes, Líneas y Objetivos se materializan en un conjunto de 138 medidas. III Plan de Igualdad de la Universidad Carlos III de Madrid, apartado VIII (Objetivos y estructura general)"
¿Cuál es el nombre del Eje 1 del III Plan de Igualdad de la UC3M?,Formación en y para la Igualdad,"Gobernanza, Organización y Gestión con Perspectiva de Género",Igualdad en el empleo y corresponsabilidad,Acciones frente a la violencia contra las mujeres,2,"El Eje 1 del III Plan de Igualdad de la UC3M se denomina 'Gobernanza, Organización y Gestión con Perspectiva de Género'. III Plan de Igualdad de la Universidad Carlos III de Madrid, apartado VIII (Objetivos y estructura general)"
"¿Cuál es el Objetivo General (OG) del Eje 1 del III Plan de Igualdad de la UC3M, 'Gobernanza, Organización y Gestión con Perspectiva de Género'?","Incluir de manera transversal la cultura de la igualdad entre mujeres y hombres y la perspectiva de género en la gobernanza, la organización y la gestión en la UC2M","Incluir de manera transversal la cultura de la igualdad entre mujeres y hombres y la perspectiva de género en la gobernanza, la organización y la gestión en la UC3M","Incluir de manera transversal la cultura de la igualdad entre mujeres y hombres y la perspectiva de género en la gobernanza, la organización y la gestión en la UC5M","Incluir de manera transversal la cultura de la igualdad entre mujeres y hombres y la perspectiva de género en la gobernanza, la organización y la gestión en la UC4M",2,"El Objetivo General del Eje I es: 'Incluir de manera transversal la cultura de la igualdad entre mujeres y hombres y la perspectiva de género en la gobernanza, la organización y la gestión en la UC3M'. III Plan de Igualdad de la Universidad Carlos III de Madrid, apartado VIII (Objetivos y estructura general)"
¿Cuál es el nombre del Eje 2 del III Plan de Igualdad de la UC3M?,Formación en y para la Igualdad,"Investigación, Transferencia y Emprendimiento con Perspectiva de Género","Docencia y Prácticas de Formación, Innovación y Evaluación del Profesorado con Perspectiva de Género","Gobernanza, Organización y Gestión con Perspectiva de Género",1,"El Eje 2 del III Plan de Igualdad de la UC3M se denomina 'Formación en y para la Igualdad', cuyo Objetivo General consiste en fomentar la formación en materia de igualdad de todo el personal de la UC3M para avanzar en la equidad entre mujeres y hombres, así como en la prevención y erradicación de la violencia. III Plan de Igualdad de la Universidad Carlos III de Madrid, apartado VIII (Objetivos y estructura general)"
⭐⭐⭐ ¿Cuál es el nombre del Eje 3 del III Plan de Igualdad de la UC3M?,Igualdad en el empleo y corresponsabilidad,Acciones frente a la violencia contra las mujeres,Formación en y para la Igualdad,"Investigación, Transferencia y Emprendimiento con Perspectiva de Género",1,"El Eje 3 del III Plan de Igualdad de la UC3M se denomina 'Igualdad en el empleo y corresponsabilidad'. III Plan de Igualdad de la Universidad Carlos III de Madrid, apartado VIII (Objetivos y estructura general)"
"👑 ¿Cuál de las siguientes asociaciones entre eje y ámbito de intervención del III Plan de Igualdad de la UC3M es INCORRECTA?","Eje 2 → Formación en y para la Igualdad","Eje 3 → Igualdad en el empleo y corresponsabilidad","Eje 5 → Investigación, Transferencia y Emprendimiento con Perspectiva de Género","Eje 6 → Docencia y Prácticas de Formación, Innovación y Evaluación del Profesorado con Perspectiva de Género","4","El apartado VIII del III Plan de Igualdad de la UC3M establece que el Eje 6 se denomina «Acciones frente a la violencia contra las mujeres». La «Docencia y Prácticas de Formación, Innovación y Evaluación del Profesorado con Perspectiva de Género» corresponde al Eje 4."
¿Cuál es el nombre del Eje 4 del III Plan de Igualdad de la UC3M?,"Gobernanza, Organización y Gestión con Perspectiva de Género","Docencia y Prácticas de Formación, Innovación y Evaluación del Profesorado con Perspectiva de Género",La aplicación transversal del principio de igualdad en la actuación de los poderes públicos,Acciones frente a la violencia contra las mujeres,2,"El Eje 4 del III Plan de Igualdad de la UC3M se denomina 'Docencia y Prácticas de Formación, Innovación y Evaluación del Profesorado con Perspectiva de género'. III Plan de Igualdad de la Universidad Carlos III de Madrid, apartado VIII (Objetivos y estructura general)"
¿Cuál es el nombre del Eje 5 del III Plan de Igualdad de la UC3M?,"Investigación, Transferencia y Emprendimiento con Perspectiva de Género",Formación en y para la Igualdad,"Gobernanza, Organización y Gestión con Perspectiva de Género",Igualdad en el empleo y corresponsabilidad,1,"El Eje 5 del III Plan de Igualdad de la UC3M se denomina 'Investigación, Transferencia y Emprendimiento con Perspectiva de Género'. III Plan de Igualdad de la Universidad Carlos III de Madrid, apartado VIII (Objetivos y estructura general)"
"¿Cuál es el nombre del Eje 6, último de los Ejes del III Plan de Igualdad de la UC3M?",Acciones frente a la violencia contra las mujeres,Docencia con perspectiva de género,La aplicación transversal del principio de igualdad en la actuación de los poderes públicos,La adopción de medidas de acción positiva en favor de las mujeres cuando proceda,1,"El Eje 6, último de los seis Ejes del III Plan de Igualdad de la UC3M, se denomina 'Acciones frente a la violencia contra las mujeres'. III Plan de Igualdad de la Universidad Carlos III de Madrid, apartado VIII (Objetivos y estructura general)"
¿En cuántas Líneas de acción se concreta el Eje I del III Plan de Igualdad de la UC3M?,Tres Líneas de acción,Cuatro Líneas de acción,Seis Líneas de acción,Diez Líneas de acción,3,"El Eje I del III Plan de Igualdad de la UC3M se concreta en seis Líneas de acción: I.1 Recopilación de datos e información; I.2 Representación y participación de las mujeres; I.3 Marco normativo, institucional y presupuestario; I.4 Políticas universitarias; I.5 Lenguaje inclusivo y no sexista; e I.6 Toma de conciencia, visibilidad y reconocimiento. III Plan de Igualdad de la Universidad Carlos III de Madrid, apartado VIII (Objetivos y estructura general)"
"¿A qué Línea de acción del Eje I del III Plan de Igualdad de la UC3M pertenece el Objetivo Específico 'Impulsar la presencia equilibrada de mujeres y hombres en todos los ámbitos de participación, representación y toma de decisiones de la UC3M'?",Línea I.1. Recopilación de datos e información,Línea I.2. Representación y participación de las mujeres,Línea I.5. Lenguaje inclusivo y no sexista,"Línea I.6. Toma de conciencia, visibilidad y reconocimiento",2,"Este Objetivo Específico (OE I.2) corresponde a la Línea de acción I.2, 'Representación y participación de las mujeres', dentro del Eje I del III Plan de Igualdad de la UC3M. III Plan de Igualdad de la Universidad Carlos III de Madrid, apartado VIII (Objetivos y estructura general)"
¿Cuántas medidas concretas integran el Eje I del III Plan de Igualdad de la UC3M?,40 medidas,37 medidas,38 medidas,39 medidas,3,"El Eje I del III Plan de Igualdad de la UC3M, 'Gobernanza, Organización y Gestión con Perspectiva de Género', se desarrolla en un total de 38 medidas (numeradas de la 1 a la 38). III Plan de Igualdad de la Universidad Carlos III de Madrid, apartado VIII (Objetivos y estructura general)"
¿Qué Línea de acción del Eje I del III Plan de Igualdad de la UC3M incluye la medida de 'Crear un Programa de gasto y/o partidas presupuestarias específicas de igualdad para el desarrollo de las acciones del III Plan de Igualdad de la UC3M'?,Línea I.1. Recopilación de datos e información,"Línea I.3. Marco normativo, institucional y presupuestario",Línea I.5. Lenguaje inclusivo y no sexista,Línea I.2. Representación y participación de las mujeres,2,"Esta medida (Medida 10) se enmarca en la Línea de acción I.3, 'Marco normativo, institucional y presupuestario', cuyo Objetivo Específico es fortalecer el marco normativo, institucional y presupuestario de la UC3M para promover la igualdad entre mujeres y hombres. III Plan de Igualdad de la Universidad Carlos III de Madrid, apartado VIII (Objetivos y estructura general)"
¿Qué Línea de acción del Eje I del III Plan de Igualdad de la UC3M engloba medidas como la elaboración de una guía de lenguaje administrativo inclusivo o la revisión de las páginas web de Centros y Servicios?,Línea I.4. Políticas universitarias,Línea I.5. Lenguaje inclusivo y no sexista,"Línea I.6. Toma de conciencia, visibilidad y reconocimiento",Línea I.1. Recopilación de datos e información,2,"Estas medidas se enmarcan en la Línea de acción I.5, 'Lenguaje inclusivo y no sexista', cuyo Objetivo Específico es promover el uso de un lenguaje inclusivo y no sexista en todos los ámbitos de la UC3M. III Plan de Igualdad de la Universidad Carlos III de Madrid, apartado VIII (Objetivos y estructura general)"
⭐⭐⭐ ¿En qué artículos de la Ley Orgánica 3/2007 se apoya la medida del III Plan de Igualdad de la UC3M relativa a incentivar una política de contratación responsable y sensible a la igualdad de género en los pliegos de cláusulas administrativas?,Artículos 1 y 2,Artículos 33 y 34,Artículos 62 y 63,Artículos 75 y 76,2,"La medida 17 del Eje I del III Plan de Igualdad de la UC3M se refiere expresamente a incorporar criterios de adjudicación relacionados con la promoción de la igualdad 'de acuerdo con los arts. 33 y 34 de la Ley 3/2007, de 22 de marzo, para la igualdad efectiva entre mujeres y hombres', que regulan los contratos de las Administraciones públicas y de la Administración General del Estado en materia de igualdad. III Plan de Igualdad de la Universidad Carlos III de Madrid, apartado VIII (Objetivos y estructura general)"
"👑 En relación con la medida 17 del III Plan de Igualdad de la UC3M sobre contratación responsable y sensible a la igualdad de género, ¿qué preceptos de la Ley Orgánica 3/2007 se citan expresamente como fundamento para incorporar criterios relacionados con la promoción de la igualdad en los pliegos de cláusulas administrativas?","Los artículos 33 y 34, relativos respectivamente a los contratos de las Administraciones públicas y a los contratos de la Administración General del Estado","Los artículos 35 y 36, relativos respectivamente a las subvenciones públicas y a la igualdad en los medios de comunicación","Los artículos 51 y 52, relativos respectivamente a los criterios de actuación de las Administraciones públicas y a los titulares de órganos directivos","Los artículos 62 y 63, relativos respectivamente al protocolo de actuación frente al acoso sexual y a la evaluación sobre la igualdad en el empleo público","1","La medida 17 del Eje I del III Plan de Igualdad de la UC3M cita expresamente los artículos 33 y 34 de la Ley Orgánica 3/2007 como fundamento para incorporar criterios de adjudicación relacionados con la promoción de la igualdad entre mujeres y hombres en los pliegos de cláusulas administrativas. El artículo 33 regula los contratos de las Administraciones públicas y el artículo 34 los contratos de la Administración General del Estado. La medida también cita el artículo 147 de la Ley 9/2017 respecto de los criterios de desempate."
¿Cuál es la relación entre el Objetivo General (OG) y los Objetivos Específicos (OE) dentro de cada Eje del III Plan de Igualdad de la UC3M?,"Cada Eje tiene un único Objetivo General que presunta su finalidad de conjunto, el cual se desarrolla y concreta a través de varios Objetivos Específicos, cada uno vinculado a una Línea de acción distinta, y que a su vez se materializan en medidas concretas","Cada Eje tiene un único Objetivo General que expresa su finalidad de conjunto, el cual se desarrolla y concreta a través de varios Objetivos Específicos, cada uno vinculado a una Línea de acción distinta, y que a su vez se materializan en medidas concretas",La aplicación transversal del principio de igualdad en la actuación de los poderes públicos,La adopción de medidas de acción positiva en favor de las mujeres cuando proceda,2,"La estructura del III Plan de Igualdad de la UC3M revela una relación jerárquica: cada Eje se articula en torno a un Objetivo General (OG) único que expresa la finalidad global de ese ámbito de intervención; dicho Objetivo General se despliega en varias Líneas de acción, cada una asociada a un Objetivo Específico (OE) propio; y cada Objetivo Específico se traduce, finalmente, en un conjunto de medidas concretas y evaluables. III Plan de Igualdad de la Universidad Carlos III de Madrid, apartado VIII (Objetivos y estructura general)"
"En el III Plan de Igualdad de la UC3M, ¿qué finalidad tiene la Línea I.1 'Recopilación de datos e información' dentro del Eje I?","Impulsar exclusivamente la publicación externa de los datos de la Universidad relacionados con igualdad","Mejorar el conocimiento de la realidad de la UC3M mediante la recopilación, análisis y disponibilidad de datos desagregados por sexo que permitan identificar desigualdades y orientar las políticas de igualdad","Garantizar que todas las unidades de la Universidad elaboren anualmente sus propios planes de igualdad independientes","Sustituir los mecanismos generales de evaluación del Plan por un sistema basado únicamente en indicadores estadísticos","2","La Línea I.1 se orienta a mejorar el conocimiento de la realidad de la Universidad mediante la recopilación y utilización de información que permita detectar desigualdades entre mujeres y hombres y fundamentar las políticas de igualdad. Su ámbito está vinculado a la generación y análisis de información, no exclusivamente a su publicación externa."
"El III Plan de Igualdad de la UC3M establece una Línea específica para promover la presencia equilibrada de mujeres y hombres en los ámbitos de participación, representación y toma de decisiones. ¿A qué línea corresponde?","I.1. Recopilación de datos e información","I.2. Representación y participación de las mujeres","I.4. Políticas universitarias","I.6. Toma de conciencia, visibilidad y reconocimiento","2","El Objetivo Específico I.2 se integra en la Línea I.2, 'Representación y participación de las mujeres', orientada a impulsar una presencia equilibrada de mujeres y hombres en los ámbitos de participación, representación y toma de decisiones de la UC3M."
"Una medida del III Plan de Igualdad pretende reforzar el marco institucional y presupuestario de la Universidad para desarrollar las actuaciones previstas en materia de igualdad. ¿Qué Línea del Eje I constituye su encuadre correcto?","I.2. Representación y participación de las mujeres","I.3. Marco normativo, institucional y presupuestario","I.5. Lenguaje inclusivo y no sexista","I.6. Toma de conciencia, visibilidad y reconocimiento","2","La Línea I.3 se denomina 'Marco normativo, institucional y presupuestario' y tiene como finalidad fortalecer los instrumentos normativos, institucionales y presupuestarios de la UC3M para promover la igualdad entre mujeres y hombres. El repositorio identifica, por ejemplo, en esta línea la medida relativa a crear un programa de gasto o partidas presupuestarias específicas de igualdad."
"Una actuación pretende revisar el lenguaje utilizado por la Universidad y elaborar herramientas para favorecer una comunicación administrativa inclusiva y no sexista. ¿Cuál es su encuadre dentro del Eje I?","Línea I.3, porque toda actuación de igualdad tiene carácter institucional y presupuestario","Línea I.4, porque el lenguaje administrativo constituye una política universitaria general","Línea I.5, porque esta línea tiene específicamente como objetivo promover el uso de un lenguaje inclusivo y no sexista en los ámbitos de la UC3M","Línea I.6, porque las actuaciones de comunicación se integran exclusivamente en la visibilidad y reconocimiento","3","El Plan sitúa estas actuaciones en la Línea I.5, 'Lenguaje inclusivo y no sexista'. Entre las medidas del repositorio figuran la elaboración de una guía de lenguaje administrativo inclusivo y la revisión de páginas web de Centros y Servicios."
"¿Cuál de las siguientes relaciones entre Línea de acción y contenido del Eje I del III Plan de Igualdad de la UC3M es INCORRECTA?","I.1 → Recopilación de datos e información","I.2 → Representación y participación de las mujeres","I.3 → Marco normativo, institucional y presupuestario","I.6 → Prevención y erradicación de la violencia contra las mujeres","4","La Línea I.6 del Eje I se denomina 'Toma de conciencia, visibilidad y reconocimiento'. La prevención y erradicación de la violencia contra las mujeres constituye el ámbito específico del Eje VI, 'Acciones frente a la violencia contra las mujeres'."
"¿Cuál es el Objetivo General del Eje 2, 'Formación en y para la Igualdad', del III Plan de Igualdad de la UC3M?","Fomentar la formación en materia de igualdad de todo el personal de la UC3M para avanzar en la equidad entre mujeres y hombres, así como en la prevención y erradicación de la violencia.","Incorporar la perspectiva de género exclusivamente en la formación del personal docente e investigador para mejorar la calidad de la docencia.","Garantizar la presencia equilibrada de mujeres y hombres en los órganos de gobierno mediante programas específicos de formación.","Integrar la perspectiva de género únicamente en los estudios oficiales de Grado y Máster impartidos por la UC3M.","1","El Objetivo General del Eje 2 consiste en fomentar la formación en materia de igualdad de todo el personal de la UC3M para avanzar en la equidad entre mujeres y hombres, así como en la prevención y erradicación de la violencia."
"¿Qué diferencia fundamental existe entre el ámbito del Eje 2 y el del Eje 4 del III Plan de Igualdad de la UC3M?","El Eje 2 se centra en la formación en materia de igualdad del personal, mientras que el Eje 4 se refiere a la docencia y a las prácticas de formación, innovación y evaluación del profesorado con perspectiva de género.","El Eje 2 se centra en la investigación y transferencia, mientras que el Eje 4 se centra en la igualdad en el empleo y la corresponsabilidad.","El Eje 2 se ocupa de la violencia contra las mujeres, mientras que el Eje 4 regula exclusivamente la representación institucional.","El Eje 2 y el Eje 4 tienen exactamente el mismo ámbito de intervención y únicamente se diferencian por el número de medidas.","1","El Plan distingue ambos ámbitos: el Eje 2 se denomina 'Formación en y para la Igualdad', mientras que el Eje 4 se denomina 'Docencia y Prácticas de Formación, Innovación y Evaluación del Profesorado con Perspectiva de Género'."
"¿Qué relación existe entre el Eje 3 'Igualdad en el empleo y corresponsabilidad' y el Eje 2 'Formación en y para la Igualdad' dentro de la estructura general del III Plan de Igualdad de la UC3M?","El Eje 3 sustituye al Eje 2 cuando las medidas formativas se dirigen al personal de la Universidad.","El Eje 2 aborda la formación en materia de igualdad, mientras que el Eje 3 constituye un ámbito específico de intervención relacionado con la igualdad en el empleo y la corresponsabilidad.","El Eje 3 desarrolla exclusivamente las medidas presupuestarias previstas en el Eje 2.","El Eje 2 forma parte de las líneas de acción internas del Eje 3 y carece de Objetivo General propio.","2","El Plan configura ambos como Ejes independientes. El Eje 2 tiene como ámbito la formación en y para la igualdad, mientras que el Eje 3 aborda la igualdad en el empleo y la corresponsabilidad."
"Una pregunta de examen presenta las siguientes asociaciones. ¿Cuál es la única INCORRECTA conforme a la estructura general del III Plan de Igualdad de la UC3M?","Eje 1 → Gobernanza, Organización y Gestión con Perspectiva de Género","Eje 2 → Formación en y para la Igualdad","Eje 3 → Igualdad en el empleo y corresponsabilidad","Eje 4 → Investigación, Transferencia y Emprendimiento con Perspectiva de Género","4","El Eje 4 se denomina 'Docencia y Prácticas de Formación, Innovación y Evaluación del Profesorado con Perspectiva de Género'. 'Investigación, Transferencia y Emprendimiento con Perspectiva de Género' corresponde al Eje 5."
"Un opositor afirma que el III Plan de Igualdad de la UC3M concentra la formación en igualdad exclusivamente en el Eje 4 porque este contiene expresamente la palabra 'Formación' en su denominación. ¿Cuál es la respuesta correcta?","Es correcto, porque el Eje 4 es el único que contempla actuaciones formativas relacionadas con la igualdad.","Es incorrecto, porque el Eje 2 tiene expresamente como ámbito la 'Formación en y para la Igualdad', mientras que el Eje 4 se refiere específicamente a la docencia y prácticas de formación, innovación y evaluación del profesorado con perspectiva de género.","Es correcto, porque el Eje 2 se limita a medidas de sensibilización y comunicación.","Es incorrecto únicamente porque toda formación en igualdad se integra en el Eje 1.","2","El Eje 2 tiene como finalidad específica fomentar la formación en materia de igualdad de todo el personal de la UC3M. El Eje 4 tiene un ámbito distinto: docencia y prácticas de formación, innovación y evaluación del profesorado con perspectiva de género. :contentReference[oaicite:2]{index=2}"
"¿Cuál de las siguientes asociaciones entre Línea de acción y Objetivo Específico del Eje II del III Plan de Igualdad de la UC3M es correcta?","Línea II.1 → Fomentar la formación del PDI en materia de igualdad","Línea II.2 → Garantizar la formación en materia de igualdad de las personas que ocupan cargos de gobierno y puestos clave de gestión","Línea II.3 → Promocionar la formación del PTGAS en materia de igualdad","Línea II.4 → Fomentar la formación del PDI en materia de igualdad","3","La Línea II.3 se denomina 'Formación para PTGAS' y tiene como Objetivo Específico II.3 'Promocionar la formación del PTGAS en materia de igualdad'. Las Líneas II.1, II.2 y II.4 tienen objetivos diferentes. :contentReference[oaicite:2]{index=2}"
"Una persona trabajadora de la UC3M se reincorpora después de una excedencia por cuidado de familiares. ¿Qué medida del Eje II contempla específicamente su situación?","Priorizar su acceso a cursos de formación específicos relativos a su puesto de trabajo.","Garantizarle exclusivamente cursos de formación presencial en horario de mañana durante el primer año de reincorporación.","Reconocer automáticamente toda formación realizada durante la excedencia a efectos de promoción profesional.","Reservar para estas personas los cursos de formación incluidos en el Plan Formativo en materia de prevención de riesgos laborales.","1","La Medida 13 del Eje II, dentro de la Línea II.4 'Formación y corresponsabilidad', establece que se priorizará el acceso a cursos de formación específicos relativos al puesto de trabajo a las personas que se reincorporen después de permisos o excedencias por motivos de cuidados de familiares. :contentReference[oaicite:3]{index=3}"
"¿Cuántas Líneas de acción articulan el Eje III 'Igualdad en el empleo y corresponsabilidad' del III Plan de Igualdad de la UC3M y cuáles son?","Dos: acceso y promoción profesional; y corresponsabilidad y necesidades de cuidado.","Tres: acceso, promoción profesional y condiciones de trabajo; corresponsabilidad y necesidades de cuidado; y salud laboral.","Tres: formación y empleo; conciliación y corresponsabilidad; y prevención de riesgos laborales.","Cuatro: acceso y promoción; condiciones de trabajo; corresponsabilidad; y salud laboral.","2","El Eje III se ordena en tres Líneas de acción: Línea III.1 'Acceso, promoción profesional y condiciones de trabajo'; Línea III.2 'Corresponsabilidad y necesidades de cuidado'; y Línea III.3 'Salud laboral'. :contentReference[oaicite:4]{index=4}"
"¿Cuál de las siguientes medidas pertenece a la Línea III.1 'Acceso, promoción profesional y condiciones de trabajo' y no a la Línea III.2 'Corresponsabilidad y necesidades de cuidado'?","Promover la elaboración por los Departamentos de un procedimiento de elección preferente de franjas horarias para el profesorado con responsabilidades de cuidado.","Diseñar un programa de reducciones docentes al que pueda acogerse el PDI con responsabilidades de cuidado.","Revisar anualmente la auditoría retributiva que acompaña al III Plan de Igualdad para identificar posibles desigualdades salariales entre mujeres y hombres.","Facilitar la flexibilización y adaptación del horario laboral y de las condiciones de teletrabajo del PTGAS con responsabilidades de cuidado.","3","La revisión anual de la auditoría retributiva es la Medida 12 de la Línea III.1. Las otras tres opciones corresponden a las Medidas 24, 25 y 26 de la Línea III.2, relativa a corresponsabilidad y necesidades de cuidado. :contentReference[oaicite:5]{index=5} :contentReference[oaicite:6]{index=6}"
"De acuerdo con la Medida 18 del Eje III, ¿qué límites temporales se establecen para las reuniones en la UC3M en aplicación del principio de corresponsabilidad?","No podrán comenzar antes de las 9:00 ni finalizar después de las 18:00, debiendo fijarse su duración en la convocatoria.","No podrán comenzar antes de las 9:30 ni finalizar después de las 17:00, y su duración deberá fijarse con antelación en la propia convocatoria.","No podrán comenzar antes de las 10:00 ni finalizar después de las 17:30, debiendo respetarse únicamente la duración prevista en el calendario institucional.","No podrán comenzar antes de las 9:30 ni finalizar después de las 18:00, salvo que la convocatoria justifique expresamente una duración diferente.","2","La Medida 18 establece que los horarios de las reuniones deben ajustarse al principio de corresponsabilidad, de manera que nunca empiecen antes de las 9:30 ni finalicen después de las 17:00, respetándose además la duración, que debe fijarse con antelación en la propia convocatoria. :contentReference[oaicite:7]{index=7}"
"⭐⭐⭐ ¿Cuál de las siguientes medidas del Eje III del III Plan de Igualdad de la UC3M pertenece específicamente a la Línea III.3 «Salud laboral»?","Revisar anualmente la auditoría retributiva que acompaña al III Plan de Igualdad para identificar posibles desigualdades salariales entre mujeres y hombres.","Facilitar la flexibilización y adaptación del horario laboral y de las condiciones de teletrabajo del PTGAS con responsabilidades de cuidado.","Incorporar la perspectiva de género en la evaluación de riesgos laborales y en la planificación de la actividad preventiva.","Promover la elaboración por los Departamentos de un procedimiento de elección preferente de franjas horarias para el profesorado con responsabilidades de cuidado.","3","La incorporación de la perspectiva de género en la evaluación de riesgos laborales y en la planificación de la actividad preventiva se encuadra en la Línea III.3, «Salud laboral». Las respuestas 1, 2 y 4 corresponden a medidas de las Líneas III.1 y III.2."
"¿Cuál es el Objetivo Específico de la Línea III.3 «Salud laboral» del III Plan de Igualdad de la UC3M?","Promover la perspectiva de género en la prevención de riesgos con el objetivo de mejorar la salud laboral de las mujeres.","Garantizar la igualdad efectiva entre mujeres y hombres en el acceso, carrera, promoción y condiciones de trabajo en la UC3M.","Generar una cultura de la corresponsabilidad y promover el derecho a la conciliación de la vida personal, familiar y laboral de todo el personal.","Impulsar la incorporación equilibrada de mujeres y hombres en los órganos de representación y dirección relacionados con la prevención.","1","El OE.III.3, correspondiente a la Línea III.3 «Salud laboral», consiste en promover la perspectiva de género en la prevención de riesgos con el objetivo de mejorar la salud laboral de las mujeres. Los distractores reproducen objetivos específicos de las otras líneas o combinan elementos de ellas. :contentReference[oaicite:1]{index=1}"
