"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿En qué fecha fue aprobada la Constitución Española por las Cortes en sesiones plenarias del Congreso y el Senado?","27 de diciembre de 1978","6 de diciembre de 1978","31 de octubre de 1978","29 de diciembre de 1978","3","La Constitución fue aprobada por las Cortes en sesiones plenarias del Congreso de los Diputados y del Senado el 31 de octubre de 1978, ratificada en referéndum el 6 de diciembre de 1978 y sancionada por el Rey el 27 de diciembre de 1978. Fuente: BOE núm. 311, de 29/12/1978. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229"
"¿En qué fecha fue ratificada la Constitución Española por el pueblo español mediante referéndum?","31 de octubre de 1978","6 de diciembre de 1978","27 de diciembre de 1978","29 de diciembre de 1978","2","El pueblo español ratificó la Constitución en referéndum el 6 de diciembre de 1978. Posteriormente fue sancionada por el Rey el 27 de diciembre y publicada en el BOE el 29 de diciembre de 1978. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229"
"¿En qué Boletín Oficial del Estado se publicó la Constitución Española de 1978?","BOE núm. 301, de 29 de noviembre de 1978","BOE núm. 311, de 29 de diciembre de 1978","BOE núm. 1, de 1 de enero de 1979","BOE núm. 290, de 6 de diciembre de 1978","2","La Constitución se publicó en el BOE núm. 311, de 29 de diciembre de 1978, entrando en vigor ese mismo día. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229"
"¿Cuántos Títulos, sin contar el Título Preliminar, integran la parte dispositiva de la Constitución Española?","Ocho","Nueve","Diez","Once","3","Además del Título Preliminar, la Constitución consta de diez Títulos (I a X), que van desde 'De los derechos y deberes fundamentales' hasta 'De la reforma constitucional'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229"
"¿Cómo se denomina el Título I de la Constitución Española?","De la Corona","De los derechos y deberes fundamentales","De las Cortes Generales","Del Gobierno y de la Administración","2","El Título I, que comprende los artículos 10 a 55, se titula 'De los derechos y deberes fundamentales'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229"
"⭐⭐⭐ ¿Cómo se denomina el Título II de la Constitución Española?","De la Corona","Del Poder Judicial","De las Cortes Generales","De la organización territorial del Estado","1","El Título II (artículos 56 a 65) se denomina 'De la Corona'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229"
"¿Qué Título de la Constitución regula 'De las Cortes Generales'?","Título II","Título III","Título IV","Título V","2","El Título III, artículos 66 a 96, regula 'De las Cortes Generales', dividido en tres capítulos: de las Cámaras, de la elaboración de las leyes y de los Tratados Internacionales. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229"
"¿Qué Título de la Constitución Española regula el Gobierno y la Administración?","Título III","Título IV","Título V","Título VI","2","El Título IV (artículos 97 a 107) se titula 'Del Gobierno y de la Administración'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229"
"¿Cuál es la denominación del Título V de la Constitución Española?","Del Poder Judicial","De las relaciones entre el Gobierno y las Cortes Generales","Economía y Hacienda","De la Organización Territorial del Estado","2","El Título V (artículos 108 a 116) regula 'De las relaciones entre el Gobierno y las Cortes Generales'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229"
"¿Qué Título de la Constitución se dedica al Poder Judicial?","Título V","Título VI","Título VII","Título VIII","2","El Título VI, artículos 117 a 127, se titula 'Del Poder Judicial'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229"
"¿Qué materia regula el Título VII de la Constitución Española?","Economía y Hacienda","De la organización territorial del Estado","Del Tribunal Constitucional","De la reforma constitucional","1","El Título VII (artículos 128 a 136) se denomina 'Economía y Hacienda'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229"
"¿Qué Título de la Constitución regula 'De la organización territorial del Estado'?","Título VII","Título VIII","Título IX","Título X","2","El Título VIII, artículos 137 a 158, regula la organización territorial del Estado, dividido en tres capítulos: principios generales, Administración Local y Comunidades Autónomas. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229"
"¿Qué Título de la Constitución Española está dedicado al Tribunal Constitucional?","Título VIII","Título IX","Título X","Título VI","2","El Título IX, artículos 159 a 165, se titula 'Del Tribunal Constitucional'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229"
"¿Qué Título de la Constitución regula la reforma constitucional?","Título VIII","Título IX","Título X","No existe un título específico","3","El Título X, artículos 166 a 169, se titula 'De la reforma constitucional'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229"
"¿Cuántos artículos tiene en total el articulado de la Constitución Española de 1978?","158","165","169","175","3","La Constitución consta de 169 artículos, agrupados en un Título Preliminar y diez Títulos, además de disposiciones adicionales, transitorias, derogatoria y final. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229"
"¿Cuántas disposiciones adicionales tiene la Constitución Española?","Dos","Tres","Cuatro","Cinco","3","La Constitución cuenta con cuatro disposiciones adicionales (primera a cuarta). https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229"
"¿Cuántas disposiciones transitorias contiene la Constitución Española?","Siete","Ocho","Nueve","Diez","3","La Constitución contiene nueve disposiciones transitorias (primera a novena). https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229"
"Además de las disposiciones adicionales y transitorias, ¿qué otras disposiciones finales contiene la Constitución?","Una disposición derogatoria y una disposición final","Dos disposiciones derogatorias","Una disposición final únicamente","Una disposición derogatoria únicamente","1","Tras las disposiciones transitorias, la Constitución incluye una disposición derogatoria y una disposición final, seguidas de la fórmula de sanción y firma real. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229"
"El Título I de la Constitución, 'De los derechos y deberes fundamentales', ¿en cuántos capítulos se estructura?","Tres","Cuatro","Cinco","Seis","3","El Título I se estructura en cinco capítulos: Cap. 1º (españoles y extranjeros), Cap. 2º (derechos y libertades, con dos secciones), Cap. 3º (principios rectores de la política social y económica), Cap. 4º (garantías) y Cap. 5º (suspensión de derechos y libertades). https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229"
"¿Cómo se llama el Capítulo Segundo del Título III de la Constitución?","De las Cámaras","De la elaboración de las leyes","De los Tratados Internacionales","Del Gobierno","2","El Título III se divide en tres capítulos: Cap. 1º 'De las Cámaras' (arts. 66-80), Cap. 2º 'De la elaboración de las leyes' (arts. 81-92) y Cap. 3º 'De los Tratados Internacionales' (arts. 93-96). https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229"
"Según el Preámbulo de la Constitución, ¿quién proclama su voluntad de garantizar la convivencia democrática?","El Rey","Las Cortes Generales","La Nación española","El pueblo soberano de las Comunidades Autónomas","3","El Preámbulo comienza: 'La Nación española, deseando establecer la justicia, la libertad y la seguridad y promover el bien de cuantos la integran, en uso de su soberanía, proclama su voluntad de...'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229"
