"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"⭐⭐⭐ ¿Qué magnitud utiliza el cuadro de ejecución presupuestaria del Presupuesto 2026 para reflejar los ingresos?","Los derechos reconocidos","Las obligaciones reconocidas","Los créditos iniciales de gasto","Las modificaciones presupuestarias","1","El cuadro «Ejecución de Presupuesto» presenta los ingresos mediante la columna de DERECHOS RECONOCIDOS, frente a las obligaciones reconocidas en el lado de gastos. :contentReference[oaicite:1]{index=1}"
"En el cuadro «Ejecución de Presupuesto» del Presupuesto 2026 de la UC3M, ¿qué magnitud se utiliza para reflejar la ejecución de los ingresos, frente a la utilizada para los gastos?","Derechos reconocidos para los ingresos y obligaciones reconocidas para los gastos.","Obligaciones reconocidas para los ingresos y derechos reconocidos para los gastos.","Créditos iniciales para los ingresos y derechos reconocidos para los gastos.","Modificaciones presupuestarias para los ingresos y créditos iniciales para los gastos.","1","El cuadro de ejecución presupuestaria presenta los ingresos mediante los derechos reconocidos y los gastos mediante las obligaciones reconocidas."
"¿Qué importe de derechos reconocidos corresponde al presupuesto corriente en el cuadro de ejecución del Presupuesto 2026?","205.969,45 miles de euros","210.639,91 miles de euros","258.585,45 miles de euros","52.616,00 miles de euros","1","El presupuesto corriente presenta 205.969,45 miles de euros de derechos reconocidos. Los 210.639,91 corresponden a obligaciones reconocidas; 258.585,45 es el subtotal del presupuesto no financiero y 52.616,00 corresponde al presupuesto de capital. :contentReference[oaicite:2]{index=2}"
"¿Qué importe de derechos reconocidos corresponde al presupuesto de capital?","52.616,00 miles de euros","88.162,98 miles de euros","35.546,98 miles de euros","41.882,62 miles de euros","1","El presupuesto de capital presenta 52.616,00 miles de euros de derechos reconocidos. Los 88.162,98 corresponden a obligaciones reconocidas y 35.546,98 es el saldo negativo entre ambas magnitudes. :contentReference[oaicite:3]{index=3}"
"¿Cuál es el subtotal de derechos reconocidos del presupuesto no financiero?","258.585,45 miles de euros","298.802,89 miles de euros","205.969,45 miles de euros","300.468,07 miles de euros","1","El subtotal del presupuesto no financiero alcanza 258.585,45 miles de euros de derechos reconocidos. Las obligaciones reconocidas ascienden a 298.802,89 miles de euros y el total de gastos a 300.468,07 miles de euros. :contentReference[oaicite:4]{index=4}"
"¿Qué importe de derechos reconocidos corresponde a las operaciones de activos y pasivos financieros?","193,80 miles de euros","1.665,18 miles de euros","41.882,62 miles de euros","1.471,38 miles de euros","1","Las operaciones de activos y pasivos financieros presentan 193,80 miles de euros de derechos reconocidos y 1.665,18 miles de obligaciones reconocidas. La diferencia es un saldo de -1.471,38 miles de euros. :contentReference[oaicite:5]{index=5}"
"¿Cuál es el total de derechos reconocidos previstos en el cuadro de ejecución del Presupuesto 2026?","258.779,25 miles de euros","300.468,07 miles de euros","298.802,89 miles de euros","205.969,45 miles de euros","1","El total de derechos reconocidos asciende a 258.779,25 miles de euros. Los 300.468,07 corresponden a obligaciones reconocidas totales; 298.802,89 al subtotal de obligaciones no financieras. :contentReference[oaicite:6]{index=6}"
"¿Cuál es el saldo total que resulta de comparar derechos reconocidos y obligaciones reconocidas en el cuadro de ejecución?","-41.688,82 miles de euros","41.688,82 miles de euros","-40.217,44 miles de euros","-1.471,38 miles de euros","1","El total de derechos reconocidos es 258.779,25 miles de euros y las obligaciones reconocidas 300.468,07 miles de euros, resultando un saldo de -41.688,82 miles de euros. :contentReference[oaicite:7]{index=7}"
"¿Qué saldo presenta el presupuesto corriente en el cuadro de ejecución?","-4.670,46 miles de euros","-35.546,98 miles de euros","-40.217,44 miles de euros","-1.471,38 miles de euros","1","El presupuesto corriente presenta 205.969,45 miles de euros de derechos reconocidos y 210.639,91 miles de obligaciones reconocidas, resultando un saldo de -4.670,46 miles de euros. :contentReference[oaicite:8]{index=8}"
"¿Qué saldo presenta el presupuesto de capital?","-35.546,98 miles de euros","-4.670,46 miles de euros","-40.217,44 miles de euros","-1.471,38 miles de euros","1","El presupuesto de capital presenta 52.616,00 miles de euros de derechos reconocidos frente a 88.162,98 miles de obligaciones reconocidas, resultando -35.546,98 miles de euros. :contentReference[oaicite:9]{index=9}"
