"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿Qué normativa rige la contratación administrativa de la Universidad Carlos III de Madrid según el Presupuesto 2026?","La Ley 9/2017, de Contratos del Sector Público, el Real Decreto 817/2009, la Instrucción de Gerencia sobre gestión de contratos menores y demás disposiciones vigentes en materia de contratación administrativa","Exclusivamente la Ley 9/2017, sin aplicación de normativa interna de la Universidad","Únicamente el Real Decreto 817/2009 y las Normas Básicas de Gestión del Presupuesto","La normativa interna de cada Centro Gestor, con carácter preferente sobre la legislación estatal","1","El artículo 21 establece que la contratación administrativa de la UC3M se rige por la Ley 9/2017, el Real Decreto 817/2009, la Instrucción de Gerencia sobre gestión de contratos menores y demás disposiciones vigentes en materia de contratación administrativa. :contentReference[oaicite:2]{index=2}"
"¿Cuál es el órgano de contratación de la Universidad Carlos III de Madrid con carácter general?","El Rector","El Gerente","El Consejo de Gobierno","El Consejo Social","1","El artículo 21 establece que el órgano de contratación de la Universidad es en todos los casos el Rector, sin perjuicio de las competencias delegadas a otros órganos. :contentReference[oaicite:3]{index=3}"
"¿Qué órgano puede ejercer competencias en materia de contratación administrativa para contratos que no superen un millón de euros en virtud de la delegación prevista?","El Gerente de la Universidad","El Consejo Social","El Secretario General","El Director de la Escuela Politécnica Superior","1","El artículo 21 señala que, por delegación, el Gerente tiene competencia para contratos administrativos que no superen el millón de euros. Esta competencia debe entenderse conjuntamente con los límites y excepciones de la Resolución Rectoral de 31 de mayo de 2022. :contentReference[oaicite:4]{index=4}"
"Conforme al artículo 162.4, ¿qué contenido debe establecer el reglamento de organización del Servicio de Informática?","Las medidas oportunas para velar por la seguridad de los datos personales que obren en poder del Servicio.","Las medidas oportunas para garantizar exclusivamente la seguridad física de los equipos informáticos y de las instalaciones del Servicio.","Las normas y procedimientos internos para autorizar la adquisición y contratación de los programas y aplicaciones informáticas utilizados por la Universidad.","El régimen general de acceso del personal de la Universidad a los sistemas y recursos informáticos, incluyendo las consecuencias disciplinarias derivadas de su uso indebido.","1","El artículo 162.4 establece que el reglamento de organización del Servicio de Informática deberá establecer las medidas oportunas para velar por la seguridad de los datos personales que obren en su poder. Las restantes materias pueden estar relacionadas con la gestión informática, pero no constituyen el contenido que este precepto exige expresamente para dicho reglamento."
"⭐⭐⭐ ¿Qué requisito presupuestario debe cumplirse en todo expediente de contratación de la Universidad?","Debe contar con crédito adecuado y suficiente en el Presupuesto de la Universidad","Debe contar necesariamente con financiación externa","Debe estar financiado exclusivamente mediante ingresos propios","Debe contar siempre con una modificación presupuestaria previa","1","El artículo 21 establece que en ningún caso se tramitarán expedientes de contratación que no cuenten con crédito adecuado y suficiente en el Presupuesto de la Universidad. :contentReference[oaicite:6]{index=6}"
"Conforme al artículo 21 de la normativa de gestión presupuestaria de la Universidad Carlos III de Madrid, ¿qué requisito debe cumplirse para poder tramitar un expediente de contratación?","Debe existir crédito adecuado y suficiente en el Presupuesto de la Universidad, sin que la financiación externa constituya un requisito general.","Debe existir crédito adecuado y suficiente únicamente cuando el contrato se financie con ingresos propios de la Universidad, quedando exceptuados los contratos financiados mediante transferencias externas.","Debe existir una modificación presupuestaria previamente aprobada siempre que el expediente de contratación supere el crédito inicialmente asignado al Centro gestor.","Debe existir financiación externa suficiente o, en su defecto, un compromiso formal de obtenerla antes de la adjudicación del contrato.","1","El artículo 21 establece que en ningún caso se tramitarán expedientes de contratación que no cuenten con crédito adecuado y suficiente en el Presupuesto de la Universidad. La existencia de financiación externa no constituye un requisito general y la modificación presupuestaria solo será necesaria cuando proceda conforme al régimen presupuestario aplicable."
"En relación con la existencia de crédito en los expedientes de contratación de la Universidad, ¿cuál de las siguientes afirmaciones es correcta?","La normativa presupuestaria de la Universidad exige que el expediente cuente con crédito adecuado y suficiente y prevé, además, la solicitud del certificado de existencia de crédito por la Dirección Económica Financiera antes de iniciar la tramitación.","La existencia de crédito solo debe acreditarse después de la adjudicación, cuando el órgano de contratación aprueba definitivamente el gasto.","La normativa presupuestaria permite iniciar la tramitación sin crédito siempre que exista financiación externa comprometida y el certificado de existencia de crédito se incorpore antes de la formalización.","La existencia de crédito no es necesaria cuando el expediente se tramita mediante procedimiento abierto, puesto que la obligación presupuestaria solo nace con la adjudicación.","1","El artículo 21 establece que no se tramitarán expedientes de contratación sin crédito adecuado y suficiente en el Presupuesto de la Universidad y señala que, en su caso, además del documento contable RC, la Dirección Económica Financiera solicitará el certificado de existencia de crédito antes de comenzar la tramitación. El artículo 116.3 de la LCSP exige igualmente incorporar al expediente el certificado de existencia de crédito en los términos previstos legalmente."
"⭐⭐⭐ ¿Cuáles son los procedimientos de contratación que el Presupuesto 2026 identifica como más habituales en la Universidad?","Contrato menor, procedimiento negociado, procedimiento abierto y procedimientos tramitados a través de la Central de Contratación del Estado","Contrato menor, procedimiento restringido, diálogo competitivo y concurso de proyectos","Procedimiento abierto, procedimiento restringido, contrato de emergencia y subasta electrónica","Contrato menor, procedimiento simplificado, concesión y procedimiento de asociación para la innovación","1","El apartado 21 de las Normas de ejecución del Presupuesto 2026 identifica como procedimientos de contratación más habituales en la Universidad el contrato menor, el procedimiento negociado, el procedimiento abierto y los procedimientos tramitados a través de la Central de Contratación del Estado."
"👑 Según el apartado 21 de las Normas de ejecución del Presupuesto 2026 de la UC3M, ¿cuál de las siguientes relaciones recoge exclusivamente procedimientos de contratación identificados como más habituales en la Universidad?","Contrato menor, procedimiento negociado, procedimiento abierto y procedimientos tramitados a través de la Central de Contratación del Estado.","Contrato menor, procedimiento restringido, diálogo competitivo y procedimiento de asociación para la innovación.","Procedimiento abierto, procedimiento restringido, diálogo competitivo y concurso de proyectos.","Contrato menor, procedimiento abierto simplificado, concesión de obras y procedimiento de asociación para la innovación.","1","El apartado 21 de las Normas de ejecución del Presupuesto 2026 identifica como procedimientos de contratación más habituales en la Universidad el contrato menor, el procedimiento negociado, el procedimiento abierto y los procedimientos tramitados a través de la Central de Contratación del Estado."
"¿Cuál es la duración máxima de un contrato menor según el Presupuesto 2026?","Un año","Dos años","Tres años","Cinco años","1","El apartado 21.1.1 establece que la duración de los contratos menores no puede ser superior a un año. :contentReference[oaicite:8]{index=8}"
