"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿Qué órgano tiene, con carácter general, la competencia para la autorización y disposición del gasto en la ejecución del presupuesto de la UC3M?","El Rector y los órganos en quienes se hayan delegado las correspondientes facultades económico-financieras","Exclusivamente el Consejo Social","Exclusivamente el Gerente","El responsable de cada Centro de Gestión en todos los casos","1","El artículo 10 del Presupuesto 2026 establece que tienen competencia para la autorización y disposición del gasto el Rector y los órganos en quienes se deleguen facultades económico-financieras. El responsable del Centro puede conservar competencias delegadas, pero no ostenta una competencia universal."
"¿Qué diferencia existe entre la autorización del gasto y la disposición o compromiso del gasto?","La autorización permite realizar un gasto y reserva crédito; la disposición o compromiso concreta la realización del gasto previamente autorizado y vincula jurídicamente a la Universidad en los términos establecidos","La autorización reconoce una obligación ya exigible y la disposición ordena directamente el pago","Ambas fases son idénticas y únicamente cambia el documento contable","La disposición reserva crédito y la autorización constituye siempre una obligación exigible frente al tercero","1","La Ley General Presupuestaria distingue ambas fases: la aprobación o autorización inicia el procedimiento y reserva crédito, mientras que el compromiso acuerda la realización de un gasto previamente aprobado y tiene relevancia jurídica frente a terceros. :contentReference[oaicite:3]{index=3}"
"¿Qué fase del procedimiento de gestión del gasto inicia la ejecución del gasto?","La autorización o aprobación del gasto","El compromiso del gasto","El reconocimiento de la obligación","La ordenación del pago","1","La aprobación del gasto es la fase que inicia el procedimiento de ejecución y autoriza la realización de un gasto determinado, reservando crédito para ello. El compromiso es posterior. :contentReference[oaicite:4]{index=4}"
"¿Qué característica distingue especialmente al compromiso de gasto respecto de la autorización?","El compromiso tiene relevancia jurídica frente a terceros y vincula a la Universidad a la realización del gasto en la cuantía y condiciones establecidas","El compromiso solo tiene efectos internos y no afecta a terceros","El compromiso constituye directamente el pago material","El compromiso elimina la necesidad de reconocimiento de la obligación","1","El artículo 73 de la Ley General Presupuestaria establece que el compromiso tiene relevancia jurídica para terceros y vincula a la Administración a la realización del gasto previamente aprobado. :contentReference[oaicite:5]{index=5}"
"¿Qué se declara mediante el reconocimiento de la obligación?","La existencia de un crédito exigible frente a la Universidad derivado de un gasto previamente aprobado y comprometido","La mera disponibilidad de crédito presupuestario","La autorización inicial para realizar el gasto","La orden de transferencia bancaria al acreedor","1","El reconocimiento de la obligación declara la existencia de un crédito exigible derivado de un gasto aprobado y comprometido y comporta la propuesta de pago. :contentReference[oaicite:6]{index=6}"
"¿Qué circunstancia debe acreditarse para proceder al reconocimiento de una obligación derivada de una prestación, conforme a las Normas Básicas de Gestión del Presupuesto de la UC3M?","La realización de la prestación o la existencia del derecho del acreedor debe quedar acreditada documentalmente conforme a las condiciones previamente acordadas al aprobar y comprometer el gasto.","Debe existir crédito presupuestario suficiente y haberse autorizado el gasto, aunque todavía no se haya acreditado documentalmente la realización de la prestación o el derecho del acreedor.","Debe haberse efectuado el pago material al proveedor, puesto que el reconocimiento de la obligación confirma posteriormente la existencia de la deuda satisfecha.","Debe constar únicamente la aprobación y compromiso del gasto por el órgano competente, sin que sea necesario acreditar documentalmente la realización de la prestación.","1","El reconocimiento de la obligación exige acreditar documentalmente la realización de la prestación o la existencia del derecho del acreedor, de acuerdo con las condiciones previamente acordadas al aprobar y comprometer el gasto. La mera existencia de crédito, la autorización o el compromiso del gasto no bastan para reconocer la obligación, y el pago material constituye una fase posterior."
"¿Cuál es el orden correcto de las fases generales de gestión del gasto?","Autorización o aprobación → compromiso → reconocimiento de la obligación → ordenación del pago → pago material","Compromiso → autorización → pago material → reconocimiento → ordenación del pago","Autorización → reconocimiento → compromiso → pago material → ordenación del pago","Ordenación del pago → autorización → compromiso → reconocimiento → pago material","1","El artículo 73 de la Ley General Presupuestaria establece precisamente esa secuencia. :contentReference[oaicite:8]{index=8}"
"¿Qué fase se produce después del reconocimiento de la obligación y antes del pago material?","La ordenación del pago","La autorización del gasto","El compromiso del gasto","La modificación presupuestaria","1","La ordenación del pago se sitúa después del reconocimiento de la obligación y antes del pago material en la secuencia general de gestión del gasto. :contentReference[oaicite:9]{index=9}"
"¿Qué diferencia existe entre el reconocimiento de la obligación y la ordenación del pago?","El reconocimiento declara que existe una obligación exigible y comporta la propuesta de pago; la ordenación del pago dispone que se efectúe el pago correspondiente conforme al procedimiento establecido","El reconocimiento realiza materialmente la transferencia y la ordenación reserva el crédito","Ambas fases constituyen únicamente actuaciones de contratación","La ordenación del pago reconoce por primera vez la existencia de la obligación","1","El reconocimiento de la obligación y la ordenación del pago son fases distintas: primero se acredita y reconoce la obligación exigible y posteriormente se ordena el pago. :contentReference[oaicite:10]{index=10}"
"¿Quién tiene delegadas indistintamente las facultades que corresponden al Rector en materia de ordenación de los pagos de la UC3M según la Resolución de 31 de mayo de 2022?","El Gerente y el Director o Directora Económico Financiero","Los Decanos y el Director de la Escuela Politécnica Superior","Los Directores de Departamento y los Directores de Instituto","El Consejo Social y el Secretario General","1","El apartado quinto de la Resolución de 31 de mayo de 2022 delega indistintamente en el Gerente y en el Director o Directora Económico Financiero las facultades del Rector en materia de ordenación de los pagos. :contentReference[oaicite:11]{index=11}"
