Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Respuesta correcta,Explicación
"Según el artículo 10.1 de la Constitución, ¿qué constituye el fundamento del orden político y de la paz social?","La soberanía nacional, los derechos inviolables que le son inherentes, el libre desarrollo de la personalidad, el respeto a la ley y a los derechos de los demás","La dignidad de la persona, los derechos inviolables que le son inherentes, el libre desarrollo de la personalidad, el respeto a la ley y a los derechos de los demás",El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,La soberanía nacional y la forma política de monarquía parlamentaria,2,"El art. 10.1 CE establece: 'La dignidad de la persona, los derechos inviolables que le son inherentes, el libre desarrollo de la personalidad, el respeto a la ley y a los derechos de los demás son fundamento del orden político y de la paz social'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a10"
"Según el artículo 10.2 de la Constitución, ¿con qué criterio deben interpretarse las normas relativas a derechos fundamentales?",De conformidad con la jurisprudencia del Tribunal Constitucional y los tratados y acuerdos internacionales sobre las mismas materias ratificados por España,De conformidad con la Declaración Universal de Derechos Humanos y los tratados y acuerdos internacionales sobre las mismas materias ratificados por España,El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,La soberanía nacional y la forma política de monarquía parlamentaria,2,El art. 10.2 CE recoge la llamada 'cláusula de interpretación conforme': las normas sobre derechos y libertades fundamentales se interpretarán de conformidad con la Declaración Universal de Derechos Humanos y los tratados y acuerdos internacionales ratificados por España. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a10
"¿Cuál de las siguientes afirmaciones se ajusta a lo dispuesto en el artículo 11 de la Constitución Española sobre la nacionalidad?","La adquisición, conservación y pérdida de la nacionalidad española se regulan por ley y ningún español de origen podrá ser privado de su nacionalidad","Ningún español podrá perder la nacionalidad española en ningún supuesto","La pérdida de la nacionalidad española de origen podrá establecerse mediante ley orgánica en los casos previstos por la Constitución","La adquisición y pérdida de la nacionalidad española solo podrán regularse mediante ley orgánica","1","El artículo 11.1 CE establece que la adquisición, conservación y pérdida de la nacionalidad se regulan por ley. El artículo 11.2 añade que ningún español de origen podrá ser privado de su nacionalidad."
¿Con qué países puede el Estado concertar tratados de doble nacionalidad según el artículo 11.3 de la Constitución?,El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,Con los países iberoamericanos o aquellos que hayan tenido o tengan una particular vinculación con España,La soberanía nacional y la forma política de monarquía parlamentaria,Con todos los países del mundo sin excepción,2,El art. 11.3 CE permite concertar tratados de doble nacionalidad 'con los países iberoamericanos o con aquellos que hayan tenido o tengan una particular vinculación con España'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a11
¿A qué edad son mayores de edad los españoles según el artículo 12 de la Constitución?,17 años,18 años,20 años,La ley ordinaria fija la edad libremente,2,El art. 12 CE establece directamente: 'Los españoles son mayores de edad a los dieciocho años'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a12
¿Qué modificación sufrió el artículo 13.2 de la Constitución en 1992?,El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,"Se añadió la salvedad de que, por criterios de reciprocidad, se pueda establecer por tratado o ley el sufragio activo y pasivo de extranjeros en elecciones municipales",La soberanía nacional y la forma política de monarquía parlamentaria,La reserva de ley orgánica y el control parlamentario ordinario,2,"La reforma de 27 de agosto de 1992 (BOE-A-1992-20403) modificó el art. 13.2 CE para añadir la excepción de que, atendiendo a criterios de reciprocidad, pueda establecerse por tratado o ley el derecho de sufragio activo y pasivo en elecciones municipales para extranjeros, lo que permitió la ratificación del Tratado de Maastricht. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a13"
¿Qué delitos quedan excluidos de la extradición según el artículo 13.3 de la Constitución?,"Los delitos políticos, sin considerar como tales los informes de terrorismo","Los delitos políticos, sin considerar como tales los actos de terrorismo",Todos los delitos graves,Los delitos cometidos por menores de edad,2,"El art. 13.3 CE dispone que quedan excluidos de la extradición los delitos políticos, 'no considerándose como tales los actos de terrorismo'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a13"
¿Cuál de las siguientes es la ÚNICA reforma constitucional aprobada antes de 2011?,La del artículo 135 (estabilidad presupuestaria),La del artículo 13.2 (sufragio de extranjeros en elecciones municipales),La del artículo 49 (personas con discapacidad),La del artículo 69.3 (senador de Formentera),2,"La primera reforma constitucional se produjo en 1992 y afectó al artículo 13.2 CE, para permitir el sufragio activo y pasivo de extranjeros en elecciones municipales por reciprocidad. Las reformas del art. 135 (2011), del art. 49 (2024) y del art. 69.3 (2026) son posteriores. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a13"
¿Qué principio consagra el artículo 14 de la Constitución?,"El principio de jerarquía ante la ley, sin discriminación por nacimiento, raza, sexo, religión, opinión u otra condición o circunstancia personal o social","El principio de igualdad ante la ley, sin discriminación por nacimiento, raza, sexo, religión, opinión u otra condición o circunstancia personal o social",El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,La soberanía nacional y la forma política de monarquía parlamentaria,2,"El art. 14 CE proclama: 'Los españoles son iguales ante la ley, sin que pueda prevalecer discriminación alguna por razón de nacimiento, raza, sexo, religión, opinión o cualquier otra condición o circunstancia personal o social'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a14"
¿En qué caso permite el artículo 15 de la Constitución la pena de muerte?,El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,Lo que puedan disponer las leyes penales militares para tiempos de guerra,La soberanía nacional y la forma política de monarquía parlamentaria,En delitos de homicidio con agravantes,2,"El art. 15 CE dispone: 'Queda abolida la pena de muerte, salvo lo que puedan disponer las leyes penales militares para tiempos de guerra'. (Nota: esta excepción fue posteriormente suprimida por la legislación militar ordinaria, pero el texto constitucional la mantiene). https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a15"
¿Cuál de los siguientes derechos NO se reconoce en el artículo 15 de la Constitución?,El derecho a la vida,El derecho a la integridad física y moral,La prohibición de torturas y penas o tratos inhumanos o degradantes,El derecho al honor y a la intimidad personal,4,"El art. 15 CE reconoce el derecho a la vida, a la integridad física y moral y prohíbe la tortura y los tratos inhumanos o degradantes. El derecho al honor y a la intimidad se regula en el artículo 18 CE. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a15"
"Según el artículo 16.3 de la Constitución, ¿tiene España una confesión religiosa oficial?",El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,"No, ninguna confesión tendrá carácter estatal, aunque los poderes públicos cooperarán con la Iglesia Católica y las demás confesiones",La soberanía nacional y la forma política de monarquía parlamentaria,La reserva de ley orgánica y el control parlamentario ordinario,2,El art. 16.3 CE establece: 'Ninguna confesión tendrá carácter estatal. Los poderes públicos tendrán en cuenta las creencias religiosas de la sociedad española y mantendrán las consiguientes relaciones de cooperación con la Iglesia Católica y las demás confesiones'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a16
"¿Puede alguien ser obligado a declarar sobre su ideología, religión o creencias según el artículo 16.2 de la Constitución?","Sí, si lo requiere una autoridad judicial","No, nadie podrá ser obligado a declarar sobre su ideología, religión o creencias","No, nadie deberá ser obligado a declarar sobre su ideología, religión o creencias",El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,2,"El art. 16.2 CE dispone tajantemente: 'Nadie podrá ser obligado a declarar sobre su ideología, religión o creencias'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a16"
"Según el artículo 17.2 de la Constitución, ¿cuál es el plazo máximo de la detención preventiva?",71 horas,73 horas,72 horas,74 horas,3,"El art. 17.2 CE fija que la detención preventiva no podrá durar más del tiempo estrictamente necesario y, en todo caso, 'en el plazo máximo de setenta y dos horas, el detenido deberá ser puesto en libertad o a disposición de la autoridad judicial'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a17"
¿Qué procedimiento regula el artículo 17.4 de la Constitución para lograr la inmediata puesta a disposición judicial de una persona detenida ilegalmente?,El recurso de amparo,El habeas corpus,El recurso contencioso-administrativo,La cuestión de inconstitucionalidad,2,El art. 17.4 CE dispone que 'la ley regulará un procedimiento de habeas corpus para producir la inmediata puesta a disposición judicial de toda persona detenida ilegalmente'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a17
¿Cuál de los siguientes derechos se garantiza en el artículo 18 de la Constitución?,"El derecho al honor, a la intimidad personal y familiar y a la propia imagen",El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,La soberanía nacional y la forma política de monarquía parlamentaria,La reserva de ley orgánica y el control parlamentario ordinario,1,"El art. 18.1 CE garantiza 'el derecho al honor, a la intimidad personal y familiar y a la propia imagen'. El resto de derechos citados se regulan en artículos distintos (21 reunión, 22 asociación, 24 tutela judicial). https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a18"
¿En qué caso permite el artículo 18.2 de la Constitución la entrada o registro en un domicilio sin consentimiento del titular ni resolución judicial?,El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,En caso de flagrante delito,Cuando lo requiera cualquier autoridad administrativa,En situaciones de estado de alarma automáticamente,2,"El art. 18.2 CE establece que el domicilio es inviolable y que ninguna entrada o registro podrá hacerse en él sin consentimiento del titular o resolución judicial, 'salvo en caso de flagrante delito'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a18"
¿Qué garantiza el artículo 18.3 de la Constitución respecto de las comunicaciones?,"El secreto de las comunicaciones, salvo resolución judicial",La libertad absoluta de comunicación sin límites,El acceso público a las comunicaciones oficiales,La censura previa de las comunicaciones postales,1,"El art. 18.3 CE dispone: 'Se garantiza el secreto de las comunicaciones y, en especial, de las postales, telegráficas y telefónicas, salvo resolución judicial'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a18"
"Según el artículo 19 de la Constitución, ¿por qué motivos NO puede limitarse el derecho de los españoles a entrar y salir libremente de España?",El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,La soberanía nacional y la forma política de monarquía parlamentaria,Por motivos políticos o ideológicos,Por motivos de seguridad nacional,3,"El art. 19 CE, tras reconocer el derecho a entrar y salir libremente de España, señala expresamente que 'este derecho no podrá ser limitado por motivos políticos o ideológicos'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a19"
¿Cuál de los siguientes NO es uno de los derechos reconocidos en el artículo 20.1 de la Constitución?,"El derecho a expresar y difundir libremente pensamientos, ideas y opiniones","El derecho a la producción y creación literaria, artística, científica y técnica",La libertad de cátedra,El derecho de reunión pacífica y sin armas,4,"El art. 20.1 CE reconoce y protege los derechos a la libre expresión, a la producción y creación intelectual, a la libertad de cátedra y a comunicar o recibir libremente información veraz. El derecho de reunión pacífica se regula, en cambio, en el artículo 21 CE. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a20"
¿Mediante qué mecanismo puede restringirse el ejercicio de las libertades del artículo 20 de la Constitución según su apartado 2?,El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,El ejercicio de estos derechos no puede restringirse mediante ningún tipo de censura previa,La soberanía nacional y la forma política de monarquía parlamentaria,La reserva de ley orgánica y el control parlamentario ordinario,2,El art. 20.2 CE proscribe expresamente la censura previa: 'El ejercicio de estos derechos no puede restringirse mediante ningún tipo de censura previa'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a20
"¿Quién puede acordar el secuestro de publicaciones, grabaciones u otros medios de información según el artículo 20.5 de la Constitución?",El Gobierno mediante decreto,Únicamente en virtud de resolución judicial,Las Cortes Generales por mayoría absoluta,Únicamente en virtud de propuesta de resolución judicial,2,"El art. 20.5 CE dispone: 'Sólo podrá acordarse el secuestro de publicaciones, grabaciones y otros medios de información en virtud de resolución judicial'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a20"
¿Necesita autorización previa el ejercicio del derecho de reunión pacífica y sin armas según el artículo 21.1 de la Constitución?,El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,"No, el ejercicio de este derecho no necesitará autorización previa",La soberanía nacional y la forma política de monarquía parlamentaria,La reserva de ley orgánica y el control parlamentario ordinario,2,El art. 21.1 CE reconoce el derecho de reunión pacífica y sin armas y establece que 'el ejercicio de este derecho no necesitará autorización previa'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a21
"¿Qué se exige, según el artículo 21.2 de la Constitución, para las reuniones en lugares de tránsito público y manifestaciones?","Comunicación previa a la autoridad, que solo deberá prohibirlas por razones fundadas de alteración del orden público con peligro para personas o bienes","Comunicación previa a la autoridad, que solo podrá prohibirlas por razones fundadas de alteración del orden público con peligro para personas o bienes",El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,La soberanía nacional y la forma política de monarquía parlamentaria,2,"El art. 21.2 CE exige una simple comunicación previa a la autoridad (no autorización), que 'sólo podrá prohibirlas cuando existan razones fundadas de alteración del orden público, con peligro para personas o bienes'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a21"
¿Qué asociaciones se consideran ilegales según el artículo 22.2 de la Constitución?,Las que no estén inscritas en el registro,Las que persigan fines o utilicen medios tipificados como delito,Las asociaciones sin ánimo de lucro,El principio de legalidad y la jerarquía normativa en los términos del artículo 9.3,2,El art. 22.2 CE dispone: 'Las asociaciones que persigan fines o utilicen medios tipificados como delito son ilegales'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a22
¿Cuál es el efecto de la inscripción registral de las asociaciones según el artículo 22.3 de la Constitución?,Es a los solos efectos de confidencialidad,Es a los solos efectos de publicidad,Otorga capacidad jurídica plena que antes no tenían,Es opcional y sin ningún efecto,2,"El art. 22.3 CE aclara que las asociaciones 'deberán inscribirse en un registro a los solos efectos de publicidad', es decir, la inscripción no es constitutiva sino meramente declarativa. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a22"
