Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Respuesta correcta,Explicación
"¿Para qué efectos se consideran válidos los documentos electrónicos transmitidos en entornos cerrados de comunicaciones entre Administraciones, según el artículo 44.1 de la Ley 40/2015?",La atribución expresa de competencia al órgano administrativo que tramite el procedimiento,A efectos de autenticación e identificación de los emisores y receptores en las condiciones establecidas en el propio artículo,La avocación motivada por el órgano superior en los términos legalmente previstos,La delegación de firma sin alteración de la titularidad de la competencia,2,"El art. 44.1 de la Ley 40/2015 dispone: 'Los documentos electrónicos transmitidos en entornos cerrados de comunicaciones establecidos entre Administraciones Públicas, órganos, organismos públicos y entidades de derecho público, serán considerados válidos a efectos de autenticación e identificación de los emisores y receptores en las condiciones establecidas en este artículo'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a44"
"Cuando los participantes en un entorno cerrado de comunicaciones pertenecen a la MISMA Administración Pública, ¿quién determina las condiciones y garantías del intercambio, según el artículo 44.2 de la Ley 40/2015?",La atribución expresa de competencia al órgano administrativo que tramite el procedimiento,"Esa misma Administración, debiendo comprender al menos la relación de emisores y receptores autorizados y la naturaleza de los datos a intercambiar",La avocación motivada por el órgano superior en los términos legalmente previstos,La delegación de firma sin alteración de la titularidad de la competencia,2,"El art. 44.2 de la Ley 40/2015 dispone: 'Cuando los participantes en las comunicaciones pertenezcan a una misma Administración Pública, ésta determinará las condiciones y garantías por las que se regirá que, al menos, comprenderá la relación de emisores y receptores autorizados y la naturaleza de los datos a intercambiar'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a44"
"Cuando los participantes en un entorno cerrado de comunicaciones pertenecen a DISTINTAS Administraciones, ¿cómo se establecen las condiciones y garantías del intercambio, según el artículo 44.3 de la Ley 40/2015?",Mediante convenio suscrito entre las Administraciones participantes,Mediante decisión unilateral de cualquiera de ellas,No es posible el intercambio entre distintas Administraciones,Mediante ley orgánica en todo caso,1,"El art. 44.3 de la Ley 40/2015 dispone: 'Cuando los participantes pertenezcan a distintas Administraciones, las condiciones y garantías citadas en el apartado anterior se establecerán mediante convenio suscrito entre aquellas'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a44"
"¿Qué debe garantizarse, en todo caso, en un entorno cerrado de comunicaciones según el artículo 44.4 de la Ley 40/2015?",La atribución expresa de competencia al órgano administrativo que tramite el procedimiento,La seguridad del entorno cerrado de comunicaciones y la protección de los datos que se transmitan,La avocación motivada por el órgano superior en los términos legalmente previstos,La traducción automática a todas las lenguas cooficiales,2,El art. 44.4 de la Ley 40/2015 dispone: 'En todo caso deberá garantizarse la seguridad del entorno cerrado de comunicaciones y la protección de los datos que se transmitan'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a44
¿Qué pueden determinar las Administraciones Públicas según el artículo 45.1 de la Ley 40/2015 respecto de la firma electrónica?,Los trámites e informes que incluyan firma electrónica reconocida o cualificada y avanzada basada en certificados electrónicos reconocidos o cualificados de firma electrónica,La atribución expresa de competencia al órgano administrativo que tramite el procedimiento,La avocación motivada por el órgano superior en los términos legalmente previstos,La delegación de firma sin alteración de la titularidad de la competencia,1,El art. 45.1 de la Ley 40/2015 dispone: 'Las Administraciones Públicas podrán determinar los trámites e informes que incluyan firma electrónica reconocida o cualificada y avanzada basada en certificados electrónicos reconocidos o cualificados de firma electrónica'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a45
¿Qué mecanismo prevé el artículo 45.2 de la Ley 40/2015 para favorecer la interoperabilidad cuando una Administración usa sistemas de firma distintos de los basados en certificado reconocido o cualificado?,La atribución expresa de competencia al órgano administrativo que tramite el procedimiento,"Permitir superponer un sello electrónico basado en un certificado electrónico reconocido o cualificado, para posibilitar la verificación automática de la firma",La avocación motivada por el órgano superior en los términos legalmente previstos,La delegación de firma sin alteración de la titularidad de la competencia,2,"El art. 45.2 de la Ley 40/2015 dispone que, con el fin de favorecer la interoperabilidad y posibilitar la verificación automática de la firma electrónica, cuando una Administración utilice sistemas de firma distintos de los basados en certificado reconocido o cualificado para remitir o poner a disposición de otros órganos, organismos o Administraciones la documentación firmada, 'podrá superponer un sello electrónico basado en certificado electrónico reconocido o cualificado'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a45"
"¿Cómo deben almacenarse, con carácter general, todos los documentos utilizados en las actuaciones administrativas, según el artículo 46.1 de la Ley 40/2015?",La atribución expresa de competencia al órgano administrativo que tramite el procedimiento,"Por medios electrónicos, salvo cuando no sea posible",La avocación motivada por el órgano superior en los términos legalmente previstos,La delegación de firma sin alteración de la titularidad de la competencia,2,"El art. 46.1 de la Ley 40/2015 dispone: 'Todos los documentos utilizados en las actuaciones administrativas se almacenarán por medios electrónicos, salvo cuando no sea posible'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a46"
"¿En qué soporte deben conservarse los documentos electrónicos que contengan actos administrativos que afecten a derechos o intereses de los particulares, según el artículo 46.2 de la Ley 40/2015?",La atribución expresa de competencia al órgano administrativo que tramite el procedimiento,"En soportes de naturaleza electrónica, ya sea en el mismo formato original o en otro que asegure la identidad e integridad de la información necesaria para reproducirlo, garantizando además la posibilidad de trasladar los datos a otros formatos y soportes",La avocación motivada por el órgano superior en los términos legalmente previstos,La delegación de firma sin alteración de la titularidad de la competencia,2,"El art. 46.2 de la Ley 40/2015 dispone que estos documentos 'deberán conservarse en soportes de esta naturaleza, ya sea en el mismo formato a partir del que se originó el documento o en otro cualquiera que asegure la identidad e integridad de la información necesaria para reproducirlo', asegurándose en todo caso la posibilidad de trasladar los datos a otros formatos y soportes que garanticen el acceso desde diferentes aplicaciones. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a46"
"Conforme al artículo 46.3 de la Ley 40/2015, ¿a qué marco deberán ajustarse las medidas de seguridad aplicables a los medios o soportes en que se almacenen documentos administrativos?","Al Esquema Nacional de Seguridad, garantizando la integridad, autenticidad, confidencialidad, calidad, protección y conservación de los documentos almacenados.","Al Esquema Nacional de Interoperabilidad, garantizando la accesibilidad, disponibilidad y reutilización de los documentos electrónicos.","Al Esquema Nacional de Seguridad, garantizando exclusivamente la autenticidad, integridad y disponibilidad de los documentos electrónicos.","Al Esquema Nacional de Interoperabilidad, garantizando la integridad, autenticidad y conservación de los documentos, sin perjuicio de la normativa sobre protección de datos.","1","El artículo 46.3 de la Ley 40/2015 establece que las medidas de seguridad de los medios o soportes en que se almacenen documentos deberán ajustarse al Esquema Nacional de Seguridad, garantizando la integridad, autenticidad, confidencialidad, calidad, protección y conservación de los documentos almacenados."
"¿Cuál de las siguientes afirmaciones se ajusta a lo dispuesto en el artículo 46.3 de la Ley 40/2015?","Las medidas de seguridad de los soportes donde se almacenen documentos deberán ajustarse al Esquema Nacional de Seguridad.","Las medidas de seguridad de los soportes documentales deberán ajustarse al Esquema Nacional de Interoperabilidad, sin perjuicio del cumplimiento del Esquema Nacional de Seguridad.","El Esquema Nacional de Interoperabilidad establece las medidas de seguridad de conservación documental previstas en el artículo 46.3.","El artículo 46.3 remite conjuntamente al Esquema Nacional de Seguridad y al Esquema Nacional de Interoperabilidad como regímenes equivalentes en materia de seguridad documental.","1","El artículo 46.3 únicamente remite al Esquema Nacional de Seguridad para las medidas de seguridad de los medios o soportes de almacenamiento documental. El Esquema Nacional de Interoperabilidad regula materias distintas relacionadas con la interoperabilidad de los sistemas."
