"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿Qué requisito general deben cumplir todos los gastos que se realicen en la Universidad con independencia de su naturaleza o fuente de financiación?","Deben ser necesarios para el desarrollo de la actividad a la que estén destinados y estar directamente vinculados a la unidad gestora que los origina","Deben estar incluidos exclusivamente en el capítulo II y ser autorizados por la Dirección Económico Financiera","Deben proceder de financiación externa y estar previamente incluidos en un contrato","Deben ser aprobados por el Consejo de Gobierno con independencia de su cuantía","1","El artículo 15.1 establece que todos los gastos, con independencia de su naturaleza o fuente de financiación, deben ser necesarios para la actividad a la que se destinan y estar directamente vinculados a la unidad gestora que los origina. Además, esta vinculación y la necesidad deben quedar documentadas en el expediente."
"¿Dónde deben quedar debidamente documentadas la vinculación del gasto con la unidad gestora y su necesidad?","En el expediente correspondiente","Exclusivamente en la factura emitida por el proveedor","En el presupuesto del ejercicio siguiente","Únicamente en la autorización del Rector","1","El artículo 15.1 exige expresamente que tanto la vinculación como la necesidad del gasto queden debidamente documentadas en el expediente correspondiente."
"Conforme al artículo 15.1 de las Normas Básicas de Gestión del Presupuesto de la UC3M, ¿qué marco normativo resulta aplicable a la gestión del gasto derivada de la adquisición de bienes y servicios y de la contratación de suministros y obras?","La Ley de Contratos del Sector Público, las Instrucciones de Gerencia sobre gestión de Contratos Menores y el resto de la legislación aplicable, con estricto sometimiento a la normativa tributaria vigente.","La Ley de Contratos del Sector Público y el resto de la legislación aplicable, correspondiendo a las Instrucciones de Gerencia únicamente desarrollar aspectos internos de los contratos menores sin que resulte exigible una referencia específica a la normativa tributaria.","Las Normas Básicas de Gestión del Presupuesto y las Instrucciones de Gerencia sobre contratos menores, aplicándose la Ley de Contratos del Sector Público únicamente cuando el gasto supere los límites del contrato menor.","La Ley de Contratos del Sector Público, las Instrucciones de Gerencia sobre gestión de Contratos Menores y la normativa tributaria vigente, sin que resulte necesario aplicar el resto de la legislación cuando exista regulación específica de la Universidad.","1","El artículo 15.1 establece que la gestión del gasto derivada de la adquisición de bienes y servicios y de la contratación de suministros y obras se regirá por la Ley de Contratos del Sector Público, las Instrucciones de Gerencia sobre gestión de Contratos Menores de 10 de septiembre de 2019 y 22 de abril de 2020 y el resto de la legislación aplicable, con estricto sometimiento a la normativa tributaria vigente. Por tanto, las instrucciones internas no sustituyen la legislación general ni se limita su aplicación a los contratos menores o a determinados importes."
"Cuando la Universidad dispone de proveedores seleccionados mediante los procedimientos previstos en la legislación de contratos para determinados bienes o servicios, ¿qué deben hacer los Centros Gestores?","Deben dirigirse a esos proveedores cuando necesiten un bien o servicio incluido en los contratos o sistemas dinámicos respectivos","Pueden contratar libremente con cualquier proveedor siempre que el precio sea inferior","Solo deben utilizar esos proveedores cuando la adquisición supere el límite del contrato menor","Deben solicitar autorización al Consejo Social antes de utilizar dichos proveedores","1","El artículo 15.1 establece que los Centros Gestores deberán dirigirse a los proveedores seleccionados cuando necesiten un bien o servicio incluido en los contratos o sistemas dinámicos correspondientes."
"¿Qué ocurre con la contratación de bienes mediante proveedores ofrecidos por la Central de Suministros del Ministerio de Economía y Hacienda u otras plataformas de compras a las que pertenezca la Universidad?","También es posible acudir a ellos","Está expresamente prohibida","Solo es posible para gastos de personal","Solo puede utilizarse para inversiones reales","1","El artículo 15.1 señala expresamente que también es posible acudir a proveedores ofrecidos por la Central de Suministros del Ministerio de Economía y Hacienda u otras plataformas de compras a las que pertenezca la Universidad."
"¿Qué aplicación se utiliza para tramitar el alta y gestión de los denominados terceros de la Universidad?","La aplicación de Terceros","La aplicación de Caja Fija","El Registro de Facturas Externas","La aplicación de Inventario","1","El Presupuesto 2026 establece que el alta y gestión de los terceros se tramita mediante la aplicación de Terceros, accesible desde la web de la Dirección Económico Financiera en el apartado de enlaces de interés."
"¿Qué documento debe cumplimentar y firmar la persona interesada o empresa a la que la Universidad vaya a pagar un bien, servicio o suministro para darse de alta como tercero?","El formulario de alta de terceros","Una declaración responsable de solvencia","Un certificado de adjudicación","El documento contable ADO","1","El procedimiento de gestión de terceros exige cumplimentar y firmar el formulario de alta de terceros, que posteriormente se adjunta al proceso de alta."
"¿Por qué es obligatorio el formulario firmado de alta de terceros?","Por razones relacionadas con la protección de datos y fiscales","Únicamente para acreditar la solvencia económica del proveedor","Para determinar la clasificación económica del gasto","Para autorizar la contratación mediante procedimiento abierto","1","El Presupuesto señala expresamente que el formulario firmado es obligatorio por cuestiones de protección de datos y fiscales."
"Una empresa ya dada de alta como tercero modifica sus datos bancarios. ¿Qué debe aportar para tramitar el cambio?","El formulario correspondiente y el certificado de titularidad de la cuenta","Únicamente una factura nueva","Una autorización del Rector","Un nuevo expediente de contratación","1","Para cualquier alta o modificación de datos debe utilizarse la aplicación de Terceros con el formulario firmado y, cuando se solicite un cambio de datos bancarios, debe adjuntarse el certificado de titularidad de la cuenta."
"⭐⭐⭐ ¿Quién puede validar el alta de un tercero una vez cumplimentada la información?","Puede validarse automáticamente o, según los casos, ser validada por las personas gestoras de la Dirección Económico Financiera","Exclusivamente el Rector","Exclusivamente el Consejo Social","Siempre el responsable del Centro Gestor","1","El procedimiento prevé que, dependiendo del caso, el alta se valide automáticamente o deba ser validada por las personas gestoras de la Dirección Económico Financiera."
