"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿Qué es, con carácter general, el correo electrónico?","Un servicio que permite enviar y recibir mensajes y, habitualmente, archivos adjuntos mediante redes de comunicaciones.","Un sistema destinado exclusivamente a intercambiar mensajes entre usuarios conectados a una misma red local.","Un servicio que permite únicamente enviar documentos, pero no recibir respuestas de otros usuarios.","Un mecanismo de almacenamiento de archivos que utiliza una dirección de usuario como identificador.","1","El correo electrónico es un servicio de comunicaciones que permite enviar y recibir mensajes entre usuarios y puede incorporar archivos adjuntos."
"¿Cuál de los siguientes elementos identifica normalmente a un buzón de correo electrónico en una dirección de correo?","El nombre de usuario y el dominio, separados por el carácter @.","El dominio y el protocolo de transporte, separados por el carácter @.","La dirección IP del servidor y el nombre del usuario, separados por dos puntos.","El nombre del servidor y el puerto utilizado, separados por una barra.","1","Una dirección de correo electrónico tiene normalmente la forma usuario@dominio, donde el carácter @ separa la parte local del dominio."
"⭐⭐⭐ En una dirección de correo electrónico como ""usuario@ejemplo.es"", ¿qué representa ""ejemplo.es""?","La parte local que identifica exclusivamente al usuario dentro del buzón.","El dominio asociado al servicio o sistema de correo electrónico.","El protocolo utilizado para enviar el mensaje.","El nombre del programa utilizado para redactar el mensaje.","2","En una dirección de correo electrónico, la parte situada después de @ corresponde al dominio."
"¿Qué función desempeña principalmente un servidor de correo electrónico?","Gestionar el almacenamiento y la transferencia de mensajes de correo entre usuarios y sistemas de correo.","Redactar necesariamente los mensajes en el ordenador del usuario y aplicarles formato antes de enviarlos.","Sustituir al usuario en la lectura de todos los mensajes recibidos sin necesidad de una aplicación cliente.","Convertir todos los archivos adjuntos en páginas web antes de almacenarlos.","1","Los servidores de correo intervienen en la recepción, almacenamiento y transferencia de los mensajes entre los distintos sistemas de correo."
"¿Qué diferencia básica existe entre un cliente de correo electrónico y un servidor de correo?","El cliente permite al usuario gestionar sus mensajes, mientras que el servidor proporciona servicios relacionados con el envío, recepción y almacenamiento del correo.","El cliente almacena necesariamente todos los mensajes de todos los usuarios, mientras que el servidor solo permite redactarlos.","El cliente se utiliza exclusivamente para enviar mensajes, mientras que el servidor se utiliza exclusivamente para recibirlos.","El cliente determina el dominio del destinatario, mientras que el servidor determina el asunto del mensaje.","1","El cliente de correo es la aplicación o interfaz utilizada por el usuario para gestionar el correo; el servidor proporciona los servicios necesarios para su transmisión, recepción y almacenamiento."
"¿Qué protocolo se utiliza habitualmente para el envío de mensajes de correo electrónico entre servidores y desde clientes a servidores de correo?","SMTP.","POP3.","IMAP.","HTTP.","1","SMTP (Simple Mail Transfer Protocol) es el protocolo utilizado para el envío y transferencia de mensajes de correo electrónico."
"⭐⭐⭐ ¿Qué finalidad tiene principalmente IMAP en el correo electrónico?","Permitir el acceso y la gestión de mensajes almacenados en el servidor, manteniendo normalmente su organización sincronizada entre dispositivos.","Enviar mensajes desde el cliente al servidor utilizando exclusivamente el puerto destinado a SMTP.","Convertir los mensajes recibidos en archivos adjuntos antes de almacenarlos localmente.","Establecer únicamente la identidad del remitente sin intervenir en la recepción de mensajes.","1","IMAP permite acceder y gestionar los mensajes almacenados en el servidor, facilitando su sincronización entre distintos dispositivos y clientes."
"¿Qué característica diferencia principalmente a POP3 de IMAP?","POP3 está orientado a descargar los mensajes al cliente, mientras que IMAP permite gestionar los mensajes manteniéndolos normalmente en el servidor.","POP3 se utiliza para enviar mensajes, mientras que IMAP se utiliza exclusivamente para cifrar los archivos adjuntos.","POP3 permite enviar y recibir mensajes, mientras que IMAP solo permite enviarlos.","POP3 identifica el dominio del destinatario, mientras que IMAP identifica el remitente del mensaje.","1","POP3 está orientado principalmente a la descarga de mensajes desde el servidor, mientras que IMAP permite trabajar con los mensajes manteniéndolos normalmente en el servidor y sincronizados."
"En un mensaje de correo electrónico, ¿qué finalidad tiene el campo ""Asunto""?","Indicar brevemente el contenido o motivo principal del mensaje.","Identificar exclusivamente al servidor que debe entregar el mensaje.","Determinar la contraseña utilizada para acceder al buzón del destinatario.","Indicar el protocolo mediante el que se transmitirá el mensaje.","1","El asunto proporciona una descripción breve del contenido o motivo del mensaje y ayuda al destinatario a identificarlo."
"En un mensaje de correo electrónico, ¿qué diferencia existe entre los campos ""Para"", ""CC"" y ""CCO""?","Para identifica los destinatarios principales, CC permite enviar copias visibles y CCO permite enviar copias cuyos destinatarios no son visibles para los demás destinatarios.","Para se utiliza exclusivamente para destinatarios ocultos, CC para destinatarios principales y CCO para copias visibles.","Para y CC ocultan siempre las direcciones de los destinatarios, mientras que CCO las muestra a todos los receptores.","Para identifica al servidor, CC al remitente y CCO al programa utilizado para enviar el mensaje.","1","Para se utiliza para los destinatarios principales, CC para enviar copias visibles a otros destinatarios y CCO para enviar copias ocultando esas direcciones al resto de destinatarios."
"Cuando un usuario envía un mensaje de correo electrónico, ¿qué función desempeña principalmente el protocolo SMTP?","Permite al usuario consultar y gestionar los mensajes almacenados en el servidor.","Permite transferir mensajes de correo electrónico entre clientes y servidores y entre servidores de correo.","Permite sincronizar exclusivamente las carpetas de mensajes entre distintos dispositivos.","Permite identificar al usuario mediante su dirección de correo antes de acceder al buzón.","2","SMTP se utiliza para el envío y la transferencia de mensajes de correo electrónico entre sistemas de correo."
"Un usuario configura su cuenta de correo en varios dispositivos y desea que los mensajes, carpetas y estados se mantengan sincronizados con el servidor. ¿Qué protocolo resulta especialmente adecuado?","POP3.","SMTP.","IMAP.","FTP.","3","IMAP permite acceder y gestionar los mensajes almacenados en el servidor, manteniendo su organización y estado sincronizados entre distintos dispositivos."
"¿Cuál de las siguientes afirmaciones describe correctamente el funcionamiento habitual de POP3?","Está orientado principalmente a descargar los mensajes del servidor al cliente de correo.","Está destinado principalmente a enviar mensajes desde un servidor a otro servidor de correo.","Permite gestionar en el servidor las carpetas y estados de los mensajes desde varios dispositivos.","Se utiliza exclusivamente para adjuntar archivos a los mensajes antes de enviarlos.","1","POP3 está orientado principalmente a la descarga de mensajes desde el servidor al cliente de correo."
"Un usuario recibe un mensaje y selecciona ""Responder"". ¿Cuál es el comportamiento esperado de esta operación?","Se crea un nuevo mensaje dirigido normalmente al remitente del mensaje original, incorporando la conversación como contexto.","Se crea un mensaje dirigido automáticamente a todos los contactos del remitente original.","Se genera un nuevo mensaje sin destinatario y se almacena directamente en la papelera.","Se envía una copia del mensaje original a nuevos destinatarios sin posibilidad de modificar su contenido.","1","La opción Responder crea una respuesta dirigida normalmente al remitente del mensaje original y permite redactar el contenido de la contestación."
"¿Qué diferencia principal existe entre responder y reenviar un mensaje de correo electrónico?","Responder está destinado normalmente al remitente o participantes de la conversación, mientras que reenviar permite enviar el mensaje recibido a otros destinatarios.","Responder elimina el contenido original, mientras que reenviar impide modificar el asunto del mensaje.","Responder solo puede utilizarse con mensajes que tengan archivos adjuntos, mientras que reenviar solo puede utilizarse con mensajes de texto.","Responder envía siempre una copia oculta, mientras que reenviar muestra obligatoriamente todos los destinatarios anteriores.","1","Responder permite contestar al remitente o participantes pertinentes de la conversación; reenviar permite remitir el mensaje recibido a otros destinatarios."
"¿Qué finalidad tiene un archivo adjunto en un mensaje de correo electrónico?","Incorporar al mensaje un archivo que el destinatario puede recibir y, según el formato y los permisos, abrir o descargar.","Identificar el servidor responsable de entregar el mensaje al destinatario.","Ocultar automáticamente la dirección de correo del remitente a todos los destinatarios.","Garantizar que el mensaje será recibido aunque el buzón del destinatario esté lleno.","1","Los archivos adjuntos permiten incorporar archivos a un mensaje de correo electrónico para que sean transmitidos junto con él."
