"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"⭐⭐⭐ ¿Qué Capítulo del Título IX de la Ley Orgánica 2/2023 regula al personal técnico, de gestión y de administración y servicios (PTGAS) de las universidades públicas?","Capítulo II","Capítulo III","Capítulo IV","Capítulo V","4","El Capítulo V del Título IX de la Ley Orgánica 2/2023, integrado por los artículos 89 a 94, se dedica al 'Personal técnico, de gestión y de administración y servicios' de las universidades públicas. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a89"
"¿Qué artículo de la Ley Orgánica 2/2023 abre el Capítulo V del Título IX, dedicado al personal técnico, de gestión y de administración y servicios?","Artículo 88","Artículo 89","Artículo 90","Artículo 91","2","El art. 89 de la Ley Orgánica 2/2023, titulado 'Personal técnico, de gestión y de administración y servicios', abre el Capítulo V del Título IX, estableciendo el marco general de este colectivo de empleados públicos universitarios. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a89"
"Según la exposición de motivos de la Ley Orgánica 2/2023, ¿qué característica presenta el impulso de la carrera profesional del personal técnico, de gestión y de administración y servicios?","Se orienta exclusivamente a la progresión mediante la provisión de puestos de mayor responsabilidad dentro de la estructura organizativa.","Incluye el impulso de la carrera profesional horizontal, permitiendo reconocer el desarrollo profesional alcanzado sin necesidad de cambiar de puesto de trabajo.","Se basa principalmente en la antigüedad, de modo que la progresión profesional se produce con independencia de la formación, el rendimiento y la trayectoria.","Se limita a la movilidad y promoción interna entre puestos, quedando excluido cualquier reconocimiento profesional dentro del mismo puesto.","2","La exposición de motivos de la Ley Orgánica 2/2023 destaca el impulso de la carrera profesional horizontal del personal técnico, de gestión y de administración y servicios, como reconocimiento del desarrollo profesional alcanzado sin necesidad de cambiar de puesto de trabajo. El artículo 90 desarrolla posteriormente la carrera profesional de este personal y contempla, entre otros elementos, la trayectoria y actuación profesional, la formación acreditada y la evaluación del desempeño."
"¿Qué consecuencia caracteriza a la carrera profesional horizontal del personal técnico, de gestión y de administración y servicios destacada en la Ley Orgánica 2/2023?","Permite reconocer el desarrollo profesional alcanzado sin que la progresión profesional exija necesariamente un cambio de puesto de trabajo.","Exige necesariamente la obtención de un puesto de nivel superior mediante un procedimiento de provisión.","Sustituye la evaluación del desempeño por la mera acreditación de antigüedad en el puesto ocupado.","Se limita al personal funcionario y excluye cualquier posibilidad de aplicación al personal laboral.","1","La exposición de motivos destaca la carrera profesional horizontal como mecanismo de reconocimiento del desarrollo profesional sin necesidad de cambiar de puesto de trabajo. El artículo 90 desarrolla la carrera profesional del PTGAS y permite la progresión de grado, categoría, escala o nivel atendiendo, entre otros factores, a la trayectoria profesional, formación y evaluación del desempeño."
"¿Cuál es la naturaleza jurídica del personal técnico, de gestión y de administración y servicios de las universidades públicas, según se desprende de la sistemática de la Ley Orgánica 2/2023?","Es siempre y exclusivamente personal laboral, nunca funcionario","Puede ser funcionario de las escalas propias de la universidad o de otras Administraciones Públicas, o personal laboral, según lo dispuesto en los artículos correspondientes del Capítulo V del Título IX","Es siempre personal eventual de confianza política","Es personal exclusivamente voluntario sin retribución","2","Conforme a la sistemática del Capítulo V del Título IX de la Ley Orgánica 2/2023, el personal técnico, de gestión y de administración y servicios puede tener naturaleza funcionarial (de escalas propias de la universidad o de otras Administraciones Públicas) o laboral, en los términos que desarrollan sus artículos 89 a 94, en coherencia con la clasificación general de empleados públicos del TREBEP. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a89 a #a94"
"¿A qué colectivo se refiere la Ley Orgánica 2/2023 mediante las siglas PTGAS?","Al personal docente e investigador con dedicación parcial","Al personal técnico, de gestión y de administración y servicios","Al personal transitorio de gestión académica superior","A un órgano colegiado de gobierno universitario","2","Las siglas PTGAS, de uso habitual en el ámbito universitario español, identifican al 'personal técnico, de gestión y de administración y servicios', colectivo regulado en el Capítulo V del Título IX de la Ley Orgánica 2/2023 (arts. 89 a 94), que presta funciones de apoyo, gestión, técnicas y de administración necesarias para el funcionamiento de la universidad, diferenciándose así del personal docente e investigador. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a89"
"⭐⭐⭐ ¿Cuál es la diferencia esencial entre el personal docente e investigador y el personal técnico, de gestión y de administración y servicios en la Ley Orgánica 2/2023?","El personal docente e investigador desarrolla principalmente funciones docentes, investigadoras y, en su caso, de transferencia e intercambio del conocimiento, mientras que el personal técnico, de gestión y de administración y servicios desarrolla funciones técnicas, de gestión y de administración y servicios necesarias para la universidad","El personal docente e investigador desarrolla principalmente funciones docentes y administrativas, mientras que el personal técnico, de gestión y de administración y servicios desarrolla exclusivamente funciones de investigación y transferencia del conocimiento","El personal técnico, de gestión y de administración y servicios desarrolla las funciones docentes e investigadoras que no correspondan al personal funcionario, mientras que el personal docente e investigador se ocupa principalmente de las tareas administrativas de la universidad","El personal docente e investigador se dedica exclusivamente a la investigación y transferencia del conocimiento, mientras que el personal técnico, de gestión y de administración y servicios asume las funciones docentes, técnicas y administrativas de la universidad","1","La Ley Orgánica 2/2023 distingue ambos colectivos por sus funciones. El personal docente e investigador desarrolla funciones docentes, investigadoras y de transferencia e intercambio del conocimiento, mientras que el personal técnico, de gestión y de administración y servicios desarrolla funciones técnicas, de gestión y de administración y servicios. Ambos forman parte del personal de las universidades públicas conforme al régimen establecido por la Ley."
"👑 ¿Cuál de las siguientes afirmaciones refleja correctamente la organización del Título IX de la Ley Orgánica 2/2023 en materia de personal de las universidades públicas?","El Capítulo IV regula el personal docente e investigador y comprende los artículos 64 a 88, mientras que el Capítulo V regula el personal técnico, de gestión y de administración y servicios y comprende los artículos 89 a 94","El Capítulo IV regula el personal docente e investigador y comprende los artículos 64 a 89, mientras que el Capítulo V regula el personal técnico, de gestión y de administración y servicios y comprende los artículos 90 a 94","El Capítulo IV regula conjuntamente al personal docente e investigador y al personal técnico, de gestión y de administración y servicios, mientras que el Capítulo V regula exclusivamente al personal funcionario","El Capítulo IV regula al personal docente e investigador laboral, mientras que el Capítulo V regula los cuerpos docentes universitarios y el personal técnico, de gestión y de administración y servicios","1","El Título IX de la Ley Orgánica 2/2023 dedica su Capítulo IV al personal docente e investigador, artículos 64 a 88, y su Capítulo V al personal técnico, de gestión y de administración y servicios, artículos 89 a 94."
"¿Qué colectivo regula el Capítulo V del Título IX de la Ley Orgánica 2/2023?","El personal técnico, de gestión y de administración y servicios de las universidades públicas.","El personal docente e investigador laboral.","El estudiantado universitario.","El personal investigador contratado con cargo a proyectos.",1,"Los artículos 89 a 94 regulan el régimen jurídico del personal técnico, de gestión y de administración y servicios (PTGAS)."
"¿Qué finalidad atribuye la LOSU al personal técnico, de gestión y de administración y servicios dentro del sistema universitario?","Contribuir al adecuado funcionamiento de las universidades mediante el desempeño de funciones técnicas, de gestión, administrativas y de apoyo.","Desarrollar exclusivamente actividades docentes.","Ejercer únicamente funciones de investigación.","Dirigir los órganos colegiados universitarios.",1,"La LOSU reconoce al PTGAS como un elemento esencial para el funcionamiento de la universidad."
