"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿A quién corresponde establecer los procedimientos de acceso y admisión a las enseñanzas universitarias oficiales, según el artículo 31 de la Ley Orgánica 2/2023?","Exclusivamente a cada universidad, sin ningún marco común","Al Gobierno, sin perjuicio de las competencias de las Comunidades Autónomas y de la autonomía universitaria, garantizando en todo caso la igualdad de oportunidades y la no discriminación","Únicamente a la Conferencia General de Política Universitaria","Exclusivamente a la ANECA","2","El art. 31 de la Ley Orgánica 2/2023 regula el derecho de acceso a la universidad, correspondiendo al Gobierno, sin perjuicio de las competencias de las Comunidades Autónomas y de la autonomía universitaria, establecer la normativa básica de los procedimientos de acceso y admisión, garantizando la igualdad de oportunidades, el mérito y la capacidad y la no discriminación de las personas solicitantes. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a31"
"¿Cómo se concibe la beca en la Ley Orgánica 2/2023 según su artículo 32, en relación con su exposición de motivos?","Como una ayuda meramente graciable y discrecional","Como un derecho subjetivo vinculado a la situación socioeconómica de las personas solicitantes","Como un premio al expediente académico exclusivamente, sin relación con la renta","Como una prestación exclusivamente reservada a estudiantes de doctorado","2","Tanto el art. 32 como la propia exposición de motivos de la Ley Orgánica 2/2023 destacan que la Ley avanza 'la concepción de la beca como un derecho subjetivo vinculado a la situación socioeconómica de las personas solicitantes', superando su antigua consideración como mera ayuda discrecional. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a32"
"¿Cuál de los siguientes NO es un derecho relativo a la formación académica reconocido en el artículo 33 de la Ley Orgánica 2/2023?","El derecho a una formación de calidad, actualizada y adecuada a las exigencias profesionales, sociales y científicas","El derecho a la evaluación objetiva y a la revisión de las calificaciones obtenidas","El derecho a la orientación e información antes y durante los estudios","El derecho a obtener siempre la calificación de sobresaliente si se solicita expresamente","4","El art. 33 de la Ley Orgánica 2/2023 reconoce, entre otros, los derechos a una formación de calidad, a la evaluación objetiva y a la revisión de las calificaciones, y a la orientación e información. No existe, evidentemente, un derecho a obtener una calificación determinada por la mera solicitud del estudiante, lo que sería contrario al derecho a una evaluación objetiva. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a33"
"¿Qué nuevo derecho del estudiantado destaca la exposición de motivos de la Ley Orgánica 2/2023 como novedad frente a la regulación reglamentaria anterior?","El derecho a elegir libremente cualquier profesor","El paro académico como derecho del estudiantado","El derecho a la gratuidad total e inmediata de toda la matrícula sin excepción","El derecho a suspender exámenes sin causa justificada","2","La exposición de motivos de la Ley Orgánica 2/2023 señala expresamente que el estatuto del estudiantado se incorpora a la norma, 'consolidando y ampliando un catálogo de derechos y deberes que hasta ahora venía recogido en una norma reglamentaria, y añadiendo el paro académico como derecho del estudiantado'. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500"
"¿Qué garantiza el artículo 35 de la Ley Orgánica 2/2023 respecto de la eficacia de los derechos del estudiantado?","Ninguna garantía específica, son derechos meramente programáticos","Mecanismos efectivos para la garantía y tutela de los derechos del estudiantado, incluyendo vías de reclamación","Que los derechos solo pueden exigirse tras la graduación","Que la única vía de reclamación es acudir a los tribunales penales","2","El art. 35 de la Ley Orgánica 2/2023 se ocupa de la eficacia y garantía de los derechos del estudiantado, previendo mecanismos y vías para su tutela efectiva dentro de la propia organización universitaria. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a35"
"⭐⭐⭐ Conforme al artículo 34 de la Ley Orgánica 2/2023, ¿cuál de las siguientes afirmaciones refleja correctamente los derechos de participación y representación del estudiantado?","El estudiantado tiene derecho a una representación activa, significativa y participativa en los órganos de gobierno y representación de la universidad y en los procesos para su elección, además de una participación activa, libre y significativa en el diseño, implementación y evaluación de la política universitaria.","El estudiantado tiene derecho a participar en los órganos de gobierno y representación de la universidad, pero su participación en el diseño y evaluación de la política universitaria queda limitada a los asuntos académicos que afecten directamente a sus estudios.","El estudiantado tiene derecho a participar en las actividades de representación y asociacionismo, pero la representación en los órganos de gobierno universitario corresponde exclusivamente a los órganos de representación estudiantil.","El estudiantado tiene derecho a participar en los órganos de gobierno y representación, aunque corresponde a los Estatutos determinar si dicha participación puede extenderse a los procesos de elección de esos órganos.","1","El artículo 34.1 garantiza al estudiantado una participación activa, libre y significativa en el diseño, implementación y evaluación de la política universitaria. Además, el apartado 3 reconoce una representación activa, significativa y participativa en los órganos de gobierno y representación de la universidad, así como en los procesos para su elección. El apartado 2 garantiza también su participación en materias como la creación del conocimiento, los planes de estudios, la evaluación de títulos y docencia, la gestión de servicios y la convivencia universitaria."
"Conforme al artículo 34 de la Ley Orgánica 2/2023, ¿cuál de las siguientes afirmaciones refleja correctamente los derechos de participación y representación del estudiantado?","El estudiantado tiene derecho a una participación activa, libre y significativa en el diseño, implementación y evaluación de la política universitaria, así como a una representación activa, significativa y participativa en los órganos de gobierno y representación y en los procesos para su elección.","El estudiantado tiene derecho a una participación activa y significativa en el diseño y evaluación de la política universitaria, pero la participación en su implementación queda limitada a los órganos de representación estudiantil.","El estudiantado tiene derecho a una representación activa, significativa y participativa en los órganos de gobierno y representación, pero la participación en los procesos para su elección queda sometida a lo que establezcan los Estatutos de cada universidad.","El estudiantado tiene derecho a participar activamente en los órganos de gobierno y representación y en los procesos para su elección, pero la participación en el diseño, implementación y evaluación de la política universitaria se limita a las materias académicas directamente relacionadas con sus estudios.","1","El artículo 34.1 garantiza una participación activa, libre y significativa del estudiantado en el diseño, implementación y evaluación de la política universitaria. El artículo 34.3 reconoce, además, una representación activa, significativa y participativa en los órganos de gobierno y representación de la universidad y en los procesos para su elección. El precepto no limita esta participación a las materias académicas ni condiciona el derecho a participar en los procesos electorales a una decisión de los Estatutos."
"¿Cuál de los siguientes es un deber del estudiantado según el artículo 36 de la Ley Orgánica 2/2023?","El deber de aprobar todas las asignaturas en primera convocatoria, sin excepción","El estudio y la participación activa en las actividades académicas que ayuden a completar su formación","El deber de afiliarse a una asociación estudiantil concreta","El deber de renunciar a cualquier beca que se le conceda","2","El art. 36 de la Ley Orgánica 2/2023 enumera los deberes del estudiantado, entre ellos el estudio y la participación activa en las actividades académicas que ayuden a completar su formación, el respeto a los derechos de los demás miembros de la comunidad universitaria, y el respeto y buen uso de los recursos e instalaciones de la universidad, entre otros. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a36"
"¿Qué exige el artículo 37 de la Ley Orgánica 2/2023 en relación con la equidad y no discriminación del estudiantado?","Ninguna exigencia específica más allá de la ya prevista para el conjunto de la comunidad universitaria","Que las universidades garanticen la igualdad de oportunidades y adopten medidas frente a cualquier forma de discriminación, incluyendo la accesibilidad y los ajustes razonables para el estudiantado con discapacidad","Que solo se apliquen medidas de equidad al alumnado de nuevo ingreso","Que la equidad se limite exclusivamente a criterios económicos","2","El art. 37 de la Ley Orgánica 2/2023 exige a las universidades garantizar la igualdad de oportunidades y adoptar medidas efectivas frente a cualquier forma de discriminación del estudiantado, incluyendo condiciones de accesibilidad y ajustes razonables para el estudiantado con discapacidad, en coherencia con los requisitos ya exigidos con carácter general en el artículo 4.3 para la creación y reconocimiento de universidades. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a37"
"¿Cuál de las siguientes afirmaciones refleja correctamente la relación entre el artículo 3.2.l) y el Título VIII de la Ley Orgánica 2/2023?","La autonomía universitaria comprende la admisión, el régimen de permanencia, la verificación de conocimientos, competencias y habilidades y la gestión de los expedientes académicos, mientras que el Título VIII reconoce derechos del estudiantado relacionados, entre otras materias, con la evaluación objetiva, la información académica y la participación.","El artículo 3.2.l) atribuye al estudiantado la competencia para establecer su propio régimen de permanencia, mientras que el Título VIII permite a las universidades limitar los derechos reconocidos cuando así lo establezcan sus Estatutos.","El artículo 3.2.l) regula exclusivamente derechos del estudiantado, mientras que el Título VIII determina las competencias de las universidades en materia de admisión y permanencia.","La autonomía universitaria permite a las universidades establecer libremente los derechos y deberes del estudiantado, mientras que el Título VIII contiene únicamente recomendaciones sin carácter vinculante.","1","El artículo 3.2.l) incluye dentro de la autonomía universitaria la admisión del estudiantado, el régimen de permanencia, la verificación de conocimientos, competencias y habilidades y la gestión de sus expedientes académicos. Por su parte, el Título VIII regula los derechos y deberes del estudiantado; entre ellos, el artículo 33 reconoce derechos relativos a la formación académica, como la evaluación objetiva y la información sobre los planes docentes, y el artículo 34 regula los derechos de participación y representación."
