"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"Según el artículo 1 del Real Decreto 364/1995, ¿qué regula el Título I del Reglamento?","El ingreso en los Cuerpos y Escalas de funcionarios de la Administración General del Estado comprendidos en el ámbito de aplicación de la Ley de Medidas para la Reforma de la Función Pública.","La provisión de puestos de trabajo del personal laboral al servicio de la Administración General del Estado.","El régimen disciplinario de los funcionarios de carrera.","La organización de los órganos de selección de todas las Administraciones Públicas.","1","El Título I regula el ingreso en los Cuerpos y Escalas de funcionarios incluidos en el ámbito de aplicación de la Ley 30/1984, actualmente conforme al marco vigente del EBEP."
"Conforme al artículo 2 del Real Decreto 364/1995, ¿qué principio debe respetar toda selección de personal funcionario?","Los principios constitucionales de igualdad, mérito y capacidad, así como el de publicidad.","El principio de antigüedad en la Administración.","La libre designación como sistema ordinario de acceso.","La preferencia para quienes hayan prestado servicios como personal laboral.","1","El artículo 2 recuerda que el ingreso debe respetar los principios constitucionales de igualdad, mérito, capacidad y publicidad."
"Según el artículo 3 del Real Decreto 364/1995, ¿qué carácter tienen las bases de una convocatoria una vez publicadas?","Vinculan a la Administración, a los órganos de selección y a quienes participen en el proceso selectivo.","Obligan únicamente al órgano de selección, que podrá modificarlas durante el proceso por razones organizativas.","Vinculan exclusivamente a los aspirantes, pudiendo la Administración alterarlas por razones de interés público.","Constituyen un mero criterio orientativo para el desarrollo del proceso selectivo.","1","Las bases son la ley del proceso selectivo y vinculan a todas las partes intervinientes."
"¿Cuál de los siguientes extremos debe figurar necesariamente en una convocatoria de pruebas selectivas conforme al artículo 3 del Real Decreto 364/1995?","El sistema selectivo aplicable y el programa que ha de regir las pruebas.","La identidad nominal de los miembros suplentes del tribunal calificador.","La relación definitiva de aspirantes admitidos.","La propuesta de nombramiento de los futuros funcionarios.","1","El artículo 3 enumera el contenido mínimo de las convocatorias, incluyendo el sistema selectivo y el programa."
"Según el artículo 4 del Real Decreto 364/1995, ¿cuál de los siguientes constituye uno de los sistemas selectivos ordinarios de acceso a la función pública?","El concurso-oposición.","La libre designación.","La comisión de servicios.","La redistribución de efectivos.","1","El artículo 4 contempla oposición, concurso-oposición y, excepcionalmente, concurso."
"¿En qué supuesto permite el artículo 4 del Real Decreto 364/1995 utilizar el sistema de concurso como procedimiento selectivo?","Únicamente cuando una ley lo prevea expresamente.","Siempre que así lo decida el órgano convocante.","Cuando existan más de cien plazas convocadas.","En cualquier proceso de promoción interna.","1","El concurso tiene carácter excepcional y requiere habilitación legal expresa."
"Según el artículo 5.1 del Real Decreto 364/1995, ¿a qué deberán adecuarse las pruebas selectivas?","A las funciones propias de los Cuerpos o Escalas y, en su caso, de las especialidades correspondientes.","Al nivel académico de la titulación exigida para el acceso.","Al contenido de los programas universitarios oficiales.","A los criterios fijados por cada tribunal calificador.","1","Las pruebas deben guardar relación directa con las funciones que posteriormente desempeñarán los funcionarios."
"¿Cuál de los siguientes instrumentos puede incorporarse a un proceso selectivo conforme al artículo 5 del Real Decreto 364/1995?","Entrevistas, test psicotécnicos y períodos de prácticas cuando resulten adecuados a las funciones a desempeñar.","Únicamente pruebas tipo test.","Exclusivamente ejercicios escritos eliminatorios.","Solo pruebas orales de carácter memorístico.","1","El artículo 5 permite diversos instrumentos de evaluación siempre que estén objetivamente justificados."
"Conforme al artículo 5 del Real Decreto 364/1995, ¿qué finalidad tienen los cursos selectivos y los períodos de prácticas cuando forman parte del proceso selectivo?","Completar la evaluación de la aptitud de los aspirantes para el desempeño de las funciones del Cuerpo o Escala correspondiente.","Sustituir completamente las pruebas de oposición.","Servir exclusivamente para ordenar la puntuación final entre los aspirantes aprobados.","Permitir la adquisición automática de la condición de funcionario de carrera.","1","Los cursos selectivos y períodos de prácticas forman parte del proceso selectivo cuando así lo establezca la convocatoria."
"¿Qué diferencia existe entre los artículos 4 y 5 del Real Decreto 364/1995?","El artículo 4 regula los sistemas selectivos que pueden utilizarse, mientras que el artículo 5 establece los criterios y características que deben reunir las pruebas que integran dichos sistemas.","El artículo 4 regula la composición de los órganos de selección y el artículo 5 las convocatorias.","El artículo 4 regula la oferta de empleo público y el artículo 5 los tribunales calificadores.","Ambos artículos regulan exactamente el mismo contenido desde perspectivas distintas.","1","El artículo 4 responde al 'cómo se selecciona' (oposiciones, concursos...), mientras que el artículo 5 regula 'cómo deben diseñarse las pruebas' de esos sistemas."
"Según el artículo 5.1 del RD 364/1995, ¿qué finalidad deben perseguir las pruebas selectivas?","Acreditar los conocimientos y la aptitud analítica de los aspirantes en relación con las funciones propias de los puestos convocados.","Valorar exclusivamente los conocimientos teóricos adquiridos.","Comprobar únicamente la antigüedad administrativa de los aspirantes.","Determinar exclusivamente el nivel de idiomas de los candidatos.","1","El artículo 5.1 exige que las pruebas estén objetivamente dirigidas a comprobar la capacidad de los aspirantes para el desempeño de las funciones propias del Cuerpo o Escala."
