"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿Qué son las modificaciones de créditos según el artículo 6 de las Normas Básicas de Gestión del Presupuesto 2026?","Alteraciones de los créditos en relación con los aprobados inicialmente","Cambios exclusivamente en la clasificación económica de los ingresos","Redistribuciones de créditos entre Centros de Gestión sin alterar los créditos aprobados inicialmente","Ajustes realizados únicamente al finalizar la liquidación del presupuesto","1","El artículo 6 define expresamente las modificaciones de créditos como alteraciones de los mismos en relación con los créditos aprobados inicialmente. Las demás opciones describen actuaciones parciales o conceptos distintos de la definición normativa. :contentReference[oaicite:3]{index=3}"
"¿Qué órgano autoriza todas las modificaciones presupuestarias financiadas con remanentes del ejercicio anterior?","El Rector","El Consejo de Gobierno","El Consejo Social","La Comunidad de Madrid","1","El artículo 6 establece expresamente que todas las modificaciones presupuestarias financiadas con remanentes del ejercicio anterior serán autorizadas por el Rector. Además, quedan condicionadas al cumplimiento de los criterios de estabilidad presupuestaria. :contentReference[oaicite:4]{index=4}"
"¿A qué condición están sometidas las modificaciones presupuestarias financiadas con remanentes del ejercicio anterior?","Al cumplimiento de los criterios de estabilidad presupuestaria","A la autorización previa del Consejo Social en todos los casos","A que se financien exclusivamente con remanentes específicos","A que correspondan necesariamente a gastos de inversión","1","El artículo 6 establece dos elementos acumulativos: estas modificaciones son autorizadas por el Rector y están condicionadas al cumplimiento de los criterios de estabilidad presupuestaria. :contentReference[oaicite:5]{index=5}"
"¿A qué nivel tienen carácter limitativo y vinculante los créditos, con carácter general, dentro del presupuesto de la UC3M?","A nivel de concepto dentro de cada Centro y programa","A nivel de subconcepto para todos los capítulos","A nivel de capítulo para todos los gastos","A nivel de programa con independencia del Centro de Gestión","1","El artículo 5 establece como regla general que los créditos tienen carácter limitativo y vinculante a nivel de concepto dentro de cada Centro y programa. Existen excepciones para los Capítulos I, II y VI. :contentReference[oaicite:6]{index=6}"
"¿Qué capítulos tienen, con carácter general, vinculación a nivel de capítulo y no de concepto?","Los Capítulos I, II y VI","Los Capítulos I, IV y VII","Los Capítulos II, III y VI","Los Capítulos IV, VI y VIII","1","El artículo 5 establece expresamente que los gastos de personal del Capítulo I, los gastos corrientes en bienes y servicios del Capítulo II y las inversiones reales del Capítulo VI tienen vinculación a nivel de capítulo. :contentReference[oaicite:7]{index=7}"
"¿Cuál de los siguientes gastos constituye una excepción a la vinculación general por concepto?","Los gastos de personal del Capítulo I","Las transferencias corrientes del Capítulo IV","Los gastos financieros del Capítulo III","Los activos financieros del Capítulo VIII","1","El Capítulo I tiene vinculación a nivel de capítulo, frente a la regla general de vinculación a nivel de concepto. Los Capítulos III, IV y VIII no aparecen entre las excepciones enumeradas en el artículo 5. :contentReference[oaicite:8]{index=8}"
"¿Qué ocurre con las atenciones protocolarias y representativas respecto del nivel de vinculación de los créditos?","Vinculan al nivel en que aparezcan desagregadas","Vinculan siempre al nivel de capítulo","Vinculan siempre al nivel de programa","No tienen carácter limitativo ni vinculante","1","El artículo 5 establece una excepción específica: las atenciones protocolarias y representativas vincularán al nivel en que aparezcan desagregadas. :contentReference[oaicite:9]{index=9}"
"¿Qué ocurre con los conceptos que establezcan subvenciones nominativas respecto de su vinculación presupuestaria?","Vinculan al nivel en que aparezcan desagregados","Vinculan siempre a nivel de capítulo","Vinculan exclusivamente a nivel de Centro de Gestión","No tienen vinculación presupuestaria","1","El artículo 5 dispone que los conceptos que establezcan subvenciones nominativas vincularán al nivel en que aparezcan desagregados. :contentReference[oaicite:10]{index=10}"
"Un Centro necesita realizar un gasto que excede la limitación derivada del nivel de vinculación aplicable. ¿Qué exige el artículo 5?","Autorización expresa del órgano competente, previa tramitación de una propuesta razonada a través de la DEF-Servicio de Presupuestos","Únicamente la autorización del responsable del Centro de Gestión","La aprobación automática de una redistribución de crédito","La autorización exclusiva del Consejo Social","1","El artículo 5 establece que cualquier necesidad de gasto que exceda la limitación deberá ser expresamente autorizada por el órgano competente, previa tramitación de una propuesta razonada a través de la DEF-Servicio de Presupuestos. :contentReference[oaicite:11]{index=11}"
"¿Qué órgano establece la normativa de ejecución presupuestaria que condiciona las reglas del artículo 5 y siguientes?","La Comunidad de Madrid, mediante su normativa presupuestaria aplicable a las universidades","El Consejo Social exclusivamente","El Consejo de Gobierno de la UC3M mediante acuerdo anual","La Administración General del Estado mediante la Ley de Presupuestos Generales del Estado","1","El artículo 5 señala que la Ley de Presupuestos 2026 de la Comunidad de Madrid regulará diversos aspectos de ejecución del presupuesto de las universidades, por lo que estas normas se entienden condicionadas a la normativa autonómica aplicable. :contentReference[oaicite:12]{index=12}"
"¿Qué tipo de modificación permite que determinados ingresos generen créditos en los estados de gastos?","La generación de créditos","La redistribución de créditos","La rectificación presupuestaria","La transferencia de crédito","1","El artículo 6 regula la generación de créditos y señala que determinados ingresos efectivamente recaudados y derechos reconocidos o compromisos de ingresos pueden generar créditos en los estados de gastos. :contentReference[oaicite:13]{index=13}"
"¿Qué remanentes pueden generar crédito en el ejercicio siguiente según el artículo 6?","Los remanentes específicos resultantes de las liquidaciones de determinados centros y los generados por convenios, acuerdos o contratos específicos, siempre que exista remanente suficiente para su financiación","Todos los remanentes de cualquier naturaleza sin necesidad de financiación suficiente","Exclusivamente los remanentes de tesorería de libre disposición","Únicamente los remanentes procedentes del Capítulo VIII de ingresos","1","El artículo 6 considera remanentes específicos los resultantes de las liquidaciones de Centros, Departamentos, Doctorados, Institutos Universitarios de Investigación, Másteres y otros centros, además de los generados por convenios, acuerdos o contratos específicos, siempre que exista remanente suficiente para su financiación. :contentReference[oaicite:14]{index=14}"
"¿Cuál de los siguientes NO aparece expresamente entre los centros cuyos remanentes específicos pueden generar crédito?","Facultades de otras universidades públicas","Centros de la Universidad","Departamentos","Institutos Universitarios de Investigación","1","La norma menciona Centros de la Universidad, Departamentos, Doctorados, Institutos Universitarios de Investigación, Másteres y otros centros. No menciona facultades de otras universidades públicas. :contentReference[oaicite:15]{index=15}"
"¿Qué condición debe cumplirse para que los remanentes específicos puedan generar crédito en el ejercicio siguiente?","Que exista remanente suficiente para su financiación","Que todos procedan de ingresos corrientes","Que hayan sido autorizados previamente por el Consejo Social","Que su importe sea necesariamente superior a 300 euros","1","El artículo 6 exige que exista remanente suficiente para su financiación. El límite de 300 euros aparece posteriormente para las incorporaciones de crédito, no para esta regulación de los remanentes específicos. :contentReference[oaicite:16]{index=16}"
"¿Cuál de las siguientes operaciones puede dar lugar a generación de créditos?","Aportaciones de personas naturales o jurídicas para financiar conjuntamente con la Universidad determinados gastos comprometidos con sus fines y objetivos","La mera redistribución de un crédito entre dos conceptos del mismo capítulo","La anulación de un crédito no utilizado al cierre del ejercicio","La modificación de la denominación de un Centro de Gestión","1","El artículo 6 contempla expresamente las aportaciones de personas naturales o jurídicas para financiar conjuntamente con la Universidad gastos comprometidos por su naturaleza con sus fines y objetivos como causa de generación de créditos. :contentReference[oaicite:17]{index=17}"
"¿Qué ingresos derivados de la prestación de servicios pueden dar lugar a generación de créditos?","Los ingresos derivados de la prestación de servicios, en los términos previstos por la norma","Únicamente los ingresos procedentes de transferencias de la Comunidad de Madrid","Solo los ingresos patrimoniales procedentes de cuentas bancarias","Exclusivamente los ingresos derivados de contratos de obras","1","La prestación de servicios aparece expresamente entre las operaciones cuyos ingresos efectivamente recaudados y derechos reconocidos o compromisos de ingresos pueden generar créditos. :contentReference[oaicite:18]{index=18}"
