"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿Cómo define el artículo 1 del Presupuesto 2026 de la Universidad Carlos III de Madrid el presupuesto de la Universidad?","Como la expresión cifrada, conjunta y sistemática de las obligaciones que, como máximo, puede reconocer la Universidad y de los derechos que se prevén realizar durante el ejercicio de 2026","Como la expresión estimativa, anual y desagregada de los gastos que puede ejecutar la Universidad y de los ingresos efectivamente recaudados durante 2026","Como la relación detallada de los créditos disponibles y de las obligaciones reconocidas por la Universidad durante el ejercicio presupuestario","Como la previsión conjunta de los ingresos y gastos efectivamente realizados por la Universidad durante el ejercicio económico","1","La respuesta 1 reproduce el artículo 1 del Presupuesto 2026: el presupuesto es la expresión cifrada, conjunta y sistemática de las obligaciones que, como máximo, puede reconocer la Universidad y de los derechos que se prevén realizar. La 2 sustituye obligaciones máximas por gastos ejecutables e ingresos efectivamente recaudados; la 3 confunde créditos disponibles y obligaciones reconocidas con la definición presupuestaria; y la 4 sustituye las previsiones por magnitudes ya realizadas. :contentReference[oaicite:3]{index=3}"
"¿Qué dos tipos de magnitudes comprende expresamente la definición del presupuesto de la Universidad Carlos III de Madrid para 2026?","Las obligaciones que, como máximo, puede reconocer la Universidad y los derechos que se prevén realizar","Los derechos efectivamente recaudados y las obligaciones ya reconocidas por la Universidad","Los créditos disponibles para gastos y los ingresos efectivamente recaudados durante el ejercicio","Las previsiones de gasto y los derechos definitivamente reconocidos al cierre del ejercicio","1","El artículo 1 distingue entre obligaciones que como máximo puede reconocer la Universidad y derechos que se prevén realizar. La 2 y la 4 utilizan magnitudes propias de fases de ejecución o liquidación; la 3 sustituye las obligaciones por créditos disponibles y los derechos previstos por ingresos recaudados. :contentReference[oaicite:4]{index=4}"
"¿A qué ejercicio presupuestario se refiere específicamente la definición contenida en el artículo 1 de las Normas Básicas de Gestión del Presupuesto de la UC3M?","Al ejercicio del año 2026","Al ejercicio del año 2025","Al ejercicio del año 2027","Al ejercicio correspondiente a la última liquidación presupuestaria aprobada","1","El artículo 1 se refiere expresamente al presupuesto de la Universidad para el año 2026. Las restantes opciones introducen ejercicios distintos que no corresponden al documento analizado. :contentReference[oaicite:5]{index=5}"
"¿Cuál de las siguientes afirmaciones refleja correctamente el régimen jurídico aplicable a la Universidad Carlos III de Madrid según el artículo 2 de las Normas Básicas de Gestión del Presupuesto 2026?","Se rige por la Ley Orgánica 2/2023, del Sistema Universitario, y por sus Estatutos, sin perjuicio de la normativa autonómica y demás normativa aplicable","Se rige exclusivamente por la Ley Orgánica 2/2023 y no queda sometida a normativa presupuestaria de la Comunidad de Madrid","Se rige principalmente por la normativa presupuestaria de la Comunidad de Madrid, quedando sus Estatutos como normativa supletoria","Se rige exclusivamente por sus Estatutos, aplicándose la normativa estatal únicamente a efectos de contabilidad","1","El artículo 2 menciona expresamente la LOSU y los Estatutos de la Universidad y señala además la aplicación de la normativa de la Comunidad de Madrid y de la normativa general del sector público en los términos indicados. La 2 elimina indebidamente la normativa autonómica; la 3 altera la relación entre las fuentes; y la 4 reduce indebidamente el marco normativo a los Estatutos. :contentReference[oaicite:6]{index=6}"
"¿Qué naturaleza jurídica atribuyen las Normas Básicas de Gestión del Presupuesto 2026 a la Universidad Carlos III de Madrid?","Entidad de Derecho Público, dotada de personalidad jurídica y patrimonio propio","Entidad pública empresarial, dotada de personalidad jurídica y patrimonio independiente","Organismo autónomo de la Comunidad de Madrid, dotado de personalidad jurídica propia","Entidad de Derecho privado de carácter institucional, con patrimonio universitario separado","1","El artículo 2 señala expresamente que la Universidad es una entidad de Derecho Público, dotada de personalidad jurídica y patrimonio propio. Las demás opciones sustituyen esa naturaleza por figuras jurídicas diferentes que no son las utilizadas por el documento. :contentReference[oaicite:7]{index=7}"
"Conforme al artículo 2 de las Normas Básicas de Gestión del Presupuesto de la Universidad Carlos III de Madrid, ¿qué facultad presupuestaria se reconoce expresamente a la Universidad?","La autonomía y competencia para elaborar, aprobar y gestionar su presupuesto anual.","La autonomía para elaborar y gestionar su presupuesto anual, pero correspondiendo al Consejo Social su aprobación definitiva.","La competencia para elaborar y aprobar su presupuesto anual, pero correspondiendo a la Comunidad de Madrid su gestión y ejecución.","La autonomía para gestionar su presupuesto anual, pero correspondiendo al Estado la elaboración y aprobación del mismo.","1","El artículo 2 reconoce expresamente a la Universidad Carlos III de Madrid autonomía y competencia para elaborar, aprobar y gestionar su presupuesto anual, con referencia al artículo 170 de sus Estatutos y al artículo 54 de la Ley Orgánica 2/2023, de 22 de marzo, del Sistema Universitario. Las restantes opciones separan indebidamente las facultades de elaboración, aprobación y gestión que el precepto reconoce conjuntamente a la Universidad."
"¿Qué órgano o institución aparece expresamente mencionado en las Normas Básicas como parte de las tareas de coordinación que pueden limitar la autonomía de la Universidad?","La Conferencia General de Política Universitaria y la Administración Educativa competente","El Consejo Social y el Consejo de Universidades exclusivamente","La Intervención General de la Comunidad de Madrid y el Tribunal de Cuentas","El Consejo de Gobierno de la Universidad y la Gerencia exclusivamente","1","El artículo 2, al describir la autonomía universitaria, señala que esta se ejerce sin perjuicio de las tareas de coordinación que correspondan a la Conferencia General de Política Universitaria y a la Administración Educativa competente. Las otras combinaciones no reproducen esa previsión. :contentReference[oaicite:9]{index=9}"
"¿Qué normativa se considera supletoria para la ejecución del presupuesto de la Universidad Carlos III de Madrid?","La normativa que, con carácter general, sea de aplicación al sector público","La normativa específica de las universidades privadas","La normativa interna de cada Centro de Gestión","La normativa presupuestaria aprobada anualmente por el Consejo Social","1","El artículo 2 establece que será legislación supletoria la normativa que, con carácter general, sea de aplicación al sector público. Las demás respuestas sustituyen esa previsión por normas internas o por regímenes que no aparecen en el artículo. :contentReference[oaicite:10]{index=10}"
"Conforme a las Normas Básicas de Gestión 2026 de la UC3M, ¿en qué términos deben presentarse y aprobarse los presupuestos de la Universidad?","En los términos y condiciones previstos por el principio de estabilidad presupuestaria que la normativa básica establece para las Administraciones Públicas.","En los términos y condiciones previstos por el principio de sostenibilidad financiera que la normativa básica establece para las Administraciones Públicas, con independencia de las reglas de estabilidad presupuestaria.","En los términos y condiciones previstos por el principio de suficiencia financiera de las universidades públicas, sin que resulten aplicables las reglas generales de estabilidad presupuestaria.","En los términos y condiciones previstos por el principio de estabilidad presupuestaria, pero únicamente cuando el presupuesto prevea una situación de déficit durante el ejercicio.","1","Las Normas Básicas de Gestión 2026, en referencia a los artículos 57.2 y 57.8 de la LOSU, establecen que los presupuestos de la UC3M se presentarán y aprobarán en los términos y condiciones previstos por el principio de estabilidad presupuestaria que la normativa básica establece para las Administraciones Públicas. La regla no se limita a los supuestos de déficit ni se sustituye por los principios de sostenibilidad o suficiencia financiera."
"¿Qué finalidad relacionada con la transparencia presupuestaria se atribuye expresamente a los Presupuestos de la Universidad en las Normas Básicas de Gestión?","Contener la información necesaria para cumplir las exigencias derivadas del principio de transparencia de la Ley Orgánica 2/2012","Publicar exclusivamente las obligaciones reconocidas y los derechos recaudados una vez finalizado el ejercicio","Limitar la información presupuestaria a los créditos iniciales aprobados por el Consejo de Gobierno","Sustituir las obligaciones de transparencia por la publicación de los estados contables anuales","1","El documento señala que los Presupuestos contienen la información necesaria para cumplir las exigencias derivadas del principio de transparencia establecido en la Ley Orgánica 2/2012 y sus normas de desarrollo. Las restantes opciones reducen o sustituyen indebidamente esa obligación. :contentReference[oaicite:12]{index=12}"
