Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Respuesta correcta,Explicación
"¿Qué bloque de artículos de la Constitución Española integra el Capítulo Segundo del Título III, rubricado «De la elaboración de las leyes»?","Artículos 66 a 80","Artículos 81 a 92","Artículos 93 a 96","Artículos 97 a 107","2","El Capítulo Segundo del Título III de la Constitución Española, dedicado a la elaboración de las leyes, comprende los artículos 81 a 92."
"Según el artículo 81.1 de la Constitución Española, ¿cuál de las siguientes materias NO se reserva expresamente a ley orgánica?","El desarrollo de los derechos fundamentales y de las libertades públicas","La aprobación de los Estatutos de Autonomía","El régimen electoral general","La aprobación de los Presupuestos Generales del Estado","4","El artículo 81.1 reserva a ley orgánica las tres primeras materias y las demás previstas en la Constitución. Los Presupuestos Generales del Estado se aprueban mediante ley ordinaria (art. 134 CE)."
"¿Qué requisito exige el artículo 81.2 de la Constitución para la aprobación, modificación o derogación de una ley orgánica?","Mayoría absoluta del Congreso en una votación final sobre el conjunto del proyecto","Mayoría absoluta de ambas Cámaras","Mayoría simple del Congreso en votación final","Mayoría de tres quintos del Congreso","1","El artículo 81.2 CE exige mayoría absoluta del Congreso en una votación final sobre el conjunto del proyecto."
"¿Cuál de las siguientes materias no aparece expresamente reservada a ley orgánica por el artículo 81.1 de la Constitución Española?","El régimen electoral general","Los Estatutos de Autonomía","El desarrollo de los derechos fundamentales y de las libertades públicas","La regulación de los Presupuestos Generales del Estado","4","El artículo 81.1 no incluye los Presupuestos Generales del Estado entre las materias reservadas a ley orgánica."
"⭐⭐⭐ ¿Cuál de las siguientes materias puede ser objeto de delegación legislativa conforme al artículo 82.1 de la Constitución Española?","Una materia determinada no reservada a ley orgánica","El desarrollo de los derechos fundamentales y libertades públicas","La aprobación de los Estatutos de Autonomía","El régimen electoral general","1","El artículo 82.1 permite delegar únicamente materias no reservadas a ley orgánica. Las restantes materias están reservadas por el artículo 81.1 CE."
"¿Mediante qué tipo de norma debe otorgarse la delegación legislativa cuando su objeto sea la formación de textos articulados, según el artículo 82.2 de la Constitución?",Mediante una ley de bases,Mediante un Real Decreto,Mediante una ley orgánica,Mediante una resolución parlamentaria,1,El art. 82.2 CE distingue: la delegación se otorga 'mediante una ley de bases cuando su objeto sea la formación de textos articulados o por una ley ordinaria cuando se trate de refundir varios textos legales en uno solo'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a82
"¿Cuántas firmas acreditadas se exigen, como mínimo, para la iniciativa legislativa popular según el artículo 87.3 de la Constitución?","No menos de 100.000 firmas","No menos de 300.000 firmas","No menos de 500.000 firmas","No menos de 1.000.000 de firmas","3","El art. 87.3 CE dispone que una ley orgánica regulará la iniciativa legislativa popular, exigiendo 'en todo caso... no menos de 500.000 firmas acreditadas'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a87" 
"Conforme al artículo 87.3 de la Constitución Española, ¿en cuál de las siguientes materias NO procede la iniciativa legislativa popular?","En materias propias de ley orgánica, tributarias, de carácter internacional o relativas a la prerrogativa de gracia.","En materias propias de ley orgánica, tributarias, presupuestarias, de carácter internacional o relativas a la prerrogativa de gracia.","En materias tributarias, presupuestarias, de carácter internacional o relativas a la prerrogativa de gracia, pero no en las materias propias de ley orgánica.","En materias propias de ley orgánica, tributarias, de carácter internacional o relativas a la moción de censura.","1","El artículo 87.3 de la Constitución Española establece que una ley orgánica regulará las formas de ejercicio y requisitos de la iniciativa popular para la presentación de proposiciones de ley. En todo caso, se exigirán no menos de 500.000 firmas acreditadas y no procederá dicha iniciativa en materias propias de ley orgánica, tributarias o de carácter internacional, ni en lo relativo a la prerrogativa de gracia."
"¿Cuántos miembros como máximo pueden delegar las Asambleas de las Comunidades Autónomas ante el Congreso para defender una proposición de ley, según el artículo 87.2 de la Constitución?",Un máximo de un miembro,Un máximo de dos miembros,Un máximo de tres miembros,Un máximo de cinco miembros,3,"El art. 87.2 CE permite a las Asambleas de las Comunidades Autónomas remitir a la Mesa del Congreso una proposición de ley, 'delegando ante dicha Cámara un máximo de tres miembros de la Asamblea encargados de su defensa'. https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229#a87"
"¿Cuál de las siguientes exigencias establece el artículo 82.3 de la Constitución respecto de la delegación legislativa?","Debe otorgarse de forma expresa, para materia concreta, con fijación de plazo y no podrá permitir la subdelegación a autoridades distintas del propio Gobierno","Podrá concederse con carácter general siempre que las Cortes lo autoricen","Puede permitir la subdelegación cuando así lo disponga la ley de bases","Solo exige que la delegación tenga una duración determinada","1","El artículo 82.3 CE exige que la delegación sea expresa, para materia concreta, con fijación de plazo y prohíbe la subdelegación a autoridades distintas del propio Gobierno."
