"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿Cuál de las siguientes afirmaciones describe correctamente la estructura del Capítulo IV del Título IX de la Ley Orgánica 2/2023, relativo al personal docente e investigador de las universidades públicas?","Se divide en tres secciones: la primera regula el profesorado de los cuerpos docentes universitarios (arts. 68 a 76), la segunda el personal docente e investigador laboral (arts. 77 a 87) y la tercera el profesorado de la Unión Europea (art. 88).","Se divide en tres secciones: la primera regula el profesorado de los cuerpos docentes universitarios (arts. 64 a 76), la segunda el personal docente e investigador laboral (arts. 77 a 86) y la tercera el profesorado visitante (art. 87).","Se divide en dos secciones: la primera comprende los cuerpos docentes universitarios y el personal docente e investigador laboral (arts. 68 a 87), y la segunda regula el profesorado de la Unión Europea (art. 88).","Se divide en tres secciones: la primera regula los cuerpos docentes universitarios y el personal investigador (arts. 68 a 76), la segunda el personal docente e investigador laboral (arts. 77 a 87) y la tercera el profesorado visitante y de la Unión Europea (art. 88).","1","El Capítulo IV del Título IX se estructura en tres secciones. La Sección 1.ª comprende los artículos 68 a 76 y regula el profesorado de los cuerpos docentes universitarios; la Sección 2.ª comprende los artículos 77 a 87 y regula el personal docente e investigador laboral; y la Sección 3.ª contiene el artículo 88 y regula el profesorado de la Unión Europea."
"¿En cuántas etapas o niveles se estructura la nueva carrera académica del personal docente e investigador conforme a la Ley Orgánica 2/2023, frente al modelo anterior?","En cuatro etapas, igual que antes","En tres etapas: incorporación, consolidación y promoción, frente a las cuatro etapas vigentes hasta entonces","En dos etapas exclusivamente","En cinco etapas nuevas","2","La exposición de motivos de la Ley Orgánica 2/2023 señala: 'Se establecen tres niveles de progresión frente a los cuatro vigentes hasta ahora. Así, la carrera académica seguirá las etapas de incorporación, consolidación y promoción'. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500"
"¿A qué porcentaje se reduce el máximo de contratos de carácter temporal del personal docente e investigador que pueden estar vigentes en las universidades públicas, según la exposición de motivos de la Ley Orgánica 2/2023?","Del 40 al 25 por ciento","Del 40 al 8 por ciento","Del 50 al 15 por ciento","No se establece ningún límite porcentual","2","La exposición de motivos de la Ley Orgánica 2/2023 dispone: 'se reduce del 40 al 8 por ciento el máximo de contratos de carácter temporal del personal docente e investigador que pueden estar vigentes en las universidades públicas'. Esta previsión se concreta en el artículo 64 de la Ley. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a64"
"¿Qué artículo de la Ley Orgánica 2/2023 regula de forma general al 'Personal docente e investigador', abriendo el Capítulo IV del Título IX?","Artículo 62","Artículo 64","Artículo 68","Artículo 77","2","El art. 64 de la Ley Orgánica 2/2023, titulado 'Personal docente e investigador', abre el Capítulo IV del Título IX, estableciendo entre otras cuestiones el límite máximo de temporalidad del personal docente e investigador de las universidades públicas. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a64"
"¿Qué artículo de la Ley Orgánica 2/2023 se dedica específicamente a la 'Promoción de la equidad entre el personal docente e investigador'?","Artículo 64","Artículo 65","Artículo 66","Artículo 67","2","El art. 65 de la Ley Orgánica 2/2023 lleva por título 'Promoción de la equidad entre el personal docente e investigador', situado justo después del artículo 64 (Personal docente e investigador) dentro del Capítulo IV del Título IX. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a65"
"¿Cuáles son los cuerpos docentes universitarios regulados en la Sección 1ª del Capítulo IV del Título IX de la Ley Orgánica 2/2023, según su artículo 68?","Únicamente el cuerpo de Catedráticos","Los cuerpos de Catedráticos y Catedráticas de Universidad, y de Profesoras y Profesores Titulares de Universidad","Un único cuerpo docente unificado sin distinción de categorías","Exclusivamente el cuerpo de Ayudantes Doctores","2","El art. 68 de la Ley Orgánica 2/2023, titulado 'Cuerpos docentes universitarios', regula los cuerpos de Catedráticas y Catedráticos de Universidad y de Profesoras y Profesores Titulares de Universidad, cuerpos docentes funcionariales de las universidades públicas. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a68"
"⭐⭐⭐ ¿Qué artículo de la Ley Orgánica 2/2023 regula la 'Acreditación de los cuerpos docentes universitarios'?","Artículo 68","Artículo 69","Artículo 71","Artículo 85","2","El art. 69 de la Ley Orgánica 2/2023 se titula 'Acreditación de los cuerpos docentes universitarios', regulando el requisito previo de acreditación nacional para el acceso a las plazas de Catedrático/a o Titular de Universidad. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a69"
"¿Cuál de las siguientes figuras de personal docente e investigador laboral está regulada expresamente en la Sección 2.ª del Capítulo IV del Título IX de la Ley Orgánica 2/2023?","Profesoras y Profesores Ayudantes Doctoras/es","Profesoras y Profesores Titulares de Universidad","Profesoras y Profesores Catedráticos de Universidad","Personal Técnico, de Gestión y de Administración y Servicios","1","La Sección 2.ª del Capítulo IV del Título IX de la LOSU, dedicada al personal docente e investigador laboral, incluye expresamente la figura de Profesoras y Profesores Ayudantes Doctoras/es en el artículo 78. Las Profesoras y Profesores Titulares de Universidad y Catedráticos de Universidad pertenecen a los cuerpos docentes universitarios y se regulan en la Sección 1.ª. El PTGAS se regula en el Capítulo V del Título IX."
"¿Cuál de las siguientes figuras está regulada en el artículo 79 de la Ley Orgánica 2/2023, dentro de la Sección 2.ª del Capítulo IV del Título IX?","Profesoras y Profesores Asociados","Profesoras y Profesores Ayudantes Doctoras/es","Profesoras y Profesores Permanentes Laborales","Profesoras y Profesores Sustitutos","1","El artículo 79 de la LOSU regula la figura del Profesorado Asociado. Los Ayudantes Doctores se regulan en el artículo 78, los Profesores Permanentes Laborales en el artículo 82 y los Profesores Sustitutos en el artículo 80."
"¿Cuál de las siguientes figuras de personal docente e investigador laboral se regula específicamente en el artículo 82 de la Ley Orgánica 2/2023?","Profesoras y Profesores Visitantes","Profesoras y Profesores Permanentes Laborales","Profesoras y Profesores Asociados","Profesoras y Profesores Sustitutos","2","El artículo 82 de la LOSU regula al Profesorado Permanente Laboral. En la misma Sección 2.ª, el artículo 79 regula al Profesorado Asociado, el 80 al Profesorado Sustituto y el 81 al Profesorado Emérito."
