"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Numero respuesta correcta","Explicación"
"¿Cuál es el objeto principal de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público?","Regular la contratación del sector público garantizando los principios de libertad de acceso, publicidad, transparencia, igualdad y no discriminación","Regular exclusivamente los contratos administrativos celebrados por las Administraciones Públicas conforme a los principios de publicidad y concurrencia","Regular exclusivamente la adjudicación de contratos sujetos a regulación armonizada conforme a los principios de igualdad y transparencia","Regular la contratación pública únicamente cuando exista financiación procedente de los Presupuestos Generales del Estado","1","El artículo 1.1 establece que la Ley tiene por objeto regular la contratación del sector público, garantizando, entre otros, la libertad de acceso a las licitaciones, la publicidad y transparencia, y la no discriminación e igualdad de trato entre licitadores."
"Además de regular la contratación del sector público, ¿qué otro ámbito jurídico regula expresamente la Ley 9/2017?","El régimen jurídico aplicable a los efectos, cumplimiento y extinción de los contratos administrativos","El régimen jurídico aplicable exclusivamente a la preparación y adjudicación de los contratos privados","El régimen jurídico aplicable a todos los contratos celebrados por particulares con independencia de su financiación","El régimen jurídico aplicable exclusivamente a los contratos sujetos a regulación armonizada","1","El artículo 1.2 establece que también es objeto de la Ley la regulación del régimen jurídico aplicable a los efectos, cumplimiento y extinción de los contratos administrativos."
"¿Qué criterio debe incorporarse transversalmente y con carácter preceptivo en toda contratación pública conforme al artículo 1 de la LCSP?","Criterios sociales y medioambientales cuando guarden relación con el objeto del contrato","Criterios exclusivamente económicos cuando permitan reducir el precio del contrato","Criterios exclusivamente medioambientales con independencia del objeto del contrato","Criterios sociales y laborales únicamente en los contratos sujetos a regulación armonizada","1","El artículo 1.3 establece que en toda contratación pública se incorporarán de manera transversal y preceptiva criterios sociales y medioambientales siempre que guarden relación con el objeto del contrato."
"¿Con qué objetivo económico se conecta expresamente la contratación pública en el artículo 1 de la LCSP?","Con la estabilidad presupuestaria y el control del gasto","Con la autonomía financiera de las empresas licitadoras","Con la reducción obligatoria del gasto público en todos los contratos","Con el equilibrio financiero de los contratistas privados","1","El artículo 1.1 conecta la contratación pública con el objetivo de estabilidad presupuestaria y control del gasto, además del principio de integridad."
"¿Qué finalidad persigue la exigencia de una definición previa de las necesidades a satisfacer en la contratación pública?","Garantizar una utilización eficiente de los fondos destinados a obras, bienes y servicios","Permitir al órgano de contratación seleccionar anticipadamente al futuro adjudicatario","Evitar que puedan utilizarse criterios sociales y medioambientales","Determinar necesariamente el procedimiento negociado que deberá utilizarse","1","El artículo 1.1 vincula la definición previa de las necesidades con la eficiente utilización de los fondos destinados a obras, adquisición de bienes y contratación de servicios."
"¿Qué contratos se consideran contratos del sector público y quedan sometidos a la Ley 9/2017 conforme a su artículo 2.1?","Los contratos onerosos, cualquiera que sea su naturaleza jurídica, celebrados por las entidades enumeradas en el artículo 3","Únicamente los contratos administrativos celebrados por las Administraciones Públicas","Todos los contratos celebrados por cualquier persona física o jurídica cuando exista financiación pública","Únicamente los contratos sujetos a regulación armonizada celebrados por poderes adjudicadores","1","El artículo 2.1 establece que son contratos del sector público y quedan sometidos a la Ley los contratos onerosos, cualquiera que sea su naturaleza jurídica, celebrados por las entidades enumeradas en el artículo 3."
"¿Cuándo se entiende que un contrato tiene carácter oneroso a efectos de la Ley 9/2017?","Cuando el contratista obtiene algún tipo de beneficio económico, directo o indirecto","Cuando el contratista recibe necesariamente una cantidad de dinero directamente de la Administración","Cuando el contrato tiene siempre un precio superior al coste de la prestación","Cuando existe exclusivamente una contraprestación económica de carácter tributario","1","El artículo 2.1 considera oneroso el contrato cuando el contratista obtiene algún tipo de beneficio económico, ya sea de forma directa o indirecta."
"¿Puede un contrato sujeto a la Ley 9/2017 ser de naturaleza jurídica distinta de la administrativa?","Sí, porque el artículo 2.1 incluye los contratos onerosos cualquiera que sea su naturaleza jurídica","No, porque todos los contratos sometidos a la Ley tienen naturaleza administrativa","Sí, pero únicamente si se trata de un contrato sujeto a regulación armonizada","No, salvo que el contratista sea una entidad de derecho privado","1","El artículo 2.1 utiliza expresamente la fórmula «cualquiera que sea su naturaleza jurídica», por lo que la sujeción a la Ley no implica que todos los contratos sean administrativos."
"¿Qué contratos subvencionados están también sujetos a la Ley 9/2017 en los términos previstos por la propia Ley?","Los contratos subvencionados por entidades que tengan la consideración de poderes adjudicadores y celebrados por otras personas físicas o jurídicas en los supuestos del artículo 23","Todos los contratos financiados mediante cualquier subvención pública, con independencia de quién la conceda","Únicamente los contratos subvencionados celebrados por Administraciones Públicas","Los contratos subvencionados únicamente cuando la subvención cubra la totalidad de su importe","1","El artículo 2.2 somete también a la Ley, en los términos previstos en ella, los contratos subvencionados por entidades que tengan la consideración de poderes adjudicadores que celebren otras personas físicas o jurídicas en los supuestos del artículo 23."
"¿Qué instrumento se utiliza para identificar las prestaciones que son objeto de los contratos regulados por la Ley 9/2017?","El Vocabulario común de contratos públicos (CPV)","El Registro Oficial de Licitadores y Empresas Clasificadas del Sector Público","El Catálogo Nacional de Actividades Económicas","La Clasificación Nacional de Ocupaciones","1","El artículo 2.4 establece que, para identificar las prestaciones objeto de los contratos regulados por la Ley, se utilizará el Vocabulario común de contratos públicos (CPV) o la normativa comunitaria que lo sustituya."
