"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿Qué es la Conferencia General de Política Universitaria según el artículo 14.1 de la Ley Orgánica 2/2023?","Un órgano exclusivamente consultivo sin ninguna función real","El órgano de coordinación, cooperación, consulta, información y estudio de la política general universitaria, que asegura la participación de las Comunidades Autónomas y la Administración General del Estado","Un sindicato de profesorado universitario","Un organismo internacional ajeno a la Administración española","2","El art. 14.1 de la Ley Orgánica 2/2023 dispone que la Conferencia General de Política Universitaria 'es el órgano de coordinación, cooperación, consulta, información y estudio de la política general universitaria, que asegura la participación de las Comunidades Autónomas y la Administración General del Estado en la definición de las líneas fundamentales de política universitaria'. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a14"
"⭐⭐⭐ ¿Quién preside la Conferencia General de Política Universitaria según el artículo 14.2 de la Ley Orgánica 2/2023?","El Rey","El Ministro competente en materia de universidades","El Presidente del Consejo de Universidades","El Defensor del Pueblo","2","El art. 14.2 de la Ley Orgánica 2/2023 dispone que la Conferencia estará presidida por 'el Ministro competente en materia de universidades', integrando también a los consejeros competentes en la materia de las Comunidades Autónomas. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a14"
"⭐⭐⭐ Conforme al artículo 15.2 de la Ley Orgánica 2/2023, ¿quién preside la Conferencia General de Política Universitaria y quiénes integran este órgano?","El Ministro o Ministra de Universidades, y las personas responsables de la educación universitaria en los Consejos de Gobierno de las Comunidades Autónomas.","El Ministro o Ministra de Universidades, y los Rectores o Rectoras de las universidades del sistema universitario.","El Presidente o Presidenta del Consejo de Universidades, y las personas responsables de la educación universitaria en los Consejos de Gobierno de las Comunidades Autónomas.","El Ministro o Ministra de Universidades, y los miembros designados por la Presidencia del Consejo de Universidades conforme al artículo 16.","1","El artículo 15.2 de la Ley Orgánica 2/2023 establece que la Conferencia General de Política Universitaria estará presidida por el Ministro o Ministra de Universidades y estará compuesta por las personas responsables de la educación universitaria en los Consejos de Gobierno de las Comunidades Autónomas. Los Rectores y Rectoras y los miembros designados por la Presidencia forman parte del Consejo de Universidades, regulado en el artículo 16. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a15"
"👑 Conforme al artículo 15.2 de la Ley Orgánica 2/2023, ¿quién preside la Conferencia General de Política Universitaria y quiénes la integran?","El Ministro o Ministra de Universidades, y las personas responsables de la educación universitaria en los Consejos de Gobierno de las Comunidades Autónomas","El Ministro o Ministra de Universidades, y los Rectores o Rectoras de las universidades del sistema universitario","El Presidente o Presidenta del Consejo de Universidades, y las personas responsables de la educación universitaria en los Consejos de Gobierno de las Comunidades Autónomas","El Ministro o Ministra de Universidades, y los cinco miembros designados por el Presidente o Presidenta del Consejo de Universidades","1","El artículo 15.2 de la Ley Orgánica 2/2023 establece que la Conferencia General de Política Universitaria estará presidida por el Ministro o Ministra de Universidades y estará compuesta por las personas responsables de la educación universitaria en los Consejos de Gobierno de las Comunidades Autónomas. Los Rectores y Rectoras y los miembros designados por la Presidencia forman parte del Consejo de Universidades, regulado en el artículo 16."
"¿Qué es el Consejo de Universidades según el artículo 15.1 de la Ley Orgánica 2/2023?","Un órgano exclusivamente honorífico","El órgano de coordinación académica, cooperación, consulta y propuesta en materia universitaria","Un tribunal disciplinario para el profesorado","Un organismo dedicado únicamente a la gestión de becas","2","El art. 15.1 de la Ley Orgánica 2/2023 dispone: 'El Consejo de Universidades es el órgano de coordinación académica, cooperación, consulta y propuesta en materia universitaria, cuya composición garantizará la representación paritaria de las universidades públicas y privadas'. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a15"
"Según el artículo 16.2 de la Ley Orgánica 2/2023, ¿quién preside el Consejo de Universidades?","El Ministro o Ministra competente en materia de universidades","El Presidente o Presidenta de la Conferencia General de Política Universitaria elegido entre las Comunidades Autónomas","El Rector o Rectora de la universidad pública de mayor antigüedad","El Secretario o Secretaria General de Universidades","1","El artículo 16.2 de la LOSU establece que el Consejo de Universidades será presidido por el Ministro o Ministra de Universidades y estará integrado por los rectores y rectoras de las universidades del sistema universitario y por cinco vocales designados conforme al propio precepto."
"⭐⭐⭐ Según el artículo 15.2 de la Ley Orgánica 2/2023, ¿quién preside la Conferencia General de Política Universitaria?","El Ministro o Ministra competente en materia de universidades","El Presidente o Presidenta del Consejo de Universidades","El Rector o Rectora de la universidad pública de mayor antigüedad","El Presidente o Presidenta de la Conferencia de Rectores de las Universidades Españolas (CRUE)","1","El artículo 15.2 de la LOSU establece que la Conferencia General de Política Universitaria será presidida por el Ministro o Ministra competente en materia de universidades."
"⭐⭐⭐ Conforme al artículo 15.2 de la Ley Orgánica 2/2023, ¿quién ejerce la Presidencia de la Conferencia General de Política Universitaria?","El Ministro o Ministra competente en materia de universidades.","El Ministro o Ministra competente en materia de universidades, salvo que delegue la Presidencia en el Presidente o Presidenta del Consejo de Universidades.","El Presidente o Presidenta del Consejo de Universidades, al tratarse del órgano estatal de coordinación y cooperación universitaria.","El Ministro o Ministra competente en materia de universidades conjuntamente con el Presidente o Presidenta del Consejo de Universidades.","1","El artículo 15.2 de la Ley Orgánica 2/2023 establece expresamente que la Conferencia General de Política Universitaria será presidida por el Ministro o Ministra competente en materia de universidades. La LOSU no establece en este precepto una Presidencia conjunta ni atribuye esta función al Presidente o Presidenta del Consejo de Universidades. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a15"
"Conforme al artículo 15.2 de la Ley Orgánica 2/2023, ¿cuál de las siguientes afirmaciones sobre la Conferencia General de Política Universitaria es correcta?","Está presidida por el Ministro o Ministra competente en materia de universidades y está constituida por los responsables de la enseñanza universitaria en los Consejos de Gobierno de las Comunidades Autónomas.","Está presidida por el Presidente o Presidenta del Consejo de Universidades y está constituida por los Rectores y Rectoras de las universidades españolas.","Está presidida por el Ministro o Ministra competente en materia de universidades y está constituida exclusivamente por representantes de la Administración General del Estado y de las universidades públicas.","Está presidida conjuntamente por el Ministro o Ministra competente en materia de universidades y el Presidente o Presidenta del Consejo de Universidades y está constituida por representantes de las Comunidades Autónomas y de las universidades.","1","El artículo 15.2 de la Ley Orgánica 2/2023 establece que la Conferencia General de Política Universitaria será presidida por el Ministro o Ministra competente en materia de universidades y estará constituida por los responsables de la enseñanza universitaria en los Consejos de Gobierno de las Comunidades Autónomas. Esta composición debe distinguirse de la del Consejo de Universidades regulada en el artículo 16. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a15 https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a16"
"¿Qué miembros integran la Conferencia General de Política Universitaria conforme al artículo 15.2 de la Ley Orgánica 2/2023?","El Ministro o Ministra competente en materia de universidades, que la preside, y los responsables de la enseñanza universitaria en los Consejos de Gobierno de las Comunidades Autónomas y de las ciudades de Ceuta y Melilla","El Ministro o Ministra competente en materia de universidades, todos los rectores y rectoras de las universidades y cinco vocales designados por el Congreso","El Ministro o Ministra competente en materia de universidades y los Presidentes de las Comunidades Autónomas","Los rectores y rectoras de todas las universidades públicas y privadas exclusivamente","1","El artículo 15.2 dispone que la Conferencia General de Política Universitaria está presidida por el Ministro o Ministra competente en materia de universidades y formada por los responsables de la enseñanza universitaria de las Comunidades Autónomas y de las ciudades de Ceuta y Melilla."
