"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿En qué capítulo del presupuesto de gastos de la UC3M se clasifican las transferencias corrientes?","En el Capítulo IV","En el Capítulo II","En el Capítulo VI","En el Capítulo VII","1","La clasificación presupuestaria del Presupuesto 2026 identifica el Capítulo IV como «Transferencias corrientes». En 2026 asciende a 8.481.942,98 euros. :contentReference[oaicite:2]{index=2}"
"¿En qué capítulo del presupuesto de gastos se clasifican las transferencias de capital de la UC3M?","En el Capítulo VII","En el Capítulo IV","En el Capítulo VI","En el Capítulo VIII","1","El Presupuesto 2026 identifica el Capítulo VII como «Transferencias capital», con un crédito de 26.354.500 euros en el presupuesto de gastos. :contentReference[oaicite:3]{index=3}"
"¿En qué capítulo se clasifican las inversiones reales de la UC3M?","En el Capítulo VI","En el Capítulo IV","En el Capítulo VII","En el Capítulo VIII","1","El Capítulo VI corresponde a las inversiones reales. El Presupuesto 2026 distingue dentro de este capítulo las inversiones reales generales y la investigación específica. :contentReference[oaicite:4]{index=4}"
"¿Qué capítulo recoge las ayudas y becas que tienen naturaleza de transferencias corrientes en el presupuesto de gastos de la UC3M?","El Capítulo IV","El Capítulo II","El Capítulo VI","El Capítulo VII","1","Las ayudas y becas aparecen en la clasificación presupuestaria del Capítulo IV cuando tienen naturaleza de transferencias corrientes. Por ejemplo, el Presupuesto recoge diversas partidas de becas y ayudas dentro de este capítulo. :contentReference[oaicite:5]{index=5}"
"¿Qué capítulo presupuestario corresponde a una adquisición de servidores y otros equipos que tenga naturaleza de inversión real?","Capítulo VI","Capítulo IV","Capítulo VII","Capítulo III","1","El Presupuesto 2026 recoge adquisiciones de servidores y otros equipos en conceptos del Capítulo VI de gastos, identificado como Inversiones reales. :contentReference[oaicite:6]{index=6}"
"¿Cuál de las siguientes asociaciones entre capítulo y naturaleza del gasto es correcta?","Capítulo IV → transferencias corrientes; Capítulo VI → inversiones reales; Capítulo VII → transferencias de capital","Capítulo IV → inversiones reales; Capítulo VI → transferencias corrientes; Capítulo VII → gastos financieros","Capítulo IV → gastos en bienes y servicios; Capítulo VI → transferencias de capital; Capítulo VII → personal","Capítulo IV → transferencias de capital; Capítulo VI → activos financieros; Capítulo VII → transferencias corrientes","1","El Presupuesto 2026 establece esa correspondencia entre los capítulos IV, VI y VII. :contentReference[oaicite:7]{index=7}"
"¿Qué diferencia presupuestaria básica existe entre una transferencia corriente y una transferencia de capital?","La primera se clasifica en el Capítulo IV y la segunda en el Capítulo VII","La primera se clasifica en el Capítulo VI y la segunda en el Capítulo IV","Ambas se clasifican en el Capítulo IV","Ambas se clasifican en el Capítulo VII","1","La clasificación económica del Presupuesto distingue las transferencias corrientes en el Capítulo IV y las de capital en el Capítulo VII. :contentReference[oaicite:8]{index=8}"
"¿Cuál de las siguientes partidas del Presupuesto 2026 constituye un ejemplo de transferencia corriente?","480.30 Becas de apoyo investigación Institutos","620.04.03 Adquisiciones de servidores y otros equipos","630.00 Inversiones de reposición de edificaciones","620.05.03 Recursos electrónicos de biblioteca","1","La partida 480.30 «Becas de apoyo investigación Institutos» aparece dentro del Capítulo IV de gastos, mientras que las restantes son conceptos del Capítulo VI de inversiones reales. :contentReference[oaicite:9]{index=9}"
"¿Cuál de las siguientes partidas constituye un ejemplo de inversión real en el Presupuesto 2026?","620.04.03 Adquisiciones de servidores y otros equipos","480.30 Becas de apoyo investigación Institutos","480.17 Ayudas-Subvenciones","480.11 Programa Centros","1","La partida 620.04.03 se encuentra dentro del Capítulo VI de inversiones reales. Las partidas 480 corresponden al Capítulo IV de transferencias corrientes. :contentReference[oaicite:10]{index=10}"
"¿Qué naturaleza presupuestaria tiene una partida 480 destinada a becas o ayudas, cuando está clasificada en el Capítulo IV?","Transferencia corriente","Inversión real","Transferencia de capital","Gasto financiero","1","En el Presupuesto 2026 las partidas 480 destinadas a determinadas becas y ayudas aparecen dentro del Capítulo IV, por lo que forman parte de las transferencias corrientes. :contentReference[oaicite:11]{index=11}"
"¿Qué naturaleza tiene, dentro de la clasificación económica del Presupuesto 2026, una partida 620 destinada a adquirir servidores?","Inversión real","Transferencia corriente","Transferencia de capital","Gasto financiero","1","La partida 620.04.03 de adquisiciones de servidores y otros equipos aparece en el Capítulo VI de Inversiones reales. :contentReference[oaicite:12]{index=12}"
"⭐⭐⭐ ¿Cuál de las siguientes afirmaciones sobre el Capítulo VI del Presupuesto 2026 es correcta?","Incluye las inversiones reales y, dentro de ellas, el bloque presupuestario identificado como investigación específica","Incluye exclusivamente gastos de personal investigador","Incluye únicamente transferencias de capital a socios de investigación","Incluye exclusivamente adquisiciones de inmuebles","1","El cuadro general del Presupuesto 2026 presenta el Capítulo VI como Inversiones reales y distingue dentro de los gastos de capital el bloque de Investigación específica, también dentro del Capítulo VI."
