Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Respuesta correcta,Explicación
"¿Qué deben hacer las autoridades y personal al servicio de las Administraciones en quienes concurra un motivo de abstención, según el artículo 23.1 de la Ley 40/2015?",La atribución expresa de competencia al órgano administrativo que tramite el procedimiento,"Abstenerse de intervenir en el procedimiento y comunicarlo a su superior inmediato, quien resolverá lo procedente",La avocación motivada por el órgano superior en los términos legalmente previstos,La delegación de firma sin alteración de la titularidad de la competencia,2,"El art. 23.1 de la Ley 40/2015 dispone: 'Las autoridades y el personal al servicio de las Administraciones en quienes se den algunas de las circunstancias señaladas en el apartado siguiente se abstendrán de intervenir en el procedimiento y lo comunicarán a su superior inmediato, quien resolverá lo procedente'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a23"
¿Cuál de los siguientes NO es un motivo de abstención según el artículo 23.2 de la Ley 40/2015?,Tener interés personal en el asunto o en otro cuya resolución pudiera influir en aquél,Tener parentesco de consanguinidad dentro del cuarto grado o de afinidad dentro del segundo con algún interesado,Haber intervenido como perito o testigo en el procedimiento de que se trate,"Haber estudiado en el mismo centro educativo que alguno de los interesados, sin relación posterior",4,"El art. 23.2 de la Ley 40/2015 enumera como motivos de abstención: interés personal, parentesco (consanguinidad hasta 4º grado o afinidad hasta 2º), amistad íntima o enemistad manifiesta, haber sido perito o testigo en el procedimiento, y tener relación de servicio o haber prestado servicios profesionales en los dos últimos años. Haber compartido estudios sin relación posterior no constituye, por sí solo, motivo de abstención tasado en la Ley. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a23"
¿Qué grado de parentesco por consanguinidad constituye motivo de abstención según el artículo 23.2.b) de la Ley 40/2015?,La atribución expresa de competencia al órgano administrativo que tramite el procedimiento,La avocación motivada por el órgano superior en los términos legalmente previstos,Cuarto grado,La delegación de firma sin alteración de la titularidad de la competencia,3,"El art. 23.2.b) de la Ley 40/2015 establece como motivo de abstención tener 'vínculo matrimonial o situación de hecho asimilable y el parentesco de consanguinidad dentro del cuarto grado o de afinidad dentro del segundo', con los interesados, administradores de entidades interesadas, o asesores/representantes que intervengan en el procedimiento. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a23"
¿Qué grado de parentesco por afinidad constituye motivo de abstención según el artículo 23.2.b) de la Ley 40/2015?,La atribución expresa de competencia al órgano administrativo que tramite el procedimiento,Segundo grado,La avocación motivada por el órgano superior en los términos legalmente previstos,La delegación de firma sin alteración de la titularidad de la competencia,2,"El art. 23.2.b) de la Ley 40/2015 fija el parentesco de afinidad dentro del segundo grado como motivo de abstención, frente al cuarto grado exigido para la consanguinidad. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a23"
"⭐⭐⭐ ¿Constituye motivo de abstención, según el artículo 23.2.e) de la Ley 40/2015, haber prestado servicios profesionales a un interesado en cualquier momento del pasado, sin límite temporal?",La atribución expresa de competencia al órgano administrativo que tramite el procedimiento,"No, solo constituye motivo de abstención haberle prestado servicios profesionales de cualquier tipo en los dos últimos años, o tener relación de servicio actual con él",La avocación motivada por el órgano superior en los términos legalmente previstos,La delegación de firma sin alteración de la titularidad de la competencia,2,"El art. 23.2.e) de la Ley 40/2015 dispone como motivo de abstención 'tener relación de servicio con persona natural o jurídica interesada directamente en el asunto, o haberle prestado en los dos últimos años servicios profesionales de cualquier tipo y en cualquier circunstancia o lugar', acotando así el motivo a los dos últimos años en el caso de servicios ya finalizados. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a23"
"Un funcionario mantiene actualmente una relación de servicio con una persona jurídica interesada directamente en el asunto y, en otro supuesto, otro funcionario dejó de prestar servicios profesionales de cualquier tipo a una persona jurídica interesada hace tres años. Conforme al artículo 23.2.e) de la Ley 40/2015, ¿cuál es la situación correcta?","Ninguno de los dos funcionarios incurre en causa de abstención, porque el límite temporal de dos años se aplica tanto a las relaciones de servicio como a los servicios profesionales anteriores.","El primer funcionario incurre en causa de abstención por su relación de servicio actual; el segundo no incurre en esta causa por haber transcurrido más de dos años desde la prestación de los servicios profesionales.","Ambos funcionarios incurren en causa de abstención, porque cualquier relación profesional previa con un interesado produce efectos indefinidos.","Solo el segundo funcionario incurre en causa de abstención, porque la prestación de servicios profesionales constituye una causa más amplia que la relación de servicio actual.","2","El artículo 23.2.e) distingue dos supuestos: tener una relación de servicio con una persona natural o jurídica interesada directamente en el asunto, supuesto que no está sometido a un límite temporal, y haberle prestado servicios profesionales de cualquier tipo y en cualquier circunstancia o lugar durante los dos últimos años."
"Conforme al artículo 23.2.e) de la Ley 40/2015, ¿cuál de las siguientes situaciones constituye motivo de abstención?","Haber prestado servicios profesionales de cualquier tipo a una persona interesada directamente en el asunto en cualquier momento anterior, aunque hayan transcurrido más de dos años.","Tener relación de servicio con una persona natural o jurídica interesada directamente en el asunto, o haberle prestado servicios profesionales de cualquier tipo y en cualquier circunstancia o lugar durante los dos últimos años.","Haber prestado servicios profesionales únicamente de naturaleza jurídica a una persona interesada directamente en el asunto durante los últimos cinco años.","Mantener una relación de servicio con cualquier persona que haya intervenido en el procedimiento, aunque no sea interesada directamente en el asunto.","2","El artículo 23.2.e) establece como causa de abstención tener relación de servicio con una persona natural o jurídica interesada directamente en el asunto, o haberle prestado servicios profesionales de cualquier tipo y en cualquier circunstancia o lugar durante los dos últimos años."
"¿Pueden los órganos jerárquicamente superiores ordenar a un subordinado que se abstenga cuando concurra causa de abstención, según el artículo 23.3 de la Ley 40/2015?","Sí, los órganos jerárquicamente superiores deberán ordenarle que se abstenga de toda intervención en el expediente","Sí, los órganos jerárquicamente superiores podrán ordenarle que se abstenga de toda intervención en el expediente",La atribución expresa de competencia al órgano administrativo que tramite el procedimiento,La avocación motivada por el órgano superior en los términos legalmente previstos,2,El art. 23.3 de la Ley 40/2015 dispone: 'Los órganos jerárquicamente superiores a quien se encuentre en alguna de las circunstancias señaladas en el punto anterior podrán ordenarle que se abstengan de toda intervención en el expediente'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a23
"¿Implica necesariamente la invalidez de los actos en que haya intervenido, la actuación de una autoridad en la que concurría un motivo de abstención, según el artículo 23.4 de la Ley 40/2015?","No, la actuación de quien debió abstenerse no implica, necesariamente y en todo caso, la invalidez de los informes en que haya intervenido","No, la actuación de quien debió abstenerse no implica, necesariamente y en todo caso, la invalidez de los actos en que haya intervenido",La atribución expresa de competencia al órgano administrativo que tramite el procedimiento,La avocación motivada por el órgano superior en los términos legalmente previstos,2,"El art. 23.4 de la Ley 40/2015 dispone: 'La actuación de autoridades y personal al servicio de las Administraciones Públicas en los que concurran motivos de abstención no implicará, necesariamente, y en todo caso, la invalidez de los actos en que hayan intervenido'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a23"
¿Qué consecuencia prevé el artículo 23.5 de la Ley 40/2015 para quien no se abstenga debiendo hacerlo?,Ninguna consecuencia si el acto resultante es correcto,Dará lugar a la responsabilidad que proceda,Se anula automáticamente su nombramiento,Se traslada forzosamente a otro puesto,2,El art. 23.5 de la Ley 40/2015 dispone: 'La no abstención en los casos en que concurra alguna de esas circunstancias dará lugar a la responsabilidad que proceda'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566#a23
