"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Numero respuesta correcta","Explicación"
"¿Cómo debe ser el objeto de los contratos del sector público conforme al artículo 99 de la LCSP?","Debe ser determinado y puede definirse atendiendo a las necesidades o funcionalidades concretas que se pretenden satisfacer","Debe ser necesariamente una prestación concreta y cerrada a una única solución técnica","Debe quedar definido exclusivamente mediante unidades de obra, suministro o servicio","Debe determinarse siempre mediante una descripción técnica que impida soluciones alternativas","1","El artículo 99.1 exige que el objeto sea determinado, pero permite definirlo atendiendo a las necesidades o funcionalidades concretas que se pretenden satisfacer, sin cerrarlo a una solución única. Esta posibilidad resulta especialmente relevante cuando pueden incorporarse innovaciones tecnológicas, sociales o ambientales."
"¿Qué finalidad persigue la prohibición de fraccionar un contrato establecida en el artículo 99?","Evitar que se disminuya artificialmente su cuantía para eludir los requisitos de publicidad o el procedimiento de adjudicación que corresponda","Evitar exclusivamente que un contrato pueda dividirse materialmente en varias prestaciones","Impedir que un contrato pueda ser adjudicado mediante lotes","Evitar que puedan participar pequeñas y medianas empresas en la licitación","1","El artículo 99.2 prohíbe fraccionar un contrato con la finalidad de disminuir su cuantía y eludir los requisitos de publicidad o los relativos al procedimiento de adjudicación que correspondan. :contentReference[oaicite:3]{index=3}"
"Cuando la naturaleza u objeto del contrato lo permitan, ¿qué debe preverse respecto de sus distintas partes?","La realización independiente de cada una de sus partes mediante su división en lotes","La adjudicación conjunta de todas las prestaciones a un único empresario","La división obligatoria en contratos independientes, aunque las prestaciones no sean separables","La contratación de cada prestación mediante un procedimiento distinto","1","El artículo 99.3 establece como regla que, cuando la naturaleza u objeto del contrato lo permitan, debe preverse la realización independiente de sus partes mediante división en lotes. :contentReference[oaicite:4]{index=4}"
"¿Puede el órgano de contratación decidir no dividir un contrato en lotes?","Sí, cuando existan motivos válidos que deberán justificarse debidamente en el expediente","No, porque la división en lotes es siempre obligatoria","Sí, pero únicamente cuando el valor estimado sea inferior a 5.404.000 euros","Sí, sin necesidad de justificar la decisión si el contrato es de servicios","1","El artículo 99.3 permite no dividir en lotes cuando existan motivos válidos, que deben justificarse debidamente en el expediente. La propia norma establece como uno de esos motivos el riesgo de restringir injustificadamente la competencia y las dificultades técnicas o de coordinación. :contentReference[oaicite:5]{index=5}"
"¿Qué especialidad establece el artículo 99 respecto de la no división en lotes en las concesiones de obras?","Los motivos para no dividir en lotes previstos en el artículo 99.3 no resultan exigibles en los contratos de concesión de obras","La concesión de obras debe dividirse siempre en lotes","La concesión de obras solo puede dividirse en lotes cuando lo solicite el contratista","La concesión de obras debe dividirse obligatoriamente en tantos lotes como unidades funcionales existan","1","El artículo 99.3 establece expresamente la excepción de los contratos de concesión de obras respecto de la regla de división en lotes. :contentReference[oaicite:6]{index=6}"
"¿Cuál de los siguientes puede constituir un motivo válido para justificar la no división en lotes?","Que la división pueda restringir injustificadamente la competencia","Que el contrato tenga un valor estimado superior a 40.000 euros","Que el órgano de contratación prefiera gestionar un único contrato","Que exista más de un licitador potencialmente interesado","1","El artículo 99.3.a considera motivo válido que la división en lotes conlleve el riesgo de restringir injustificadamente la competencia. En ese caso debe solicitarse informe previo a la autoridad de defensa de la competencia correspondiente. :contentReference[oaicite:7]{index=7}"
"¿Qué otro motivo puede justificar la no división en lotes?","Que la realización independiente dificulte técnicamente la correcta ejecución o que la coordinación entre varios contratistas pueda imposibilitarla","Que la división reduzca el número de ofertas recibidas","Que el órgano de contratación tenga menos personal administrativo","Que uno de los lotes tenga un presupuesto inferior a 15.000 euros","1","El artículo 99.3.b contempla las dificultades técnicas de ejecución independiente y el riesgo derivado de la necesidad de coordinar distintas prestaciones que podría verse imposibilitada por la intervención de varios contratistas. :contentReference[oaicite:8]{index=8}"
"Cuando el contrato se divide en lotes, ¿puede limitarse el número de lotes para los que un mismo licitador puede presentar oferta?","Sí, siempre que la limitación se justifique debidamente en el expediente y se indique en el anuncio y en el pliego","No, porque cualquier licitador debe poder presentar oferta a todos los lotes","Sí, pero únicamente en contratos de obras","Sí, aunque no se mencione en el anuncio ni en el pliego","1","El artículo 99.4.a permite limitar el número de lotes para los que un mismo candidato o licitador puede presentar oferta, siempre que la limitación se justifique y se indique expresamente en el anuncio y en el pliego. :contentReference[oaicite:9]{index=9}"
"Cuando se limita el número de lotes que pueden adjudicarse a un mismo licitador, ¿qué debe incluirse en los pliegos?","Criterios o normas objetivos y no discriminatorios para determinar qué lotes se adjudicarán cuando el licitador pueda superar el máximo establecido","Únicamente una autorización del órgano de contratación posterior a la licitación","Los criterios económicos que decida libremente la mesa de contratación","Una prohibición absoluta de presentar ofertas a otros lotes","1","El artículo 99.4.b exige que, cuando se limite el número de lotes adjudicables a cada licitador, los pliegos incluyan criterios o normas objetivos y no discriminatorios para resolver los casos en que un licitador pudiera resultar adjudicatario de más lotes de los permitidos. :contentReference[oaicite:10]{index=10}"
"⭐⭐⭐ Cuando se divida un contrato en lotes, ¿cómo se consideran las uniones de empresarios a efectos de las limitaciones previstas en el artículo 99?","Como un único candidato o licitador, salvo que el pliego disponga otra cosa","Cada empresa integrante se considera un candidato independiente en todo caso","Cada empresa integrante puede presentar una oferta adicional aunque el pliego limite los lotes","La unión se considera dos licitadores como mínimo","1","El artículo 99.4 establece que, salvo previsión del pliego, a efectos de las limitaciones de las letras a) y b), las uniones de empresarios se consideran como un único candidato o licitador. :contentReference[oaicite:11]{index=11}"
