"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"Según el artículo 70.2 del Real Decreto 364/1995, ¿qué circunstancia resulta irrelevante para la adquisición del grado personal?","El sistema por el que se hubiera provisto el puesto desempeñado.","El tiempo de desempeño del puesto.","El nivel del puesto efectivamente desempeñado.","La condición de funcionario de carrera.","1","El artículo 70.2 establece expresamente que el grado se adquiere cualquiera que sea el sistema de provisión del puesto, siempre que se cumplan los requisitos temporales."
"¿Cuál de los siguientes elementos resulta determinante para consolidar un grado personal conforme al artículo 70.2 del RD 364/1995?","El desempeño de uno o varios puestos del nivel correspondiente durante el tiempo reglamentariamente exigido.","La permanencia ininterrumpida en el mismo puesto de trabajo.","La obtención del puesto mediante concurso.","La antigüedad total como funcionario.","1","Lo determinante es el desempeño durante dos años continuados o tres con interrupción de puestos del mismo nivel."
"¿Qué diferencia existe entre el nivel de un puesto de trabajo y el grado personal consolidado?","El nivel corresponde al puesto; el grado personal pertenece al funcionario.","Ambos conceptos son siempre coincidentes.","El grado personal únicamente existe para funcionarios del subgrupo A1.","El nivel pertenece al funcionario y el grado al puesto.","1","El grado personal es un derecho individual del funcionario, mientras que el nivel es una característica del puesto."
"Un funcionario desempeña sucesivamente dos puestos distintos, ambos clasificados en el nivel 24. Conforme al artículo 70.2 del RD 364/1995, ¿qué circunstancia resulta relevante para consolidar dicho grado?","Que el tiempo total de desempeño alcance el exigido reglamentariamente, aunque corresponda a distintos puestos del mismo nivel.","Que ambos puestos se hayan obtenido mediante concurso.","Que ambos puestos pertenezcan al mismo Ministerio.","Que el segundo puesto sea de libre designación.","1","El artículo 70.2 permite consolidar el grado mediante el desempeño de uno o más puestos del mismo nivel."
"¿Cuál de las siguientes afirmaciones refleja correctamente la relación entre el grado personal y el complemento de destino?","El grado personal garantiza, como mínimo, la percepción del complemento de destino correspondiente a su nivel.","El complemento de destino depende exclusivamente del puesto efectivamente ocupado.","El grado personal únicamente produce efectos honoríficos.","El complemento de destino nunca guarda relación con el grado consolidado.","1","El artículo 70.12 reconoce expresamente este derecho económico mínimo."
"Según el artículo 70.3 del RD 364/1995, ¿qué regla general se aplica a los funcionarios de nuevo ingreso respecto del grado personal?","Consolidarán el grado correspondiente al nivel del puesto adjudicado tras superar el proceso selectivo, salvo la excepción prevista en el propio artículo.","Comenzarán siempre consolidando el grado mínimo de su cuerpo.","No podrán consolidar grado durante los cinco primeros años.","El grado será fijado discrecionalmente por el órgano competente.","1","La regla general y su excepción aparecen expresamente recogidas en el artículo 70.3."
"¿Qué excepción contempla el artículo 70.3 respecto de la consolidación del grado personal por funcionarios de nuevo ingreso?","Que pasen voluntariamente a desempeñar un puesto de nivel inferior al inicialmente adjudicado.","Que sean destinados a otra Administración Pública.","Que cambien de puesto por necesidades del servicio.","Que obtengan un puesto mediante libre designación.","1","La excepción solo opera cuando el cambio a un puesto inferior es voluntario."
"¿Cuál de las siguientes situaciones impide aplicar la regla general prevista en el artículo 70.3 del RD 364/1995?","La aceptación voluntaria de un puesto de nivel inferior antes de consolidar el grado correspondiente al inicialmente adjudicado.","La obtención del puesto mediante oposición.","La adscripción definitiva al puesto adjudicado.","La toma de posesión dentro del plazo establecido.","1","En ese supuesto el funcionario consolidará el grado correspondiente al puesto inferior."
"¿Quién tiene atribuida la competencia para reconocer el grado personal consolidado, según el artículo 70.11 del RD 364/1995?","El Subsecretario del Departamento en el que preste servicios el funcionario.","El Ministro competente en materia de Función Pública.","El Secretario de Estado para la Función Pública.","El Director General de Función Pública.","1","La competencia corresponde al Subsecretario del Departamento donde el funcionario presta servicios."
"¿Cuál de las siguientes actuaciones debe realizarse tras el reconocimiento del grado personal conforme al artículo 70.11?","Comunicar la resolución al Registro Central de Personal dentro del plazo reglamentario.","Publicar la resolución en el Boletín Oficial del Estado.","Remitirla a la Comisión Superior de Personal.","Notificarla al Tribunal Calificador del proceso selectivo.","1","El artículo 70.11 exige comunicar el reconocimiento al Registro Central de Personal dentro de los tres días hábiles siguientes."
"¿Qué relación existe entre los apartados 2 y 12 del artículo 70 del RD 364/1995?","El apartado 2 regula la adquisición del grado personal y el apartado 12 uno de sus principales efectos jurídicos.","Ambos regulan exclusivamente el reconocimiento del grado.","El apartado 12 sustituye al apartado 2.","No guardan relación entre sí.","1","Primero se regula cómo se adquiere el grado y después uno de los derechos que comporta."
"¿Cuál de las siguientes afirmaciones es correcta respecto al reconocimiento y adquisición del grado personal?","La adquisición del grado y su reconocimiento son conceptos distintos regulados en apartados diferentes del artículo 70.","El reconocimiento produce automáticamente la adquisición del grado.","La adquisición depende exclusivamente de una resolución administrativa.","Ambos conceptos son sinónimos utilizados indistintamente por el Reglamento.","1","El Reglamento diferencia claramente entre adquirir el grado por el desempeño del puesto y reconocer formalmente dicho grado."
"¿Qué característica comparte la adquisición del grado personal por desempeño de uno o varios puestos del mismo nivel?","El tiempo de desempeño puede acumularse aunque corresponda a distintos puestos del mismo nivel.","Todos los puestos deben pertenecer al mismo centro directivo.","Solo computan los puestos obtenidos por concurso.","Solo computan los servicios prestados de forma ininterrumpida.","1","El artículo 70.2 admite expresamente el desempeño de uno o más puestos del mismo nivel."
"¿Cuál de las siguientes afirmaciones distingue correctamente el nivel del puesto y el intervalo de niveles previsto en el artículo 71?","El nivel clasifica cada puesto concreto; el intervalo delimita los niveles que pueden corresponder a cada cuerpo o escala.","Ambos conceptos tienen exactamente el mismo significado.","El intervalo solo se aplica a funcionarios en prácticas.","El nivel únicamente produce efectos retributivos.","1","El artículo 70 regula el nivel del puesto y el 71 los intervalos de niveles correspondientes a cada cuerpo o escala."
"¿Qué finalidad cumple el reconocimiento formal del grado personal previsto en el artículo 70.11?","Declarar oficialmente un grado previamente adquirido conforme a los requisitos establecidos en el propio artículo.","Conceder discrecionalmente un nuevo grado al funcionario.","Modificar el intervalo de niveles correspondiente al cuerpo o escala.","Determinar el sistema de provisión de futuros puestos.","1","El reconocimiento no crea el grado, sino que declara oficialmente uno previamente adquirido conforme al Reglamento."
