Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Respuesta correcta,Explicación
"¿En qué fecha se aprobó el II Protocolo de prevención y actuación contra el acoso y ciberacoso sexual, por razón de sexo, por orientación sexual y por identidad y/o expresión de género en la UC3M?",21 de marzo de 2013,14 de noviembre de 2019,30 de octubre de 2017,24 de junio de 2021,2,"El II Protocolo de prevención y actuación contra el acoso y ciberacoso sexual, por razón de sexo, por orientación sexual y por identidad y/o expresión de género en la UC3M fue aprobado por el Consejo de Gobierno en sesión de 14 de noviembre de 2019. https://www.uc3m.es/igualdad/protocolo-acoso"
¿Qué protocolo anterior fue reemplazado por el II Protocolo de prevención y actuación contra el acoso de la UC3M de 2019?,"El Protocolo de prevención y actuación frente al acoso sexual y acoso por razón de sexo, aprobado por el Consejo de Gobierno en sesión de 20 de marzo de 2013","El Protocolo de prevención y actuación frente al acoso sexual y acoso por razón de sexo, aprobado por el Consejo de Gobierno en sesión de 21 de marzo de 2013","El Protocolo de prevención y actuación frente al acoso sexual y acoso por razón de sexo, aprobado por el Consejo de Gobierno en sesión de 23 de marzo de 2013","El Protocolo de prevención y actuación frente al acoso sexual y acoso por razón de sexo, aprobado por el Consejo de Gobierno en sesión de 22 de marzo de 2013",2,"El II Protocolo de 2019 reemplazó al 'Protocolo de prevención y actuación frente al acoso sexual y acoso por razón de sexo en el ámbito de la Universidad Carlos III de Madrid', aprobado por el Consejo de Gobierno en sesión de 21 de marzo de 2013. https://www.uc3m.es/igualdad/protocolo-acoso"
"¿A qué colectivos resulta aplicable el II Protocolo de prevención y actuación contra el acoso de la UC3M, según se indica en su presentación institucional?","A toda la comunidad universitaria: alumnado, personal docente e investigador, personal de gestión y administración y servicios, y cualquier otra persona de empresas o entidades externas que desarrolle su trabajo en la UC4M","A toda la comunidad universitaria: alumnado, personal docente e investigador, personal de gestión y administración y servicios, y cualquier otra persona de empresas o entidades externas que desarrolle su trabajo en la UC3M","A toda la comunidad universitaria: alumnado, personal docente e investigador, personal de gestión y administración y servicios, y cualquier otra persona de empresas o entidades externas que desarrolle su trabajo en la UC2M","A toda la comunidad universitaria: alumnado, personal docente e investigador, personal de gestión y administración y servicios, y cualquier otra persona de empresas o entidades externas que desarrolle su trabajo en la UC5M",2,"Según la propia presentación institucional del Protocolo, este 'es aplicable a toda comunidad universitaria y se orienta a la protección del alumnado, personal docente e investigador, personal de gestión y administración y servicios y cualquier otra persona de empresas o entidades externas que desarrolle su trabajo en la UC3M' frente a estas formas de acoso. https://www.uc3m.es/igualdad/protocolo-acoso"
¿Cuáles son las modalidades de acoso cubiertas por el título completo del II Protocolo de la UC3M?,La aplicación transversal del principio de igualdad en la actuación de los poderes públicos,"Acoso y ciberacoso sexual, acoso por razón de sexo, acoso por orientación sexual y acoso por identidad y/o expresión de género",La adopción de medidas de acción positiva en favor de las mujeres cuando proceda,La prevención de conductas discriminatorias mediante protocolos internos de actuación,2,"El título completo del documento es 'II Protocolo de prevención y actuación contra el acoso y ciberacoso sexual, por razón de sexo, por orientación sexual y por identidad y/o expresión de género en la UC3M', cubriendo por tanto estas cinco modalidades de acoso discriminatorio. https://www.uc3m.es/igualdad/protocolo-acoso"
¿Qué Resolución del Rector de la UC3M da instrucciones sobre la aplicación de la Ley 2/2016 de identidad y expresión de género e igualdad social y no discriminación de la Comunidad de Madrid?,La Resolución del Rector de 8 de abril de 2010,La Resolución del Rector de 13 de julio de 2017,La Resolución del Rector de 14 de noviembre de 2019,La Resolución del Rector de 22 de marzo de 2024,2,"La UC3M cuenta con la 'Resolución del Rector de la Universidad Carlos III de Madrid, de 13 de julio de 2017, por la que se dan instrucciones sobre la aplicación de la ley 2/2016 de identidad y expresión de género e igualdad social y no discriminación de la Comunidad de Madrid'. https://www.uc3m.es/igualdad/igualdad-uc3m"
¿Qué procedimiento concreto habilita en la UC3M la Resolución del Rector de 13 de julio de 2017 sobre identidad y expresión de género?,"La solicitud de modificación de datos por identidad de género, entre otras instrucciones de aplicación de la Ley 3/2016","La solicitud de modificación de datos por identidad de género, entre otras instrucciones de aplicación de la Ley 2/2016","La solicitud de modificación de datos por identidad de género, entre otras instrucciones de aplicación de la Ley 1/2016","La solicitud de modificación de datos por identidad de género, entre otras instrucciones de aplicación de la Ley 4/2016",2,"Al amparo de esta Resolución, la UC3M ha puesto en marcha un procedimiento para solicitar el cambio de nombre a las personas que se acojan a lo recogido en la Ley 2/2016, existiendo específicamente una 'Solicitud de modificación de datos por identidad de género' entre los recursos habilitados para las personas LGTBI en la Universidad. https://www.uc3m.es/igualdad/si-eres-lgtbi"
"¿Cómo se denomina en la actualidad la Ley 2/2016, de 29 de marzo, de la Comunidad de Madrid, tras su modificación por la Ley 17/2023, de 27 de diciembre?",Ley de identidad y expresión de género e igualdad social y no discriminación de la Comunidad de Madrid (denominación inalterada),"Ley de protección, igualdad efectiva y no discriminación de las personas transexuales e intersexuales de la Comunidad de Madrid",Ley integral contra la LGTBIfobia de la Comunidad de Madrid,"Ley de protección, jerarquía efectiva y no discriminación de las personas transexuales e intersexuales de la Comunidad de Madrid",2,"Tras la modificación operada por la Ley 17/2023, de 27 de diciembre, la Ley 2/2016, de 29 de marzo, pasa a denominarse 'Ley de protección, igualdad efectiva y no discriminación de las personas transexuales e intersexuales de la Comunidad de Madrid', tal y como se indica en la propia página de recursos LGTBI de la UC3M. https://www.uc3m.es/igualdad/si-eres-lgtbi"
"Además de la Ley 2/2016, ¿qué otra norma autonómica de referencia en materia LGTBI menciona la UC3M entre sus recursos de igualdad?","La Ley 3/2016, de 22 de julio, de protección, igualdad efectiva y no discriminación de las personas LGTBI de la Comunidad de Madrid","La Ley 4/2016, de 22 de julio, de protección, igualdad efectiva y no discriminación de las personas LGTBI de la Comunidad de Madrid","La Ley 5/2016, de 22 de julio, de protección, igualdad efectiva y no discriminación de las personas LGTBI de la Comunidad de Madrid","La Ley 2/2016, de 22 de julio, de protección, igualdad efectiva y no discriminación de las personas LGTBI de la Comunidad de Madrid",1,"Entre los recursos de referencia para personas LGTBI, la UC3M cita expresamente la 'Ley 2-2016, de 29 de marzo... [y la] Ley 3-2016, de 22 de julio, de protección, igualdad efectiva y no discriminación de las personas LGTBI de la Comunidad de Madrid', además de la posterior Ley 4/2023, de 28 de febrero, para la igualdad real y efectiva de las personas trans y para la garantía de los derechos de las personas LGTBI, de ámbito estatal. https://www.uc3m.es/igualdad/si-eres-lgtbi"
"¿En qué año se creó en la UC3M la Unidad de Igualdad, en cumplimiento de la disposición adicional duodécima de la Ley Orgánica 4/2007, de reforma de la Ley Orgánica de Universidades?",2009,2008,2007,2010,2,"Según el III Plan de Igualdad de la UC3M, 'también en 2008, dando cumplimiento a lo dispuesto en la disposición adicional duodécima de la Ley Orgánica 4/2007, de 12 de abril, por la que se modifica la Ley Orgánica 6/2001, de 21 de diciembre de Universidades, se crea la Unidad de Igualdad'. III Plan de Igualdad de la Universidad Carlos III de Madrid"
¿En qué artículo de los Estatutos de la UC3M (modificados por Decreto 95/2009) se regula la Unidad de Igualdad?,Artículo 161 bis,Artículo 159 bis,Artículo 160 bis,Artículo 158 bis,2,"Conforme al Decreto 95/2009, de 12 de noviembre, del Consejo de Gobierno de la Comunidad de Madrid, la Unidad de Igualdad aparece recogida en el artículo 159 bis de los Estatutos de la UC3M, que establece sus competencias y el nombramiento de la persona que la dirige. III Plan de Igualdad de la Universidad Carlos III de Madrid"
"¿A quién corresponde nombrar a la persona que dirige la Unidad de Igualdad de la UC3M, según el artículo 159 bis de sus Estatutos?",La aplicación transversal del principio de igualdad en la actuación de los poderes públicos,Al Rector,A la Comunidad de Madrid,Al Ministerio de Universidades,2,El artículo 159 bis de los Estatutos de la UC3M dispone en su apartado 2: 'El Rector nombrará a la persona que dirigirá la Unidad de Igualdad'. III Plan de Igualdad de la Universidad Carlos III de Madrid
